participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data
007,007_T1_20260423_180555,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,1,13,formal,incongruent,1776938755,60.0,2026-04-23T18:08:02.637,0,0,0,1,124018.321,124031.359,incongruent,left,right,>><>>,s,s,1,1040.49,125180.587,none,,124118.321,124140.097,125180.587,3000,1040.49,125180.587,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 124018.321, ""actual_onset_global_ms"": 124031.359, ""actual_offset_global_ms"": 124142.979, ""actual_duration_ms"": 111.62}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 124118.321, ""actual_onset_global_ms"": 124140.097, ""actual_offset_global_ms"": 125180.587, ""actual_duration_ms"": 1040.49}]",,,,,0,0,1,0,1
007,007_T1_20260423_180555,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,2,14,formal,congruent,1776938755,60.0,2026-04-23T18:08:03.809,0,0,0,1,125190.434,125203.007,congruent,left,left,<<<<<,s,s,1,1442.758,126750.233,none,,125290.434,125307.475,126750.233,3000,1442.758,126750.233,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 125190.434, ""actual_onset_global_ms"": 125203.007, ""actual_offset_global_ms"": 125310.16, ""actual_duration_ms"": 107.153}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 125290.434, ""actual_onset_global_ms"": 125307.475, ""actual_offset_global_ms"": 126750.233, ""actual_duration_ms"": 1442.758}]",,,,,0,0,1,0,1
007,007_T1_20260423_180555,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,3,15,formal,incongruent,1776938755,60.0,2026-04-23T18:08:05.392,0,0,0,1,126774.135,126787.345,incongruent,left,right,>><>>,s,s,1,1024.695,127915.393,none,,126874.135,126890.698,127915.393,3000,1024.695,127915.393,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 126774.135, ""actual_onset_global_ms"": 126787.345, ""actual_offset_global_ms"": 126891.513, ""actual_duration_ms"": 104.168}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 126874.135, ""actual_onset_global_ms"": 126890.698, ""actual_offset_global_ms"": 127915.393, ""actual_duration_ms"": 1024.695}]",,,,,0,0,1,0,1
007,007_T1_20260423_180555,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,4,16,formal,congruent,1776938755,60.0,2026-04-23T18:08:06.553,0,0,0,1,127934.209,127947.933,congruent,right,right,>>>>>,j,j,1,924.118,128984.927,none,,128034.209,128060.809,128984.927,3000,924.118,128984.927,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 127934.209, ""actual_onset_global_ms"": 127947.933, ""actual_offset_global_ms"": 128061.631, ""actual_duration_ms"": 113.698}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 128034.209, ""actual_onset_global_ms"": 128060.809, ""actual_offset_global_ms"": 128984.927, ""actual_duration_ms"": 924.118}]",,,,,0,0,1,0,1
007,007_T1_20260423_180555,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,5,17,formal,congruent,1776938755,60.0,2026-04-23T18:08:07.629,0,0,0,1,129010.691,129023.998,congruent,left,left,<<<<<,s,s,1,864.328,130004.685,none,,129110.691,129140.357,130004.685,3000,864.328,130004.685,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 129010.691, ""actual_onset_global_ms"": 129023.998, ""actual_offset_global_ms"": 129140.582, ""actual_duration_ms"": 116.584}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 129110.691, ""actual_onset_global_ms"": 129140.357, ""actual_offset_global_ms"": 130004.685, ""actual_duration_ms"": 864.328}]",,,,,0,0,1,0,1
007,007_T1_20260423_180555,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,6,18,formal,congruent,1776938755,60.0,2026-04-23T18:08:08.640,0,0,0,1,130021.621,130034.485,congruent,left,left,<<<<<,s,s,1,809.245,130959.561,none,,130121.621,130150.316,130959.561,3000,809.245,130959.561,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 130021.621, ""actual_onset_global_ms"": 130034.485, ""actual_offset_global_ms"": 130149.211, ""actual_duration_ms"": 114.726}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 130121.621, ""actual_onset_global_ms"": 130150.316, ""actual_offset_global_ms"": 130959.561, ""actual_duration_ms"": 809.245}]",,,,,0,0,1,0,1
007,007_T1_20260423_180555,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,7,19,formal,incongruent,1776938755,60.0,2026-04-23T18:08:09.595,0,0,0,1,130977.047,130992.135,incongruent,left,right,>><>>,s,s,1,707.19,131811.652,none,,131077.04700000002,131104.462,131811.652,3000,707.19,131811.652,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 130977.047, ""actual_onset_global_ms"": 130992.135, ""actual_offset_global_ms"": 131105.96, ""actual_duration_ms"": 113.825}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 131077.04700000002, ""actual_onset_global_ms"": 131104.462, ""actual_offset_global_ms"": 131811.652, ""actual_duration_ms"": 707.19}]",,,,,0,0,1,0,1
007,007_T1_20260423_180555,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,8,20,formal,incongruent,1776938755,60.0,2026-04-23T18:08:10.442,0,0,0,1,131823.559,131836.756,incongruent,right,left,<<><<,j,j,1,639.045,132591.09,none,,131923.559,131952.045,132591.09,3000,639.045,132591.09,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 131823.559, ""actual_onset_global_ms"": 131836.756, ""actual_offset_global_ms"": 131952.031, ""actual_duration_ms"": 115.275}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 131923.559, ""actual_onset_global_ms"": 131952.045, ""actual_offset_global_ms"": 132591.09, ""actual_duration_ms"": 639.045}]",,,,,0,0,1,0,1
007,007_T1_20260423_180555,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,9,21,formal,incongruent,1776938755,60.0,2026-04-23T18:08:11.218,0,0,0,1,132599.233,132613.388,incongruent,right,left,<<><<,j,j,1,696.694,133426.108,none,,132699.233,132729.414,133426.108,3000,696.694,133426.108,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 132599.233, ""actual_onset_global_ms"": 132613.388, ""actual_offset_global_ms"": 132729.6, ""actual_duration_ms"": 116.212}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 132699.233, ""actual_onset_global_ms"": 132729.414, ""actual_offset_global_ms"": 133426.108, ""actual_duration_ms"": 696.694}]",,,,,0,0,1,0,1
007,007_T1_20260423_180555,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,10,22,formal,congruent,1776938755,60.0,2026-04-23T18:08:12.056,0,0,0,1,133438.017,133451.843,congruent,right,right,>>>>>,j,j,1,673.228,134227.205,none,,133538.017,133553.977,134227.205,3000,673.228,134227.205,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 133438.017, ""actual_onset_global_ms"": 133451.843, ""actual_offset_global_ms"": 133554.957, ""actual_duration_ms"": 103.114}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 133538.017, ""actual_onset_global_ms"": 133553.977, ""actual_offset_global_ms"": 134227.205, ""actual_duration_ms"": 673.228}]",,,,,0,0,1,0,1
