participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms
007,007_T1_20260423_180555,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,1,1,practice,practice_single,1776938755,60.0,2026-04-23T18:07:28.644,0,0,0,1,90025.277,90055.747,practice_single,left,none,<,s,s,1,1449.016,91596.242,correct,,90125.277,90147.226,91596.242,3000,1449.016,92196.242,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 90025.277, ""actual_onset_global_ms"": 90055.747, ""actual_offset_global_ms"": 90147.539, ""actual_duration_ms"": 91.792}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 90125.277, ""actual_onset_global_ms"": 90147.226, ""actual_offset_global_ms"": 91596.242, ""actual_duration_ms"": 1449.016}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 91596.242, ""actual_onset_global_ms"": 91634.173, ""actual_offset_global_ms"": 92237.823, ""actual_duration_ms"": 603.65}]",correct.wav,91617.429,600.0,92217.429
007,007_T1_20260423_180555,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,2,2,practice,practice_single,1776938755,60.0,2026-04-23T18:07:30.842,0,0,0,1,92224.167,92235.633,practice_single,left,none,<,s,s,1,1274.069,93620.213,correct,,92324.167,92346.144,93620.213,3000,1274.069,94220.213,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 92224.167, ""actual_onset_global_ms"": 92235.633, ""actual_offset_global_ms"": 92350.521, ""actual_duration_ms"": 114.888}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 92324.167, ""actual_onset_global_ms"": 92346.144, ""actual_offset_global_ms"": 93620.213, ""actual_duration_ms"": 1274.069}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 93620.213, ""actual_onset_global_ms"": 93646.776, ""actual_offset_global_ms"": 94251.847, ""actual_duration_ms"": 605.071}]",correct.wav,93633.779,600.0,94233.779
007,007_T1_20260423_180555,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,3,3,practice,practice_single,1776938755,60.0,2026-04-23T18:07:32.858,0,0,0,1,94238.885,94253.338,practice_single,right,none,>,j,j,1,593.797,94946.397,correct,,94338.885,94352.6,94946.397,3000,593.797,95546.397,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 94238.885, ""actual_onset_global_ms"": 94253.338, ""actual_offset_global_ms"": 94355.75, ""actual_duration_ms"": 102.412}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 94338.885, ""actual_onset_global_ms"": 94352.6, ""actual_offset_global_ms"": 94946.397, ""actual_duration_ms"": 593.797}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 94946.397, ""actual_onset_global_ms"": 94964.52, ""actual_offset_global_ms"": 95578.267, ""actual_duration_ms"": 613.747}]",correct.wav,94950.705,600.0,95550.705
007,007_T1_20260423_180555,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,4,4,practice,practice_single,1776938755,60.0,2026-04-23T18:07:34.183,0,0,0,1,95564.452,95576.144,practice_single,left,none,<,s,s,1,535.825,96213.611,correct,,95664.452,95677.786,96213.611,3000,535.825,96813.611,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 95564.452, ""actual_onset_global_ms"": 95576.144, ""actual_offset_global_ms"": 95682.888, ""actual_duration_ms"": 106.744}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 95664.452, ""actual_onset_global_ms"": 95677.786, ""actual_offset_global_ms"": 96213.611, ""actual_duration_ms"": 535.825}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 96213.611, ""actual_onset_global_ms"": 96228.039, ""actual_offset_global_ms"": 96834.81, ""actual_duration_ms"": 606.771}]",correct.wav,96217.276,600.0,96817.276
007,007_T1_20260423_180555,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,5,5,practice,practice_single,1776938755,60.0,2026-04-23T18:07:35.441,0,0,0,1,96822.148,96835.805,practice_single,right,none,>,j,j,1,651.292,97595.678,correct,,96922.148,96944.386,97595.678,3000,651.292,98195.678,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 96822.148, ""actual_onset_global_ms"": 96835.805, ""actual_offset_global_ms"": 96948.18, ""actual_duration_ms"": 112.375}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 96922.148, ""actual_onset_global_ms"": 96944.386, ""actual_offset_global_ms"": 97595.678, ""actual_duration_ms"": 651.292}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 97595.678, ""actual_onset_global_ms"": 97616.023, ""actual_offset_global_ms"": 98225.366, ""actual_duration_ms"": 609.343}]",correct.wav,97604.443,600.0,98204.443
007,007_T1_20260423_180555,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,6,6,practice,practice_single,1776938755,60.0,2026-04-23T18:07:36.832,0,0,0,1,98213.98,98224.901,practice_single,right,none,>,j,j,1,641.511,98978.39,correct,,98313.98,98336.879,98978.39,3000,641.511,99578.39,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 98213.98, ""actual_onset_global_ms"": 98224.901, ""actual_offset_global_ms"": 98341.042, ""actual_duration_ms"": 116.141}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 98313.98, ""actual_onset_global_ms"": 98336.879, ""actual_offset_global_ms"": 98978.39, ""actual_duration_ms"": 641.511}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 98978.39, ""actual_onset_global_ms"": 99005.478, ""actual_offset_global_ms"": 99612.143, ""actual_duration_ms"": 606.665}]",correct.wav,98994.456,600.0,99594.456
007,007_T1_20260423_180555,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,1,7,practice,incongruent,1776938755,60.0,2026-04-23T18:07:48.972,0,0,0,1,110353.412,110368.442,incongruent,left,right,>><>>,s,s,1,1249.749,111720.37,correct,1.0,110453.412,110470.621,111720.37,3000,1249.749,112320.37,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 110353.412, ""actual_onset_global_ms"": 110368.442, ""actual_offset_global_ms"": 110470.823, ""actual_duration_ms"": 102.381}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 110453.412, ""actual_onset_global_ms"": 110470.621, ""actual_offset_global_ms"": 111720.37, ""actual_duration_ms"": 1249.749}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 111720.37, ""actual_onset_global_ms"": 111749.504, ""actual_offset_global_ms"": 112359.079, ""actual_duration_ms"": 609.575}]",correct.wav,111735.582,600.0,112335.582
007,007_T1_20260423_180555,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,2,8,practice,incongruent,1776938755,60.0,2026-04-23T18:07:50.965,0,0,0,1,112346.111,112358.585,incongruent,right,left,<<><<,j,j,1,665.473,113130.488,correct,1.0,112446.111,112465.015,113130.488,3000,665.473,113730.488,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 112346.111, ""actual_onset_global_ms"": 112358.585, ""actual_offset_global_ms"": 112467.386, ""actual_duration_ms"": 108.801}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 112446.111, ""actual_onset_global_ms"": 112465.015, ""actual_offset_global_ms"": 113130.488, ""actual_duration_ms"": 665.473}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 113130.488, ""actual_onset_global_ms"": 113150.269, ""actual_offset_global_ms"": 113768.406, ""actual_duration_ms"": 618.137}]",correct.wav,113139.381,600.0,113739.381
007,007_T1_20260423_180555,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,3,9,practice,incongruent,1776938755,60.0,2026-04-23T18:07:52.373,0,0,0,1,113754.886,113766.253,incongruent,right,left,<<><<,j,j,1,652.788,114532.197,correct,1.0,113854.886,113879.409,114532.197,3000,652.788,115132.197,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 113754.886, ""actual_onset_global_ms"": 113766.253, ""actual_offset_global_ms"": 113881.557, ""actual_duration_ms"": 115.304}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 113854.886, ""actual_onset_global_ms"": 113879.409, ""actual_offset_global_ms"": 114532.197, ""actual_duration_ms"": 652.788}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 114532.197, ""actual_onset_global_ms"": 114561.751, ""actual_offset_global_ms"": 115169.966, ""actual_duration_ms"": 608.215}]",correct.wav,114547.477,600.0,115147.477
007,007_T1_20260423_180555,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,4,10,practice,congruent,1776938755,60.0,2026-04-23T18:07:53.776,0,0,0,1,115157.106,115170.406,congruent,left,left,<<<<<,s,s,1,756.221,116040.308,correct,1.0,115257.106,115284.087,116040.308,3000,756.221,116640.308,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 115157.106, ""actual_onset_global_ms"": 115170.406, ""actual_offset_global_ms"": 115284.271, ""actual_duration_ms"": 113.865}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 115257.106, ""actual_onset_global_ms"": 115284.087, ""actual_offset_global_ms"": 116040.308, ""actual_duration_ms"": 756.221}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 116040.308, ""actual_onset_global_ms"": 116056.412, ""actual_offset_global_ms"": 116667.666, ""actual_duration_ms"": 611.254}]",correct.wav,116045.405,600.0,116645.405
