global_time_ms,event_type,task_name,block_name,trial_index_global,participant_id,group,timepoint,practice_layer,telemetry_version,block_type,event_value,prompt_level,support_level,support_rule,support_trigger_reason,rule_block_error_count,support_phase,support_faded_after_trial,error_type,message
3185.986,task_start,flanker,,,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,flanker_task_start
25376.792,timing_drift,flanker,practice_single,1,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-45.875 ms
70468.573,timing_drift,flanker,practice_full,7,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-10.846 ms
260594.487,task_end,flanker,formal_block_2,52,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,flanker_finished
261581.413,task_start,dccs,,,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,dccs_task_start
265556.119,timing_drift,dccs,pre_switch_practice,1,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-77.433 ms
282307.469,timing_drift,dccs,pre_switch_practice,3,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-10.451 ms
302818.783,timing_drift,dccs,post_switch_practice,8,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-11.872 ms
425235.71,task_end,dccs,mixed_formal,42,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,dccs_finished
426928.095,task_start,digit_span,,,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,digit_span_task_start
428865.156,timing_drift,digit_span,practice_digitspan,1,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.181 ms
430915.635,timing_drift,digit_span,practice_digitspan,1,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,wait drift=-26.368 ms
438600.321,timing_drift,digit_span,practice_digitspan,2,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.181 ms
465851.055,timing_drift,digit_span,practice_digitspan,3,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.181 ms
472130.881,timing_drift,digit_span,practice_digitspan,4,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.181 ms
477457.35,timing_drift,digit_span,practice_digitspan,5,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.181 ms
483331.608,timing_drift,digit_span,practice_digitspan,6,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.181 ms
496551.778,timing_drift,digit_span,formal_span_2,7,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.181 ms
504229.839,timing_drift,digit_span,formal_span_2,8,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.181 ms
514846.667,timing_drift,digit_span,formal_span_3,9,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.181 ms
517874.204,timing_drift,digit_span,formal_span_3,9,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,wait drift=-12.461 ms
522357.302,timing_drift,digit_span,formal_span_3,10,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.181 ms
531984.841,timing_drift,digit_span,formal_span_4,11,0007,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.181 ms
