participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,trial_transition,previous_rule,current_rule,cue_to_first_response_ms,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,repeated_audio_once_in_practice,termination_reason,terminal_span_length,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,layout_generation_attempts,overlap_check_passed
0007,0007_T1_20260520_150515,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,1,1,practice,practice_single,1779260715,146.642,2026-05-20T15:05:45.134,0,0,0,1,25258.016,25329.316,practice_single,left,none,<,s,s,1,5853.53,31256.629,correct,,25358.016,25403.099,31256.629,3000,5853.53,31856.629,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 25258.016, ""actual_onset_global_ms"": 25329.316, ""actual_offset_global_ms"": 25383.441, ""actual_duration_ms"": 54.125}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 25358.016, ""actual_onset_global_ms"": 25403.099, ""actual_offset_global_ms"": 31256.629, ""actual_duration_ms"": 5853.53}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 31256.629, ""actual_onset_global_ms"": 31340.078, ""actual_offset_global_ms"": 31932.289, ""actual_duration_ms"": 592.211}]",correct.wav,31314.375,600.0,31914.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0007,0007_T1_20260520_150515,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,2,2,practice,practice_single,1779260715,146.642,2026-05-20T15:05:51.807,0,0,0,1,31930.664,31944.937,practice_single,left,none,<,s,s,1,9016.12,41078.5,correct,,32030.664,32062.38,41078.5,3000,9016.12,41678.5,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 31930.664, ""actual_onset_global_ms"": 31944.937, ""actual_offset_global_ms"": 32052.157, ""actual_duration_ms"": 107.22}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 32030.664, ""actual_onset_global_ms"": 32062.38, ""actual_offset_global_ms"": 41078.5, ""actual_duration_ms"": 9016.12}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 41078.5, ""actual_onset_global_ms"": 41097.938, ""actual_offset_global_ms"": 41691.162, ""actual_duration_ms"": 593.224}]",correct.wav,41083.277,600.0,41683.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0007,0007_T1_20260520_150515,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,3,3,practice,practice_single,1779260715,146.642,2026-05-20T15:06:01.564,0,0,0,1,41688.387,41706.319,practice_single,right,none,>,j,j,1,10961.281,52773.651,correct,,41788.387,41812.37,52773.651,3000,10961.281,53373.651,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 41688.387, ""actual_onset_global_ms"": 41706.319, ""actual_offset_global_ms"": 41803.734, ""actual_duration_ms"": 97.415}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 41788.387, ""actual_onset_global_ms"": 41812.37, ""actual_offset_global_ms"": 52773.651, ""actual_duration_ms"": 10961.281}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 52773.651, ""actual_onset_global_ms"": 52791.315, ""actual_offset_global_ms"": 53384.438, ""actual_duration_ms"": 593.123}]",correct.wav,52775.504,600.0,53375.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0007,0007_T1_20260520_150515,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,4,4,practice,practice_single,1779260715,146.642,2026-05-20T15:06:13.256,0,0,0,1,53380.966,53395.684,practice_single,left,none,<,s,s,1,3230.976,56740.81,correct,,53480.966,53509.834,56740.81,3000,3230.976,57340.81,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 53380.966, ""actual_onset_global_ms"": 53395.684, ""actual_offset_global_ms"": 53497.593, ""actual_duration_ms"": 101.909}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 53480.966, ""actual_onset_global_ms"": 53509.834, ""actual_offset_global_ms"": 56740.81, ""actual_duration_ms"": 3230.976}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 56740.81, ""actual_onset_global_ms"": 56758.647, ""actual_offset_global_ms"": 57357.441, ""actual_duration_ms"": 598.794}]",correct.wav,56741.613,600.0,57341.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0007,0007_T1_20260520_150515,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,5,5,practice,practice_single,1779260715,146.642,2026-05-20T15:06:17.231,0,0,0,1,57355.43,57371.476,practice_single,right,none,>,j,j,1,4984.414,62468.565,correct,,57455.43,57484.151,62468.565,3000,4984.414,63068.565,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 57355.43, ""actual_onset_global_ms"": 57371.476, ""actual_offset_global_ms"": 57473.734, ""actual_duration_ms"": 102.258}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 57455.43, ""actual_onset_global_ms"": 57484.151, ""actual_offset_global_ms"": 62468.565, ""actual_duration_ms"": 4984.414}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 62468.565, ""actual_onset_global_ms"": 62497.35, ""actual_offset_global_ms"": 63090.403, ""actual_duration_ms"": 593.053}]",correct.wav,62482.319,600.0,63082.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0007,0007_T1_20260520_150515,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,6,6,practice,practice_single,1779260715,146.642,2026-05-20T15:06:22.964,0,0,0,1,63088.036,63102.723,practice_single,right,none,>,j,j,1,1162.242,64378.522,correct,,63188.036,63216.28,64378.522,3000,1162.242,64978.522,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 63088.036, ""actual_onset_global_ms"": 63102.723, ""actual_offset_global_ms"": 63206.416, ""actual_duration_ms"": 103.693}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 63188.036, ""actual_onset_global_ms"": 63216.28, ""actual_offset_global_ms"": 64378.522, ""actual_duration_ms"": 1162.242}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 64378.522, ""actual_onset_global_ms"": 64397.557, ""actual_offset_global_ms"": 64997.628, ""actual_duration_ms"": 600.071}]",correct.wav,64380.804,600.0,64980.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0007,0007_T1_20260520_150515,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,1,7,practice,congruent,1779260715,146.642,2026-05-20T15:06:30.241,0,0,0,1,70365.473,70386.137,congruent,left,left,<<<<<,s,s,1,5614.898,76105.301,correct,1.0,70465.473,70490.403,76105.301,3000,5614.898,76705.301,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 70365.473, ""actual_onset_global_ms"": 70386.137, ""actual_offset_global_ms"": 70475.291, ""actual_duration_ms"": 89.154}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 70465.473, ""actual_onset_global_ms"": 70490.403, ""actual_offset_global_ms"": 76105.301, ""actual_duration_ms"": 5614.898}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 76105.301, ""actual_onset_global_ms"": 76140.775, ""actual_offset_global_ms"": 76742.866, ""actual_duration_ms"": 602.091}]",correct.wav,76125.714,600.0,76725.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0007,0007_T1_20260520_150515,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,2,8,practice,congruent,1779260715,146.642,2026-05-20T15:06:36.616,0,0,0,1,76740.668,76756.467,congruent,right,right,>>>>>,j,j,1,3253.995,80122.513,correct,1.0,76840.668,76868.518,80122.513,3000,3253.995,80722.513,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 76740.668, ""actual_onset_global_ms"": 76756.467, ""actual_offset_global_ms"": 76856.406, ""actual_duration_ms"": 99.939}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 76840.668, ""actual_onset_global_ms"": 76868.518, ""actual_offset_global_ms"": 80122.513, ""actual_duration_ms"": 3253.995}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 80122.513, ""actual_onset_global_ms"": 80147.607, ""actual_offset_global_ms"": 80744.45, ""actual_duration_ms"": 596.843}]",correct.wav,80130.81,600.0,80730.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0007,0007_T1_20260520_150515,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,3,9,practice,incongruent,1779260715,146.642,2026-05-20T15:06:40.617,0,0,0,1,80742.02,80756.395,incongruent,left,right,>><>>,s,s,1,5717.152,86584.432,correct,1.0,80842.02,80867.28,86584.432,3000,5717.152,87184.432,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 80742.02, ""actual_onset_global_ms"": 80756.395, ""actual_offset_global_ms"": 80855.379, ""actual_duration_ms"": 98.984}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 80842.02, ""actual_onset_global_ms"": 80867.28, ""actual_offset_global_ms"": 86584.432, ""actual_duration_ms"": 5717.152}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 86584.432, ""actual_onset_global_ms"": 86606.221, ""actual_offset_global_ms"": 87197.437, ""actual_duration_ms"": 591.216}]",correct.wav,86588.648,600.0,87188.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0007,0007_T1_20260520_150515,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,4,10,practice,incongruent,1779260715,146.642,2026-05-20T15:06:47.076,0,0,0,1,87199.618,87215.344,incongruent,right,left,<<><<,j,j,1,6113.949,93440.778,correct,1.0,87299.618,87326.829,93440.778,3000,6113.949,94040.778,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 87199.618, ""actual_onset_global_ms"": 87215.344, ""actual_offset_global_ms"": 87315.457, ""actual_duration_ms"": 100.113}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 87299.618, ""actual_onset_global_ms"": 87326.829, ""actual_offset_global_ms"": 93440.778, ""actual_duration_ms"": 6113.949}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 93440.778, ""actual_onset_global_ms"": 93472.694, ""actual_offset_global_ms"": 94077.178, ""actual_duration_ms"": 604.484}]",correct.wav,93457.521,600.0,94057.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
