global_time_ms,event_type,task_name,block_name,trial_index_global,participant_id,group,timepoint,practice_layer,telemetry_version,block_type,event_value,prompt_level,support_level,support_rule,support_trigger_reason,rule_block_error_count,support_phase,support_faded_after_trial,error_type,message
3325.689,task_start,flanker,,,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_task_start
18280.144,timing_drift,flanker,practice_single,1,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-14.664 ms
26965.262,timing_drift,flanker,practice_single,1,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-19.860 ms
55479.27,timing_drift,flanker,practice_single,6,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-9.730 ms
90865.737,timing_drift,flanker,practice_full,11,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-9.761 ms
146986.996,timing_drift,flanker,formal_block_1,25,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-10.124 ms
188579.156,timing_drift,flanker,formal_block_2,38,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-13.186 ms
229785.665,task_end,flanker,formal_block_2,52,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_finished
231364.247,task_start,dccs,,,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,dccs_task_start
236891.011,timing_drift,dccs,pre_switch_practice,1,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-77.777 ms
248254.378,timing_drift,dccs,pre_switch_practice,3,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-13.022 ms
276196.133,timing_drift,dccs,post_switch_practice,8,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-12.091 ms
279705.496,timing_drift,dccs,post_switch_practice,9,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-14.792 ms
298581.063,timing_drift,dccs,mixed_formal,13,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-11.208 ms
336127.921,timing_drift,dccs,mixed_formal,22,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-11.238 ms
372324.541,timing_drift,dccs,mixed_formal,32,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-12.222 ms
379553.815,timing_drift,dccs,mixed_formal,35,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-11.373 ms
402146.911,task_end,dccs,mixed_formal,42,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,dccs_finished
404605.949,task_start,digit_span,,,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,digit_span_task_start
409351.103,timing_drift,digit_span,practice_digitspan,1,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-93.568 ms
419839.16,timing_drift,digit_span,practice_digitspan,2,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-93.568 ms
427820.978,timing_drift,digit_span,practice_digitspan,3,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-93.568 ms
436201.882,timing_drift,digit_span,practice_digitspan,4,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-93.568 ms
446127.025,timing_drift,digit_span,practice_digitspan,5,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-93.568 ms
453013.595,timing_drift,digit_span,practice_digitspan,6,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-93.568 ms
469458.833,timing_drift,digit_span,formal_span_2,7,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-93.568 ms
476229.295,timing_drift,digit_span,formal_span_2,8,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-93.568 ms
484313.459,timing_drift,digit_span,formal_span_3,9,0008,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-93.568 ms
