participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,trial_transition,previous_rule,current_rule,cue_to_first_response_ms,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,repeated_audio_once_in_practice,termination_reason,terminal_span_length,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,layout_generation_attempts,overlap_check_passed
0008,0008_T1_20260518_153106,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,1,1,practice,practice_single,1779089466,155.48,2026-05-18T15:31:28.626,0,0,0,1,18160.865,18201.001,practice_single,right,none,>,j,j,1,8016.192,26320.336,correct,,18260.865,18304.144,26320.336,3000,8016.192,26920.336,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 18160.865, ""actual_onset_global_ms"": 18201.001, ""actual_offset_global_ms"": 18286.337, ""actual_duration_ms"": 85.336}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 18260.865, ""actual_onset_global_ms"": 18304.144, ""actual_offset_global_ms"": 26320.336, ""actual_duration_ms"": 8016.192}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 26320.336, ""actual_onset_global_ms"": 26391.371, ""actual_offset_global_ms"": 26971.511, ""actual_duration_ms"": 580.14}]",correct.wav,26351.741,600.0,26951.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008,0008_T1_20260518_153106,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,2,2,practice,practice_single,1779089466,155.48,2026-05-18T15:31:37.437,0,0,0,1,26971.855,26986.505,practice_single,right,none,>,j,j,1,9600.749,36698.326,correct,,27071.855,27097.577,36698.326,3000,9600.749,37298.326,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 26971.855, ""actual_onset_global_ms"": 26986.505, ""actual_offset_global_ms"": 27087.098, ""actual_duration_ms"": 100.593}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 27071.855, ""actual_onset_global_ms"": 27097.577, ""actual_offset_global_ms"": 36698.326, ""actual_duration_ms"": 9600.749}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 36698.326, ""actual_onset_global_ms"": 36725.75, ""actual_offset_global_ms"": 37324.175, ""actual_duration_ms"": 598.425}]",correct.wav,36710.136,600.0,37310.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008,0008_T1_20260518_153106,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,3,3,practice,practice_single,1779089466,155.48,2026-05-18T15:31:47.787,0,0,0,1,37321.852,37342.432,practice_single,left,none,<,s,s,1,6029.114,43482.438,correct,,37421.852,37453.324,43482.438,3000,6029.114,44082.438,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 37321.852, ""actual_onset_global_ms"": 37342.432, ""actual_offset_global_ms"": 37442.7, ""actual_duration_ms"": 100.268}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 37421.852, ""actual_onset_global_ms"": 37453.324, ""actual_offset_global_ms"": 43482.438, ""actual_duration_ms"": 6029.114}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 43482.438, ""actual_onset_global_ms"": 43502.315, ""actual_offset_global_ms"": 44093.933, ""actual_duration_ms"": 591.618}]",correct.wav,43485.917,600.0,44085.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008,0008_T1_20260518_153106,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,4,4,practice,practice_single,1779089466,155.48,2026-05-18T15:31:54.556,0,0,0,1,44091.626,44106.638,practice_single,left,none,<,s,s,1,1804.054,46022.143,correct,,44191.626,44218.089,46022.143,3000,1804.054,46622.143,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 44091.626, ""actual_onset_global_ms"": 44106.638, ""actual_offset_global_ms"": 44207.716, ""actual_duration_ms"": 101.078}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 44191.626, ""actual_onset_global_ms"": 44218.089, ""actual_offset_global_ms"": 46022.143, ""actual_duration_ms"": 1804.054}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 46022.143, ""actual_onset_global_ms"": 46050.192, ""actual_offset_global_ms"": 46646.828, ""actual_duration_ms"": 596.636}]",correct.wav,46034.415,600.0,46634.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008,0008_T1_20260518_153106,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,5,5,practice,practice_single,1779089466,155.48,2026-05-18T15:31:57.110,0,0,0,1,46645.154,46665.95,practice_single,right,none,>,j,j,1,7977.337,54753.312,correct,,46745.154,46775.975,54753.312,3000,7977.337,55353.312,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 46645.154, ""actual_onset_global_ms"": 46665.95, ""actual_offset_global_ms"": 46763.71, ""actual_duration_ms"": 97.76}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 46745.154, ""actual_onset_global_ms"": 46775.975, ""actual_offset_global_ms"": 54753.312, ""actual_duration_ms"": 7977.337}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 54753.312, ""actual_onset_global_ms"": 54775.283, ""actual_offset_global_ms"": 55381.763, ""actual_duration_ms"": 606.48}]",correct.wav,54759.729,600.0,55359.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008,0008_T1_20260518_153106,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,6,6,practice,practice_single,1779089466,155.48,2026-05-18T15:32:05.844,0,0,0,1,55379.113,55395.275,practice_single,left,none,<,s,s,1,1502.951,57021.099,correct,,55479.113,55518.148,57021.099,3000,1502.951,57621.099,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 55379.113, ""actual_onset_global_ms"": 55395.275, ""actual_offset_global_ms"": 55485.545, ""actual_duration_ms"": 90.27}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 55479.113, ""actual_onset_global_ms"": 55518.148, ""actual_offset_global_ms"": 57021.099, ""actual_duration_ms"": 1502.951}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 57021.099, ""actual_onset_global_ms"": 57039.279, ""actual_offset_global_ms"": 57635.543, ""actual_duration_ms"": 596.264}]",correct.wav,57022.822,600.0,57622.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008,0008_T1_20260518_153106,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,1,7,practice,incongruent,1779089466,155.48,2026-05-18T15:32:09.924,0,0,0,1,59460.424,59480.816,incongruent,right,left,<<><<,j,j,1,5973.544,65559.828,correct,1.0,59560.424,59586.284,65559.828,3000,5973.544,66159.828,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 59460.424, ""actual_onset_global_ms"": 59480.816, ""actual_offset_global_ms"": 59573.171, ""actual_duration_ms"": 92.355}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 59560.424, ""actual_onset_global_ms"": 59586.284, ""actual_offset_global_ms"": 65559.828, ""actual_duration_ms"": 5973.544}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 65559.828, ""actual_onset_global_ms"": 65593.394, ""actual_offset_global_ms"": 66192.959, ""actual_duration_ms"": 599.565}]",correct.wav,65577.225,600.0,66177.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008,0008_T1_20260518_153106,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,2,8,practice,congruent,1779089466,155.48,2026-05-18T15:32:16.655,0,0,0,1,66190.572,66210.211,congruent,left,left,<<<<<,s,s,1,3605.867,69919.444,correct,1.0,66290.572,66313.577,69919.444,3000,3605.867,70519.444,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 66190.572, ""actual_onset_global_ms"": 66210.211, ""actual_offset_global_ms"": 66300.886, ""actual_duration_ms"": 90.675}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 66290.572, ""actual_onset_global_ms"": 66313.577, ""actual_offset_global_ms"": 69919.444, ""actual_duration_ms"": 3605.867}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 69919.444, ""actual_onset_global_ms"": 69949.619, ""actual_offset_global_ms"": 70543.123, ""actual_duration_ms"": 593.504}]",correct.wav,69933.572,600.0,70533.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008,0008_T1_20260518_153106,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,3,9,practice,incongruent,1779089466,155.48,2026-05-18T15:32:21.006,0,0,0,1,70541.197,70556.417,incongruent,left,right,>><>>,s,j,0,2971.456,73643.325,incorrect,1.0,70641.197,70671.869,73643.325,3000,2971.456,74243.325,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 70541.197, ""actual_onset_global_ms"": 70556.417, ""actual_offset_global_ms"": 70658.726, ""actual_duration_ms"": 102.309}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 70641.197, ""actual_onset_global_ms"": 70671.869, ""actual_offset_global_ms"": 73643.325, ""actual_duration_ms"": 2971.456}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 73643.325, ""actual_onset_global_ms"": 73672.885, ""actual_offset_global_ms"": 74273.629, ""actual_duration_ms"": 600.744}]",incorrect.wav,73652.958,600.0,74252.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008,0008_T1_20260518_153106,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,4,10,practice,congruent,1779089466,155.48,2026-05-18T15:32:24.761,0,0,0,1,74296.229,74316.8,congruent,left,left,<<<<<,s,s,1,11600.366,86030.504,correct,1.0,74396.229,74430.138,86030.504,3000,11600.366,86630.504,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 74296.229, ""actual_onset_global_ms"": 74316.8, ""actual_offset_global_ms"": 74418.275, ""actual_duration_ms"": 101.475}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 74396.229, ""actual_onset_global_ms"": 74430.138, ""actual_offset_global_ms"": 86030.504, ""actual_duration_ms"": 11600.366}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 86030.504, ""actual_onset_global_ms"": 86051.446, ""actual_offset_global_ms"": 86646.843, ""actual_duration_ms"": 595.397}]",correct.wav,86036.38,600.0,86636.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
