participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data
0008,0008_T1_20260520_152501,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,1,37,formal,incongruent,1779261901,60.0,2026-05-20T15:27:46.163,0,0,0,3,161564.982,161582.716,incongruent,right,left,<<><<,j,j,1,3677.981,165371.578,none,,161664.982,161693.597,165371.578,3000,3677.981,165371.578,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 161564.982, ""actual_onset_global_ms"": 161582.716, ""actual_offset_global_ms"": 161692.683, ""actual_duration_ms"": 109.967}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 161664.982, ""actual_onset_global_ms"": 161693.597, ""actual_offset_global_ms"": 165371.578, ""actual_duration_ms"": 3677.981}]",,,,,0,1,0,0,1
0008,0008_T1_20260520_152501,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,2,38,formal,incongruent,1779261901,60.0,2026-05-20T15:27:49.986,0,0,0,3,165388.147,165403.138,incongruent,left,right,>><>>,s,s,1,1350.161,166872.66,none,,165488.147,165522.499,166872.66,3000,1350.161,166872.66,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 165388.147, ""actual_onset_global_ms"": 165403.138, ""actual_offset_global_ms"": 165518.877, ""actual_duration_ms"": 115.739}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 165488.147, ""actual_onset_global_ms"": 165522.499, ""actual_offset_global_ms"": 166872.66, ""actual_duration_ms"": 1350.161}]",,,,,0,0,1,0,1
0008,0008_T1_20260520_152501,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,3,39,formal,congruent,1779261901,60.0,2026-05-20T15:27:51.487,0,0,0,3,166889.388,166905.05,congruent,right,right,>>>>>,j,j,1,892.063,167913.848,none,,166989.388,167021.785,167913.848,3000,892.063,167913.848,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 166889.388, ""actual_onset_global_ms"": 166905.05, ""actual_offset_global_ms"": 167017.998, ""actual_duration_ms"": 112.948}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 166989.388, ""actual_onset_global_ms"": 167021.785, ""actual_offset_global_ms"": 167913.848, ""actual_duration_ms"": 892.063}]",,,,,0,0,1,0,1
0008,0008_T1_20260520_152501,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,4,40,formal,congruent,1779261901,60.0,2026-05-20T15:27:52.520,0,0,0,3,167922.216,167937.244,congruent,right,right,>>>>>,j,j,1,1548.328,169599.623,none,,168022.216,168051.295,169599.623,3000,1548.328,169599.623,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 167922.216, ""actual_onset_global_ms"": 167937.244, ""actual_offset_global_ms"": 168049.061, ""actual_duration_ms"": 111.817}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 168022.216, ""actual_onset_global_ms"": 168051.295, ""actual_offset_global_ms"": 169599.623, ""actual_duration_ms"": 1548.328}]",,,,,0,0,1,0,1
0008,0008_T1_20260520_152501,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,5,41,formal,incongruent,1779261901,60.0,2026-05-20T15:27:54.212,0,0,0,3,169614.052,169630.065,incongruent,right,left,<<><<,j,j,1,1007.559,170754.936,none,,169714.052,169747.377,170754.936,3000,1007.559,170754.936,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 169614.052, ""actual_onset_global_ms"": 169630.065, ""actual_offset_global_ms"": 169745.166, ""actual_duration_ms"": 115.101}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 169714.052, ""actual_onset_global_ms"": 169747.377, ""actual_offset_global_ms"": 170754.936, ""actual_duration_ms"": 1007.559}]",,,,,0,0,1,0,1
0008,0008_T1_20260520_152501,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,6,42,formal,congruent,1779261901,60.0,2026-05-20T15:27:55.366,0,0,0,3,170768.301,170783.813,congruent,left,left,<<<<<,s,s,1,1076.209,171980.516,none,,170868.301,170904.307,171980.516,3000,1076.209,171980.516,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 170768.301, ""actual_onset_global_ms"": 170783.813, ""actual_offset_global_ms"": 170900.283, ""actual_duration_ms"": 116.47}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 170868.301, ""actual_onset_global_ms"": 170904.307, ""actual_offset_global_ms"": 171980.516, ""actual_duration_ms"": 1076.209}]",,,,,0,0,1,0,1
0008,0008_T1_20260520_152501,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,7,43,formal,incongruent,1779261901,60.0,2026-05-20T15:27:56.596,0,0,0,3,171998.625,172013.299,incongruent,left,right,>><>>,s,s,1,904.642,173031.985,none,,172098.625,172127.343,173031.985,3000,904.642,173031.985,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 171998.625, ""actual_onset_global_ms"": 172013.299, ""actual_offset_global_ms"": 172125.808, ""actual_duration_ms"": 112.509}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 172098.625, ""actual_onset_global_ms"": 172127.343, ""actual_offset_global_ms"": 173031.985, ""actual_duration_ms"": 904.642}]",,,,,0,0,1,0,1
0008,0008_T1_20260520_152501,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,8,44,formal,congruent,1779261901,60.0,2026-05-20T15:27:57.639,0,0,0,3,173041.304,173057.28,congruent,right,right,>>>>>,j,j,1,961.631,174132.341,none,,173141.304,173170.71,174132.341,3000,961.631,174132.341,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 173041.304, ""actual_onset_global_ms"": 173057.28, ""actual_offset_global_ms"": 173169.934, ""actual_duration_ms"": 112.654}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 173141.304, ""actual_onset_global_ms"": 173170.71, ""actual_offset_global_ms"": 174132.341, ""actual_duration_ms"": 961.631}]",,,,,0,0,1,0,1
0008,0008_T1_20260520_152501,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,9,45,formal,incongruent,1779261901,60.0,2026-05-20T15:27:58.751,0,0,0,3,174153.094,174168.217,incongruent,right,left,<<><<,j,j,1,850.091,175132.491,none,,174253.094,174282.4,175132.491,3000,850.091,175132.491,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 174153.094, ""actual_onset_global_ms"": 174168.217, ""actual_offset_global_ms"": 174280.058, ""actual_duration_ms"": 111.841}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 174253.094, ""actual_onset_global_ms"": 174282.4, ""actual_offset_global_ms"": 175132.491, ""actual_duration_ms"": 850.091}]",,,,,0,0,1,0,1
0008,0008_T1_20260520_152501,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,10,46,formal,congruent,1779261901,60.0,2026-05-20T15:27:59.749,0,0,0,3,175150.968,175165.48,congruent,left,left,<<<<<,s,s,1,888.21,176170.942,none,,175250.968,175282.732,176170.942,3000,888.21,176170.942,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 175150.968, ""actual_onset_global_ms"": 175165.48, ""actual_offset_global_ms"": 175279.447, ""actual_duration_ms"": 113.967}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 175250.968, ""actual_onset_global_ms"": 175282.732, ""actual_offset_global_ms"": 176170.942, ""actual_duration_ms"": 888.21}]",,,,,0,0,1,0,1
