participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data
0009,0009_T1_20260518_155637,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,1,13,formal,incongruent,1779090997,160.064,2026-05-18T15:58:14.752,0,0,0,1,93620.204,93639.497,incongruent,right,left,<<><<,j,j,1,4739.729,98481.924,none,,93720.204,93742.195,98481.924,3000,4739.729,98481.924,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 93620.204, ""actual_onset_global_ms"": 93639.497, ""actual_offset_global_ms"": 93726.667, ""actual_duration_ms"": 87.17}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 93720.204, ""actual_onset_global_ms"": 93742.195, ""actual_offset_global_ms"": 98481.924, ""actual_duration_ms"": 4739.729}]",,,,,0,1,0,0,1
0009,0009_T1_20260518_155637,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,2,14,formal,congruent,1779090997,160.064,2026-05-18T15:58:19.637,0,0,0,1,98504.382,98519.304,congruent,right,right,>>>>>,j,j,1,627.353,99262.627,none,,98604.382,98635.274,99262.627,3000,627.353,99262.627,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 98504.382, ""actual_onset_global_ms"": 98519.304, ""actual_offset_global_ms"": 98621.585, ""actual_duration_ms"": 102.281}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 98604.382, ""actual_onset_global_ms"": 98635.274, ""actual_offset_global_ms"": 99262.627, ""actual_duration_ms"": 627.353}]",,,,,0,0,1,0,1
0009,0009_T1_20260518_155637,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,3,15,formal,incongruent,1779090997,160.064,2026-05-18T15:58:20.412,0,0,0,1,99279.756,99295.724,incongruent,right,left,<<><<,j,j,1,3038.206,102445.373,none,,99379.756,99407.167,102445.373,3000,3038.206,102445.373,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 99279.756, ""actual_onset_global_ms"": 99295.724, ""actual_offset_global_ms"": 99394.879, ""actual_duration_ms"": 99.155}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 99379.756, ""actual_onset_global_ms"": 99407.167, ""actual_offset_global_ms"": 102445.373, ""actual_duration_ms"": 3038.206}]",,,,,0,1,0,0,1
0009,0009_T1_20260518_155637,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,4,16,formal,incongruent,1779090997,160.064,2026-05-18T15:58:23.599,0,0,0,1,102466.16,102480.6,incongruent,left,right,>><>>,s,s,1,3170.204,105764.584,none,,102566.16,102594.38,105764.584,3000,3170.204,105764.584,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 102466.16, ""actual_onset_global_ms"": 102480.6, ""actual_offset_global_ms"": 102581.322, ""actual_duration_ms"": 100.722}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 102566.16, ""actual_onset_global_ms"": 102594.38, ""actual_offset_global_ms"": 105764.584, ""actual_duration_ms"": 3170.204}]",,,,,0,1,0,0,1
0009,0009_T1_20260518_155637,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,5,17,formal,congruent,1779090997,160.064,2026-05-18T15:58:26.916,0,0,0,1,105782.642,105798.025,congruent,left,left,<<<<<,s,s,1,1029.863,106945.922,none,,105882.642,105916.059,106945.922,3000,1029.863,106945.922,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 105782.642, ""actual_onset_global_ms"": 105798.025, ""actual_offset_global_ms"": 105903.451, ""actual_duration_ms"": 105.426}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 105882.642, ""actual_onset_global_ms"": 105916.059, ""actual_offset_global_ms"": 106945.922, ""actual_duration_ms"": 1029.863}]",,,,,0,0,1,0,1
0009,0009_T1_20260518_155637,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,6,18,formal,congruent,1779090997,160.064,2026-05-18T15:58:28.097,0,0,0,1,106964.395,106979.346,congruent,right,right,>>>>>,j,j,1,4328.271,111427.648,none,,107064.395,107099.377,111427.648,3000,4328.271,111427.648,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 106964.395, ""actual_onset_global_ms"": 106979.346, ""actual_offset_global_ms"": 107086.388, ""actual_duration_ms"": 107.042}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 107064.395, ""actual_onset_global_ms"": 107099.377, ""actual_offset_global_ms"": 111427.648, ""actual_duration_ms"": 4328.271}]",,,,,0,1,0,0,1
0009,0009_T1_20260518_155637,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,7,19,formal,congruent,1779090997,160.064,2026-05-18T15:58:32.581,0,0,0,1,111447.961,111466.857,congruent,left,left,<<<<<,s,s,1,767.112,112345.048,none,,111547.961,111577.936,112345.048,3000,767.112,112345.048,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 111447.961, ""actual_onset_global_ms"": 111466.857, ""actual_offset_global_ms"": 111565.488, ""actual_duration_ms"": 98.631}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 111547.961, ""actual_onset_global_ms"": 111577.936, ""actual_offset_global_ms"": 112345.048, ""actual_duration_ms"": 767.112}]",,,,,0,0,1,0,1
0009,0009_T1_20260518_155637,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,8,20,formal,incongruent,1779090997,160.064,2026-05-18T15:58:33.484,0,0,0,1,112350.54,112367.309,incongruent,left,right,>><>>,s,s,1,1043.5,113528.989,none,,112450.54,112485.489,113528.989,3000,1043.5,113528.989,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 112350.54, ""actual_onset_global_ms"": 112367.309, ""actual_offset_global_ms"": 112472.677, ""actual_duration_ms"": 105.368}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 112450.54, ""actual_onset_global_ms"": 112485.489, ""actual_offset_global_ms"": 113528.989, ""actual_duration_ms"": 1043.5}]",,,,,0,0,1,0,1
0009,0009_T1_20260518_155637,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,9,21,formal,congruent,1779090997,160.064,2026-05-18T15:58:34.685,0,0,0,1,113551.865,113566.639,congruent,right,right,>>>>>,j,j,1,727.893,114406.827,none,,113651.865,113678.934,114406.827,3000,727.893,114406.827,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 113551.865, ""actual_onset_global_ms"": 113566.639, ""actual_offset_global_ms"": 113666.092, ""actual_duration_ms"": 99.453}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 113651.865, ""actual_onset_global_ms"": 113678.934, ""actual_offset_global_ms"": 114406.827, ""actual_duration_ms"": 727.893}]",,,,,0,0,1,0,1
0009,0009_T1_20260518_155637,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,10,22,formal,incongruent,1779090997,160.064,2026-05-18T15:58:35.549,0,0,0,1,114416.466,114431.863,incongruent,left,right,>><>>,s,s,1,606.886,115149.081,none,,114516.466,114542.195,115149.081,3000,606.886,115149.081,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 114416.466, ""actual_onset_global_ms"": 114431.863, ""actual_offset_global_ms"": 114530.031, ""actual_duration_ms"": 98.168}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 114516.466, ""actual_onset_global_ms"": 114542.195, ""actual_offset_global_ms"": 115149.081, ""actual_duration_ms"": 606.886}]",,,,,0,0,1,0,1
