participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,correct_response_key,accuracy,response_correct,rt_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,layout_generation_attempts,overlap_check_passed,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,practice_pass_flag
0009,0009_T1_20260518_155637,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,1,1,practice,N1_same,1779090997,160.064,2026-05-18T16:05:41.496,0,0,0,1,540363.074,540384.77,1,same,0,"[197.62, -166.18]","[[197.62, -166.18]]","[""red""]","[""red""]",red,red,s,same,s,1,1,17486.503,correct,correct.wav,561551.905,150.0,562051.905,1,1,543963.074,544024.823,561551.608,4000,17526.785,561701.608,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 540363.074, ""actual_onset_global_ms"": 540384.77, ""actual_offset_global_ms"": 540477.074, ""actual_duration_ms"": 92.304}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 540463.074, ""actual_onset_global_ms"": 540499.239, ""actual_offset_global_ms"": 542988.655, ""actual_duration_ms"": 2489.416}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 542988.655, ""actual_onset_global_ms"": 542994.307, ""actual_offset_global_ms"": 543994.267, ""actual_duration_ms"": 999.96}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 543994.267, ""actual_onset_global_ms"": 544024.823, ""actual_offset_global_ms"": 561551.608, ""actual_duration_ms"": 17526.785}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 561551.608, ""actual_onset_global_ms"": 561577.823, ""actual_offset_global_ms"": 561710.722, ""actual_duration_ms"": 132.899}]",1.0
0009,0009_T1_20260518_155637,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,2,2,practice,N2_change,1779090997,160.064,2026-05-18T16:06:02.842,0,0,0,1,561710.016,561727.494,2,change,0,"[200.0, -155.5]","[[200.0, -155.5], [-127.78, -178.75]]","[""green"", ""red""]","[""purple"", ""red""]",green,purple,j,change,j,1,1,9722.647,correct,correct.wav,575131.358,150.0,575631.358,2,1,565310.016,565379.119,575131.129,4000,9752.01,575281.129,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 561710.016, ""actual_onset_global_ms"": 561727.494, ""actual_offset_global_ms"": 561824.305, ""actual_duration_ms"": 96.811}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 561810.016, ""actual_onset_global_ms"": 561862.05, ""actual_offset_global_ms"": 564339.0, ""actual_duration_ms"": 2476.95}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 564339.0, ""actual_onset_global_ms"": 564344.84, ""actual_offset_global_ms"": 565341.629, ""actual_duration_ms"": 996.789}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 565341.629, ""actual_onset_global_ms"": 565379.119, ""actual_offset_global_ms"": 575131.129, ""actual_duration_ms"": 9752.01}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 575131.129, ""actual_onset_global_ms"": 575149.499, ""actual_offset_global_ms"": 575301.153, ""actual_duration_ms"": 151.654}]",1.0
0009,0009_T1_20260518_155637,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,3,3,practice,N1_change,1779090997,160.064,2026-05-18T16:06:16.432,0,0,0,1,575299.038,575313.219,1,change,0,"[253.98, -240.22]","[[253.98, -240.22]]","[""red""]","[""purple""]",red,purple,j,change,j,1,1,4794.16,correct,correct.wav,583775.65,150.0,584275.65,1,1,578899.038,578965.066,583774.554,4000,4809.488,583924.554,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 575299.038, ""actual_onset_global_ms"": 575313.219, ""actual_offset_global_ms"": 575409.064, ""actual_duration_ms"": 95.845}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 575399.038, ""actual_onset_global_ms"": 575432.736, ""actual_offset_global_ms"": 577937.017, ""actual_duration_ms"": 2504.281}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 577937.017, ""actual_onset_global_ms"": 577940.307, ""actual_offset_global_ms"": 578940.33, ""actual_duration_ms"": 1000.023}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 578940.33, ""actual_onset_global_ms"": 578965.066, ""actual_offset_global_ms"": 583774.554, ""actual_duration_ms"": 4809.488}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 583774.554, ""actual_onset_global_ms"": 583793.011, ""actual_offset_global_ms"": 583947.644, ""actual_duration_ms"": 154.633}]",1.0
0009,0009_T1_20260518_155637,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,4,4,practice,N1_change,1779090997,160.064,2026-05-18T16:06:25.079,0,0,0,1,583946.014,583962.418,1,change,0,"[-167.06, 103.82]","[[-167.06, 103.82]]","[""blue""]","[""red""]",blue,red,j,change,j,1,1,2831.656,correct,correct.wav,590467.283,150.0,590967.283,1,1,587546.014,587604.034,590466.983,4000,2862.949,590616.983,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 583946.014, ""actual_onset_global_ms"": 583962.418, ""actual_offset_global_ms"": 584065.129, ""actual_duration_ms"": 102.711}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 584046.014, ""actual_onset_global_ms"": 584090.726, ""actual_offset_global_ms"": 586570.522, ""actual_duration_ms"": 2479.796}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 586570.522, ""actual_onset_global_ms"": 586575.81, ""actual_offset_global_ms"": 587579.907, ""actual_duration_ms"": 1004.097}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 587579.907, ""actual_onset_global_ms"": 587604.034, ""actual_offset_global_ms"": 590466.983, ""actual_duration_ms"": 2862.949}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 590466.983, ""actual_onset_global_ms"": 590483.523, ""actual_offset_global_ms"": 590631.826, ""actual_duration_ms"": 148.303}]",1.0
0009,0009_T1_20260518_155637,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,5,5,practice,N1_same,1779090997,160.064,2026-05-18T16:06:31.764,0,0,0,1,590630.738,590646.492,1,same,0,"[-245.21, -245.88]","[[-245.21, -245.88]]","[""red""]","[""red""]",red,red,s,same,s,1,1,2591.457,correct,correct.wav,596906.76,150.0,597406.76,1,1,594230.738,594281.692,596906.427,4000,2624.735,597056.427,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 590630.738, ""actual_onset_global_ms"": 590646.492, ""actual_offset_global_ms"": 590741.633, ""actual_duration_ms"": 95.141}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 590730.738, ""actual_onset_global_ms"": 590765.538, ""actual_offset_global_ms"": 593246.536, ""actual_duration_ms"": 2480.998}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 593246.536, ""actual_onset_global_ms"": 593251.532, ""actual_offset_global_ms"": 594257.557, ""actual_duration_ms"": 1006.025}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 594257.557, ""actual_onset_global_ms"": 594281.692, ""actual_offset_global_ms"": 596906.427, ""actual_duration_ms"": 2624.735}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 596906.427, ""actual_onset_global_ms"": 596922.721, ""actual_offset_global_ms"": 597070.322, ""actual_duration_ms"": 147.601}]",1.0
0009,0009_T1_20260518_155637,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,6,6,practice,N2_same,1779090997,160.064,2026-05-18T16:06:38.201,0,0,0,1,597068.777,597082.884,2,same,0,"[43.35, 254.35]","[[43.35, 254.35], [-226.44, -83.07]]","[""green"", ""yellow""]","[""green"", ""yellow""]",green,green,s,same,s,1,1,4389.615,correct,correct.wav,605184.59,150.0,605684.59,2,1,600668.777,600762.163,605184.21,4000,4422.047,605334.21,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 597068.777, ""actual_onset_global_ms"": 597082.884, ""actual_offset_global_ms"": 597180.399, ""actual_duration_ms"": 97.515}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 597168.777, ""actual_onset_global_ms"": 597218.777, ""actual_offset_global_ms"": 599723.692, ""actual_duration_ms"": 2504.915}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 599723.692, ""actual_onset_global_ms"": 599726.742, ""actual_offset_global_ms"": 600724.653, ""actual_duration_ms"": 997.911}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 600724.653, ""actual_onset_global_ms"": 600762.163, ""actual_offset_global_ms"": 605184.21, ""actual_duration_ms"": 4422.047}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 605184.21, ""actual_onset_global_ms"": 605201.793, ""actual_offset_global_ms"": 605348.975, ""actual_duration_ms"": 147.182}]",1.0
0009,0009_T1_20260518_155637,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,7,7,practice,N2_change,1779090997,160.064,2026-05-18T16:06:46.479,0,0,0,1,605346.395,605363.321,2,change,1,"[32.43, 184.55]","[[232.43, 154.22], [32.43, 184.55]]","[""red"", ""yellow""]","[""red"", ""purple""]",yellow,purple,j,change,j,1,1,3233.556,correct,correct.wav,612290.364,150.0,612790.364,4,1,608946.395,609015.197,612290.093,4000,3274.896,612440.093,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 605346.395, ""actual_onset_global_ms"": 605363.321, ""actual_offset_global_ms"": 605457.475, ""actual_duration_ms"": 94.154}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 605446.395, ""actual_onset_global_ms"": 605494.186, ""actual_offset_global_ms"": 607964.528, ""actual_duration_ms"": 2470.342}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 607964.528, ""actual_onset_global_ms"": 607970.273, ""actual_offset_global_ms"": 608976.594, ""actual_duration_ms"": 1006.321}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 608976.594, ""actual_onset_global_ms"": 609015.197, ""actual_offset_global_ms"": 612290.093, ""actual_duration_ms"": 3274.896}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 612290.093, ""actual_onset_global_ms"": 612307.238, ""actual_offset_global_ms"": 612458.745, ""actual_duration_ms"": 151.507}]",1.0
0009,0009_T1_20260518_155637,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,8,8,practice,N2_same,1779090997,160.064,2026-05-18T16:06:53.590,0,0,0,1,612457.155,612471.23,2,same,0,"[-109.42, 93.75]","[[-109.42, 93.75], [33.56, 212.65]]","[""purple"", ""green""]","[""purple"", ""green""]",purple,purple,s,same,s,1,1,7281.384,correct,correct.wav,623442.613,150.0,623942.613,2,1,616057.155,616125.518,623442.256,4000,7316.738,623592.256,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 612457.155, ""actual_onset_global_ms"": 612471.23, ""actual_offset_global_ms"": 612567.966, ""actual_duration_ms"": 96.736}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 612557.155, ""actual_onset_global_ms"": 612605.895, ""actual_offset_global_ms"": 615076.727, ""actual_duration_ms"": 2470.832}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 615076.727, ""actual_onset_global_ms"": 615082.648, ""actual_offset_global_ms"": 616080.675, ""actual_duration_ms"": 998.027}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 616080.675, ""actual_onset_global_ms"": 616125.518, ""actual_offset_global_ms"": 623442.256, ""actual_duration_ms"": 7316.738}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 623442.256, ""actual_onset_global_ms"": 623459.265, ""actual_offset_global_ms"": 623599.575, ""actual_duration_ms"": 140.31}]",1.0
0009,0009_T1_20260518_155637,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,1,9,formal,N1_same,1779090997,160.064,2026-05-18T16:07:07.867,0,0,0,1,626733.981,626751.177,1,same,0,"[-202.27, 250.44]","[[-202.27, 250.44]]","[""blue""]","[""blue""]",blue,blue,s,same,s,1,1,5648.145,,,,,,1,1,630333.981,630408.69,636085.711,4000,5677.021,636085.711,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 626733.981, ""actual_onset_global_ms"": 626751.177, ""actual_offset_global_ms"": 626852.564, ""actual_duration_ms"": 101.387}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 626833.981, ""actual_onset_global_ms"": 626875.613, ""actual_offset_global_ms"": 629377.128, ""actual_duration_ms"": 2501.515}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 629377.128, ""actual_onset_global_ms"": 629380.691, ""actual_offset_global_ms"": 630383.625, ""actual_duration_ms"": 1002.934}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 630383.625, ""actual_onset_global_ms"": 630408.69, ""actual_offset_global_ms"": 636085.711, ""actual_duration_ms"": 5677.021}]",
0009,0009_T1_20260518_155637,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,2,10,formal,N4_change,1779090997,160.064,2026-05-18T16:07:17.223,0,0,0,1,636090.144,636104.937,4,change,0,"[194.67, 197.52]","[[194.67, 197.52], [-60.7, -188.23], [-77.51, -82.18], [-94.63, 104.86]]","[""purple"", ""blue"", ""yellow"", ""red""]","[""green"", ""blue"", ""yellow"", ""red""]",purple,green,j,change,j,1,1,2750.259,,,,,,4,1,639690.144,639813.555,642635.744,4000,2822.189,642635.744,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 636090.144, ""actual_onset_global_ms"": 636104.937, ""actual_offset_global_ms"": 636202.629, ""actual_duration_ms"": 97.692}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 636190.144, ""actual_onset_global_ms"": 636268.615, ""actual_offset_global_ms"": 638733.525, ""actual_duration_ms"": 2464.91}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 638733.525, ""actual_onset_global_ms"": 638740.119, ""actual_offset_global_ms"": 639744.941, ""actual_duration_ms"": 1004.822}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 639744.941, ""actual_onset_global_ms"": 639813.555, ""actual_offset_global_ms"": 642635.744, ""actual_duration_ms"": 2822.189}]",
