participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,intended_trial_start_ms,actual_trial_start_ms,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,response_correct,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,rt_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,repeated_audio_once_in_practice,stage_records_json,termination_reason,terminal_span_length
009,009_T1_20260425_154055,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,1,1,practice,span_2,1777102855,108.071,2026-04-25T15:49:56.861,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,537486.325,537613.699,2,1,1,"[6, 4]","[""4"", ""6""]","[""4"", ""6""]",46,onscreen_mouse,21159.969,23705.169,1,1,0,0,0,3,[1696.959],,"[537616.589, 538628.354]","[""digit_6.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 537616.589, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 538116.589}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 538628.354, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 539128.354}]",,537586.325,537616.589,563439.129,2000,25822.54,563439.129,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 537486.325, ""actual_onset_global_ms"": 537613.699, ""actual_offset_global_ms"": 537622.952, ""actual_duration_ms"": 9.253}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 537586.325, ""actual_onset_global_ms"": 537616.589, ""actual_offset_global_ms"": 539128.354, ""actual_duration_ms"": 1511.765}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 539128.354, ""actual_onset_global_ms"": 539201.601, ""actual_offset_global_ms"": 539688.391, ""actual_duration_ms"": 486.79}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 539688.391, ""actual_onset_global_ms"": 539733.74, ""actual_offset_global_ms"": 563439.129, ""actual_duration_ms"": 23705.389}]",,
009,009_T1_20260425_154055,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,2,2,practice,span_2,1777102855,108.071,2026-04-25T15:50:22.819,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,563444.544,563589.544,2,2,1,"[1, 5]","[""5"", ""1""]","[""5"", ""1""]",51,onscreen_mouse,22161.492,23068.233,1,1,0,0,0,3,[295.27],,"[563591.87, 564635.984]","[""digit_1.wav"", ""digit_5.wav""]","[{""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 563591.87, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 564091.87}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 564635.984, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 565135.984}]",,563544.544,563591.87,588784.333,2000,25192.463,588784.333,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 563444.544, ""actual_onset_global_ms"": 563589.544, ""actual_offset_global_ms"": 563598.797, ""actual_duration_ms"": 9.253}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 563544.544, ""actual_onset_global_ms"": 563591.87, ""actual_offset_global_ms"": 565135.984, ""actual_duration_ms"": 1544.114}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 565135.984, ""actual_onset_global_ms"": 565203.949, ""actual_offset_global_ms"": 565703.592, ""actual_duration_ms"": 499.643}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 565703.592, ""actual_onset_global_ms"": 565715.831, ""actual_offset_global_ms"": 588784.333, ""actual_duration_ms"": 23068.502}]",,
009,009_T1_20260425_154055,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,3,3,practice,span_2,1777102855,108.071,2026-04-25T15:50:48.164,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,588788.719,588921.071,2,3,1,"[4, 3]","[""3"", ""4""]","[""3"", ""4""]",34,onscreen_mouse,3333.021,18308.688,1,1,0,0,0,3,[14424.848],,"[588924.043, 589982.615]","[""digit_4.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 588924.043, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 589424.043}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 589982.615, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 590482.615}]",,588888.719,588924.043,609369.787,2000,20445.744,609369.787,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 588788.719, ""actual_onset_global_ms"": 588921.071, ""actual_offset_global_ms"": 588930.324, ""actual_duration_ms"": 9.253}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 588888.719, ""actual_onset_global_ms"": 588924.043, ""actual_offset_global_ms"": 590482.615, ""actual_duration_ms"": 1558.572}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 590482.615, ""actual_onset_global_ms"": 590553.225, ""actual_offset_global_ms"": 591049.385, ""actual_duration_ms"": 496.16}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 591049.385, ""actual_onset_global_ms"": 591060.948, ""actual_offset_global_ms"": 609369.787, ""actual_duration_ms"": 18308.839}]",,
009,009_T1_20260425_154055,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,4,4,practice,span_2,1777102855,108.071,2026-04-25T15:51:08.750,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,609373.934,609514.013,2,4,1,"[7, 9]","[""9"", ""7""]","[""9"", ""7""]",97,onscreen_mouse,9824.186,10944.788,1,1,0,0,0,3,[535.85],,"[609516.931, 610523.108]","[""digit_7.wav"", ""digit_9.wav""]","[{""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 609516.931, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 610016.931}, {""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 610523.108, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 611023.108}]",,609473.934,609516.931,622534.812,2000,13017.881,622534.812,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 609373.934, ""actual_onset_global_ms"": 609514.013, ""actual_offset_global_ms"": 609523.266, ""actual_duration_ms"": 9.253}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 609473.934, ""actual_onset_global_ms"": 609516.931, ""actual_offset_global_ms"": 611023.108, ""actual_duration_ms"": 1506.177}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 611023.108, ""actual_onset_global_ms"": 611071.799, ""actual_offset_global_ms"": 611576.654, ""actual_duration_ms"": 504.855}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 611576.654, ""actual_onset_global_ms"": 611589.301, ""actual_offset_global_ms"": 622534.812, ""actual_duration_ms"": 10945.511}]",,
009,009_T1_20260425_154055,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,5,5,practice,span_2,1777102855,108.071,2026-04-25T15:51:21.914,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,622538.865,622676.667,2,5,1,"[4, 5]","[""5"", ""4""]","[""5"", ""4""]",54,onscreen_mouse,10636.36,11949.049,1,1,0,0,0,3,[666.197],,"[622678.917, 623722.777]","[""digit_4.wav"", ""digit_5.wav""]","[{""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 622678.917, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 623178.917}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 623722.777, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 624222.777}]",,622638.865,622678.917,636747.505,2000,14068.588,636747.505,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 622538.865, ""actual_onset_global_ms"": 622676.667, ""actual_offset_global_ms"": 622685.92, ""actual_duration_ms"": 9.253}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 622638.865, ""actual_onset_global_ms"": 622678.917, ""actual_offset_global_ms"": 624222.777, ""actual_duration_ms"": 1543.86}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 624222.777, ""actual_onset_global_ms"": 624283.033, ""actual_offset_global_ms"": 624785.02, ""actual_duration_ms"": 501.987}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 624785.02, ""actual_onset_global_ms"": 624798.316, ""actual_offset_global_ms"": 636747.505, ""actual_duration_ms"": 11949.189}]",,
009,009_T1_20260425_154055,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,6,6,practice,span_2,1777102855,108.071,2026-04-25T15:51:36.127,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,636751.758,636891.153,2,6,1,"[7, 2]","[""2"", ""7""]","[""2"", ""7""]",27,onscreen_mouse,4812.518,5998.535,1,1,0,0,0,3,[595.613],,"[636893.592, 637945.745]","[""digit_7.wav"", ""digit_2.wav""]","[{""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 636893.592, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 637393.592}, {""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 637945.745, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 638445.745}]",,636851.758,636893.592,645029.995,2000,8136.403,645029.995,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 636751.758, ""actual_onset_global_ms"": 636891.153, ""actual_offset_global_ms"": 636900.406, ""actual_duration_ms"": 9.253}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 636851.758, ""actual_onset_global_ms"": 636893.592, ""actual_offset_global_ms"": 638445.745, ""actual_duration_ms"": 1552.153}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 638445.745, ""actual_onset_global_ms"": 638516.152, ""actual_offset_global_ms"": 639016.955, ""actual_duration_ms"": 500.803}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 639016.955, ""actual_onset_global_ms"": 639031.32, ""actual_offset_global_ms"": 645029.995, ""actual_duration_ms"": 5998.675}]",,
009,009_T1_20260425_154055,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,1,7,formal,span_2,1777102855,108.071,2026-04-25T15:51:56.507,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,657132.109,657280.942,2,1,1,"[5, 7]","[""7"", ""5""]","[""7"", ""5""]",75,onscreen_mouse,8939.247,9892.302,1,1,0,0,0,3,[390.808],advance,"[657283.823, 658292.097]","[""digit_5.wav"", ""digit_7.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 657283.823, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 657783.823}, {""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 658292.097, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 658792.097}]",,657232.109,657283.823,669231.451,2000,11947.628,669231.451,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 657132.109, ""actual_onset_global_ms"": 657280.942, ""actual_offset_global_ms"": 657290.195, ""actual_duration_ms"": 9.253}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 657232.109, ""actual_onset_global_ms"": 657283.823, ""actual_offset_global_ms"": 658792.097, ""actual_duration_ms"": 1508.274}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 658792.097, ""actual_onset_global_ms"": 658819.631, ""actual_offset_global_ms"": 659326.264, ""actual_duration_ms"": 506.633}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 659326.264, ""actual_onset_global_ms"": 659338.968, ""actual_offset_global_ms"": 669231.451, ""actual_duration_ms"": 9892.483}]",two_failures_in_span,3.0
009,009_T1_20260425_154055,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,2,8,formal,span_2,1777102855,108.071,2026-04-25T15:52:08.612,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,669236.107,669378.896,2,2,1,"[9, 7]","[""7"", ""9""]","[""7"", ""9""]",79,onscreen_mouse,3526.412,4417.859,1,1,0,0,0,3,[497.264],advance,"[669381.075, 670430.518]","[""digit_9.wav"", ""digit_7.wav""]","[{""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 669381.075, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 669881.075}, {""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 670430.518, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 670930.518}]",,669336.107,669381.075,675935.921,2000,6554.846,675935.921,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 669236.107, ""actual_onset_global_ms"": 669378.896, ""actual_offset_global_ms"": 669388.149, ""actual_duration_ms"": 9.253}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 669336.107, ""actual_onset_global_ms"": 669381.075, ""actual_offset_global_ms"": 670930.518, ""actual_duration_ms"": 1549.443}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 670930.518, ""actual_onset_global_ms"": 671009.472, ""actual_offset_global_ms"": 671507.788, ""actual_duration_ms"": 498.316}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 671507.788, ""actual_onset_global_ms"": 671517.933, ""actual_offset_global_ms"": 675935.921, ""actual_duration_ms"": 4417.988}]",two_failures_in_span,3.0
009,009_T1_20260425_154055,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,1,9,formal,span_3,1777102855,108.071,2026-04-25T15:52:15.319,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,675944.139,676082.969,3,1,2,"[5, 4, 3]","[""3"", ""4"", ""5""]","[""4"", ""5""]",45,onscreen_mouse,6253.178,8015.061,0,0,0,0,0,3,[407.043],terminate,"[676085.901, 677160.088, 678155.577]","[""digit_5.wav"", ""digit_4.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 676085.901, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 676585.901}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 677160.088, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 677660.088}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 678155.577, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 678655.577}]",,676044.139,676085.901,687228.412,3000,11142.511,687228.412,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 675944.139, ""actual_onset_global_ms"": 676082.969, ""actual_offset_global_ms"": 676092.222, ""actual_duration_ms"": 9.253}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 676044.139, ""actual_onset_global_ms"": 676085.901, ""actual_offset_global_ms"": 678655.577, ""actual_duration_ms"": 2569.676}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 678655.577, ""actual_onset_global_ms"": 678690.193, ""actual_offset_global_ms"": 679198.8, ""actual_duration_ms"": 508.607}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 679198.8, ""actual_onset_global_ms"": 679213.203, ""actual_offset_global_ms"": 687228.412, ""actual_duration_ms"": 8015.209}]",two_failures_in_span,3.0
009,009_T1_20260425_154055,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,2,10,formal,span_3,1777102855,108.071,2026-04-25T15:52:26.608,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,687233.226,687373.196,3,2,2,"[8, 5, 6]","[""6"", ""5"", ""8""]","[""7"", ""5""]",75,onscreen_mouse,16902.987,19858.941,0,0,0,0,1,7,"[390.353, 305.298, 1251.042, 308.868]",terminate,"[687375.52, 688443.233, 689380.378]","[""digit_8.wav"", ""digit_5.wav"", ""digit_6.wav""]","[{""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 687375.52, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 687875.52}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 688443.233, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 688943.233}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 689380.378, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 689880.378}]",,687333.226,687375.52,710275.384,3000,22899.864,710275.384,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 687233.226, ""actual_onset_global_ms"": 687373.196, ""actual_offset_global_ms"": 687382.449, ""actual_duration_ms"": 9.253}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 687333.226, ""actual_onset_global_ms"": 687375.52, ""actual_offset_global_ms"": 689880.378, ""actual_duration_ms"": 2504.858}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 689880.378, ""actual_onset_global_ms"": 689914.155, ""actual_offset_global_ms"": 690399.859, ""actual_duration_ms"": 485.704}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 690399.859, ""actual_onset_global_ms"": 690416.313, ""actual_offset_global_ms"": 710275.384, ""actual_duration_ms"": 19859.071}]",two_failures_in_span,3.0
