global_time_ms,event_type,task_name,block_name,trial_index_global,participant_id,group,timepoint,practice_layer,telemetry_version,block_type,event_value,prompt_level,support_level,support_rule,support_trigger_reason,rule_block_error_count,support_phase,support_faded_after_trial,error_type,message
2519.077,task_start,flanker,,,010,PCPA,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_task_start
30248.146,timing_drift,flanker,practice_single,1,010,PCPA,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-17.089 ms
106054.215,task_end,flanker,formal_block_2,52,010,PCPA,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_finished
107650.085,task_start,dccs,,,010,PCPA,T1,adaptive,telemetry_v4,,,,,,,,,,,dccs_task_start
113477.452,timing_drift,dccs,pre_switch_practice,1,010,PCPA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-75.432 ms
210062.049,task_end,dccs,mixed_formal,42,010,PCPA,T1,adaptive,telemetry_v4,,,,,,,,,,,dccs_finished
213150.309,task_start,digit_span,,,010,PCPA,T1,adaptive,telemetry_v4,,,,,,,,,,,digit_span_task_start
228501.502,timing_drift,digit_span,practice_digitspan,1,010,PCPA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-91.877 ms
230547.831,timing_drift,digit_span,practice_digitspan,1,010,PCPA,T1,adaptive,telemetry_v4,,,,,,,,,,,wait drift=-15.425 ms
235347.046,timing_drift,digit_span,practice_digitspan,2,010,PCPA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-91.877 ms
240192.005,timing_drift,digit_span,practice_digitspan,3,010,PCPA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-91.877 ms
244535.217,timing_drift,digit_span,practice_digitspan,4,010,PCPA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-91.877 ms
248455.915,timing_drift,digit_span,practice_digitspan,5,010,PCPA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-91.877 ms
252258.96,timing_drift,digit_span,practice_digitspan,6,010,PCPA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-91.877 ms
281056.112,timing_drift,digit_span,formal_span_2,7,010,PCPA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-91.877 ms
283205.4,timing_drift,digit_span,formal_span_2,7,010,PCPA,T1,adaptive,telemetry_v4,,,,,,,,,,,wait drift=-12.564 ms
