global_time_ms,event_type,task_name,block_name,trial_index_global,participant_id,group,timepoint,practice_layer,telemetry_version,block_type,event_value,prompt_level,support_level,support_rule,support_trigger_reason,rule_block_error_count,support_phase,support_faded_after_trial,error_type,message
1167.234,task_start,flanker,,,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,flanker_task_start
27640.256,timing_drift,flanker,practice_single,1,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-32.213 ms
34152.85,timing_drift,flanker,practice_single,1,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,feedback drift=-20.120 ms
51662.916,timing_drift,flanker,practice_single,6,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,feedback drift=-9.911 ms
72487.747,timing_drift,flanker,practice_full,12,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,feedback drift=-9.990 ms
132543.232,task_end,flanker,formal_block_2,52,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,flanker_finished
134326.562,task_start,dccs,,,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,dccs_task_start
138256.263,timing_drift,dccs,pre_switch_practice,1,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-64.818 ms
146248.385,timing_drift,dccs,pre_switch_practice,3,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-13.432 ms
193466.524,timing_drift,dccs,mixed_formal,16,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-10.618 ms
200635.577,timing_drift,dccs,mixed_formal,18,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-9.971 ms
211507.166,timing_drift,dccs,mixed_formal,23,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-11.622 ms
218671.15,timing_drift,dccs,mixed_formal,25,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-10.398 ms
240357.069,timing_drift,dccs,mixed_formal,32,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-10.385 ms
280249.776,task_end,dccs,mixed_formal,42,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,dccs_finished
282851.679,task_start,digit_span,,,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,digit_span_task_start
305685.359,timing_drift,digit_span,practice_digitspan,1,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.393 ms
307708.465,timing_drift,digit_span,practice_digitspan,1,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,wait drift=-18.249 ms
317457.405,timing_drift,digit_span,practice_digitspan,2,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.393 ms
322877.425,timing_drift,digit_span,practice_digitspan,3,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.393 ms
324926.788,timing_drift,digit_span,practice_digitspan,3,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,wait drift=-12.141 ms
329100.474,timing_drift,digit_span,practice_digitspan,4,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.393 ms
334515.965,timing_drift,digit_span,practice_digitspan,5,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.393 ms
338909.784,timing_drift,digit_span,practice_digitspan,6,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.393 ms
384441.375,timing_drift,digit_span,formal_span_2,7,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.393 ms
389375.154,timing_drift,digit_span,formal_span_2,8,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.393 ms
394105.561,timing_drift,digit_span,formal_span_3,9,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.393 ms
401728.527,timing_drift,digit_span,formal_span_3,10,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.393 ms
412191.454,timing_drift,digit_span,formal_span_4,11,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.393 ms
438701.658,timing_drift,digit_span,formal_span_4,12,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.393 ms
442804.044,timing_drift,digit_span,formal_span_4,12,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,wait drift=-10.529 ms
467941.992,timing_drift,digit_span,formal_span_5,13,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.393 ms
473054.238,timing_drift,digit_span,formal_span_5,13,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,wait drift=-9.914 ms
507998.64,timing_drift,digit_span,formal_span_5,14,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.393 ms
550341.834,timing_drift,digit_span,formal_span_6,15,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.393 ms
563180.267,timing_drift,digit_span,formal_span_6,16,011,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-93.393 ms
