participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,intended_trial_start_ms,actual_trial_start_ms,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,trial_transition,previous_rule,current_rule,practice_pass_flag,cue_to_first_response_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json
011,011_T1_20260502_155726,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,1,1,practice,color,1777708646,151.361,2026-05-02T15:59:48.501,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,138148.175,138227.596,color,cue_color.wav,颜色,138276.755,500,138973.318,red,rabbit,red_rabbit,j,j,1,3180.753,142686.84,practice,,color,1.0,4410.236,correct,correct.wav,142702.199,150.0,143202.199,138748.175,139506.087,142686.84,3000,3180.753,142836.84,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 138148.175, ""actual_onset_global_ms"": 138227.596, ""actual_offset_global_ms"": 138262.778, ""actual_duration_ms"": 35.182}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 138248.175, ""actual_onset_global_ms"": 138276.604, ""actual_offset_global_ms"": 139497.695, ""actual_duration_ms"": 1221.091}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 138748.175, ""actual_onset_global_ms"": 139506.087, ""actual_offset_global_ms"": 142686.84, ""actual_duration_ms"": 3180.753}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 142686.84, ""actual_onset_global_ms"": 142720.423, ""actual_offset_global_ms"": 142861.992, ""actual_duration_ms"": 141.569}]"
011,011_T1_20260502_155726,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,2,2,practice,color,1777708646,151.361,2026-05-02T15:59:53.212,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,142859.562,142874.349,color,cue_color.wav,颜色,142982.291,500,143678.853,blue,boat,blue_boat,s,s,1,1751.151,145981.254,practice,,color,1.0,2999.129,correct,correct.wav,145987.365,150.0,146487.365,143459.562,144230.103,145981.254,3000,1751.151,146131.254,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 142859.562, ""actual_onset_global_ms"": 142874.349, ""actual_offset_global_ms"": 142972.676, ""actual_duration_ms"": 98.327}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 142959.562, ""actual_onset_global_ms"": 142982.125, ""actual_offset_global_ms"": 144221.358, ""actual_duration_ms"": 1239.233}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 143459.562, ""actual_onset_global_ms"": 144230.103, ""actual_offset_global_ms"": 145981.254, ""actual_duration_ms"": 1751.151}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 145981.254, ""actual_onset_global_ms"": 146003.615, ""actual_offset_global_ms"": 146148.517, ""actual_duration_ms"": 144.902}]"
011,011_T1_20260502_155726,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,3,3,practice,color,1777708646,151.361,2026-05-02T15:59:56.501,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,146148.209,146168.321,color,cue_color.wav,颜色,146267.552,500,146964.114,red,boat,red_boat,j,j,1,2885.001,150377.842,practice,,color,1.0,4110.545,correct,correct.wav,150383.092,150.0,150883.092,146748.209,147492.841,150377.842,3000,2885.001,150527.842,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 146148.209, ""actual_onset_global_ms"": 146168.321, ""actual_offset_global_ms"": 146254.889, ""actual_duration_ms"": 86.568}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 146248.209, ""actual_onset_global_ms"": 146267.297, ""actual_offset_global_ms"": 147482.68, ""actual_duration_ms"": 1215.383}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 146748.209, ""actual_onset_global_ms"": 147492.841, ""actual_offset_global_ms"": 150377.842, ""actual_duration_ms"": 2885.001}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 150377.842, ""actual_onset_global_ms"": 150399.186, ""actual_offset_global_ms"": 150542.982, ""actual_duration_ms"": 143.796}]"
011,011_T1_20260502_155726,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,4,4,practice,color,1777708646,151.361,2026-05-02T16:00:00.894,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,150540.66,150556.958,color,cue_color.wav,颜色,150668.39,500,151364.953,blue,rabbit,blue_rabbit,s,s,1,769.297,152689.958,practice,,color,1.0,2021.785,correct,correct.wav,152701.654,150.0,153201.654,151140.66,151920.661,152689.958,3000,769.297,152839.958,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 150540.66, ""actual_onset_global_ms"": 150556.958, ""actual_offset_global_ms"": 150658.335, ""actual_duration_ms"": 101.377}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 150640.66, ""actual_onset_global_ms"": 150668.173, ""actual_offset_global_ms"": 151911.888, ""actual_duration_ms"": 1243.715}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 151140.66, ""actual_onset_global_ms"": 151920.661, ""actual_offset_global_ms"": 152689.958, ""actual_duration_ms"": 769.297}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 152689.958, ""actual_onset_global_ms"": 152716.796, ""actual_offset_global_ms"": 152858.96, ""actual_duration_ms"": 142.164}]"
011,011_T1_20260502_155726,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,5,5,practice,color,1777708646,151.361,2026-05-02T16:00:03.209,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,152855.88,152873.464,color,cue_color.wav,颜色,152984.656,500,153681.218,red,boat,red_boat,j,j,1,324.313,154553.804,practice,,color,1.0,1569.405,correct,correct.wav,154569.587,150.0,155069.587,153455.88,154229.491,154553.804,3000,324.313,154703.804,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 152855.88, ""actual_onset_global_ms"": 152873.464, ""actual_offset_global_ms"": 152973.426, ""actual_duration_ms"": 99.962}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 152955.88, ""actual_onset_global_ms"": 152984.399, ""actual_offset_global_ms"": 154220.613, ""actual_duration_ms"": 1236.214}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 153455.88, ""actual_onset_global_ms"": 154229.491, ""actual_offset_global_ms"": 154553.804, ""actual_duration_ms"": 324.313}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 154553.804, ""actual_onset_global_ms"": 154586.276, ""actual_offset_global_ms"": 154729.806, ""actual_duration_ms"": 143.53}]"
011,011_T1_20260502_155726,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,6,6,practice,color,1777708646,151.361,2026-05-02T16:00:05.081,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,154728.007,154744.363,color,cue_color.wav,颜色,154848.944,500,155545.506,blue,rabbit,blue_rabbit,s,s,1,1117.041,157226.644,practice,,color,1.0,2377.865,correct,correct.wav,157236.711,150.0,157736.711,155328.007,156109.603,157226.644,3000,1117.041,157376.644,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 154728.007, ""actual_onset_global_ms"": 154744.363, ""actual_offset_global_ms"": 154837.688, ""actual_duration_ms"": 93.325}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 154828.007, ""actual_onset_global_ms"": 154848.779, ""actual_offset_global_ms"": 156100.018, ""actual_duration_ms"": 1251.239}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 155328.007, ""actual_onset_global_ms"": 156109.603, ""actual_offset_global_ms"": 157226.644, ""actual_duration_ms"": 1117.041}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 157226.644, ""actual_onset_global_ms"": 157253.614, ""actual_offset_global_ms"": 157397.384, ""actual_duration_ms"": 143.77}]"
011,011_T1_20260502_155726,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,1,7,practice,shape,1777708646,151.361,2026-05-02T16:00:10.453,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,160099.84,160120.085,shape,cue_shape.wav,形状,160226.417,500,160992.667,red,rabbit,red_rabbit,s,s,1,3372.807,164907.847,practice,,shape,1.0,4681.632,correct,correct.wav,164923.462,150.0,165423.462,160699.84,161535.04,164907.847,3000,3372.807,165057.847,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 160099.84, ""actual_onset_global_ms"": 160120.085, ""actual_offset_global_ms"": 160211.386, ""actual_duration_ms"": 91.301}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 160199.84, ""actual_onset_global_ms"": 160226.215, ""actual_offset_global_ms"": 161523.903, ""actual_duration_ms"": 1297.688}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 160699.84, ""actual_onset_global_ms"": 161535.04, ""actual_offset_global_ms"": 164907.847, ""actual_duration_ms"": 3372.807}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 164907.847, ""actual_onset_global_ms"": 164939.136, ""actual_offset_global_ms"": 165086.376, ""actual_duration_ms"": 147.24}]"
011,011_T1_20260502_155726,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,2,8,practice,shape,1777708646,151.361,2026-05-02T16:00:15.438,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,165084.744,165105.47,shape,cue_shape.wav,形状,165218.686,500,165984.936,blue,rabbit,blue_rabbit,s,s,1,957.133,167494.702,practice,,shape,1.0,2276.18,correct,correct.wav,167507.681,150.0,168007.681,165684.744,166537.569,167494.702,3000,957.133,167644.702,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 165084.744, ""actual_onset_global_ms"": 165105.47, ""actual_offset_global_ms"": 165207.896, ""actual_duration_ms"": 102.426}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 165184.744, ""actual_onset_global_ms"": 165218.522, ""actual_offset_global_ms"": 166528.029, ""actual_duration_ms"": 1309.507}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 165684.744, ""actual_onset_global_ms"": 166537.569, ""actual_offset_global_ms"": 167494.702, ""actual_duration_ms"": 957.133}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 167494.702, ""actual_onset_global_ms"": 167523.402, ""actual_offset_global_ms"": 167671.936, ""actual_duration_ms"": 148.534}]"
011,011_T1_20260502_155726,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,3,9,practice,shape,1777708646,151.361,2026-05-02T16:00:18.023,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,167670.109,167685.581,shape,cue_shape.wav,形状,167801.558,500,168567.808,blue,boat,blue_boat,j,j,1,488.673,169599.361,practice,,shape,1.0,1798.054,correct,correct.wav,169600.899,150.0,170100.899,168270.109,169110.688,169599.361,3000,488.673,169749.361,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 167670.109, ""actual_onset_global_ms"": 167685.581, ""actual_offset_global_ms"": 167790.561, ""actual_duration_ms"": 104.98}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 167770.109, ""actual_onset_global_ms"": 167801.307, ""actual_offset_global_ms"": 169101.91, ""actual_duration_ms"": 1300.603}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 168270.109, ""actual_onset_global_ms"": 169110.688, ""actual_offset_global_ms"": 169599.361, ""actual_duration_ms"": 488.673}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 169599.361, ""actual_onset_global_ms"": 169618.855, ""actual_offset_global_ms"": 169770.942, ""actual_duration_ms"": 152.087}]"
011,011_T1_20260502_155726,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,4,10,practice,shape,1777708646,151.361,2026-05-02T16:00:20.122,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,169768.913,169785.67,shape,cue_shape.wav,形状,169902.724,500,170668.974,red,boat,red_boat,j,j,1,1191.136,172394.851,practice,,shape,1.0,2492.314,correct,correct.wav,172396.376,150.0,172896.376,170368.913,171203.715,172394.851,3000,1191.136,172544.851,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 169768.913, ""actual_onset_global_ms"": 169785.67, ""actual_offset_global_ms"": 169891.34, ""actual_duration_ms"": 105.67}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 169868.913, ""actual_onset_global_ms"": 169902.537, ""actual_offset_global_ms"": 171194.558, ""actual_duration_ms"": 1292.021}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 170368.913, ""actual_onset_global_ms"": 171203.715, ""actual_offset_global_ms"": 172394.851, ""actual_duration_ms"": 1191.136}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 172394.851, ""actual_onset_global_ms"": 172413.724, ""actual_offset_global_ms"": 172563.11, ""actual_duration_ms"": 149.386}]"
