participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,intended_trial_start_ms,actual_trial_start_ms,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,response_correct,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,rt_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,repeated_audio_once_in_practice,stage_records_json,termination_reason,terminal_span_length
12,12_T1_20260502_152737,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,1,1,practice,span_2,1777706857,239.464,2026-05-02T15:33:23.029,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,343325.11,343421.219,2,1,1,"[3, 5]","[""5"", ""3""]","[""5"", ""3""]",53,onscreen_mouse,2878.259,4543.149,1,1,0,0,0,3,[784.821],,"[343507.471, 344547.37]","[""digit_3.wav"", ""digit_5.wav""]","[{""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 343507.471, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 344007.471}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 344547.37, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 345047.37}]",,343425.11,343507.471,350159.332,2000,6651.861,350159.332,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 343325.11, ""actual_onset_global_ms"": 343421.219, ""actual_offset_global_ms"": 343510.352, ""actual_duration_ms"": 89.133}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 343425.11, ""actual_onset_global_ms"": 343507.471, ""actual_offset_global_ms"": 345047.37, ""actual_duration_ms"": 1539.899}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 345047.37, ""actual_onset_global_ms"": 345092.042, ""actual_offset_global_ms"": 345581.318, ""actual_duration_ms"": 489.276}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 345581.318, ""actual_onset_global_ms"": 345616.094, ""actual_offset_global_ms"": 350159.332, ""actual_duration_ms"": 4543.238}]",,
12,12_T1_20260502_152737,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,2,2,practice,span_2,1777706857,239.464,2026-05-02T15:33:29.875,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,350170.582,350255.471,2,2,1,"[1, 3]","[""3"", ""1""]","[""3"", ""1""]",31,onscreen_mouse,1053.03,3022.748,1,1,0,0,0,3,[810.937],,"[350338.336, 351347.326]","[""digit_1.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 350338.336, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 350838.336}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 351347.326, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 351847.326}]",,350270.582,350338.336,355389.433,2000,5051.097,355389.433,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 350170.582, ""actual_onset_global_ms"": 350255.471, ""actual_offset_global_ms"": 350341.253, ""actual_duration_ms"": 85.782}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 350270.582, ""actual_onset_global_ms"": 350338.336, ""actual_offset_global_ms"": 351847.326, ""actual_duration_ms"": 1508.99}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 351847.326, ""actual_onset_global_ms"": 351863.427, ""actual_offset_global_ms"": 352363.196, ""actual_duration_ms"": 499.769}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 352363.196, ""actual_onset_global_ms"": 352366.597, ""actual_offset_global_ms"": 355389.433, ""actual_duration_ms"": 3022.836}]",,
12,12_T1_20260502_152737,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,3,3,practice,span_2,1777706857,239.464,2026-05-02T15:33:35.096,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,355391.536,355473.148,2,3,1,"[8, 1]","[""1"", ""8""]","[""1"", ""8""]",18,onscreen_mouse,1515.63,4855.222,1,1,0,0,1,5,"[1792.416, 836.83]",,"[355554.943, 356580.2]","[""digit_8.wav"", ""digit_1.wav""]","[{""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 355554.943, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 356054.943}, {""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 356580.2, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 357080.2}]",,355491.536,355554.943,362458.822,2000,6903.879,362458.822,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 355391.536, ""actual_onset_global_ms"": 355473.148, ""actual_offset_global_ms"": 355557.847, ""actual_duration_ms"": 84.699}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 355491.536, ""actual_onset_global_ms"": 355554.943, ""actual_offset_global_ms"": 357080.2, ""actual_duration_ms"": 1525.257}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 357080.2, ""actual_onset_global_ms"": 357103.984, ""actual_offset_global_ms"": 357599.716, ""actual_duration_ms"": 495.732}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 357599.716, ""actual_onset_global_ms"": 357603.507, ""actual_offset_global_ms"": 362458.822, ""actual_duration_ms"": 4855.315}]",,
12,12_T1_20260502_152737,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,4,4,practice,span_2,1777706857,239.464,2026-05-02T15:33:42.166,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,362461.116,362542.354,2,4,1,"[8, 5]","[""5"", ""8""]","[""5"", ""8""]",58,onscreen_mouse,1781.321,3231.022,1,1,0,0,0,3,[642.166],,"[362624.606, 363648.296]","[""digit_8.wav"", ""digit_5.wav""]","[{""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 362624.606, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 363124.606}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 363648.296, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 364148.296}]",,362561.116,362624.606,367910.416,2000,5285.81,367910.416,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 362461.116, ""actual_onset_global_ms"": 362542.354, ""actual_offset_global_ms"": 362627.342, ""actual_duration_ms"": 84.988}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 362561.116, ""actual_onset_global_ms"": 362624.606, ""actual_offset_global_ms"": 364148.296, ""actual_duration_ms"": 1523.69}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 364148.296, ""actual_onset_global_ms"": 364169.703, ""actual_offset_global_ms"": 364671.629, ""actual_duration_ms"": 501.926}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 364671.629, ""actual_onset_global_ms"": 364679.246, ""actual_offset_global_ms"": 367910.416, ""actual_duration_ms"": 3231.17}]",,
12,12_T1_20260502_152737,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,5,5,practice,span_2,1777706857,239.464,2026-05-02T15:33:47.616,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,367912.623,368035.788,2,5,1,"[5, 1]","[""1"", ""5""]","[""1"", ""5""]",15,onscreen_mouse,2431.046,5003.009,1,1,0,0,0,3,[1074.768],,"[368037.179, 369052.549]","[""digit_5.wav"", ""digit_1.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 368037.179, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 368537.179}, {""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 369052.549, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 369552.549}]",,368012.623,368037.179,375082.376,2000,7045.197,375082.376,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 367912.623, ""actual_onset_global_ms"": 368035.788, ""actual_offset_global_ms"": 368039.964, ""actual_duration_ms"": 4.176}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 368012.623, ""actual_onset_global_ms"": 368037.179, ""actual_offset_global_ms"": 369552.549, ""actual_duration_ms"": 1515.37}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 369552.549, ""actual_onset_global_ms"": 369571.337, ""actual_offset_global_ms"": 370071.426, ""actual_duration_ms"": 500.089}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 370071.426, ""actual_onset_global_ms"": 370079.272, ""actual_offset_global_ms"": 375082.376, ""actual_duration_ms"": 5003.104}]",,
12,12_T1_20260502_152737,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,6,6,practice,span_2,1777706857,239.464,2026-05-02T15:33:54.789,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,375084.927,375166.777,2,6,1,"[2, 8]","[""8"", ""2""]","[""8"", ""2""]",82,onscreen_mouse,1281.588,2853.46,1,1,0,0,0,3,[650.424],,"[375249.105, 376267.63]","[""digit_2.wav"", ""digit_8.wav""]","[{""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 375249.105, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 375749.105}, {""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 376267.63, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 376767.63}]",,375184.927,375249.105,380152.803,2000,4903.698,380152.803,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 375084.927, ""actual_onset_global_ms"": 375166.777, ""actual_offset_global_ms"": 375252.064, ""actual_duration_ms"": 85.287}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 375184.927, ""actual_onset_global_ms"": 375249.105, ""actual_offset_global_ms"": 376767.63, ""actual_duration_ms"": 1518.525}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 376767.63, ""actual_onset_global_ms"": 376791.341, ""actual_offset_global_ms"": 377291.675, ""actual_duration_ms"": 500.334}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 377291.675, ""actual_onset_global_ms"": 377299.254, ""actual_offset_global_ms"": 380152.803, ""actual_duration_ms"": 2853.549}]",,
12,12_T1_20260502_152737,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,1,7,formal,span_2,1777706857,239.464,2026-05-02T15:34:50.809,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,431104.252,431188.012,2,1,1,"[3, 6]","[""6"", ""3""]","[""6"", ""3""]",63,onscreen_mouse,1747.944,3435.611,1,1,0,0,0,3,[550.135],advance,"[431272.75, 432291.881]","[""digit_3.wav"", ""digit_6.wav""]","[{""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 431272.75, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 431772.75}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 432291.881, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 432791.881}]",,431204.252,431272.75,436779.714,2000,5506.964,436779.714,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 431104.252, ""actual_onset_global_ms"": 431188.012, ""actual_offset_global_ms"": 431275.414, ""actual_duration_ms"": 87.402}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 431204.252, ""actual_onset_global_ms"": 431272.75, ""actual_offset_global_ms"": 432791.881, ""actual_duration_ms"": 1519.131}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 432791.881, ""actual_onset_global_ms"": 432845.915, ""actual_offset_global_ms"": 433340.102, ""actual_duration_ms"": 494.187}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 433340.102, ""actual_onset_global_ms"": 433344.009, ""actual_offset_global_ms"": 436779.714, ""actual_duration_ms"": 3435.705}]",two_failures_in_span,6.0
12,12_T1_20260502_152737,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,2,8,formal,span_2,1777706857,239.464,2026-05-02T15:34:56.487,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,436782.03,436863.098,2,2,1,"[8, 6]","[""6"", ""8""]","[""6"", ""8""]",68,onscreen_mouse,992.644,2312.137,1,1,0,0,0,3,[582.216],advance,"[436946.877, 437960.972]","[""digit_8.wav"", ""digit_6.wav""]","[{""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 436946.877, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 437446.877}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 437960.972, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 438460.972}]",,436882.03,436946.877,441299.546,2000,4352.669,441299.546,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 436782.03, ""actual_onset_global_ms"": 436863.098, ""actual_offset_global_ms"": 436949.623, ""actual_duration_ms"": 86.525}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 436882.03, ""actual_onset_global_ms"": 436946.877, ""actual_offset_global_ms"": 438460.972, ""actual_duration_ms"": 1514.095}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 438460.972, ""actual_onset_global_ms"": 438480.98, ""actual_offset_global_ms"": 438983.675, ""actual_duration_ms"": 502.695}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 438983.675, ""actual_onset_global_ms"": 438987.291, ""actual_offset_global_ms"": 441299.546, ""actual_duration_ms"": 2312.255}]",two_failures_in_span,6.0
12,12_T1_20260502_152737,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,1,9,formal,span_3,1777706857,239.464,2026-05-02T15:35:01.008,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,441303.965,441386.245,3,1,2,"[3, 1, 9]","[""9"", ""1"", ""3""]","[""9"", ""1"", ""3""]",913,onscreen_mouse,2555.107,4993.787,1,1,0,0,0,4,"[759.24, 868.8]",advance,"[441469.305, 442487.174, 443507.791]","[""digit_3.wav"", ""digit_1.wav"", ""digit_9.wav""]","[{""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 441469.305, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 441969.305}, {""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 442487.174, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 442987.174}, {""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 443507.791, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 444007.791}]",,441403.965,441469.305,449530.874,3000,8061.569,449530.874,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 441303.965, ""actual_onset_global_ms"": 441386.245, ""actual_offset_global_ms"": 441472.257, ""actual_duration_ms"": 86.012}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 441403.965, ""actual_onset_global_ms"": 441469.305, ""actual_offset_global_ms"": 444007.791, ""actual_duration_ms"": 2538.486}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 444007.791, ""actual_onset_global_ms"": 444034.158, ""actual_offset_global_ms"": 444533.614, ""actual_duration_ms"": 499.456}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 444533.614, ""actual_onset_global_ms"": 444536.987, ""actual_offset_global_ms"": 449530.874, ""actual_duration_ms"": 4993.887}]",two_failures_in_span,6.0
12,12_T1_20260502_152737,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,2,10,formal,span_3,1777706857,239.464,2026-05-02T15:35:09.238,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,449533.183,449615.089,3,2,2,"[1, 7, 3]","[""3"", ""7"", ""1""]","[""3"", ""7"", ""1""]",371,onscreen_mouse,3335.099,6214.453,1,1,0,0,0,4,"[1060.009, 919.607]",advance,"[449702.498, 450715.192, 451727.158]","[""digit_1.wav"", ""digit_7.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 449702.498, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 450202.498}, {""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 450715.192, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 451215.192}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 451727.158, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 452227.158}]",,449633.183,449702.498,458959.618,3000,9257.12,458959.618,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 449533.183, ""actual_onset_global_ms"": 449615.089, ""actual_offset_global_ms"": 449705.431, ""actual_duration_ms"": 90.342}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 449633.183, ""actual_onset_global_ms"": 449702.498, ""actual_offset_global_ms"": 452227.158, ""actual_duration_ms"": 2524.66}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 452227.158, ""actual_onset_global_ms"": 452245.305, ""actual_offset_global_ms"": 452741.682, ""actual_duration_ms"": 496.377}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 452741.682, ""actual_onset_global_ms"": 452745.055, ""actual_offset_global_ms"": 458959.618, ""actual_duration_ms"": 6214.563}]",two_failures_in_span,6.0
