global_time_ms,event_type,task_name,block_name,trial_index_global,participant_id,group,timepoint,practice_layer,telemetry_version,block_type,event_value,prompt_level,support_level,support_rule,support_trigger_reason,rule_block_error_count,support_phase,support_faded_after_trial,error_type,message
3306.927,task_start,flanker,,,013,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,flanker_task_start
129183.956,task_end,flanker,formal_block_2,52,013,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,flanker_finished
132007.63,task_start,dccs,,,013,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,dccs_task_start
176988.518,timing_drift,dccs,pre_switch_practice,1,013,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.300 ms
188158.798,timing_drift,dccs,pre_switch_practice,5,013,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,feedback drift=-30.125 ms
232197.707,timing_drift,dccs,mixed_formal,18,013,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=134.051 ms
288926.321,task_end,dccs,mixed_formal,42,013,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,dccs_finished
297620.942,task_start,digit_span,,,013,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,digit_span_task_start
319595.691,timing_drift,digit_span,practice_digitspan,1,013,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.300 ms
321763.687,timing_drift,digit_span,practice_digitspan,1,013,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,wait drift=-31.154 ms
343349.323,timing_drift,digit_span,practice_digitspan,2,013,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.300 ms
383288.368,timing_drift,digit_span,practice_digitspan,3,013,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.300 ms
397382.735,timing_drift,digit_span,practice_digitspan,4,013,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.300 ms
407530.522,timing_drift,digit_span,practice_digitspan,5,013,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.300 ms
416498.973,timing_drift,digit_span,practice_digitspan,6,013,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.300 ms
