participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms
013,013_T1_20260518_150017,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,1,1,practice,practice_single,1779087617,59.946,2026-05-18T15:01:03.986,0,0,0,1,37453.542,37577.864,practice_single,left,none,<,s,s,1,3965.73,41581.658,correct,,37553.542,37615.928,41581.658,3000,3965.73,42181.658,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 37453.542, ""actual_onset_global_ms"": 37577.864, ""actual_offset_global_ms"": 37594.546, ""actual_duration_ms"": 16.682}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 37553.542, ""actual_onset_global_ms"": 37615.928, ""actual_offset_global_ms"": 41581.658, ""actual_duration_ms"": 3965.73}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 41581.658, ""actual_onset_global_ms"": 41711.813, ""actual_offset_global_ms"": 42268.901, ""actual_duration_ms"": 557.088}]",correct.wav,41645.9,600.0,42245.9
013,013_T1_20260518_150017,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,2,2,practice,practice_single,1779087617,59.946,2026-05-18T15:01:08.796,0,0,0,1,42264.567,42283.276,practice_single,right,none,>,j,j,1,16654.455,59047.653,correct,,42364.567,42393.198,59047.653,3000,16654.455,59647.653,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 42264.567, ""actual_onset_global_ms"": 42283.276, ""actual_offset_global_ms"": 42389.817, ""actual_duration_ms"": 106.541}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 42364.567, ""actual_onset_global_ms"": 42393.198, ""actual_offset_global_ms"": 59047.653, ""actual_duration_ms"": 16654.455}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 59047.653, ""actual_onset_global_ms"": 59096.744, ""actual_offset_global_ms"": 59690.248, ""actual_duration_ms"": 593.504}]",correct.wav,59071.942,600.0,59671.942
013,013_T1_20260518_150017,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,3,3,practice,practice_single,1779087617,59.946,2026-05-18T15:01:26.214,0,0,0,1,59681.369,59705.624,practice_single,right,none,>,j,j,1,2796.039,62615.055,correct,,59781.369,59819.016,62615.055,3000,2796.039,63215.055,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 59681.369, ""actual_onset_global_ms"": 59705.624, ""actual_offset_global_ms"": 59814.759, ""actual_duration_ms"": 109.135}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 59781.369, ""actual_onset_global_ms"": 59819.016, ""actual_offset_global_ms"": 62615.055, ""actual_duration_ms"": 2796.039}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 62615.055, ""actual_onset_global_ms"": 62643.26, ""actual_offset_global_ms"": 63246.897, ""actual_duration_ms"": 603.637}]",correct.wav,62620.762,600.0,63220.762
013,013_T1_20260518_150017,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,4,4,practice,practice_single,1779087617,59.946,2026-05-18T15:01:29.768,0,0,0,1,63236.054,63255.791,practice_single,left,none,<,s,s,1,1666.764,65022.658,correct,,63336.054,63355.894,65022.658,3000,1666.764,65622.658,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 63236.054, ""actual_onset_global_ms"": 63255.791, ""actual_offset_global_ms"": 63355.03, ""actual_duration_ms"": 99.239}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 63336.054, ""actual_onset_global_ms"": 63355.894, ""actual_offset_global_ms"": 65022.658, ""actual_duration_ms"": 1666.764}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 65022.658, ""actual_onset_global_ms"": 65061.107, ""actual_offset_global_ms"": 65673.182, ""actual_duration_ms"": 612.075}]",correct.wav,65040.054,600.0,65640.054
013,013_T1_20260518_150017,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,5,5,practice,practice_single,1779087617,59.946,2026-05-18T15:01:32.197,0,0,0,1,65665.406,65689.294,practice_single,right,none,>,j,j,1,1444.338,67250.917,correct,,65765.406,65806.579,67250.917,3000,1444.338,67850.917,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 65665.406, ""actual_onset_global_ms"": 65689.294, ""actual_offset_global_ms"": 65801.133, ""actual_duration_ms"": 111.839}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 65765.406, ""actual_onset_global_ms"": 65806.579, ""actual_offset_global_ms"": 67250.917, ""actual_duration_ms"": 1444.338}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 67250.917, ""actual_onset_global_ms"": 67277.725, ""actual_offset_global_ms"": 67880.425, ""actual_duration_ms"": 602.7}]",correct.wav,67256.858,600.0,67856.858
013,013_T1_20260518_150017,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,6,6,practice,practice_single,1779087617,59.946,2026-05-18T15:01:34.403,0,0,0,1,67870.991,67889.437,practice_single,left,none,<,s,s,1,2151.728,70157.988,correct,,67970.991,68006.26,70157.988,3000,2151.728,70757.988,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 67870.991, ""actual_onset_global_ms"": 67889.437, ""actual_offset_global_ms"": 68004.664, ""actual_duration_ms"": 115.227}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 67970.991, ""actual_onset_global_ms"": 68006.26, ""actual_offset_global_ms"": 70157.988, ""actual_duration_ms"": 2151.728}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 70157.988, ""actual_onset_global_ms"": 70192.334, ""actual_offset_global_ms"": 70799.02, ""actual_duration_ms"": 606.686}]",correct.wav,70171.904,600.0,70771.904
013,013_T1_20260518_150017,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,1,7,practice,incongruent,1779087617,59.946,2026-05-18T15:01:52.022,0,0,0,1,85489.985,85519.928,incongruent,right,left,<<><<,j,j,1,3878.615,89497.766,correct,1.0,85589.985,85619.151,89497.766,3000,3878.615,90097.766,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 85489.985, ""actual_onset_global_ms"": 85519.928, ""actual_offset_global_ms"": 85611.407, ""actual_duration_ms"": 91.479}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 85589.985, ""actual_onset_global_ms"": 85619.151, ""actual_offset_global_ms"": 89497.766, ""actual_duration_ms"": 3878.615}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 89497.766, ""actual_onset_global_ms"": 89527.502, ""actual_offset_global_ms"": 90124.74, ""actual_duration_ms"": 597.238}]",correct.wav,89507.779,600.0,90107.779
013,013_T1_20260518_150017,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,2,8,practice,incongruent,1779087617,59.946,2026-05-18T15:01:56.648,0,0,0,1,90116.242,90138.763,incongruent,right,left,<<><<,j,j,1,1731.094,91993.63,correct,1.0,90216.242,90262.536,91993.63,3000,1731.094,92593.63,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 90116.242, ""actual_onset_global_ms"": 90138.763, ""actual_offset_global_ms"": 90251.26, ""actual_duration_ms"": 112.497}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 90216.242, ""actual_onset_global_ms"": 90262.536, ""actual_offset_global_ms"": 91993.63, ""actual_duration_ms"": 1731.094}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 91993.63, ""actual_onset_global_ms"": 92017.05, ""actual_offset_global_ms"": 92626.932, ""actual_duration_ms"": 609.882}]",correct.wav,91994.92,600.0,92594.92
013,013_T1_20260518_150017,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,3,9,practice,incongruent,1779087617,59.946,2026-05-18T15:01:59.148,0,0,0,1,92615.663,92636.946,incongruent,left,right,>><>>,s,s,1,1476.829,94223.428,correct,1.0,92715.663,92746.599,94223.428,3000,1476.829,94823.428,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 92615.663, ""actual_onset_global_ms"": 92636.946, ""actual_offset_global_ms"": 92741.216, ""actual_duration_ms"": 104.27}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 92715.663, ""actual_onset_global_ms"": 92746.599, ""actual_offset_global_ms"": 94223.428, ""actual_duration_ms"": 1476.829}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 94223.428, ""actual_onset_global_ms"": 94264.453, ""actual_offset_global_ms"": 94873.313, ""actual_duration_ms"": 608.86}]",correct.wav,94239.738,600.0,94839.738
013,013_T1_20260518_150017,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,4,10,practice,congruent,1779087617,59.946,2026-05-18T15:02:01.398,0,0,0,1,94865.797,94893.701,congruent,left,left,<<<<<,s,s,1,1574.292,96566.696,correct,1.0,94965.797,94992.404,96566.696,3000,1574.292,97166.696,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 94865.797, ""actual_onset_global_ms"": 94893.701, ""actual_offset_global_ms"": 94989.295, ""actual_duration_ms"": 95.594}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 94965.797, ""actual_onset_global_ms"": 94992.404, ""actual_offset_global_ms"": 96566.696, ""actual_duration_ms"": 1574.292}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 96566.696, ""actual_onset_global_ms"": 96589.393, ""actual_offset_global_ms"": 97194.949, ""actual_duration_ms"": 605.556}]",correct.wav,96570.304,600.0,97170.304
