participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,trial_transition,previous_rule,current_rule,cue_to_first_response_ms,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,accuracy,layout_generation_attempts,overlap_check_passed
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,1,13,formal,incongruent,1779260849,60.182,2026-05-20T15:09:04.767,0,0,0,1,86713.675,86733.738,incongruent,left,right,>><>>,s,j,0,5428.393,92263.56,none,,86813.675,86835.167,92263.56,3000,5428.393,92263.56,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 86713.675, ""actual_onset_global_ms"": 86733.738, ""actual_offset_global_ms"": 86832.173, ""actual_duration_ms"": 98.435}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 86813.675, ""actual_onset_global_ms"": 86835.167, ""actual_offset_global_ms"": 92263.56, ""actual_duration_ms"": 5428.393}]",,,,,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,2,14,formal,incongruent,1779260849,60.182,2026-05-20T15:09:10.334,0,0,0,1,92281.699,92295.785,incongruent,right,left,<<><<,j,j,1,4224.677,96647.952,none,,92381.699,92423.275,96647.952,3000,4224.677,96647.952,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 92281.699, ""actual_onset_global_ms"": 92295.785, ""actual_offset_global_ms"": 92418.977, ""actual_duration_ms"": 123.192}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 92381.699, ""actual_onset_global_ms"": 92423.275, ""actual_offset_global_ms"": 96647.952, ""actual_duration_ms"": 4224.677}]",,,,,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,3,15,formal,congruent,1779260849,60.182,2026-05-20T15:09:14.726,0,0,0,1,96673.45,96691.932,congruent,right,right,>>>>>,j,s,0,1849.412,98656.244,none,,96773.45,96806.832,98656.244,3000,1849.412,98656.244,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 96673.45, ""actual_onset_global_ms"": 96691.932, ""actual_offset_global_ms"": 96805.435, ""actual_duration_ms"": 113.503}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 96773.45, ""actual_onset_global_ms"": 96806.832, ""actual_offset_global_ms"": 98656.244, ""actual_duration_ms"": 1849.412}]",,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,4,16,formal,congruent,1779260849,60.182,2026-05-20T15:09:16.726,0,0,0,1,98672.44,98688.539,congruent,left,left,<<<<<,s,s,1,11825.46,110634.828,none,,98772.44,98809.368,110634.828,3000,11825.46,110634.828,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 98672.44, ""actual_onset_global_ms"": 98688.539, ""actual_offset_global_ms"": 98804.998, ""actual_duration_ms"": 116.459}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 98772.44, ""actual_onset_global_ms"": 98809.368, ""actual_offset_global_ms"": 110634.828, ""actual_duration_ms"": 11825.46}]",,,,,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,5,17,formal,congruent,1779260849,60.182,2026-05-20T15:09:28.709,0,0,0,1,110655.446,110674.759,congruent,left,left,<<<<<,s,s,1,4021.208,114811.021,none,,110755.446,110789.813,114811.021,3000,4021.208,114811.021,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 110655.446, ""actual_onset_global_ms"": 110674.759, ""actual_offset_global_ms"": 110788.202, ""actual_duration_ms"": 113.443}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 110755.446, ""actual_onset_global_ms"": 110789.813, ""actual_offset_global_ms"": 114811.021, ""actual_duration_ms"": 4021.208}]",,,,,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,6,18,formal,incongruent,1779260849,60.182,2026-05-20T15:09:32.887,0,0,0,1,114833.337,114847.297,incongruent,left,right,>><>>,s,s,1,3418.769,118374.236,none,,114933.337,114955.467,118374.236,3000,3418.769,118374.236,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 114833.337, ""actual_onset_global_ms"": 114847.297, ""actual_offset_global_ms"": 114951.07, ""actual_duration_ms"": 103.773}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 114933.337, ""actual_onset_global_ms"": 114955.467, ""actual_offset_global_ms"": 118374.236, ""actual_duration_ms"": 3418.769}]",,,,,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,7,19,formal,congruent,1779260849,60.182,2026-05-20T15:09:36.446,0,0,0,1,118391.942,118412.072,congruent,right,right,>>>>>,j,j,1,1505.729,120038.706,none,,118491.942,118532.977,120038.706,3000,1505.729,120038.706,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 118391.942, ""actual_onset_global_ms"": 118412.072, ""actual_offset_global_ms"": 118524.345, ""actual_duration_ms"": 112.273}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 118491.942, ""actual_onset_global_ms"": 118532.977, ""actual_offset_global_ms"": 120038.706, ""actual_duration_ms"": 1505.729}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,8,20,formal,congruent,1779260849,60.182,2026-05-20T15:09:38.117,0,0,0,1,120063.057,120084.907,congruent,right,right,>>>>>,j,j,1,2221.109,122423.869,none,,120163.057,120202.76,122423.869,3000,2221.109,122423.869,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 120063.057, ""actual_onset_global_ms"": 120084.907, ""actual_offset_global_ms"": 120195.443, ""actual_duration_ms"": 110.536}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 120163.057, ""actual_onset_global_ms"": 120202.76, ""actual_offset_global_ms"": 122423.869, ""actual_duration_ms"": 2221.109}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,9,21,formal,incongruent,1779260849,60.182,2026-05-20T15:09:40.494,0,0,0,1,122441.518,122462.074,incongruent,right,left,<<><<,j,j,1,2526.275,125102.741,none,,122541.518,122576.466,125102.741,3000,2526.275,125102.741,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 122441.518, ""actual_onset_global_ms"": 122462.074, ""actual_offset_global_ms"": 122573.161, ""actual_duration_ms"": 111.087}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 122541.518, ""actual_onset_global_ms"": 122576.466, ""actual_offset_global_ms"": 125102.741, ""actual_duration_ms"": 2526.275}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,10,22,formal,congruent,1779260849,60.182,2026-05-20T15:09:43.171,0,0,0,1,125117.487,125139.996,congruent,left,left,<<<<<,s,s,1,1630.843,126885.977,none,,125217.487,125255.134,126885.977,3000,1630.843,126885.977,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 125117.487, ""actual_onset_global_ms"": 125139.996, ""actual_offset_global_ms"": 125248.718, ""actual_duration_ms"": 108.722}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 125217.487, ""actual_onset_global_ms"": 125255.134, ""actual_offset_global_ms"": 126885.977, ""actual_duration_ms"": 1630.843}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
