participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,intended_trial_start_ms,actual_trial_start_ms,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,response_correct,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,rt_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,repeated_audio_once_in_practice,stage_records_json,termination_reason,terminal_span_length
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,1,1,practice,span_2,1779260849,60.182,2026-05-20T15:15:59.494,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,501441.0,501627.081,2,1,1,"[1, 2]","[""2"", ""1""]","[""2"", ""1""]",21,onscreen_mouse,8521.168,10332.596,1,1,0,0,0,3,[791.502],,"[514297.327, 515387.948]","[""digit_1.wav"", ""digit_2.wav""]","[{""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 514297.327, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 514797.327}, {""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 515387.948, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 515887.948}]",,501541.0,501630.95,526791.194,2000,25160.244,526791.194,1,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 501441.0, ""actual_onset_global_ms"": 501627.081, ""actual_offset_global_ms"": 501643.697, ""actual_duration_ms"": 16.616}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 501541.0, ""actual_onset_global_ms"": 501630.95, ""actual_offset_global_ms"": 503153.243, ""actual_duration_ms"": 1522.293}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 503153.243, ""actual_onset_global_ms"": 503257.283, ""actual_offset_global_ms"": 503741.819, ""actual_duration_ms"": 484.536}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 503741.819, ""actual_onset_global_ms"": 503836.874, ""actual_offset_global_ms"": 510869.934, ""actual_duration_ms"": 7033.06}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 514297.176, ""actual_onset_global_ms"": 514297.327, ""actual_offset_global_ms"": 515887.948, ""actual_duration_ms"": 1590.621}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 515887.948, ""actual_onset_global_ms"": 515952.663, ""actual_offset_global_ms"": 516451.538, ""actual_duration_ms"": 498.875}]",,
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,2,2,practice,span_2,1779260849,60.182,2026-05-20T15:16:24.852,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,526798.123,526968.875,2,2,1,"[7, 9]","[""9"", ""7""]","[""9"", ""7""]",97,onscreen_mouse,1469.624,3186.805,1,1,0,0,0,3,[797.548],,"[526973.919, 527997.688]","[""digit_7.wav"", ""digit_9.wav""]","[{""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 526973.919, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 527473.919}, {""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 527997.688, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 528497.688}]",,526898.123,526973.919,532296.763,2000,5322.844,532296.763,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 526798.123, ""actual_onset_global_ms"": 526968.875, ""actual_offset_global_ms"": 526985.491, ""actual_duration_ms"": 16.616}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 526898.123, ""actual_onset_global_ms"": 526973.919, ""actual_offset_global_ms"": 528497.688, ""actual_duration_ms"": 1523.769}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 528497.688, ""actual_onset_global_ms"": 528601.288, ""actual_offset_global_ms"": 529102.18, ""actual_duration_ms"": 500.892}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 529102.18, ""actual_onset_global_ms"": 529109.758, ""actual_offset_global_ms"": 532296.763, ""actual_duration_ms"": 3187.005}]",,
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,3,3,practice,span_2,1779260849,60.182,2026-05-20T15:16:30.356,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,532303.009,532479.422,2,3,1,"[2, 8]","[""8"", ""2""]","[""8"", ""2""]",82,onscreen_mouse,1091.508,2328.459,1,1,0,0,0,3,[585.598],,"[532484.949, 533506.9]","[""digit_2.wav"", ""digit_8.wav""]","[{""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 532484.949, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 532984.949}, {""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 533506.9, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 534006.9}]",,532403.009,532484.949,536896.375,2000,4411.426,536896.375,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 532303.009, ""actual_onset_global_ms"": 532479.422, ""actual_offset_global_ms"": 532496.038, ""actual_duration_ms"": 16.616}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 532403.009, ""actual_onset_global_ms"": 532484.949, ""actual_offset_global_ms"": 534006.9, ""actual_duration_ms"": 1521.951}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 534006.9, ""actual_onset_global_ms"": 534062.136, ""actual_offset_global_ms"": 534561.208, ""actual_duration_ms"": 499.072}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 534561.208, ""actual_onset_global_ms"": 534567.754, ""actual_offset_global_ms"": 536896.375, ""actual_duration_ms"": 2328.621}]",,
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,4,4,practice,span_2,1779260849,60.182,2026-05-20T15:16:34.956,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,536903.354,537051.282,2,4,1,"[8, 6]","[""6"", ""8""]","[""6"", ""8""]",68,onscreen_mouse,702.191,1991.187,1,1,0,0,0,3,[621.849],,"[537055.165, 538116.311]","[""digit_8.wav"", ""digit_6.wav""]","[{""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 537055.165, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 537555.165}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 538116.311, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 538616.311}]",,537003.354,537055.165,541185.863,2000,4130.698,541185.863,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 536903.354, ""actual_onset_global_ms"": 537051.282, ""actual_offset_global_ms"": 537067.898, ""actual_duration_ms"": 16.616}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 537003.354, ""actual_onset_global_ms"": 537055.165, ""actual_offset_global_ms"": 538616.311, ""actual_duration_ms"": 1561.146}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 538616.311, ""actual_onset_global_ms"": 538687.174, ""actual_offset_global_ms"": 539187.265, ""actual_duration_ms"": 500.091}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 539187.265, ""actual_onset_global_ms"": 539194.515, ""actual_offset_global_ms"": 541185.863, ""actual_duration_ms"": 1991.348}]",,
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,5,5,practice,span_2,1779260849,60.182,2026-05-20T15:16:39.247,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,541193.368,541356.965,2,5,1,"[3, 6]","[""6"", ""3""]","[""6"", ""3""]",63,onscreen_mouse,2160.897,3361.87,1,1,0,0,0,3,[459.322],,"[541364.024, 542451.724]","[""digit_3.wav"", ""digit_6.wav""]","[{""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 541364.024, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 541864.024}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 542451.724, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 542951.724}]",,541293.368,541364.024,546946.641,2000,5582.617,546946.641,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 541193.368, ""actual_onset_global_ms"": 541356.965, ""actual_offset_global_ms"": 541373.581, ""actual_duration_ms"": 16.616}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 541293.368, ""actual_onset_global_ms"": 541364.024, ""actual_offset_global_ms"": 542951.724, ""actual_duration_ms"": 1587.7}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 542951.724, ""actual_onset_global_ms"": 543063.656, ""actual_offset_global_ms"": 543577.37, ""actual_duration_ms"": 513.714}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 543577.37, ""actual_onset_global_ms"": 543584.64, ""actual_offset_global_ms"": 546946.641, ""actual_duration_ms"": 3362.001}]",,
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,6,6,practice,span_2,1779260849,60.182,2026-05-20T15:16:45.007,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,546953.673,547115.886,2,6,1,"[9, 8]","[""8"", ""9""]","[""8"", ""9""]",89,onscreen_mouse,625.453,1910.08,1,1,0,0,0,3,[870.106],,"[547121.017, 548180.019]","[""digit_9.wav"", ""digit_8.wav""]","[{""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 547121.017, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 547621.017}, {""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 548180.019, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 548680.019}]",,547053.673,547121.017,551185.818,2000,4064.801,551185.818,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 546953.673, ""actual_onset_global_ms"": 547115.886, ""actual_offset_global_ms"": 547132.502, ""actual_duration_ms"": 16.616}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 547053.673, ""actual_onset_global_ms"": 547121.017, ""actual_offset_global_ms"": 548680.019, ""actual_duration_ms"": 1559.002}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 548680.019, ""actual_onset_global_ms"": 548754.503, ""actual_offset_global_ms"": 549267.936, ""actual_duration_ms"": 513.433}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 549267.936, ""actual_onset_global_ms"": 549275.515, ""actual_offset_global_ms"": 551185.818, ""actual_duration_ms"": 1910.303}]",,
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,1,7,formal,span_2,1779260849,60.182,2026-05-20T15:16:54.968,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,556915.609,557084.714,2,1,1,"[3, 8]","[""8"", ""3""]","[""8"", ""3""]",83,onscreen_mouse,46068.932,70596.706,1,1,0,0,0,3,[6290.976],advance,"[557088.327, 558119.095]","[""digit_3.wav"", ""digit_8.wav""]","[{""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 557088.327, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 557588.327}, {""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 558119.095, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 558619.095}]",,557015.609,557088.327,629788.578,2000,72700.251,629788.578,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 556915.609, ""actual_onset_global_ms"": 557084.714, ""actual_offset_global_ms"": 557101.33, ""actual_duration_ms"": 16.616}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 557015.609, ""actual_onset_global_ms"": 557088.327, ""actual_offset_global_ms"": 558619.095, ""actual_duration_ms"": 1530.768}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 558619.095, ""actual_onset_global_ms"": 558693.125, ""actual_offset_global_ms"": 559184.716, ""actual_duration_ms"": 491.591}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 559184.716, ""actual_onset_global_ms"": 559191.485, ""actual_offset_global_ms"": 629788.578, ""actual_duration_ms"": 70597.093}]",two_failures_in_span,3.0
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,2,8,formal,span_2,1779260849,60.182,2026-05-20T15:18:07.849,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,629796.2,629957.439,2,2,1,"[1, 2]","[""2"", ""1""]","[""2"", ""1""]",21,onscreen_mouse,5717.163,12493.096,1,1,0,0,0,3,[3409.966],advance,"[629961.151, 631005.453]","[""digit_1.wav"", ""digit_2.wav""]","[{""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 629961.151, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 630461.151}, {""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 631005.453, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 631505.453}]",,629896.2,629961.151,644609.923,2000,14648.772,644609.923,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 629796.2, ""actual_onset_global_ms"": 629957.439, ""actual_offset_global_ms"": 629974.055, ""actual_duration_ms"": 16.616}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 629896.2, ""actual_onset_global_ms"": 629961.151, ""actual_offset_global_ms"": 631505.453, ""actual_duration_ms"": 1544.302}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 631505.453, ""actual_onset_global_ms"": 631615.205, ""actual_offset_global_ms"": 632109.169, ""actual_duration_ms"": 493.964}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 632109.169, ""actual_onset_global_ms"": 632116.72, ""actual_offset_global_ms"": 644609.923, ""actual_duration_ms"": 12493.203}]",two_failures_in_span,3.0
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,1,9,formal,span_3,1779260849,60.182,2026-05-20T15:18:22.677,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,644623.59,644773.765,3,1,2,"[3, 7, 2]","[""2"", ""7"", ""3""]","[""7"", ""3"", ""2""]",732,onscreen_mouse,4919.349,19941.728,0,0,0,0,0,4,"[4440.035, 3469.895]",terminate,"[644777.121, 645809.553, 646847.228]","[""digit_3.wav"", ""digit_7.wav"", ""digit_2.wav""]","[{""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 644777.121, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 645277.121}, {""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 645809.553, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 646309.553}, {""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 646847.228, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 647347.228}]",,644723.59,644777.121,667817.946,3000,23040.825,667817.946,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 644623.59, ""actual_onset_global_ms"": 644773.765, ""actual_offset_global_ms"": 644790.381, ""actual_duration_ms"": 16.616}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 644723.59, ""actual_onset_global_ms"": 644777.121, ""actual_offset_global_ms"": 647347.228, ""actual_duration_ms"": 2570.107}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 647347.228, ""actual_onset_global_ms"": 647378.994, ""actual_offset_global_ms"": 647870.652, ""actual_duration_ms"": 491.658}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 647870.652, ""actual_onset_global_ms"": 647876.109, ""actual_offset_global_ms"": 667817.946, ""actual_duration_ms"": 19941.837}]",two_failures_in_span,3.0
013,013_T1_20260520_150729,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,2,10,formal,span_3,1779260849,60.182,2026-05-20T15:18:45.880,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,667826.692,667980.775,3,2,2,"[1, 9, 7]","[""7"", ""9"", ""1""]","[""9"", ""1"", ""7""]",917,onscreen_mouse,8197.25,21936.943,0,0,0,0,0,4,"[5757.371, 5000.918]",terminate,"[667984.449, 669022.731, 670043.204]","[""digit_1.wav"", ""digit_9.wav"", ""digit_7.wav""]","[{""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 667984.449, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 668484.449}, {""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 669022.731, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 669522.731}, {""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 670043.204, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 670543.204}]",,667926.692,667984.449,693059.376,3000,25074.927,693059.376,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 667826.692, ""actual_onset_global_ms"": 667980.775, ""actual_offset_global_ms"": 667997.391, ""actual_duration_ms"": 16.616}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 667926.692, ""actual_onset_global_ms"": 667984.449, ""actual_offset_global_ms"": 670543.204, ""actual_duration_ms"": 2558.755}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 670543.204, ""actual_onset_global_ms"": 670616.469, ""actual_offset_global_ms"": 671114.904, ""actual_duration_ms"": 498.435}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 671114.904, ""actual_onset_global_ms"": 671122.085, ""actual_offset_global_ms"": 693059.376, ""actual_duration_ms"": 21937.291}]",two_failures_in_span,3.0
