participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,trial_transition,previous_rule,current_rule,cue_to_first_response_ms,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,repeated_audio_once_in_practice,termination_reason,terminal_span_length,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,layout_generation_attempts,overlap_check_passed
014,014_T1_20260423_165349,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,1,1,practice,practice_single,1776934429,59.865,2026-04-23T16:54:17.189,0,0,0,1,20706.3,20758.423,practice_single,right,none,>,j,j,1,9581.435,30430.513,correct,,20806.3,20849.078,30430.513,3000,9581.435,31030.513,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 20706.3, ""actual_onset_global_ms"": 20758.423, ""actual_offset_global_ms"": 20839.327, ""actual_duration_ms"": 80.904}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 20806.3, ""actual_onset_global_ms"": 20849.078, ""actual_offset_global_ms"": 30430.513, ""actual_duration_ms"": 9581.435}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 30430.513, ""actual_onset_global_ms"": 30547.059, ""actual_offset_global_ms"": 31124.8, ""actual_duration_ms"": 577.741}]",correct.wav,30495.709,600.0,31095.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014,014_T1_20260423_165349,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,2,2,practice,practice_single,1776934429,59.865,2026-04-23T16:54:27.601,0,0,0,1,31118.255,31136.838,practice_single,right,none,>,j,j,1,710.62,31968.956,correct,,31218.255,31258.336,31968.956,3000,710.62,32568.956,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 31118.255, ""actual_onset_global_ms"": 31136.838, ""actual_offset_global_ms"": 31254.367, ""actual_duration_ms"": 117.529}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 31218.255, ""actual_onset_global_ms"": 31258.336, ""actual_offset_global_ms"": 31968.956, ""actual_duration_ms"": 710.62}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 31968.956, ""actual_onset_global_ms"": 32022.368, ""actual_offset_global_ms"": 32626.768, ""actual_duration_ms"": 604.4}]",correct.wav,32002.815,600.0,32602.815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014,014_T1_20260423_165349,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,3,3,practice,practice_single,1776934429,59.865,2026-04-23T16:54:29.102,0,0,0,1,32618.904,32646.479,practice_single,left,none,<,s,s,1,559.118,33308.3,correct,,32718.904,32749.182,33308.3,3000,559.118,33908.3,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 32618.904, ""actual_onset_global_ms"": 32646.479, ""actual_offset_global_ms"": 32743.725, ""actual_duration_ms"": 97.246}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 32718.904, ""actual_onset_global_ms"": 32749.182, ""actual_offset_global_ms"": 33308.3, ""actual_duration_ms"": 559.118}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 33308.3, ""actual_onset_global_ms"": 33356.557, ""actual_offset_global_ms"": 33966.007, ""actual_duration_ms"": 609.45}]",correct.wav,33336.015,600.0,33936.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014,014_T1_20260423_165349,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,4,4,practice,practice_single,1776934429,59.865,2026-04-23T16:54:30.439,0,0,0,1,33955.295,33975.951,practice_single,left,none,<,s,s,1,609.39,34692.765,correct,,34055.295,34083.375,34692.765,3000,609.39,35292.765,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 33955.295, ""actual_onset_global_ms"": 33975.951, ""actual_offset_global_ms"": 34076.476, ""actual_duration_ms"": 100.525}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 34055.295, ""actual_onset_global_ms"": 34083.375, ""actual_offset_global_ms"": 34692.765, ""actual_duration_ms"": 609.39}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 34692.765, ""actual_onset_global_ms"": 34733.966, ""actual_offset_global_ms"": 35333.699, ""actual_duration_ms"": 599.733}]",correct.wav,34714.881,600.0,35314.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014,014_T1_20260423_165349,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,5,5,practice,practice_single,1776934429,59.865,2026-04-23T16:54:31.808,0,0,0,1,35324.599,35348.364,practice_single,right,none,>,j,j,1,465.139,35911.085,correct,,35424.599,35445.946,35911.085,3000,465.139,36511.085,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 35324.599, ""actual_onset_global_ms"": 35348.364, ""actual_offset_global_ms"": 35443.1, ""actual_duration_ms"": 94.736}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 35424.599, ""actual_onset_global_ms"": 35445.946, ""actual_offset_global_ms"": 35911.085, ""actual_duration_ms"": 465.139}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 35911.085, ""actual_onset_global_ms"": 35955.65, ""actual_offset_global_ms"": 36553.761, ""actual_duration_ms"": 598.111}]",correct.wav,35933.109,600.0,36533.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014,014_T1_20260423_165349,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,6,6,practice,practice_single,1776934429,59.865,2026-04-23T16:54:33.024,0,0,0,1,36541.433,36554.059,practice_single,left,none,<,s,s,1,565.067,37235.117,correct,,36641.433,36670.05,37235.117,3000,565.067,37835.117,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 36541.433, ""actual_onset_global_ms"": 36554.059, ""actual_offset_global_ms"": 36669.328, ""actual_duration_ms"": 115.269}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 36641.433, ""actual_onset_global_ms"": 36670.05, ""actual_offset_global_ms"": 37235.117, ""actual_duration_ms"": 565.067}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 37235.117, ""actual_onset_global_ms"": 37281.381, ""actual_offset_global_ms"": 37887.054, ""actual_duration_ms"": 605.673}]",correct.wav,37256.426,600.0,37856.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014,014_T1_20260423_165349,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,1,7,practice,incongruent,1776934429,59.865,2026-04-23T16:54:38.414,0,0,0,1,41931.44,41969.654,incongruent,right,left,<<><<,j,j,1,1610.588,43681.361,correct,1.0,42031.44,42070.773,43681.361,3000,1610.588,44281.361,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 41931.44, ""actual_onset_global_ms"": 41969.654, ""actual_offset_global_ms"": 42065.407, ""actual_duration_ms"": 95.753}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 42031.44, ""actual_onset_global_ms"": 42070.773, ""actual_offset_global_ms"": 43681.361, ""actual_duration_ms"": 1610.588}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 43681.361, ""actual_onset_global_ms"": 43701.995, ""actual_offset_global_ms"": 44301.592, ""actual_duration_ms"": 599.597}]",correct.wav,43683.308,600.0,44283.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014,014_T1_20260423_165349,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,2,8,practice,incongruent,1776934429,59.865,2026-04-23T16:54:40.776,0,0,0,1,44293.147,44315.829,incongruent,left,right,>><>>,s,s,1,1090.822,45509.105,correct,1.0,44393.147,44418.283,45509.105,3000,1090.822,46109.105,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 44293.147, ""actual_onset_global_ms"": 44315.829, ""actual_offset_global_ms"": 44411.288, ""actual_duration_ms"": 95.459}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 44393.147, ""actual_onset_global_ms"": 44418.283, ""actual_offset_global_ms"": 45509.105, ""actual_duration_ms"": 1090.822}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 45509.105, ""actual_onset_global_ms"": 45544.096, ""actual_offset_global_ms"": 46144.441, ""actual_duration_ms"": 600.345}]",correct.wav,45520.777,600.0,46120.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014,014_T1_20260423_165349,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,3,9,practice,congruent,1776934429,59.865,2026-04-23T16:54:42.619,0,0,0,1,46136.6,46156.009,congruent,left,left,<<<<<,s,s,1,772.704,47033.284,correct,1.0,46236.6,46260.58,47033.284,3000,772.704,47633.284,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 46136.6, ""actual_onset_global_ms"": 46156.009, ""actual_offset_global_ms"": 46253.404, ""actual_duration_ms"": 97.395}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 46236.6, ""actual_onset_global_ms"": 46260.58, ""actual_offset_global_ms"": 47033.284, ""actual_duration_ms"": 772.704}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 47033.284, ""actual_onset_global_ms"": 47070.101, ""actual_offset_global_ms"": 47680.052, ""actual_duration_ms"": 609.951}]",correct.wav,47047.642,600.0,47647.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014,014_T1_20260423_165349,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,4,10,practice,congruent,1776934429,59.865,2026-04-23T16:54:44.155,0,0,0,1,47670.997,47690.867,congruent,right,right,>>>>>,j,j,1,668.205,48480.877,correct,1.0,47770.997,47812.672,48480.877,3000,668.205,49080.877,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 47670.997, ""actual_onset_global_ms"": 47690.867, ""actual_offset_global_ms"": 47805.71, ""actual_duration_ms"": 114.843}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 47770.997, ""actual_onset_global_ms"": 47812.672, ""actual_offset_global_ms"": 48480.877, ""actual_duration_ms"": 668.205}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 48480.877, ""actual_onset_global_ms"": 48514.392, ""actual_offset_global_ms"": 49113.986, ""actual_duration_ms"": 599.594}]",correct.wav,48488.011,600.0,49088.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
