participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,intended_trial_start_ms,actual_trial_start_ms,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,response_correct,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,rt_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,repeated_audio_once_in_practice,stage_records_json,termination_reason,terminal_span_length
014,014_T1_20260423_165349,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,1,1,practice,span_2,1776934429,59.865,2026-04-23T16:58:19.118,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,262631.236,262808.398,2,1,1,"[3, 5]","[""5"", ""3""]","[""5"", ""3""]",53,onscreen_mouse,28899.18,35960.723,1,1,0,0,0,3,[4358.009],,"[262812.368, 263845.458]","[""digit_3.wav"", ""digit_5.wav""]","[{""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 262812.368, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 263312.368}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 263845.458, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 264345.458}]",,262731.236,262812.368,300981.979,2000,38169.611,300981.979,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 262631.236, ""actual_onset_global_ms"": 262808.398, ""actual_offset_global_ms"": 262825.102, ""actual_duration_ms"": 16.704}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 262731.236, ""actual_onset_global_ms"": 262812.368, ""actual_offset_global_ms"": 264345.458, ""actual_duration_ms"": 1533.09}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 264345.458, ""actual_onset_global_ms"": 264461.548, ""actual_offset_global_ms"": 264945.471, ""actual_duration_ms"": 483.923}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 264945.471, ""actual_onset_global_ms"": 265021.121, ""actual_offset_global_ms"": 300981.979, ""actual_duration_ms"": 35960.858}]",,
014,014_T1_20260423_165349,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,2,2,practice,span_2,1776934429,59.865,2026-04-23T16:58:57.476,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,300988.628,301145.519,2,2,1,"[8, 9]","[""9"", ""8""]","[""9"", ""8""]",98,onscreen_mouse,4754.61,8775.401,1,1,0,0,0,3,[1815.731],,"[301149.278, 302161.935]","[""digit_8.wav"", ""digit_9.wav""]","[{""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 301149.278, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 301649.278}, {""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 302161.935, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 302661.935}]",,301088.628,301149.278,312098.575,2000,10949.297,312098.575,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 300988.628, ""actual_onset_global_ms"": 301145.519, ""actual_offset_global_ms"": 301162.223, ""actual_duration_ms"": 16.704}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 301088.628, ""actual_onset_global_ms"": 301149.278, ""actual_offset_global_ms"": 302661.935, ""actual_duration_ms"": 1512.657}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 302661.935, ""actual_onset_global_ms"": 302806.408, ""actual_offset_global_ms"": 303315.654, ""actual_duration_ms"": 509.246}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 303315.654, ""actual_onset_global_ms"": 303323.035, ""actual_offset_global_ms"": 312098.575, ""actual_duration_ms"": 8775.54}]",,
014,014_T1_20260423_165349,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,3,3,practice,span_2,1776934429,59.865,2026-04-23T16:59:08.592,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,312105.152,312285.202,2,3,1,"[6, 3]","[""3"", ""6""]","[""3"", ""6""]",36,onscreen_mouse,2448.545,4808.621,1,1,0,0,0,3,[887.836],,"[312288.581, 313365.547]","[""digit_6.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 312288.581, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 312788.581}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 313365.547, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 313865.547}]",,312205.152,312288.581,319269.399,2000,6980.818,319269.399,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 312105.152, ""actual_onset_global_ms"": 312285.202, ""actual_offset_global_ms"": 312301.906, ""actual_duration_ms"": 16.704}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 312205.152, ""actual_onset_global_ms"": 312288.581, ""actual_offset_global_ms"": 313865.547, ""actual_duration_ms"": 1576.966}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 313865.547, ""actual_onset_global_ms"": 313953.42, ""actual_offset_global_ms"": 314451.978, ""actual_duration_ms"": 498.558}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 314451.978, ""actual_onset_global_ms"": 314460.18, ""actual_offset_global_ms"": 319269.399, ""actual_duration_ms"": 4809.219}]",,
014,014_T1_20260423_165349,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,4,4,practice,span_2,1776934429,59.865,2026-04-23T16:59:15.767,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,319278.803,319466.943,2,4,1,"[7, 2]","[""2"", ""7""]","[""2"", ""7""]",27,onscreen_mouse,2664.01,7978.901,1,1,0,0,0,3,[2959.316],,"[319470.583, 320564.42]","[""digit_7.wav"", ""digit_2.wav""]","[{""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 319470.583, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 319970.583}, {""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 320564.42, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 321064.42}]",,319378.803,319470.583,329613.743,2000,10143.16,329613.743,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 319278.803, ""actual_onset_global_ms"": 319466.943, ""actual_offset_global_ms"": 319483.647, ""actual_duration_ms"": 16.704}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 319378.803, ""actual_onset_global_ms"": 319470.583, ""actual_offset_global_ms"": 321064.42, ""actual_duration_ms"": 1593.837}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 321064.42, ""actual_onset_global_ms"": 321110.348, ""actual_offset_global_ms"": 321622.995, ""actual_duration_ms"": 512.647}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 321622.995, ""actual_onset_global_ms"": 321634.742, ""actual_offset_global_ms"": 329613.743, ""actual_duration_ms"": 7979.001}]",,
014,014_T1_20260423_165349,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,5,5,practice,span_2,1776934429,59.865,2026-04-23T16:59:26.108,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,329620.582,329793.665,2,5,1,"[3, 1]","[""1"", ""3""]","[""1"", ""3""]",13,onscreen_mouse,2511.023,6450.868,1,1,0,0,0,3,[1735.969],,"[329797.203, 330838.412]","[""digit_3.wav"", ""digit_1.wav""]","[{""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 329797.203, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 330297.203}, {""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 330838.412, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 331338.412}]",,329720.582,329797.203,338402.023,2000,8604.82,338402.023,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 329620.582, ""actual_onset_global_ms"": 329793.665, ""actual_offset_global_ms"": 329810.369, ""actual_duration_ms"": 16.704}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 329720.582, ""actual_onset_global_ms"": 329797.203, ""actual_offset_global_ms"": 331338.412, ""actual_duration_ms"": 1541.209}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 331338.412, ""actual_onset_global_ms"": 331431.776, ""actual_offset_global_ms"": 331936.493, ""actual_duration_ms"": 504.717}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 331936.493, ""actual_onset_global_ms"": 331950.905, ""actual_offset_global_ms"": 338402.023, ""actual_duration_ms"": 6451.118}]",,
014,014_T1_20260423_165349,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,6,6,practice,span_2,1776934429,59.865,2026-04-23T16:59:34.898,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,338409.96,338581.3,2,6,1,"[2, 4]","[""4"", ""2""]","[""4"", ""2""]",42,onscreen_mouse,2575.583,7040.591,1,1,0,0,0,3,[1202.468],,"[338584.961, 339614.486]","[""digit_2.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 338584.961, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 339084.961}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 339614.486, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 340114.486}]",,338509.96,338584.961,347718.338,2000,9133.377,347718.338,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 338409.96, ""actual_onset_global_ms"": 338581.3, ""actual_offset_global_ms"": 338598.004, ""actual_duration_ms"": 16.704}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 338509.96, ""actual_onset_global_ms"": 338584.961, ""actual_offset_global_ms"": 340114.486, ""actual_duration_ms"": 1529.525}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 340114.486, ""actual_onset_global_ms"": 340151.209, ""actual_offset_global_ms"": 340668.563, ""actual_duration_ms"": 517.354}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 340668.563, ""actual_onset_global_ms"": 340677.527, ""actual_offset_global_ms"": 347718.338, ""actual_duration_ms"": 7040.811}]",,
014,014_T1_20260423_165349,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,1,7,formal,span_2,1776934429,59.865,2026-04-23T16:59:49.433,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,352945.433,353152.134,2,1,1,"[1, 8]","[""8"", ""1""]","[""8"", ""1""]",81,onscreen_mouse,3367.714,7213.207,1,1,0,0,0,3,[1653.015],advance,"[353158.274, 354187.645]","[""digit_1.wav"", ""digit_8.wav""]","[{""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 353158.274, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 353658.274}, {""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 354187.645, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 354687.645}]",,353045.433,353158.274,362464.575,2000,9306.301,362464.575,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 352945.433, ""actual_onset_global_ms"": 353152.134, ""actual_offset_global_ms"": 353168.838, ""actual_duration_ms"": 16.704}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 353045.433, ""actual_onset_global_ms"": 353158.274, ""actual_offset_global_ms"": 354687.645, ""actual_duration_ms"": 1529.371}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 354687.645, ""actual_onset_global_ms"": 354731.704, ""actual_offset_global_ms"": 355241.601, ""actual_duration_ms"": 509.897}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 355241.601, ""actual_onset_global_ms"": 355251.086, ""actual_offset_global_ms"": 362464.575, ""actual_duration_ms"": 7213.489}]",two_failures_in_span,8.0
014,014_T1_20260423_165349,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,2,8,formal,span_2,1776934429,59.865,2026-04-23T16:59:58.960,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,362471.547,362644.243,2,2,1,"[7, 4]","[""4"", ""7""]","[""4"", ""7""]",47,onscreen_mouse,2151.012,8965.177,1,1,0,0,0,3,[2733.973],advance,"[362649.531, 363722.513]","[""digit_7.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 362649.531, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 363149.531}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 363722.513, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 364222.513}]",,362571.547,362649.531,373778.624,2000,11129.093,373778.624,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 362471.547, ""actual_onset_global_ms"": 362644.243, ""actual_offset_global_ms"": 362660.947, ""actual_duration_ms"": 16.704}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 362571.547, ""actual_onset_global_ms"": 362649.531, ""actual_offset_global_ms"": 364222.513, ""actual_duration_ms"": 1572.982}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 364222.513, ""actual_onset_global_ms"": 364305.928, ""actual_offset_global_ms"": 364800.754, ""actual_duration_ms"": 494.826}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 364800.754, ""actual_onset_global_ms"": 364813.226, ""actual_offset_global_ms"": 373778.624, ""actual_duration_ms"": 8965.398}]",two_failures_in_span,8.0
014,014_T1_20260423_165349,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,1,9,formal,span_3,1776934429,59.865,2026-04-23T17:00:10.281,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,373792.788,373961.686,3,1,2,"[8, 3, 6]","[""6"", ""3"", ""8""]","[""6"", ""3"", ""8""]",638,onscreen_mouse,5782.959,13681.513,1,1,0,0,0,4,"[4858.338, 1401.813]",advance,"[373966.32, 374979.545, 376011.626]","[""digit_8.wav"", ""digit_3.wav"", ""digit_6.wav""]","[{""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 373966.32, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 374466.32}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 374979.545, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 375479.545}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 376011.626, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 376511.626}]",,373892.788,373966.32,390818.461,3000,16852.141,390818.461,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 373792.788, ""actual_onset_global_ms"": 373961.686, ""actual_offset_global_ms"": 373978.39, ""actual_duration_ms"": 16.704}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 373892.788, ""actual_onset_global_ms"": 373966.32, ""actual_offset_global_ms"": 376511.626, ""actual_duration_ms"": 2545.306}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 376511.626, ""actual_onset_global_ms"": 376624.771, ""actual_offset_global_ms"": 377130.633, ""actual_duration_ms"": 505.862}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 377130.633, ""actual_onset_global_ms"": 377136.641, ""actual_offset_global_ms"": 390818.461, ""actual_duration_ms"": 13681.82}]",two_failures_in_span,8.0
014,014_T1_20260423_165349,PCPA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,2,10,formal,span_3,1776934429,59.865,2026-04-23T17:00:27.316,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,390827.701,391004.258,3,2,2,"[5, 4, 6]","[""6"", ""4"", ""5""]","[""6"", ""4"", ""5""]",645,onscreen_mouse,3805.949,9554.249,1,1,0,0,0,4,"[2301.555, 1358.136]",advance,"[391010.42, 392087.288, 393077.611]","[""digit_5.wav"", ""digit_4.wav"", ""digit_6.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 391010.42, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 391510.42}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 392087.288, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 392587.288}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 393077.611, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 393577.611}]",,390927.701,391010.42,403706.428,3000,12696.008,403706.428,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 390827.701, ""actual_onset_global_ms"": 391004.258, ""actual_offset_global_ms"": 391020.962, ""actual_duration_ms"": 16.704}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 390927.701, ""actual_onset_global_ms"": 391010.42, ""actual_offset_global_ms"": 393577.611, ""actual_duration_ms"": 2567.191}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 393577.611, ""actual_onset_global_ms"": 393628.126, ""actual_offset_global_ms"": 394142.013, ""actual_duration_ms"": 513.887}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 394142.013, ""actual_onset_global_ms"": 394152.045, ""actual_offset_global_ms"": 403706.428, ""actual_duration_ms"": 9554.383}]",two_failures_in_span,8.0
