global_time_ms,event_type,task_name,block_name,trial_index_global,participant_id,group,timepoint,practice_layer,telemetry_version,block_type,event_value,prompt_level,support_level,support_rule,support_trigger_reason,rule_block_error_count,support_phase,support_faded_after_trial,error_type,message
6869.411,task_start,flanker,,,014,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_task_start
23977.828,timing_drift,flanker,practice_single,1,014,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-41.922 ms
113973.246,timing_drift,flanker,practice_single,29,014,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-35.879 ms
213416.037,task_end,flanker,formal_block_2,76,014,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_finished
215369.069,task_start,dccs,,,014,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,dccs_task_start
223325.69,timing_drift,dccs,pre_switch_practice,1,014,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-83.339 ms
258366.108,info,dccs,shape_adaptive_support,8,014,Control,T1,adaptive,telemetry_v4,practice,criterion_not_reached,1,1,shape,criterion_not_reached,1,brief_rule_prompt,,,dccs_support_level_1:shape:criterion_not_reached
264967.348,info,dccs,post_switch_practice,9,014,Control,T1,adaptive,telemetry_v4,practice,recovered,,1,shape,criterion_not_reached,,,True,,dccs_support_recovered:shape:criterion_not_reached
357931.894,task_end,dccs,mixed_formal,42,014,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,dccs_finished
361913.25,task_start,digit_span,,,014,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,digit_span_task_start
378903.528,timing_drift,digit_span,practice_digitspan,1,014,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-83.339 ms
412545.25,timing_drift,digit_span,practice_digitspan,2,014,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-83.339 ms
466845.41,timing_drift,digit_span,practice_digitspan,3,014,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-83.339 ms
505162.501,timing_drift,digit_span,practice_digitspan,4,014,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-83.339 ms
521294.447,timing_drift,digit_span,practice_digitspan,5,014,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-83.339 ms
536818.01,info,digit_span,digit_span_adaptive_support,5,014,Control,T1,adaptive,telemetry_v4,practice,digit_order_error,1,1,,digit_order_error,1,brief_rule_prompt,,,digit_span_support_level_1:digit_order_error
538321.988,timing_drift,digit_span,practice_digitspan,6,014,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-83.339 ms
566625.569,info,digit_span,practice_digitspan,6,014,Control,T1,adaptive,telemetry_v4,practice,recovered,,1,,digit_order_error,,,True,,digit_span_support_recovered:digit_order_error
573422.06,timing_drift,digit_span,formal_span_2,7,014,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-83.339 ms
597292.01,timing_drift,digit_span,formal_span_2,8,014,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-83.339 ms
609728.197,timing_drift,digit_span,formal_span_3,9,014,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-83.339 ms
