participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms
014,014_T1_20260518_152756,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,1,1,practice,practice_single,1779089276,60.022,2026-05-18T15:28:27.731,0,0,0,1,23866.062,23935.927,practice_single,left,none,<,s,s,1,1318.961,25330.321,correct,,23966.062,24011.36,25330.321,3000,1318.961,25930.321,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 23866.062, ""actual_onset_global_ms"": 23935.927, ""actual_offset_global_ms"": 23994.005, ""actual_duration_ms"": 58.078}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 23966.062, ""actual_onset_global_ms"": 24011.36, ""actual_offset_global_ms"": 25330.321, ""actual_duration_ms"": 1318.961}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 25330.321, ""actual_onset_global_ms"": 25438.549, ""actual_offset_global_ms"": 26032.729, ""actual_duration_ms"": 594.18}]",correct.wav,25405.721,600.0,26005.721
014,014_T1_20260518_152756,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,2,2,practice,practice_single,1779089276,60.022,2026-05-18T15:28:29.909,0,0,0,1,26043.161,26061.914,practice_single,right,none,>,j,j,1,599.058,26778.89,correct,,26143.161,26179.832,26778.89,3000,599.058,27378.89,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 26043.161, ""actual_onset_global_ms"": 26061.914, ""actual_offset_global_ms"": 26176.706, ""actual_duration_ms"": 114.792}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 26143.161, ""actual_onset_global_ms"": 26179.832, ""actual_offset_global_ms"": 26778.89, ""actual_duration_ms"": 599.058}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 26778.89, ""actual_onset_global_ms"": 26836.929, ""actual_offset_global_ms"": 27435.582, ""actual_duration_ms"": 598.653}]",correct.wav,26814.344,600.0,27414.344
014,014_T1_20260518_152756,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,3,3,practice,practice_single,1779089276,60.022,2026-05-18T15:28:31.296,0,0,0,1,27430.963,27457.954,practice_single,left,none,<,s,s,1,779.721,28348.205,correct,,27530.963,27568.484,28348.205,3000,779.721,28948.205,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 27430.963, ""actual_onset_global_ms"": 27457.954, ""actual_offset_global_ms"": 27564.854, ""actual_duration_ms"": 106.9}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 27530.963, ""actual_onset_global_ms"": 27568.484, ""actual_offset_global_ms"": 28348.205, ""actual_duration_ms"": 779.721}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 28348.205, ""actual_onset_global_ms"": 28389.796, ""actual_offset_global_ms"": 28993.218, ""actual_duration_ms"": 603.422}]",correct.wav,28370.166,600.0,28970.166
014,014_T1_20260518_152756,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,4,4,practice,practice_single,1779089276,60.022,2026-05-18T15:28:32.853,0,0,0,1,28987.063,29004.744,practice_single,right,none,>,j,j,1,509.511,29632.701,correct,,29087.063,29123.19,29632.701,3000,509.511,30232.701,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 28987.063, ""actual_onset_global_ms"": 29004.744, ""actual_offset_global_ms"": 29118.825, ""actual_duration_ms"": 114.081}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 29087.063, ""actual_onset_global_ms"": 29123.19, ""actual_offset_global_ms"": 29632.701, ""actual_duration_ms"": 509.511}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 29632.701, ""actual_onset_global_ms"": 29693.644, ""actual_offset_global_ms"": 30287.816, ""actual_duration_ms"": 594.172}]",correct.wav,29670.285,600.0,30270.285
014,014_T1_20260518_152756,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,5,5,practice,practice_single,1779089276,60.022,2026-05-18T15:28:34.145,0,0,0,1,30280.023,30303.642,practice_single,right,none,>,j,j,1,878.37,31301.65,correct,,30380.023,30423.28,31301.65,3000,878.37,31901.65,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 30280.023, ""actual_onset_global_ms"": 30303.642, ""actual_offset_global_ms"": 30416.417, ""actual_duration_ms"": 112.775}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 30380.023, ""actual_onset_global_ms"": 30423.28, ""actual_offset_global_ms"": 31301.65, ""actual_duration_ms"": 878.37}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 31301.65, ""actual_onset_global_ms"": 31363.095, ""actual_offset_global_ms"": 31970.108, ""actual_duration_ms"": 607.013}]",correct.wav,31335.957,600.0,31935.957
014,014_T1_20260518_152756,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,6,6,practice,practice_single,1779089276,60.022,2026-05-18T15:28:35.826,0,0,0,1,31960.598,31980.384,practice_single,left,none,<,s,s,1,789.3,32883.192,correct,,32060.598,32093.892,32883.192,3000,789.3,33483.192,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 31960.598, ""actual_onset_global_ms"": 31980.384, ""actual_offset_global_ms"": 32091.386, ""actual_duration_ms"": 111.002}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 32060.598, ""actual_onset_global_ms"": 32093.892, ""actual_offset_global_ms"": 32883.192, ""actual_duration_ms"": 789.3}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 32883.192, ""actual_onset_global_ms"": 32956.981, ""actual_offset_global_ms"": 33558.021, ""actual_duration_ms"": 601.04}]",correct.wav,32930.441,600.0,33530.441
014,014_T1_20260518_152756,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,1,7,practice,congruent,1779089276,60.022,2026-05-18T15:28:44.201,0,0,0,1,40336.592,40373.785,congruent,left,left,<<<<<,s,s,1,4754.258,45222.643,correct,0.0,40436.592,40468.385,45222.643,3000,4754.258,45822.643,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 40336.592, ""actual_onset_global_ms"": 40373.785, ""actual_offset_global_ms"": 40463.061, ""actual_duration_ms"": 89.276}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 40436.592, ""actual_onset_global_ms"": 40468.385, ""actual_offset_global_ms"": 45222.643, ""actual_duration_ms"": 4754.258}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 45222.643, ""actual_onset_global_ms"": 45259.904, ""actual_offset_global_ms"": 45856.558, ""actual_duration_ms"": 596.654}]",correct.wav,45237.637,600.0,45837.637
014,014_T1_20260518_152756,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,2,8,practice,incongruent,1779089276,60.022,2026-05-18T15:28:49.714,0,0,0,1,45848.328,45872.554,incongruent,right,left,<<><<,j,j,1,1354.953,47345.464,correct,0.0,45948.328,45990.511,47345.464,3000,1354.953,47945.464,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 45848.328, ""actual_onset_global_ms"": 45872.554, ""actual_offset_global_ms"": 45982.869, ""actual_duration_ms"": 110.315}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 45948.328, ""actual_onset_global_ms"": 45990.511, ""actual_offset_global_ms"": 47345.464, ""actual_duration_ms"": 1354.953}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 47345.464, ""actual_onset_global_ms"": 47382.528, ""actual_offset_global_ms"": 47987.468, ""actual_duration_ms"": 604.94}]",correct.wav,47357.032,600.0,47957.032
014,014_T1_20260518_152756,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,3,9,practice,congruent,1779089276,60.022,2026-05-18T15:28:51.844,0,0,0,1,47979.434,47998.007,congruent,right,right,>>>>>,j,j,1,1019.127,49124.74,correct,0.0,48079.434,48105.613,49124.74,3000,1019.127,49724.74,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 47979.434, ""actual_onset_global_ms"": 47998.007, ""actual_offset_global_ms"": 48095.909, ""actual_duration_ms"": 97.902}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 48079.434, ""actual_onset_global_ms"": 48105.613, ""actual_offset_global_ms"": 49124.74, ""actual_duration_ms"": 1019.127}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 49124.74, ""actual_onset_global_ms"": 49154.069, ""actual_offset_global_ms"": 49761.57, ""actual_duration_ms"": 607.501}]",correct.wav,49129.585,600.0,49729.585
014,014_T1_20260518_152756,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,4,10,practice,congruent,1779089276,60.022,2026-05-18T15:28:53.618,0,0,0,1,49752.731,49772.926,congruent,left,left,<<<<<,s,s,1,954.797,50833.388,correct,0.0,49852.731,49878.591,50833.388,3000,954.797,51433.388,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 49752.731, ""actual_onset_global_ms"": 49772.926, ""actual_offset_global_ms"": 49872.863, ""actual_duration_ms"": 99.937}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 49852.731, ""actual_onset_global_ms"": 49878.591, ""actual_offset_global_ms"": 50833.388, ""actual_duration_ms"": 954.797}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 50833.388, ""actual_onset_global_ms"": 50859.82, ""actual_offset_global_ms"": 51461.023, ""actual_duration_ms"": 601.203}]",correct.wav,50837.6,600.0,51437.6
