participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data
015,015_T1_20260423_171428,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,1,13,formal,congruent,1776935668,59.678,2026-04-23T17:16:08.957,0,0,0,1,93594.978,93620.476,congruent,left,left,<<<<<,s,s,1,1660.044,95387.979,none,,93694.978,93727.935,95387.979,3000,1660.044,95387.979,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 93594.978, ""actual_onset_global_ms"": 93620.476, ""actual_offset_global_ms"": 93718.843, ""actual_duration_ms"": 98.367}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 93694.978, ""actual_onset_global_ms"": 93727.935, ""actual_offset_global_ms"": 95387.979, ""actual_duration_ms"": 1660.044}]",,,,,0,0,1,0,1
015,015_T1_20260423_171428,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,2,14,formal,incongruent,1776935668,59.678,2026-04-23T17:16:10.784,0,0,0,1,95421.557,95441.256,incongruent,right,left,<<><<,j,j,1,1808.477,97352.835,none,,95521.557,95544.358,97352.835,3000,1808.477,97352.835,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 95421.557, ""actual_onset_global_ms"": 95441.256, ""actual_offset_global_ms"": 95539.101, ""actual_duration_ms"": 97.845}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 95521.557, ""actual_onset_global_ms"": 95544.358, ""actual_offset_global_ms"": 97352.835, ""actual_duration_ms"": 1808.477}]",,,,,0,0,1,0,1
015,015_T1_20260423_171428,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,3,15,formal,incongruent,1776935668,59.678,2026-04-23T17:16:12.731,0,0,0,1,97368.556,97390.357,incongruent,left,right,>><>>,s,s,1,1464.716,98960.862,none,,97468.556,97496.146,98960.862,3000,1464.716,98960.862,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 97368.556, ""actual_onset_global_ms"": 97390.357, ""actual_offset_global_ms"": 97487.798, ""actual_duration_ms"": 97.441}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 97468.556, ""actual_onset_global_ms"": 97496.146, ""actual_offset_global_ms"": 98960.862, ""actual_duration_ms"": 1464.716}]",,,,,0,0,1,0,1
015,015_T1_20260423_171428,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,4,16,formal,incongruent,1776935668,59.678,2026-04-23T17:16:14.332,0,0,0,1,98970.012,98988.59,incongruent,left,right,>><>>,s,s,1,2119.911,101225.79,none,,99070.012,99105.879,101225.79,3000,2119.911,101225.79,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 98970.012, ""actual_onset_global_ms"": 98988.59, ""actual_offset_global_ms"": 99097.835, ""actual_duration_ms"": 109.245}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 99070.012, ""actual_onset_global_ms"": 99105.879, ""actual_offset_global_ms"": 101225.79, ""actual_duration_ms"": 2119.911}]",,,,,0,0,1,0,1
015,015_T1_20260423_171428,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,5,17,formal,congruent,1776935668,59.678,2026-04-23T17:16:16.616,0,0,0,1,101253.762,101279.281,congruent,right,right,>>>>>,j,j,1,1381.98,102764.587,none,,101353.762,101382.607,102764.587,3000,1381.98,102764.587,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 101253.762, ""actual_onset_global_ms"": 101279.281, ""actual_offset_global_ms"": 101375.722, ""actual_duration_ms"": 96.441}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 101353.762, ""actual_onset_global_ms"": 101382.607, ""actual_offset_global_ms"": 102764.587, ""actual_duration_ms"": 1381.98}]",,,,,0,0,1,0,1
015,015_T1_20260423_171428,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,6,18,formal,incongruent,1776935668,59.678,2026-04-23T17:16:18.145,0,0,0,1,102783.36,102802.503,incongruent,left,right,>><>>,s,s,1,1788.28,104702.961,none,,102883.36,102914.681,104702.961,3000,1788.28,104702.961,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 102783.36, ""actual_onset_global_ms"": 102802.503, ""actual_offset_global_ms"": 102906.179, ""actual_duration_ms"": 103.676}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 102883.36, ""actual_onset_global_ms"": 102914.681, ""actual_offset_global_ms"": 104702.961, ""actual_duration_ms"": 1788.28}]",,,,,0,0,1,0,1
015,015_T1_20260423_171428,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,7,19,formal,congruent,1776935668,59.678,2026-04-23T17:16:20.099,0,0,0,1,104736.674,104757.843,congruent,right,right,>>>>>,j,j,1,1510.183,106372.874,none,,104836.674,104862.691,106372.874,3000,1510.183,106372.874,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 104736.674, ""actual_onset_global_ms"": 104757.843, ""actual_offset_global_ms"": 104855.998, ""actual_duration_ms"": 98.155}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 104836.674, ""actual_onset_global_ms"": 104862.691, ""actual_offset_global_ms"": 106372.874, ""actual_duration_ms"": 1510.183}]",,,,,0,0,1,0,1
015,015_T1_20260423_171428,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,8,20,formal,congruent,1776935668,59.678,2026-04-23T17:16:21.746,0,0,0,1,106384.475,106408.681,congruent,left,left,<<<<<,s,s,1,1314.697,107828.091,none,,106484.475,106513.394,107828.091,3000,1314.697,107828.091,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 106384.475, ""actual_onset_global_ms"": 106408.681, ""actual_offset_global_ms"": 106509.017, ""actual_duration_ms"": 100.336}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 106484.475, ""actual_onset_global_ms"": 106513.394, ""actual_offset_global_ms"": 107828.091, ""actual_duration_ms"": 1314.697}]",,,,,0,0,1,0,1
015,015_T1_20260423_171428,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,9,21,formal,incongruent,1776935668,59.678,2026-04-23T17:16:23.214,0,0,0,1,107851.262,107871.367,incongruent,left,right,>><>>,s,s,1,1671.002,109649.713,none,,107951.262,107978.711,109649.713,3000,1671.002,109649.713,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 107851.262, ""actual_onset_global_ms"": 107871.367, ""actual_offset_global_ms"": 107971.637, ""actual_duration_ms"": 100.27}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 107951.262, ""actual_onset_global_ms"": 107978.711, ""actual_offset_global_ms"": 109649.713, ""actual_duration_ms"": 1671.002}]",,,,,0,0,1,0,1
015,015_T1_20260423_171428,PCPA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,10,22,formal,congruent,1776935668,59.678,2026-04-23T17:16:25.049,0,0,0,1,109687.262,109711.404,congruent,right,right,>>>>>,j,j,1,1960.392,111785.128,none,,109787.262,109824.736,111785.128,3000,1960.392,111785.128,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 109687.262, ""actual_onset_global_ms"": 109711.404, ""actual_offset_global_ms"": 109816.668, ""actual_duration_ms"": 105.264}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 109787.262, ""actual_onset_global_ms"": 109824.736, ""actual_offset_global_ms"": 111785.128, ""actual_duration_ms"": 1960.392}]",,,,,0,0,1,0,1
