global_time_ms,event_type,task_name,block_name,trial_index_global,participant_id,group,timepoint,practice_layer,telemetry_version,block_type,event_value,prompt_level,support_level,support_rule,support_trigger_reason,rule_block_error_count,support_phase,support_faded_after_trial,error_type,message
3325.139,task_start,flanker,,,015,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,flanker_task_start
171379.333,task_end,flanker,formal_block_2,52,015,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,flanker_finished
174544.934,task_start,dccs,,,015,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,dccs_task_start
204674.52,timing_drift,dccs,pre_switch_practice,1,015,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.243 ms
319989.689,task_end,dccs,mixed_formal,42,015,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,dccs_finished
325767.708,task_start,digit_span,,,015,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,digit_span_task_start
352578.191,timing_drift,digit_span,practice_digitspan,1,015,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.243 ms
400430.708,timing_drift,digit_span,practice_digitspan,2,015,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.243 ms
431528.002,timing_drift,digit_span,practice_digitspan,3,015,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.243 ms
438095.389,timing_drift,digit_span,practice_digitspan,4,015,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.243 ms
445207.047,timing_drift,digit_span,practice_digitspan,5,015,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.243 ms
451763.176,timing_drift,digit_span,practice_digitspan,6,015,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.243 ms
465288.767,timing_drift,digit_span,formal_span_2,7,015,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.243 ms
472672.382,timing_drift,digit_span,formal_span_2,8,015,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.243 ms
480283.499,timing_drift,digit_span,formal_span_3,9,015,PCPA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.243 ms
