participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,trial_transition,previous_rule,current_rule,cue_to_first_response_ms,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,repeated_audio_once_in_practice,termination_reason,terminal_span_length,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,layout_generation_attempts,overlap_check_passed
015,015_T1_20260518_154701,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,1,1,practice,practice_single,1779090421,60.235,2026-05-18T15:47:38.991,0,0,0,1,30354.346,30406.546,practice_single,left,none,<,s,s,1,1017.816,31518.478,correct,,30454.346,30500.662,31518.478,3000,1017.816,32118.478,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 30354.346, ""actual_onset_global_ms"": 30406.546, ""actual_offset_global_ms"": 30490.688, ""actual_duration_ms"": 84.142}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 30454.346, ""actual_onset_global_ms"": 30500.662, ""actual_offset_global_ms"": 31518.478, ""actual_duration_ms"": 1017.816}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 31518.478, ""actual_onset_global_ms"": 31617.44, ""actual_offset_global_ms"": 32206.69, ""actual_duration_ms"": 589.25}]",correct.wav,31587.533,600.0,32187.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015,015_T1_20260518_154701,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,2,2,practice,practice_single,1779090421,60.235,2026-05-18T15:47:40.835,0,0,0,1,32198.505,32214.883,practice_single,left,none,<,s,s,1,17525.745,49848.53,correct,,32298.505,32322.785,49848.53,3000,17525.745,50448.53,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 32198.505, ""actual_onset_global_ms"": 32214.883, ""actual_offset_global_ms"": 32320.406, ""actual_duration_ms"": 105.523}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 32298.505, ""actual_onset_global_ms"": 32322.785, ""actual_offset_global_ms"": 49848.53, ""actual_duration_ms"": 17525.745}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 49848.53, ""actual_onset_global_ms"": 49899.139, ""actual_offset_global_ms"": 50511.68, ""actual_duration_ms"": 612.541}]",correct.wav,49876.433,600.0,50476.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015,015_T1_20260518_154701,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,3,3,practice,practice_single,1779090421,60.235,2026-05-18T15:47:59.141,0,0,0,1,50503.267,50524.704,practice_single,right,none,>,j,j,1,1594.929,52222.375,correct,,50603.267,50627.446,52222.375,3000,1594.929,52822.375,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 50503.267, ""actual_onset_global_ms"": 50524.704, ""actual_offset_global_ms"": 50626.405, ""actual_duration_ms"": 101.701}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 50603.267, ""actual_onset_global_ms"": 50627.446, ""actual_offset_global_ms"": 52222.375, ""actual_duration_ms"": 1594.929}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 52222.375, ""actual_onset_global_ms"": 52268.962, ""actual_offset_global_ms"": 52880.723, ""actual_duration_ms"": 611.761}]",correct.wav,52245.859,600.0,52845.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015,015_T1_20260518_154701,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,4,4,practice,practice_single,1779090421,60.235,2026-05-18T15:48:01.508,0,0,0,1,52870.824,52890.568,practice_single,left,none,<,s,s,1,966.993,53975.371,correct,,52970.824,53008.378,53975.371,3000,966.993,54575.371,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 52870.824, ""actual_onset_global_ms"": 52890.568, ""actual_offset_global_ms"": 53006.061, ""actual_duration_ms"": 115.493}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 52970.824, ""actual_onset_global_ms"": 53008.378, ""actual_offset_global_ms"": 53975.371, ""actual_duration_ms"": 966.993}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 53975.371, ""actual_onset_global_ms"": 54025.524, ""actual_offset_global_ms"": 54625.158, ""actual_duration_ms"": 599.634}]",correct.wav,54005.38,600.0,54605.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015,015_T1_20260518_154701,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,5,5,practice,practice_single,1779090421,60.235,2026-05-18T15:48:03.257,0,0,0,1,54619.628,54640.676,practice_single,right,none,>,j,j,1,838.199,55599.828,correct,,54719.628,54761.629,55599.828,3000,838.199,56199.828,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 54619.628, ""actual_onset_global_ms"": 54640.676, ""actual_offset_global_ms"": 54756.605, ""actual_duration_ms"": 115.929}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 54719.628, ""actual_onset_global_ms"": 54761.629, ""actual_offset_global_ms"": 55599.828, ""actual_duration_ms"": 838.199}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 55599.828, ""actual_onset_global_ms"": 55669.035, ""actual_offset_global_ms"": 56260.986, ""actual_duration_ms"": 591.951}]",correct.wav,55642.484,600.0,56242.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015,015_T1_20260518_154701,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,6,6,practice,practice_single,1779090421,60.235,2026-05-18T15:48:04.890,0,0,0,1,56252.735,56272.38,practice_single,right,none,>,j,j,1,1017.341,57404.04,correct,,56352.735,56386.699,57404.04,3000,1017.341,58004.04,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 56252.735, ""actual_onset_global_ms"": 56272.38, ""actual_offset_global_ms"": 56382.003, ""actual_duration_ms"": 109.623}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 56352.735, ""actual_onset_global_ms"": 56386.699, ""actual_offset_global_ms"": 57404.04, ""actual_duration_ms"": 1017.341}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 57404.04, ""actual_onset_global_ms"": 57452.003, ""actual_offset_global_ms"": 58053.885, ""actual_duration_ms"": 601.882}]",correct.wav,57424.245,600.0,58024.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015,015_T1_20260518_154701,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,1,7,practice,congruent,1779090421,60.235,2026-05-18T15:48:36.107,0,0,0,1,87470.495,87494.953,congruent,left,left,<<<<<,s,s,1,8253.044,95858.095,correct,1.0,87570.495,87605.051,95858.095,3000,8253.044,96458.095,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 87470.495, ""actual_onset_global_ms"": 87494.953, ""actual_offset_global_ms"": 87598.365, ""actual_duration_ms"": 103.412}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 87570.495, ""actual_onset_global_ms"": 87605.051, ""actual_offset_global_ms"": 95858.095, ""actual_duration_ms"": 8253.044}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 95858.095, ""actual_onset_global_ms"": 95881.789, ""actual_offset_global_ms"": 96484.118, ""actual_duration_ms"": 602.329}]",correct.wav,95862.732,600.0,96462.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015,015_T1_20260518_154701,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,2,8,practice,incongruent,1779090421,60.235,2026-05-18T15:48:45.111,0,0,0,1,96474.096,96491.28,incongruent,right,left,<<><<,j,j,1,1018.805,97629.901,correct,1.0,96574.096,96611.096,97629.901,3000,1018.805,98229.901,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 96474.096, ""actual_onset_global_ms"": 96491.28, ""actual_offset_global_ms"": 96606.567, ""actual_duration_ms"": 115.287}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 96574.096, ""actual_onset_global_ms"": 96611.096, ""actual_offset_global_ms"": 97629.901, ""actual_duration_ms"": 1018.805}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 97629.901, ""actual_onset_global_ms"": 97660.289, ""actual_offset_global_ms"": 98271.319, ""actual_duration_ms"": 611.03}]",correct.wav,97640.674,600.0,98240.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015,015_T1_20260518_154701,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,3,9,practice,incongruent,1779090421,60.235,2026-05-18T15:48:46.897,0,0,0,1,98260.261,98275.815,incongruent,right,left,<<><<,j,j,1,937.054,99334.075,correct,1.0,98360.261,98397.021,99334.075,3000,937.054,99934.075,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 98260.261, ""actual_onset_global_ms"": 98275.815, ""actual_offset_global_ms"": 98393.331, ""actual_duration_ms"": 117.516}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 98360.261, ""actual_onset_global_ms"": 98397.021, ""actual_offset_global_ms"": 99334.075, ""actual_duration_ms"": 937.054}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 99334.075, ""actual_onset_global_ms"": 99370.636, ""actual_offset_global_ms"": 99971.149, ""actual_duration_ms"": 600.513}]",correct.wav,99343.647,600.0,99943.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015,015_T1_20260518_154701,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,4,10,practice,incongruent,1779090421,60.235,2026-05-18T15:48:48.602,0,0,0,1,99964.496,99984.061,incongruent,left,right,>><>>,s,s,1,1006.14,101098.37,correct,1.0,100064.496,100092.23,101098.37,3000,1006.14,101698.37,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 99964.496, ""actual_onset_global_ms"": 99984.061, ""actual_offset_global_ms"": 100088.233, ""actual_duration_ms"": 104.172}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 100064.496, ""actual_onset_global_ms"": 100092.23, ""actual_offset_global_ms"": 101098.37, ""actual_duration_ms"": 1006.14}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 101098.37, ""actual_onset_global_ms"": 101127.989, ""actual_offset_global_ms"": 101739.658, ""actual_duration_ms"": 611.669}]",correct.wav,101110.56,600.0,101710.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
