participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,intended_trial_start_ms,actual_trial_start_ms,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,response_correct,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,rt_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,repeated_audio_once_in_practice,stage_records_json,termination_reason,terminal_span_length
015,015_T1_20260518_154701,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,1,1,practice,span_2,1779090421,60.235,2026-05-18T15:53:39.982,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,391345.173,391669.417,2,1,1,"[7, 9]","[""9"", ""7""]","[""9"", ""7""]",97,onscreen_mouse,10260.513,26568.907,1,1,0,0,0,3,[5439.358],,"[391674.461, 392709.485]","[""digit_7.wav"", ""digit_9.wav""]","[{""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 391674.461, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 392174.461}, {""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 392709.485, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 393209.485}]",,391445.173,391674.461,420439.298,2000,28764.837,420439.298,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 391345.173, ""actual_onset_global_ms"": 391669.417, ""actual_offset_global_ms"": 391686.019, ""actual_duration_ms"": 16.602}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 391445.173, ""actual_onset_global_ms"": 391674.461, ""actual_offset_global_ms"": 393209.485, ""actual_duration_ms"": 1535.024}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 393209.485, ""actual_onset_global_ms"": 393314.376, ""actual_offset_global_ms"": 393803.329, ""actual_duration_ms"": 488.953}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 393803.329, ""actual_onset_global_ms"": 393870.302, ""actual_offset_global_ms"": 420439.298, ""actual_duration_ms"": 26568.996}]",,
015,015_T1_20260518_154701,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,2,2,practice,span_2,1779090421,60.235,2026-05-18T15:54:09.084,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,420447.315,420595.261,2,2,1,"[8, 5]","[""5"", ""8""]","[""5"", ""8""]",58,onscreen_mouse,4677.129,11034.779,1,1,0,0,0,3,[3680.252],,"[420599.07, 421638.124]","[""digit_8.wav"", ""digit_5.wav""]","[{""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 420599.07, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 421099.07}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 421638.124, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 422138.124}]",,420547.315,420599.07,433770.378,2000,13171.308,433770.378,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 420447.315, ""actual_onset_global_ms"": 420595.261, ""actual_offset_global_ms"": 420611.863, ""actual_duration_ms"": 16.602}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 420547.315, ""actual_onset_global_ms"": 420599.07, ""actual_offset_global_ms"": 422138.124, ""actual_duration_ms"": 1539.054}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 422138.124, ""actual_onset_global_ms"": 422227.892, ""actual_offset_global_ms"": 422727.411, ""actual_duration_ms"": 499.519}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 422727.411, ""actual_onset_global_ms"": 422735.205, ""actual_offset_global_ms"": 433770.378, ""actual_duration_ms"": 11035.173}]",,
015,015_T1_20260518_154701,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,3,3,practice,span_2,1779090421,60.235,2026-05-18T15:54:22.416,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,433778.994,433943.544,2,3,1,"[4, 2]","[""2"", ""4""]","[""2"", ""4""]",24,onscreen_mouse,5416.974,11458.038,1,1,0,0,0,3,[1549.016],,"[433947.276, 435019.838]","[""digit_4.wav"", ""digit_2.wav""]","[{""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 433947.276, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 434447.276}, {""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 435019.838, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 435519.838}]",,433878.994,433947.276,447580.431,2000,13633.155,447580.431,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 433778.994, ""actual_onset_global_ms"": 433943.544, ""actual_offset_global_ms"": 433960.146, ""actual_duration_ms"": 16.602}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 433878.994, ""actual_onset_global_ms"": 433947.276, ""actual_offset_global_ms"": 435519.838, ""actual_duration_ms"": 1572.562}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 435519.838, ""actual_onset_global_ms"": 435618.454, ""actual_offset_global_ms"": 436114.102, ""actual_duration_ms"": 495.648}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 436114.102, ""actual_onset_global_ms"": 436121.841, ""actual_offset_global_ms"": 447580.431, ""actual_duration_ms"": 11458.59}]",,
015,015_T1_20260518_154701,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,4,4,practice,span_2,1779090421,60.235,2026-05-18T15:54:36.223,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,447586.015,447730.269,2,4,1,"[2, 1]","[""1"", ""2""]","[""1"", ""2""]",12,onscreen_mouse,2825.367,10590.557,1,1,0,0,0,3,[2525.783],,"[447733.662, 448797.426]","[""digit_2.wav"", ""digit_1.wav""]","[{""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 447733.662, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 448233.662}, {""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 448797.426, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 449297.426}]",,447686.015,447733.662,460529.193,2000,12795.531,460529.193,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 447586.015, ""actual_onset_global_ms"": 447730.269, ""actual_offset_global_ms"": 447746.871, ""actual_duration_ms"": 16.602}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 447686.015, ""actual_onset_global_ms"": 447733.662, ""actual_offset_global_ms"": 449297.426, ""actual_duration_ms"": 1563.764}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 449297.426, ""actual_onset_global_ms"": 449419.47, ""actual_offset_global_ms"": 449930.423, ""actual_duration_ms"": 510.953}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 449930.423, ""actual_onset_global_ms"": 449938.527, ""actual_offset_global_ms"": 460529.193, ""actual_duration_ms"": 10590.666}]",,
015,015_T1_20260518_154701,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,5,5,practice,span_2,1779090421,60.235,2026-05-18T15:54:49.172,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,460535.565,460678.371,2,5,1,"[9, 3]","[""3"", ""9""]","[""3"", ""9""]",39,onscreen_mouse,5507.305,11707.783,1,1,0,0,0,3,[3000.879],,"[460681.922, 461755.251]","[""digit_9.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 460681.922, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 461181.922}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 461755.251, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 462255.251}]",,460635.565,460681.922,474521.603,2000,13839.681,474521.603,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 460535.565, ""actual_onset_global_ms"": 460678.371, ""actual_offset_global_ms"": 460694.973, ""actual_duration_ms"": 16.602}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 460635.565, ""actual_onset_global_ms"": 460681.922, ""actual_offset_global_ms"": 462255.251, ""actual_duration_ms"": 1573.329}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 462255.251, ""actual_onset_global_ms"": 462304.454, ""actual_offset_global_ms"": 462804.016, ""actual_duration_ms"": 499.562}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 462804.016, ""actual_onset_global_ms"": 462813.479, ""actual_offset_global_ms"": 474521.603, ""actual_duration_ms"": 11708.124}]",,
015,015_T1_20260518_154701,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,6,6,practice,span_2,1779090421,60.235,2026-05-18T15:55:03.166,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,474528.799,474702.259,2,6,1,"[3, 8]","[""8"", ""3""]","[""8"", ""3""]",83,onscreen_mouse,3605.364,14273.204,1,1,0,0,0,3,[2573.94],,"[474705.978, 475775.608]","[""digit_3.wav"", ""digit_8.wav""]","[{""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 474705.978, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 475205.978}, {""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 475775.608, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 476275.608}]",,474628.799,474705.978,491163.417,2000,16457.439,491163.417,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 474528.799, ""actual_onset_global_ms"": 474702.259, ""actual_offset_global_ms"": 474718.861, ""actual_duration_ms"": 16.602}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 474628.799, ""actual_onset_global_ms"": 474705.978, ""actual_offset_global_ms"": 476275.608, ""actual_duration_ms"": 1569.63}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 476275.608, ""actual_onset_global_ms"": 476377.571, ""actual_offset_global_ms"": 476876.475, ""actual_duration_ms"": 498.904}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 476876.475, ""actual_onset_global_ms"": 476890.001, ""actual_offset_global_ms"": 491163.417, ""actual_duration_ms"": 14273.416}]",,
015,015_T1_20260518_154701,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,1,7,formal,span_2,1779090421,60.235,2026-05-18T15:55:29.265,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,500627.825,500789.923,2,1,1,"[9, 4]","[""4"", ""9""]","[""4"", ""9""]",49,onscreen_mouse,6478.381,12571.615,1,1,0,0,0,3,[4032.979],advance,"[500793.87, 501834.911]","[""digit_9.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 500793.87, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 501293.87}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 501834.911, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 502334.911}]",,500727.825,500793.87,515514.844,2000,14720.974,515514.844,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 500627.825, ""actual_onset_global_ms"": 500789.923, ""actual_offset_global_ms"": 500806.525, ""actual_duration_ms"": 16.602}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 500727.825, ""actual_onset_global_ms"": 500793.87, ""actual_offset_global_ms"": 502334.911, ""actual_duration_ms"": 1541.041}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 502334.911, ""actual_onset_global_ms"": 502418.465, ""actual_offset_global_ms"": 502934.456, ""actual_duration_ms"": 515.991}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 502934.456, ""actual_onset_global_ms"": 502943.029, ""actual_offset_global_ms"": 515514.844, ""actual_duration_ms"": 12571.815}]",two_failures_in_span,4.0
015,015_T1_20260518_154701,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,2,8,formal,span_2,1779090421,60.235,2026-05-18T15:55:44.159,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,515522.432,515681.881,2,2,1,"[1, 3]","[""3"", ""1""]","[""3"", ""1""]",31,onscreen_mouse,2722.805,13432.415,1,1,0,0,0,3,[4139.156],advance,"[515685.775, 516728.062]","[""digit_1.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 515685.775, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 516185.775}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 516728.062, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 517228.062}]",,515622.432,515685.775,531306.312,2000,15620.537,531306.312,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 515522.432, ""actual_onset_global_ms"": 515681.881, ""actual_offset_global_ms"": 515698.483, ""actual_duration_ms"": 16.602}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 515622.432, ""actual_onset_global_ms"": 515685.775, ""actual_offset_global_ms"": 517228.062, ""actual_duration_ms"": 1542.287}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 517228.062, ""actual_onset_global_ms"": 517359.768, ""actual_offset_global_ms"": 517865.248, ""actual_duration_ms"": 505.48}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 517865.248, ""actual_onset_global_ms"": 517873.559, ""actual_offset_global_ms"": 531306.312, ""actual_duration_ms"": 13432.753}]",two_failures_in_span,4.0
015,015_T1_20260518_154701,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,1,9,formal,span_3,1779090421,60.235,2026-05-18T15:55:59.956,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,531319.416,531500.176,3,1,2,"[3, 4, 2]","[""2"", ""4"", ""3""]","[""4"", ""2"", ""3""]",423,onscreen_mouse,4924.614,12025.92,0,0,0,0,0,4,"[2394.938, 1618.293]",advance,"[531506.171, 532578.156, 533538.953]","[""digit_3.wav"", ""digit_4.wav"", ""digit_2.wav""]","[{""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 531506.171, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 532006.171}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 532578.156, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 533078.156}, {""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 533538.953, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 534038.953}]",,531419.416,531506.171,546658.607,3000,15152.436,546658.607,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 531319.416, ""actual_onset_global_ms"": 531500.176, ""actual_offset_global_ms"": 531516.778, ""actual_duration_ms"": 16.602}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 531419.416, ""actual_onset_global_ms"": 531506.171, ""actual_offset_global_ms"": 534038.953, ""actual_duration_ms"": 2532.782}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 534038.953, ""actual_onset_global_ms"": 534118.919, ""actual_offset_global_ms"": 534619.412, ""actual_duration_ms"": 500.493}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 534619.412, ""actual_onset_global_ms"": 534632.512, ""actual_offset_global_ms"": 546658.607, ""actual_duration_ms"": 12026.095}]",two_failures_in_span,4.0
015,015_T1_20260518_154701,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,2,10,formal,span_3,1779090421,60.235,2026-05-18T15:56:15.303,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,546666.741,546826.903,3,2,2,"[7, 1, 3]","[""3"", ""1"", ""7""]","[""3"", ""1"", ""7""]",317,onscreen_mouse,4760.26,17228.603,1,1,0,0,0,4,"[4007.694, 4795.305]",advance,"[546830.664, 547857.146, 548856.57]","[""digit_7.wav"", ""digit_1.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 546830.664, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 547330.664}, {""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 547857.146, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 548357.146}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 548856.57, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 549356.57}]",,546766.741,546830.664,567153.496,3000,20322.832,567153.496,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 546666.741, ""actual_onset_global_ms"": 546826.903, ""actual_offset_global_ms"": 546843.505, ""actual_duration_ms"": 16.602}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 546766.741, ""actual_onset_global_ms"": 546830.664, ""actual_offset_global_ms"": 549356.57, ""actual_duration_ms"": 2525.906}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 549356.57, ""actual_onset_global_ms"": 549403.684, ""actual_offset_global_ms"": 549917.223, ""actual_duration_ms"": 513.539}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 549917.223, ""actual_onset_global_ms"": 549924.757, ""actual_offset_global_ms"": 567153.496, ""actual_duration_ms"": 17228.739}]",two_failures_in_span,4.0
