participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,correct_response_key,accuracy,response_correct,rt_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,layout_generation_attempts,overlap_check_passed,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,practice_pass_flag
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,1,1,practice,N1_change,1779091543,60.047,2026-05-18T16:17:39.790,0,0,0,1,709502.059,709536.086,1,change,0,"[126.52, 50.82]","[[126.52, 50.82]]","[""yellow""]","[""green""]",yellow,green,s,same,j,0,0,13163.107,incorrect,incorrect.wav,726372.369,150.0,726872.369,1,1,713102.059,713188.715,726371.722,4000,13183.007,726521.722,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 709502.059, ""actual_onset_global_ms"": 709536.086, ""actual_offset_global_ms"": 709636.77, ""actual_duration_ms"": 100.684}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 709602.059, ""actual_onset_global_ms"": 709656.789, ""actual_offset_global_ms"": 712142.892, ""actual_duration_ms"": 2486.103}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 712142.892, ""actual_onset_global_ms"": 712140.553, ""actual_offset_global_ms"": 713155.872, ""actual_duration_ms"": 1015.319}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 713155.872, ""actual_onset_global_ms"": 713188.715, ""actual_offset_global_ms"": 726371.722, ""actual_duration_ms"": 13183.007}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 726371.722, ""actual_onset_global_ms"": 726422.816, ""actual_offset_global_ms"": 726540.686, ""actual_duration_ms"": 117.87}]",0.0
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,2,2,practice,N2_change,1779091543,60.047,2026-05-18T16:17:56.827,0,0,0,1,726539.528,726558.419,2,change,0,"[-45.04, 210.44]","[[-45.04, 210.44], [-57.7, -256.3]]","[""yellow"", ""blue""]","[""purple"", ""blue""]",yellow,purple,j,change,j,1,1,10960.531,correct,correct.wav,741225.569,150.0,741725.569,3,1,730139.528,730225.365,741224.997,4000,10999.632,741374.997,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 726539.528, ""actual_onset_global_ms"": 726558.419, ""actual_offset_global_ms"": 726669.613, ""actual_duration_ms"": 111.194}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 726639.528, ""actual_onset_global_ms"": 726711.525, ""actual_offset_global_ms"": 729173.873, ""actual_duration_ms"": 2462.348}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 729173.873, ""actual_onset_global_ms"": 729179.996, ""actual_offset_global_ms"": 730188.43, ""actual_duration_ms"": 1008.434}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 730188.43, ""actual_onset_global_ms"": 730225.365, ""actual_offset_global_ms"": 741224.997, ""actual_duration_ms"": 10999.632}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 741224.997, ""actual_onset_global_ms"": 741253.864, ""actual_offset_global_ms"": 741395.591, ""actual_duration_ms"": 141.727}]",0.0
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,3,3,practice,N2_same,1779091543,60.047,2026-05-18T16:18:11.675,0,0,0,1,741388.222,741408.244,2,same,1,"[161.65, 233.23]","[[-67.77, -177.81], [161.65, 233.23]]","[""green"", ""blue""]","[""green"", ""blue""]",blue,blue,j,change,s,0,0,2415.052,incorrect,incorrect.wav,747540.494,150.0,748040.494,2,1,744988.222,745058.522,747539.779,4000,2481.257,747689.779,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 741388.222, ""actual_onset_global_ms"": 741408.244, ""actual_offset_global_ms"": 741506.582, ""actual_duration_ms"": 98.338}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 741488.222, ""actual_onset_global_ms"": 741536.648, ""actual_offset_global_ms"": 744007.444, ""actual_duration_ms"": 2470.796}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 744007.444, ""actual_onset_global_ms"": 744006.803, ""actual_offset_global_ms"": 745022.98, ""actual_duration_ms"": 1016.177}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 745022.98, ""actual_onset_global_ms"": 745058.522, ""actual_offset_global_ms"": 747539.779, ""actual_duration_ms"": 2481.257}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 747539.779, ""actual_onset_global_ms"": 747560.272, ""actual_offset_global_ms"": 747721.274, ""actual_duration_ms"": 161.002}]",0.0
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,4,4,practice,N2_same,1779091543,60.047,2026-05-18T16:18:17.999,0,0,0,1,747711.594,747730.294,2,same,1,"[252.48, -105.54]","[[-63.05, 196.02], [252.48, -105.54]]","[""yellow"", ""blue""]","[""yellow"", ""blue""]",blue,blue,j,change,s,0,0,9605.741,incorrect,incorrect.wav,761061.832,150.0,761561.832,3,1,751311.594,751395.219,761061.05,4000,9665.831,761211.05,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 747711.594, ""actual_onset_global_ms"": 747730.294, ""actual_offset_global_ms"": 747836.146, ""actual_duration_ms"": 105.852}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 747811.594, ""actual_onset_global_ms"": 747879.852, ""actual_offset_global_ms"": 750349.25, ""actual_duration_ms"": 2469.398}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 750349.25, ""actual_onset_global_ms"": 750352.23, ""actual_offset_global_ms"": 751354.868, ""actual_duration_ms"": 1002.638}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 751354.868, ""actual_onset_global_ms"": 751395.219, ""actual_offset_global_ms"": 761061.05, ""actual_duration_ms"": 9665.831}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 761061.05, ""actual_onset_global_ms"": 761086.468, ""actual_offset_global_ms"": 761231.151, ""actual_duration_ms"": 144.683}]",0.0
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,5,5,practice,N1_change,1779091543,60.047,2026-05-18T16:18:31.512,0,0,0,1,761224.271,761246.307,1,change,0,"[-143.68, 27.65]","[[-143.68, 27.65]]","[""yellow""]","[""purple""]",yellow,purple,j,change,j,1,1,6912.598,correct,correct.wav,771871.628,150.0,772371.628,1,1,764824.271,764916.774,771871.058,4000,6954.284,772021.058,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 761224.271, ""actual_onset_global_ms"": 761246.307, ""actual_offset_global_ms"": 761351.03, ""actual_duration_ms"": 104.723}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 761324.271, ""actual_onset_global_ms"": 761370.675, ""actual_offset_global_ms"": 763884.677, ""actual_duration_ms"": 2514.002}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 763884.677, ""actual_onset_global_ms"": 763879.404, ""actual_offset_global_ms"": 764888.318, ""actual_duration_ms"": 1008.914}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 764888.318, ""actual_onset_global_ms"": 764916.774, ""actual_offset_global_ms"": 771871.058, ""actual_duration_ms"": 6954.284}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 771871.058, ""actual_onset_global_ms"": 771894.092, ""actual_offset_global_ms"": 772056.157, ""actual_duration_ms"": 162.065}]",0.0
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,6,6,practice,N1_same,1779091543,60.047,2026-05-18T16:18:42.335,0,0,0,1,772047.472,772064.326,1,same,0,"[-71.99, 85.05]","[[-71.99, 85.05]]","[""red""]","[""red""]",red,red,s,same,s,1,1,2628.76,correct,correct.wav,778405.26,150.0,778905.26,1,1,775647.472,775727.252,778404.492,4000,2677.24,778554.492,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 772047.472, ""actual_onset_global_ms"": 772064.326, ""actual_offset_global_ms"": 772178.715, ""actual_duration_ms"": 114.389}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 772147.472, ""actual_onset_global_ms"": 772204.727, ""actual_offset_global_ms"": 774698.026, ""actual_duration_ms"": 2493.299}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 774698.026, ""actual_onset_global_ms"": 774694.013, ""actual_offset_global_ms"": 775704.507, ""actual_duration_ms"": 1010.494}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 775704.507, ""actual_onset_global_ms"": 775727.252, ""actual_offset_global_ms"": 778404.492, ""actual_duration_ms"": 2677.24}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 778404.492, ""actual_onset_global_ms"": 778430.409, ""actual_offset_global_ms"": 778590.866, ""actual_duration_ms"": 160.457}]",0.0
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,7,7,practice,N1_same,1779091543,60.047,2026-05-18T16:18:48.870,0,0,0,1,778583.069,778606.752,1,same,0,"[-23.88, 92.99]","[[-23.88, 92.99]]","[""yellow""]","[""yellow""]",yellow,yellow,s,same,s,1,1,1742.767,correct,correct.wav,784059.567,150.0,784559.567,1,1,782183.069,782264.558,784058.854,4000,1794.296,784208.854,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 778583.069, ""actual_onset_global_ms"": 778606.752, ""actual_offset_global_ms"": 778707.71, ""actual_duration_ms"": 100.958}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 778683.069, ""actual_onset_global_ms"": 778731.71, ""actual_offset_global_ms"": 781224.314, ""actual_duration_ms"": 2492.604}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 781224.314, ""actual_onset_global_ms"": 781222.736, ""actual_offset_global_ms"": 782239.26, ""actual_duration_ms"": 1016.524}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 782239.26, ""actual_onset_global_ms"": 782264.558, ""actual_offset_global_ms"": 784058.854, ""actual_duration_ms"": 1794.296}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 784058.854, ""actual_onset_global_ms"": 784080.413, ""actual_offset_global_ms"": 784242.942, ""actual_duration_ms"": 162.529}]",0.0
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,8,8,practice,N2_change,1779091543,60.047,2026-05-18T16:18:54.522,0,0,0,1,784234.949,784258.781,2,change,0,"[64.03, -127.94]","[[64.03, -127.94], [231.85, -240.72]]","[""yellow"", ""red""]","[""green"", ""red""]",yellow,green,j,change,j,1,1,2963.204,correct,correct.wav,790924.242,150.0,791424.242,3,1,787834.949,787934.586,790923.658,4000,2989.072,791073.658,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 784234.949, ""actual_onset_global_ms"": 784258.781, ""actual_offset_global_ms"": 784366.623, ""actual_duration_ms"": 107.842}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 784334.949, ""actual_onset_global_ms"": 784407.46, ""actual_offset_global_ms"": 786886.43, ""actual_duration_ms"": 2478.97}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 786886.43, ""actual_onset_global_ms"": 786889.219, ""actual_offset_global_ms"": 787887.694, ""actual_duration_ms"": 998.475}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 787887.694, ""actual_onset_global_ms"": 787934.586, ""actual_offset_global_ms"": 790923.658, ""actual_duration_ms"": 2989.072}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 790923.658, ""actual_onset_global_ms"": 790944.501, ""actual_offset_global_ms"": 791111.841, ""actual_duration_ms"": 167.34}]",0.0
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,1,9,practice,N1_change,1779091543,60.047,2026-05-18T16:19:09.025,0,0,0,2,798737.659,798756.886,1,change,0,"[-126.66, 248.59]","[[-126.66, 248.59]]","[""blue""]","[""red""]",blue,red,j,change,j,1,1,2128.702,correct,correct.wav,804554.842,150.0,805054.842,1,1,802337.659,802397.084,804554.111,4000,2157.027,804704.111,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 798737.659, ""actual_onset_global_ms"": 798756.886, ""actual_offset_global_ms"": 798863.824, ""actual_duration_ms"": 106.938}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 798837.659, ""actual_onset_global_ms"": 798883.698, ""actual_offset_global_ms"": 801368.338, ""actual_duration_ms"": 2484.64}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 801368.338, ""actual_onset_global_ms"": 801371.158, ""actual_offset_global_ms"": 802372.62, ""actual_duration_ms"": 1001.462}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 802372.62, ""actual_onset_global_ms"": 802397.084, ""actual_offset_global_ms"": 804554.111, ""actual_duration_ms"": 2157.027}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 804554.111, ""actual_onset_global_ms"": 804576.442, ""actual_offset_global_ms"": 804730.401, ""actual_duration_ms"": 153.959}]",1.0
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,2,10,practice,N1_same,1779091543,60.047,2026-05-18T16:19:15.012,0,0,0,2,804724.814,804752.351,1,same,0,"[-65.73, -131.09]","[[-65.73, -131.09]]","[""red""]","[""red""]",red,red,s,same,s,1,1,1541.652,correct,correct.wav,809939.473,150.0,810439.473,1,1,808324.814,808376.954,809938.917,4000,1561.963,810088.917,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 804724.814, ""actual_onset_global_ms"": 804752.351, ""actual_offset_global_ms"": 804845.443, ""actual_duration_ms"": 93.092}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 804824.814, ""actual_onset_global_ms"": 804868.408, ""actual_offset_global_ms"": 807350.35, ""actual_duration_ms"": 2481.942}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 807350.35, ""actual_onset_global_ms"": 807347.139, ""actual_offset_global_ms"": 808354.606, ""actual_duration_ms"": 1007.467}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 808354.606, ""actual_onset_global_ms"": 808376.954, ""actual_offset_global_ms"": 809938.917, ""actual_duration_ms"": 1561.963}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 809938.917, ""actual_onset_global_ms"": 809964.048, ""actual_offset_global_ms"": 810106.695, ""actual_duration_ms"": 142.647}]",1.0
