participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,intended_trial_start_ms,actual_trial_start_ms,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,trial_transition,previous_rule,current_rule,practice_pass_flag,cue_to_first_response_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,trigger_trial_index
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,1,1,practice,color,1779091543,60.047,2026-05-18T16:09:07.373,0,0,0,1,0,none,criterion_not_reached,1.0,1,1,brief_rule_prompt,900.0,0,0,0,color,criterion_not_reached,0,light_rule_prompt,dimension_only,0,197085.93,197206.214,color,cue_color.wav,颜色,197236.914,500,197933.476,red,boat,red_boat,j,s,0,3113.581,200962.776,practice,,color,0.0,3726.529,incorrect,incorrect.wav,200972.58,150.0,201472.58,197685.93,197849.195,200962.776,3000,3113.581,201112.776,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 197085.93, ""actual_onset_global_ms"": 197206.214, ""actual_offset_global_ms"": 197222.868, ""actual_duration_ms"": 16.654}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 197185.93, ""actual_onset_global_ms"": 197236.247, ""actual_offset_global_ms"": 197845.047, ""actual_duration_ms"": 608.8}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 197685.93, ""actual_onset_global_ms"": 197849.195, ""actual_offset_global_ms"": 200962.776, ""actual_duration_ms"": 3113.581}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 200962.776, ""actual_onset_global_ms"": 201004.935, ""actual_offset_global_ms"": 201159.299, ""actual_duration_ms"": 154.364}]",1.0
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,2,2,practice,color,1779091543,60.047,2026-05-18T16:09:12.391,0,0,0,1,0,none,criterion_not_reached,1.0,1,1,brief_rule_prompt,900.0,1,1,0,color,criterion_not_reached,0,light_rule_prompt,dimension_only,0,202104.235,202121.741,color,cue_color.wav,颜色,202240.233,500,202936.796,blue,boat,blue_boat,s,s,1,4744.769,207599.544,practice,,color,0.0,5359.713,correct,correct.wav,207606.17,150.0,208106.17,202704.235,202854.775,207599.544,3000,4744.769,207749.544,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 202104.235, ""actual_onset_global_ms"": 202121.741, ""actual_offset_global_ms"": 202237.302, ""actual_duration_ms"": 115.561}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 202204.235, ""actual_onset_global_ms"": 202239.831, ""actual_offset_global_ms"": 202854.401, ""actual_duration_ms"": 614.57}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 202704.235, ""actual_onset_global_ms"": 202854.775, ""actual_offset_global_ms"": 207599.544, ""actual_duration_ms"": 4744.769}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 207599.544, ""actual_onset_global_ms"": 207635.331, ""actual_offset_global_ms"": 207775.845, ""actual_duration_ms"": 140.514}]",1.0
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,3,3,practice,color,1779091543,60.047,2026-05-18T16:09:18.062,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,207774.253,207800.019,color,cue_color.wav,颜色,207913.092,500,208609.655,blue,rabbit,blue_rabbit,s,s,1,5398.803,213936.534,practice,,color,0.0,6023.864,correct,correct.wav,213945.75,150.0,214445.75,208374.253,208537.731,213936.534,3000,5398.803,214086.534,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 207774.253, ""actual_onset_global_ms"": 207800.019, ""actual_offset_global_ms"": 207907.54, ""actual_duration_ms"": 107.521}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 207874.253, ""actual_onset_global_ms"": 207912.67, ""actual_offset_global_ms"": 208533.792, ""actual_duration_ms"": 621.122}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 208374.253, ""actual_onset_global_ms"": 208537.731, ""actual_offset_global_ms"": 213936.534, ""actual_duration_ms"": 5398.803}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 213936.534, ""actual_onset_global_ms"": 213969.879, ""actual_offset_global_ms"": 214121.48, ""actual_duration_ms"": 151.601}]",
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,4,4,practice,color,1779091543,60.047,2026-05-18T16:09:24.404,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,214116.701,214137.584,color,cue_color.wav,颜色,214241.368,500,214937.93,red,rabbit,red_rabbit,j,j,1,8131.321,222997.329,practice,,color,0.0,8756.414,correct,correct.wav,223005.534,150.0,223505.534,214716.701,214866.008,222997.329,3000,8131.321,223147.329,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 214116.701, ""actual_onset_global_ms"": 214137.584, ""actual_offset_global_ms"": 214237.088, ""actual_duration_ms"": 99.504}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 214216.701, ""actual_onset_global_ms"": 214240.915, ""actual_offset_global_ms"": 214863.613, ""actual_duration_ms"": 622.698}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 214716.701, ""actual_onset_global_ms"": 214866.008, ""actual_offset_global_ms"": 222997.329, ""actual_duration_ms"": 8131.321}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 222997.329, ""actual_onset_global_ms"": 223028.735, ""actual_offset_global_ms"": 223181.753, ""actual_duration_ms"": 153.018}]",
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,5,5,practice,color,1779091543,60.047,2026-05-18T16:09:33.461,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,223174.358,223194.695,color,cue_color.wav,颜色,223295.394,500,223991.957,blue,rabbit,blue_rabbit,s,s,1,2864.762,226809.921,practice,,color,0.0,3514.933,correct,correct.wav,226826.442,150.0,227326.442,223774.358,223945.159,226809.921,3000,2864.762,226959.921,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 223174.358, ""actual_onset_global_ms"": 223194.695, ""actual_offset_global_ms"": 223291.963, ""actual_duration_ms"": 97.268}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 223274.358, ""actual_onset_global_ms"": 223294.988, ""actual_offset_global_ms"": 223942.034, ""actual_duration_ms"": 647.046}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 223774.358, ""actual_onset_global_ms"": 223945.159, ""actual_offset_global_ms"": 226809.921, ""actual_duration_ms"": 2864.762}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 226809.921, ""actual_onset_global_ms"": 226846.489, ""actual_offset_global_ms"": 227001.074, ""actual_duration_ms"": 154.585}]",
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,6,6,practice,color,1779091543,60.047,2026-05-18T16:09:37.280,0,0,0,1,0,none,color_rule_confusion,6.0,2,2,worked_example,5678.167,0,0,0,color,color_rule_confusion,1,corrective_worked_example,dimension_and_feature,0,226992.692,227010.563,color,cue_color.wav,颜色,227115.637,500,227812.199,red,boat,red_boat,j,s,0,3155.868,230834.255,practice,,color,0.0,3719.221,incorrect,incorrect.wav,230837.958,150.0,231337.958,227592.692,227678.387,230834.255,3000,3155.868,230984.255,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 226992.692, ""actual_onset_global_ms"": 227010.563, ""actual_offset_global_ms"": 227111.201, ""actual_duration_ms"": 100.638}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 227092.692, ""actual_onset_global_ms"": 227115.034, ""actual_offset_global_ms"": 227675.558, ""actual_duration_ms"": 560.524}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 227592.692, ""actual_onset_global_ms"": 227678.387, ""actual_offset_global_ms"": 230834.255, ""actual_duration_ms"": 3155.868}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 230834.255, ""actual_onset_global_ms"": 230855.768, ""actual_offset_global_ms"": 231018.344, ""actual_duration_ms"": 162.576}]",6.0
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,1,7,practice,color,1779091543,60.047,2026-05-18T16:09:53.378,0,0,0,2,0,none,color_rule_confusion,6.0,2,2,worked_example,5678.167,1,1,0,color,color_rule_confusion,1,corrective_worked_example,dimension_and_feature,0,243090.766,243107.655,color,cue_color.wav,颜色,243216.79,500,243913.353,blue,boat,blue_boat,s,s,1,11130.059,254895.924,practice,,color,1.0,11679.822,correct,correct.wav,254904.288,150.0,255404.288,243690.766,243765.865,254895.924,3000,11130.059,255045.924,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 243090.766, ""actual_onset_global_ms"": 243107.655, ""actual_offset_global_ms"": 243213.502, ""actual_duration_ms"": 105.847}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 243190.766, ""actual_onset_global_ms"": 243216.102, ""actual_offset_global_ms"": 243765.011, ""actual_duration_ms"": 548.909}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 243690.766, ""actual_onset_global_ms"": 243765.865, ""actual_offset_global_ms"": 254895.924, ""actual_duration_ms"": 11130.059}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 254895.924, ""actual_onset_global_ms"": 254923.931, ""actual_offset_global_ms"": 255084.584, ""actual_duration_ms"": 160.653}]",6.0
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,2,8,practice,color,1779091543,60.047,2026-05-18T16:10:05.369,0,0,0,2,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,255081.55,255102.484,color,cue_color.wav,颜色,255202.631,500,255899.193,blue,rabbit,blue_rabbit,s,s,1,3168.222,258935.554,practice,,color,1.0,3733.363,correct,correct.wav,258938.74,150.0,259438.74,255681.55,255767.332,258935.554,3000,3168.222,259085.554,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 255081.55, ""actual_onset_global_ms"": 255102.484, ""actual_offset_global_ms"": 255201.716, ""actual_duration_ms"": 99.232}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 255181.55, ""actual_onset_global_ms"": 255202.191, ""actual_offset_global_ms"": 255765.385, ""actual_duration_ms"": 563.194}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 255681.55, ""actual_onset_global_ms"": 255767.332, ""actual_offset_global_ms"": 258935.554, ""actual_duration_ms"": 3168.222}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 258935.554, ""actual_onset_global_ms"": 258962.22, ""actual_offset_global_ms"": 259120.415, ""actual_duration_ms"": 158.195}]",
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,3,9,practice,color,1779091543,60.047,2026-05-18T16:10:09.402,0,0,0,2,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,259114.568,259131.92,color,cue_color.wav,颜色,259234.335,500,259930.897,red,rabbit,red_rabbit,j,j,1,1986.232,261786.6,practice,,color,1.0,2552.644,correct,correct.wav,261805.241,150.0,262305.241,259714.568,259800.368,261786.6,3000,1986.232,261936.6,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 259114.568, ""actual_onset_global_ms"": 259131.92, ""actual_offset_global_ms"": 259233.367, ""actual_duration_ms"": 101.447}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 259214.568, ""actual_onset_global_ms"": 259233.956, ""actual_offset_global_ms"": 259796.951, ""actual_duration_ms"": 562.995}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 259714.568, ""actual_onset_global_ms"": 259800.368, ""actual_offset_global_ms"": 261786.6, ""actual_duration_ms"": 1986.232}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 261786.6, ""actual_onset_global_ms"": 261825.974, ""actual_offset_global_ms"": 261985.805, ""actual_duration_ms"": 159.831}]",
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,4,10,practice,color,1779091543,60.047,2026-05-18T16:10:12.268,0,0,0,2,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,261981.126,262002.283,color,cue_color.wav,颜色,262109.729,500,262806.291,blue,rabbit,blue_rabbit,s,s,1,2011.739,264690.971,practice,,color,1.0,2581.654,correct,correct.wav,264709.438,150.0,265209.438,262581.126,262679.232,264690.971,3000,2011.739,264840.971,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 261981.126, ""actual_onset_global_ms"": 262002.283, ""actual_offset_global_ms"": 262106.197, ""actual_duration_ms"": 103.914}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 262081.126, ""actual_onset_global_ms"": 262109.317, ""actual_offset_global_ms"": 262678.005, ""actual_duration_ms"": 568.688}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 262581.126, ""actual_onset_global_ms"": 262679.232, ""actual_offset_global_ms"": 264690.971, ""actual_duration_ms"": 2011.739}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 264690.971, ""actual_onset_global_ms"": 264734.118, ""actual_offset_global_ms"": 264894.606, ""actual_duration_ms"": 160.488}]",
