participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,1,1,practice,practice_single,1779091543,60.047,2026-05-18T16:06:26.871,0,0,0,1,36583.933,36633.675,practice_single,right,none,>,j,j,1,5779.692,42502.118,correct,,36683.933,36722.426,42502.118,3000,5779.692,43102.118,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 36583.933, ""actual_onset_global_ms"": 36633.675, ""actual_offset_global_ms"": 36711.419, ""actual_duration_ms"": 77.744}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 36683.933, ""actual_onset_global_ms"": 36722.426, ""actual_offset_global_ms"": 42502.118, ""actual_duration_ms"": 5779.692}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 42502.118, ""actual_onset_global_ms"": 42550.958, ""actual_offset_global_ms"": 43152.58, ""actual_duration_ms"": 601.622}]",correct.wav,42518.077,600.0,43118.077
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,2,2,practice,practice_single,1779091543,60.047,2026-05-18T16:06:33.432,0,0,0,1,43144.174,43164.496,practice_single,right,none,>,j,j,1,4023.93,47308.971,correct,,43244.174,43285.041,47308.971,3000,4023.93,47908.971,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 43144.174, ""actual_onset_global_ms"": 43164.496, ""actual_offset_global_ms"": 43278.588, ""actual_duration_ms"": 114.092}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 43244.174, ""actual_onset_global_ms"": 43285.041, ""actual_offset_global_ms"": 47308.971, ""actual_duration_ms"": 4023.93}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 47308.971, ""actual_onset_global_ms"": 47337.215, ""actual_offset_global_ms"": 47937.468, ""actual_duration_ms"": 600.253}]",correct.wav,47318.305,600.0,47918.305
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,3,3,practice,practice_single,1779091543,60.047,2026-05-18T16:06:38.216,0,0,0,1,47928.932,47950.973,practice_single,left,none,<,s,s,1,2125.069,50182.102,correct,,48028.932,48057.033,50182.102,3000,2125.069,50782.102,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 47928.932, ""actual_onset_global_ms"": 47950.973, ""actual_offset_global_ms"": 48055.961, ""actual_duration_ms"": 104.988}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 48028.932, ""actual_onset_global_ms"": 48057.033, ""actual_offset_global_ms"": 50182.102, ""actual_duration_ms"": 2125.069}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 50182.102, ""actual_onset_global_ms"": 50212.071, ""actual_offset_global_ms"": 50805.853, ""actual_duration_ms"": 593.782}]",correct.wav,50189.289,600.0,50789.289
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,4,4,practice,practice_single,1779091543,60.047,2026-05-18T16:06:41.084,0,0,0,1,50796.78,50812.669,practice_single,left,none,<,s,s,1,1344.406,52265.734,correct,,50896.78,50921.328,52265.734,3000,1344.406,52865.734,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 50796.78, ""actual_onset_global_ms"": 50812.669, ""actual_offset_global_ms"": 50920.622, ""actual_duration_ms"": 107.953}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 50896.78, ""actual_onset_global_ms"": 50921.328, ""actual_offset_global_ms"": 52265.734, ""actual_duration_ms"": 1344.406}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 52265.734, ""actual_onset_global_ms"": 52305.093, ""actual_offset_global_ms"": 52905.375, ""actual_duration_ms"": 600.282}]",correct.wav,52285.408,600.0,52885.408
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,5,5,practice,practice_single,1779091543,60.047,2026-05-18T16:06:43.183,0,0,0,1,52895.717,52912.228,practice_single,left,none,<,s,s,1,1246.034,54264.877,correct,,52995.717,53018.843,54264.877,3000,1246.034,54864.877,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 52895.717, ""actual_onset_global_ms"": 52912.228, ""actual_offset_global_ms"": 53016.478, ""actual_duration_ms"": 104.25}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 52995.717, ""actual_onset_global_ms"": 53018.843, ""actual_offset_global_ms"": 54264.877, ""actual_duration_ms"": 1246.034}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 54264.877, ""actual_onset_global_ms"": 54305.769, ""actual_offset_global_ms"": 54905.354, ""actual_duration_ms"": 599.585}]",correct.wav,54285.29,600.0,54885.29
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,6,6,practice,practice_single,1779091543,60.047,2026-05-18T16:06:45.183,0,0,0,1,54895.501,54910.954,practice_single,right,none,>,j,j,1,1632.403,56647.935,correct,,54995.501,55015.532,56647.935,3000,1632.403,57247.935,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 54895.501, ""actual_onset_global_ms"": 54910.954, ""actual_offset_global_ms"": 55014.717, ""actual_duration_ms"": 103.763}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 54995.501, ""actual_onset_global_ms"": 55015.532, ""actual_offset_global_ms"": 56647.935, ""actual_duration_ms"": 1632.403}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 56647.935, ""actual_onset_global_ms"": 56682.401, ""actual_offset_global_ms"": 57291.185, ""actual_duration_ms"": 608.784}]",correct.wav,56662.557,600.0,57262.557
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,1,7,practice,incongruent,1779091543,60.047,2026-05-18T16:06:53.835,0,0,0,1,63547.784,63568.144,incongruent,left,right,>><>>,s,s,1,3236.197,66908.395,correct,1.0,63647.784,63672.198,66908.395,3000,3236.197,67508.395,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 63547.784, ""actual_onset_global_ms"": 63568.144, ""actual_offset_global_ms"": 63667.574, ""actual_duration_ms"": 99.43}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 63647.784, ""actual_onset_global_ms"": 63672.198, ""actual_offset_global_ms"": 66908.395, ""actual_duration_ms"": 3236.197}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 66908.395, ""actual_onset_global_ms"": 66932.873, ""actual_offset_global_ms"": 67537.25, ""actual_duration_ms"": 604.377}]",correct.wav,66913.764,600.0,67513.764
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,2,8,practice,congruent,1779091543,60.047,2026-05-18T16:06:57.816,0,0,0,1,67528.867,67549.268,congruent,left,left,<<<<<,s,s,1,1779.079,69437.242,correct,1.0,67628.867,67658.163,69437.242,3000,1779.079,70037.242,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 67528.867, ""actual_onset_global_ms"": 67549.268, ""actual_offset_global_ms"": 67655.585, ""actual_duration_ms"": 106.317}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 67628.867, ""actual_onset_global_ms"": 67658.163, ""actual_offset_global_ms"": 69437.242, ""actual_duration_ms"": 1779.079}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 69437.242, ""actual_onset_global_ms"": 69459.786, ""actual_offset_global_ms"": 70070.707, ""actual_duration_ms"": 610.921}]",correct.wav,69442.172,600.0,70042.172
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,3,9,practice,incongruent,1779091543,60.047,2026-05-18T16:07:00.347,0,0,0,1,70060.512,70074.727,incongruent,right,left,<<><<,j,j,1,1632.083,71820.228,correct,1.0,70160.512,70188.145,71820.228,3000,1632.083,72420.228,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 70060.512, ""actual_onset_global_ms"": 70074.727, ""actual_offset_global_ms"": 70185.975, ""actual_duration_ms"": 111.248}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 70160.512, ""actual_onset_global_ms"": 70188.145, ""actual_offset_global_ms"": 71820.228, ""actual_duration_ms"": 1632.083}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 71820.228, ""actual_onset_global_ms"": 71860.333, ""actual_offset_global_ms"": 72454.219, ""actual_duration_ms"": 593.886}]",correct.wav,71831.992,600.0,72431.992
016,016_T1_20260518_160543,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,4,10,practice,congruent,1779091543,60.047,2026-05-18T16:07:02.732,0,0,0,1,72444.921,72461.032,congruent,right,right,>>>>>,j,j,1,1510.14,74083.718,correct,1.0,72544.921,72573.578,74083.718,3000,1510.14,74683.718,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 72444.921, ""actual_onset_global_ms"": 72461.032, ""actual_offset_global_ms"": 72569.749, ""actual_duration_ms"": 108.717}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 72544.921, ""actual_onset_global_ms"": 72573.578, ""actual_offset_global_ms"": 74083.718, ""actual_duration_ms"": 1510.14}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 74083.718, ""actual_onset_global_ms"": 74115.374, ""actual_offset_global_ms"": 74722.186, ""actual_duration_ms"": 606.812}]",correct.wav,74095.602,600.0,74695.602
