participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,intended_trial_start_ms,actual_trial_start_ms,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,trial_transition,previous_rule,current_rule,practice_pass_flag,cue_to_first_response_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json
019,019_T1_20260518_150442,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,1,1,practice,color,1779087882,60.0,2026-05-18T15:09:09.935,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,259498.468,259564.577,color,cue_color.wav,颜色,259621.224,500,260317.786,blue,rabbit,blue_rabbit,s,s,1,5292.617,265413.778,practice,,color,1.0,5792.851,correct,correct.wav,265423.917,150.0,265923.917,260098.468,260121.161,265413.778,3000,5292.617,265563.778,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 259498.468, ""actual_onset_global_ms"": 259564.577, ""actual_offset_global_ms"": 259622.005, ""actual_duration_ms"": 57.428}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 259598.468, ""actual_onset_global_ms"": 259620.927, ""actual_offset_global_ms"": 260122.314, ""actual_duration_ms"": 501.387}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 260098.468, ""actual_onset_global_ms"": 260121.161, ""actual_offset_global_ms"": 265413.778, ""actual_duration_ms"": 5292.617}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 265413.778, ""actual_onset_global_ms"": 265438.019, ""actual_offset_global_ms"": 265605.171, ""actual_duration_ms"": 167.152}]"
019,019_T1_20260518_150442,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,2,2,practice,color,1779087882,60.0,2026-05-18T15:09:16.029,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,265592.39,265605.074,color,cue_color.wav,颜色,265722.959,500,266419.521,red,boat,red_boat,j,j,1,1150.706,267372.598,practice,,color,1.0,1649.978,correct,correct.wav,267390.395,150.0,267890.395,266192.39,266221.892,267372.598,3000,1150.706,267522.598,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 265592.39, ""actual_onset_global_ms"": 265605.074, ""actual_offset_global_ms"": 265722.904, ""actual_duration_ms"": 117.83}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 265692.39, ""actual_onset_global_ms"": 265722.62, ""actual_offset_global_ms"": 266221.369, ""actual_duration_ms"": 498.749}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 266192.39, ""actual_onset_global_ms"": 266221.892, ""actual_offset_global_ms"": 267372.598, ""actual_duration_ms"": 1150.706}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 267372.598, ""actual_onset_global_ms"": 267406.039, ""actual_offset_global_ms"": 267572.202, ""actual_duration_ms"": 166.163}]"
019,019_T1_20260518_150442,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,3,3,practice,color,1779087882,60.0,2026-05-18T15:09:17.997,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,267559.567,267571.768,color,cue_color.wav,颜色,267689.663,500,268386.226,red,boat,red_boat,j,j,1,1168.049,269357.396,practice,,color,1.0,1668.03,correct,correct.wav,269373.686,150.0,269873.686,268159.567,268189.347,269357.396,3000,1168.049,269507.396,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 267559.567, ""actual_onset_global_ms"": 267571.768, ""actual_offset_global_ms"": 267688.582, ""actual_duration_ms"": 116.814}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 267659.567, ""actual_onset_global_ms"": 267689.366, ""actual_offset_global_ms"": 268189.588, ""actual_duration_ms"": 500.222}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 268159.567, ""actual_onset_global_ms"": 268189.347, ""actual_offset_global_ms"": 269357.396, ""actual_duration_ms"": 1168.049}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 269357.396, ""actual_onset_global_ms"": 269388.082, ""actual_offset_global_ms"": 269556.946, ""actual_duration_ms"": 168.864}]"
019,019_T1_20260518_150442,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,4,4,practice,color,1779087882,60.0,2026-05-18T15:09:19.983,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,269545.974,269557.116,color,cue_color.wav,颜色,269671.793,500,270368.356,blue,rabbit,blue_rabbit,s,s,1,1105.682,271276.998,practice,,color,1.0,1605.51,correct,correct.wav,271289.07,150.0,271789.07,270145.974,270171.316,271276.998,3000,1105.682,271426.998,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 269545.974, ""actual_onset_global_ms"": 269557.116, ""actual_offset_global_ms"": 269672.815, ""actual_duration_ms"": 115.699}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 269645.974, ""actual_onset_global_ms"": 269671.488, ""actual_offset_global_ms"": 270172.006, ""actual_duration_ms"": 500.518}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 270145.974, ""actual_onset_global_ms"": 270171.316, ""actual_offset_global_ms"": 271276.998, ""actual_duration_ms"": 1105.682}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 271276.998, ""actual_onset_global_ms"": 271305.76, ""actual_offset_global_ms"": 271471.993, ""actual_duration_ms"": 166.233}]"
019,019_T1_20260518_150442,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,5,5,practice,color,1779087882,60.0,2026-05-18T15:09:21.895,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,271458.893,271471.204,color,cue_color.wav,颜色,271588.591,500,272285.154,blue,boat,blue_boat,s,s,1,967.976,273057.087,practice,,color,1.0,1469.043,correct,correct.wav,273072.263,150.0,273572.263,272058.893,272089.111,273057.087,3000,967.976,273207.087,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 271458.893, ""actual_onset_global_ms"": 271471.204, ""actual_offset_global_ms"": 271588.424, ""actual_duration_ms"": 117.22}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 271558.893, ""actual_onset_global_ms"": 271588.044, ""actual_offset_global_ms"": 272088.23, ""actual_duration_ms"": 500.186}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 272058.893, ""actual_onset_global_ms"": 272089.111, ""actual_offset_global_ms"": 273057.087, ""actual_duration_ms"": 967.976}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 273057.087, ""actual_onset_global_ms"": 273088.183, ""actual_offset_global_ms"": 273239.558, ""actual_duration_ms"": 151.375}]"
019,019_T1_20260518_150442,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,6,6,practice,color,1779087882,60.0,2026-05-18T15:09:23.663,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,273226.497,273239.378,color,cue_color.wav,颜色,273355.874,500,274052.437,red,rabbit,red_rabbit,j,j,1,765.253,274620.804,practice,,color,1.0,1265.375,correct,correct.wav,274622.733,150.0,275122.733,273826.497,273855.551,274620.804,3000,765.253,274770.804,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 273226.497, ""actual_onset_global_ms"": 273239.378, ""actual_offset_global_ms"": 273355.06, ""actual_duration_ms"": 115.682}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 273326.497, ""actual_onset_global_ms"": 273355.429, ""actual_offset_global_ms"": 273855.012, ""actual_duration_ms"": 499.583}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 273826.497, ""actual_onset_global_ms"": 273855.551, ""actual_offset_global_ms"": 274620.804, ""actual_duration_ms"": 765.253}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 274620.804, ""actual_onset_global_ms"": 274638.421, ""actual_offset_global_ms"": 274805.788, ""actual_duration_ms"": 167.367}]"
019,019_T1_20260518_150442,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,1,7,practice,shape,1779087882,60.0,2026-05-18T15:09:39.054,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,288617.486,288633.659,shape,cue_shape.wav,形状,288747.2,500,289513.45,blue,rabbit,blue_rabbit,s,s,1,7465.312,296729.509,practice,,shape,1.0,7982.534,correct,correct.wav,296731.615,150.0,297231.615,289217.486,289264.197,296729.509,3000,7465.312,296879.509,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 288617.486, ""actual_onset_global_ms"": 288633.659, ""actual_offset_global_ms"": 288747.114, ""actual_duration_ms"": 113.455}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 288717.486, ""actual_onset_global_ms"": 288746.975, ""actual_offset_global_ms"": 289263.933, ""actual_duration_ms"": 516.958}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 289217.486, ""actual_onset_global_ms"": 289264.197, ""actual_offset_global_ms"": 296729.509, ""actual_duration_ms"": 7465.312}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 296729.509, ""actual_onset_global_ms"": 296747.293, ""actual_offset_global_ms"": 296914.349, ""actual_duration_ms"": 167.056}]"
019,019_T1_20260518_150442,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,2,8,practice,shape,1779087882,60.0,2026-05-18T15:09:47.338,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,296900.976,296915.211,shape,cue_shape.wav,形状,297030.861,500,297797.111,red,rabbit,red_rabbit,s,s,1,2773.661,300305.272,practice,,shape,1.0,3274.878,correct,correct.wav,300315.125,150.0,300815.125,297500.976,297531.611,300305.272,3000,2773.661,300455.272,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 296900.976, ""actual_onset_global_ms"": 296915.211, ""actual_offset_global_ms"": 297030.852, ""actual_duration_ms"": 115.641}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 297000.976, ""actual_onset_global_ms"": 297030.394, ""actual_offset_global_ms"": 297530.272, ""actual_duration_ms"": 499.878}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 297500.976, ""actual_onset_global_ms"": 297531.611, ""actual_offset_global_ms"": 300305.272, ""actual_duration_ms"": 2773.661}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 300305.272, ""actual_onset_global_ms"": 300331.343, ""actual_offset_global_ms"": 300497.189, ""actual_duration_ms"": 165.846}]"
019,019_T1_20260518_150442,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,3,9,practice,shape,1779087882,60.0,2026-05-18T15:09:50.921,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,300484.259,300497.567,shape,cue_shape.wav,形状,300615.314,500,301381.564,blue,boat,blue_boat,j,j,1,1082.977,302197.382,practice,,shape,1.0,1582.382,correct,correct.wav,302199.201,150.0,302699.201,301084.259,301114.405,302197.382,3000,1082.977,302347.382,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 300484.259, ""actual_onset_global_ms"": 300497.567, ""actual_offset_global_ms"": 300614.421, ""actual_duration_ms"": 116.854}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 300584.259, ""actual_onset_global_ms"": 300615.0, ""actual_offset_global_ms"": 301115.198, ""actual_duration_ms"": 500.198}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 301084.259, ""actual_onset_global_ms"": 301114.405, ""actual_offset_global_ms"": 302197.382, ""actual_duration_ms"": 1082.977}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 302197.382, ""actual_onset_global_ms"": 302213.891, ""actual_offset_global_ms"": 302381.13, ""actual_duration_ms"": 167.239}]"
019,019_T1_20260518_150442,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,4,10,practice,shape,1779087882,60.0,2026-05-18T15:09:52.804,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,302368.003,302380.515,shape,cue_shape.wav,形状,302498.431,500,303264.681,red,boat,red_boat,j,j,1,844.189,303841.118,practice,,shape,1.0,1343.231,correct,correct.wav,303848.637,150.0,304348.637,302968.003,302996.929,303841.118,3000,844.189,303991.118,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 302368.003, ""actual_onset_global_ms"": 302380.515, ""actual_offset_global_ms"": 302498.041, ""actual_duration_ms"": 117.526}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 302468.003, ""actual_onset_global_ms"": 302497.887, ""actual_offset_global_ms"": 302998.073, ""actual_duration_ms"": 500.186}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 302968.003, ""actual_onset_global_ms"": 302996.929, ""actual_offset_global_ms"": 303841.118, ""actual_duration_ms"": 844.189}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 303841.118, ""actual_onset_global_ms"": 303864.108, ""actual_offset_global_ms"": 304030.527, ""actual_duration_ms"": 166.419}]"
