participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,trial_transition,previous_rule,current_rule,cue_to_first_response_ms,trigger_trial_index,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,repeated_audio_once_in_practice,termination_reason,terminal_span_length,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,layout_generation_attempts,overlap_check_passed
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,1,1,practice,practice_single,1779089095,60.0,2026-05-18T15:25:25.113,0,0,0,1,22599.004,22618.294,practice_single,right,none,>,j,j,1,3415.919,26147.408,correct,,22699.004,22731.489,26147.408,3000,3415.919,26747.408,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 22599.004, ""actual_onset_global_ms"": 22618.294, ""actual_offset_global_ms"": 22732.811, ""actual_duration_ms"": 114.517}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 22699.004, ""actual_onset_global_ms"": 22731.489, ""actual_offset_global_ms"": 26147.408, ""actual_duration_ms"": 3415.919}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 26147.408, ""actual_onset_global_ms"": 26175.921, ""actual_offset_global_ms"": 26785.357, ""actual_duration_ms"": 609.436}]",correct.wav,26154.028,600.0,26754.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,2,2,practice,practice_single,1779089095,60.0,2026-05-18T15:25:29.287,0,0,0,1,26773.336,26784.502,practice_single,left,none,<,s,j,0,862.668,27761.963,incorrect,,26873.336,26899.295,27761.963,3000,862.668,28361.963,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 26773.336, ""actual_onset_global_ms"": 26784.502, ""actual_offset_global_ms"": 26899.063, ""actual_duration_ms"": 114.561}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 26873.336, ""actual_onset_global_ms"": 26899.295, ""actual_offset_global_ms"": 27761.963, ""actual_duration_ms"": 862.668}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 27761.963, ""actual_onset_global_ms"": 27804.115, ""actual_offset_global_ms"": 28403.239, ""actual_duration_ms"": 599.124}]",incorrect.wav,27770.32,600.0,28370.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,3,3,practice,practice_single,1779089095,60.0,2026-05-18T15:25:30.904,0,0,0,1,28390.032,28402.82,practice_single,left,none,<,s,s,1,2984.171,31503.543,correct,,28490.032,28519.372,31503.543,3000,2984.171,32103.543,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 28390.032, ""actual_onset_global_ms"": 28402.82, ""actual_offset_global_ms"": 28519.37, ""actual_duration_ms"": 116.55}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 28490.032, ""actual_onset_global_ms"": 28519.372, ""actual_offset_global_ms"": 31503.543, ""actual_duration_ms"": 2984.171}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 31503.543, ""actual_onset_global_ms"": 31535.791, ""actual_offset_global_ms"": 32152.615, ""actual_duration_ms"": 616.824}]",correct.wav,31521.328,600.0,32121.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,4,4,practice,practice_single,1779089095,60.0,2026-05-18T15:25:34.654,0,0,0,1,32139.19,32152.363,practice_single,left,none,<,s,j,0,491.652,32760.898,incorrect,,32239.19,32269.246,32760.898,3000,491.652,33360.898,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 32139.19, ""actual_onset_global_ms"": 32152.363, ""actual_offset_global_ms"": 32269.048, ""actual_duration_ms"": 116.685}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 32239.19, ""actual_onset_global_ms"": 32269.246, ""actual_offset_global_ms"": 32760.898, ""actual_duration_ms"": 491.652}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 32760.898, ""actual_onset_global_ms"": 32787.021, ""actual_offset_global_ms"": 33402.709, ""actual_duration_ms"": 615.688}]",incorrect.wav,32770.189,600.0,33370.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,5,5,practice,practice_single,1779089095,60.0,2026-05-18T15:25:35.904,0,0,0,1,33389.476,33402.715,practice_single,right,none,>,j,j,1,2407.115,35927.726,correct,,33489.476,33520.611,35927.726,3000,2407.115,36527.726,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 33389.476, ""actual_onset_global_ms"": 33402.715, ""actual_offset_global_ms"": 33519.461, ""actual_duration_ms"": 116.746}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 33489.476, ""actual_onset_global_ms"": 33520.611, ""actual_offset_global_ms"": 35927.726, ""actual_duration_ms"": 2407.115}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 35927.726, ""actual_onset_global_ms"": 35952.881, ""actual_offset_global_ms"": 36569.377, ""actual_duration_ms"": 616.496}]",correct.wav,35936.912,600.0,36536.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,6,6,practice,practice_single,1779089095,60.0,2026-05-18T15:25:39.071,0,0,0,1,36557.3,36571.744,practice_single,right,none,>,j,j,1,979.286,37665.613,correct,,36657.3,36686.327,37665.613,3000,979.286,38265.613,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 36557.3, ""actual_onset_global_ms"": 36571.744, ""actual_offset_global_ms"": 36687.21, ""actual_duration_ms"": 115.466}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 36657.3, ""actual_onset_global_ms"": 36686.327, ""actual_offset_global_ms"": 37665.613, ""actual_duration_ms"": 979.286}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 37665.613, ""actual_onset_global_ms"": 37685.895, ""actual_offset_global_ms"": 38302.722, ""actual_duration_ms"": 616.827}]",correct.wav,37671.284,600.0,38271.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,1,7,practice,incongruent,1779089095,60.0,2026-05-18T15:25:50.071,0,0,0,1,47557.723,47567.899,incongruent,right,left,<<><<,j,j,1,1896.636,49581.3,correct,1.0,47657.723,47684.664,49581.3,3000,1896.636,50181.3,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 47557.723, ""actual_onset_global_ms"": 47567.899, ""actual_offset_global_ms"": 47684.463, ""actual_duration_ms"": 116.564}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 47657.723, ""actual_onset_global_ms"": 47684.664, ""actual_offset_global_ms"": 49581.3, ""actual_duration_ms"": 1896.636}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 49581.3, ""actual_onset_global_ms"": 49601.046, ""actual_offset_global_ms"": 50201.695, ""actual_duration_ms"": 600.649}]",correct.wav,49584.815,600.0,50184.815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,2,8,practice,congruent,1779089095,60.0,2026-05-18T15:25:52.703,0,0,0,1,50188.505,50201.383,congruent,left,left,<<<<<,s,s,1,819.519,51137.305,correct,1.0,50288.505,50317.786,51137.305,3000,819.519,51737.305,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 50188.505, ""actual_onset_global_ms"": 50201.383, ""actual_offset_global_ms"": 50317.543, ""actual_duration_ms"": 116.16}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 50288.505, ""actual_onset_global_ms"": 50317.786, ""actual_offset_global_ms"": 51137.305, ""actual_duration_ms"": 819.519}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 51137.305, ""actual_onset_global_ms"": 51167.606, ""actual_offset_global_ms"": 51784.935, ""actual_duration_ms"": 617.329}]",correct.wav,51152.628,600.0,51752.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,3,9,practice,congruent,1779089095,60.0,2026-05-18T15:25:54.286,0,0,0,1,51771.678,51784.132,congruent,left,left,<<<<<,s,s,1,807.262,52709.727,correct,1.0,51871.678,51902.465,52709.727,3000,807.262,53309.727,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 51771.678, ""actual_onset_global_ms"": 51784.132, ""actual_offset_global_ms"": 51903.159, ""actual_duration_ms"": 119.027}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 51871.678, ""actual_onset_global_ms"": 51902.465, ""actual_offset_global_ms"": 52709.727, ""actual_duration_ms"": 807.262}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 52709.727, ""actual_onset_global_ms"": 52734.584, ""actual_offset_global_ms"": 53351.728, ""actual_duration_ms"": 617.144}]",correct.wav,52719.312,600.0,53319.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,4,10,practice,congruent,1779089095,60.0,2026-05-18T15:25:55.853,0,0,0,1,53338.63,53352.257,congruent,right,right,>>>>>,j,j,1,645.025,54114.49,correct,1.0,53438.63,53469.465,54114.49,3000,645.025,54714.49,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 53338.63, ""actual_onset_global_ms"": 53352.257, ""actual_offset_global_ms"": 53468.463, ""actual_duration_ms"": 116.206}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 53438.63, ""actual_onset_global_ms"": 53469.465, ""actual_offset_global_ms"": 54114.49, ""actual_duration_ms"": 645.025}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 54114.49, ""actual_onset_global_ms"": 54134.661, ""actual_offset_global_ms"": 54736.787, ""actual_duration_ms"": 602.126}]",correct.wav,54118.796,600.0,54718.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
