participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,correct_response_key,accuracy,response_correct,rt_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,layout_generation_attempts,overlap_check_passed,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,practice_pass_flag
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,1,1,practice,N2_change,1779089095,60.0,2026-05-18T15:36:29.105,0,0,0,1,686591.201,686605.738,2,change,1,"[18.54, 167.48]","[[161.08, -28.27], [18.54, 167.48]]","[""blue"", ""green""]","[""blue"", ""red""]",green,red,s,same,j,0,0,7491.774,incorrect,incorrect.wav,697795.823,150.0,698295.823,2,1,690191.201,690276.635,697795.137,4000,7518.502,697945.137,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 686591.201, ""actual_onset_global_ms"": 686605.738, ""actual_offset_global_ms"": 686723.26, ""actual_duration_ms"": 117.522}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 686691.201, ""actual_onset_global_ms"": 686737.557, ""actual_offset_global_ms"": 689251.154, ""actual_duration_ms"": 2513.597}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 689251.154, ""actual_onset_global_ms"": 689242.521, ""actual_offset_global_ms"": 690258.566, ""actual_duration_ms"": 1016.045}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 690258.566, ""actual_onset_global_ms"": 690276.635, ""actual_offset_global_ms"": 697795.137, ""actual_duration_ms"": 7518.502}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 697795.137, ""actual_onset_global_ms"": 697813.384, ""actual_offset_global_ms"": 697976.062, ""actual_duration_ms"": 162.678}]",1.0
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,2,2,practice,N1_change,1779089095,60.0,2026-05-18T15:36:40.477,0,0,0,1,697963.024,697975.499,1,change,0,"[183.22, 230.13]","[[183.22, 230.13]]","[""purple""]","[""red""]",purple,red,j,change,j,1,1,3043.416,correct,correct.wav,704685.911,150.0,705185.911,1,1,701563.024,701616.757,704685.492,4000,3068.735,704835.492,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 697963.024, ""actual_onset_global_ms"": 697975.499, ""actual_offset_global_ms"": 698092.326, ""actual_duration_ms"": 116.827}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 698063.024, ""actual_onset_global_ms"": 698096.075, ""actual_offset_global_ms"": 700605.444, ""actual_duration_ms"": 2509.369}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 700605.444, ""actual_onset_global_ms"": 700596.337, ""actual_offset_global_ms"": 701610.966, ""actual_duration_ms"": 1014.629}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 701610.966, ""actual_onset_global_ms"": 701616.757, ""actual_offset_global_ms"": 704685.492, ""actual_duration_ms"": 3068.735}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 704685.492, ""actual_onset_global_ms"": 704700.176, ""actual_offset_global_ms"": 704867.047, ""actual_duration_ms"": 166.871}]",1.0
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,3,3,practice,N2_same,1779089095,60.0,2026-05-18T15:36:47.368,0,0,0,1,704853.722,704866.932,2,same,1,"[213.72, -71.49]","[[77.26, 87.14], [213.72, -71.49]]","[""purple"", ""blue""]","[""purple"", ""blue""]",blue,blue,s,same,s,1,1,3350.415,correct,correct.wav,711926.656,150.0,712426.656,2,1,708453.722,708539.636,711926.01,4000,3386.374,712076.01,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 704853.722, ""actual_onset_global_ms"": 704866.932, ""actual_offset_global_ms"": 704983.923, ""actual_duration_ms"": 116.991}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 704953.722, ""actual_onset_global_ms"": 704996.733, ""actual_offset_global_ms"": 707506.857, ""actual_duration_ms"": 2510.124}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 707506.857, ""actual_onset_global_ms"": 707506.947, ""actual_offset_global_ms"": 708524.164, ""actual_duration_ms"": 1017.217}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 708524.164, ""actual_onset_global_ms"": 708539.636, ""actual_offset_global_ms"": 711926.01, ""actual_duration_ms"": 3386.374}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 711926.01, ""actual_onset_global_ms"": 711942.068, ""actual_offset_global_ms"": 712108.241, ""actual_duration_ms"": 166.173}]",1.0
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,4,4,practice,N1_same,1779089095,60.0,2026-05-18T15:36:54.609,0,0,0,1,712094.187,712109.014,1,same,0,"[156.76, 152.34]","[[156.76, 152.34]]","[""purple""]","[""purple""]",purple,purple,j,change,s,0,0,1905.684,incorrect,incorrect.wav,717668.108,150.0,718168.108,1,1,715694.187,715748.951,717667.672,4000,1918.721,717817.672,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 712094.187, ""actual_onset_global_ms"": 712109.014, ""actual_offset_global_ms"": 712225.434, ""actual_duration_ms"": 116.42}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 712194.187, ""actual_onset_global_ms"": 712230.767, ""actual_offset_global_ms"": 714731.389, ""actual_duration_ms"": 2500.622}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 714731.389, ""actual_onset_global_ms"": 714728.287, ""actual_offset_global_ms"": 715744.645, ""actual_duration_ms"": 1016.358}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 715744.645, ""actual_onset_global_ms"": 715748.951, ""actual_offset_global_ms"": 717667.672, ""actual_duration_ms"": 1918.721}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 717667.672, ""actual_onset_global_ms"": 717684.253, ""actual_offset_global_ms"": 717851.805, ""actual_duration_ms"": 167.552}]",1.0
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,5,5,practice,N1_change,1779089095,60.0,2026-05-18T15:37:00.353,0,0,0,1,717838.788,717851.117,1,change,0,"[-190.63, 1.08]","[[-190.63, 1.08]]","[""purple""]","[""blue""]",purple,blue,j,change,j,1,1,1525.962,correct,correct.wav,723016.182,150.0,723516.182,2,1,721438.788,721476.643,723015.881,4000,1539.238,723165.881,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 717838.788, ""actual_onset_global_ms"": 717851.117, ""actual_offset_global_ms"": 717967.462, ""actual_duration_ms"": 116.345}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 717938.788, ""actual_onset_global_ms"": 717971.369, ""actual_offset_global_ms"": 720469.312, ""actual_duration_ms"": 2497.943}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 720469.312, ""actual_onset_global_ms"": 720458.925, ""actual_offset_global_ms"": 721472.543, ""actual_duration_ms"": 1013.618}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 721472.543, ""actual_onset_global_ms"": 721476.643, ""actual_offset_global_ms"": 723015.881, ""actual_duration_ms"": 1539.238}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 723015.881, ""actual_onset_global_ms"": 723032.819, ""actual_offset_global_ms"": 723199.054, ""actual_duration_ms"": 166.235}]",1.0
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,6,6,practice,N2_change,1779089095,60.0,2026-05-18T15:37:05.699,0,0,0,1,723185.402,723199.346,2,change,0,"[214.6, 93.11]","[[214.6, 93.11], [-26.97, -241.01]]","[""yellow"", ""purple""]","[""red"", ""purple""]",yellow,red,j,change,j,1,1,5464.516,correct,correct.wav,732352.774,150.0,732852.774,2,1,726785.402,726863.419,732352.084,4000,5488.665,732502.084,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 723185.402, ""actual_onset_global_ms"": 723199.346, ""actual_offset_global_ms"": 723315.814, ""actual_duration_ms"": 116.468}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 723285.402, ""actual_onset_global_ms"": 723328.917, ""actual_offset_global_ms"": 725834.895, ""actual_duration_ms"": 2505.978}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 725834.895, ""actual_onset_global_ms"": 725832.708, ""actual_offset_global_ms"": 726849.359, ""actual_duration_ms"": 1016.651}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 726849.359, ""actual_onset_global_ms"": 726863.419, ""actual_offset_global_ms"": 732352.084, ""actual_duration_ms"": 5488.665}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 732352.084, ""actual_onset_global_ms"": 732368.94, ""actual_offset_global_ms"": 732535.778, ""actual_duration_ms"": 166.838}]",1.0
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,7,7,practice,N1_same,1779089095,60.0,2026-05-18T15:37:15.036,0,0,0,1,732522.496,732536.242,1,same,0,"[158.28, -126.88]","[[158.28, -126.88]]","[""red""]","[""red""]",red,red,s,same,s,1,1,3376.05,correct,correct.wav,739572.731,150.0,740072.731,1,1,736122.496,736173.497,739572.096,4000,3398.599,739722.096,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 732522.496, ""actual_onset_global_ms"": 732536.242, ""actual_offset_global_ms"": 732652.331, ""actual_duration_ms"": 116.089}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 732622.496, ""actual_onset_global_ms"": 732655.145, ""actual_offset_global_ms"": 735154.271, ""actual_duration_ms"": 2499.126}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 735154.271, ""actual_onset_global_ms"": 735153.188, ""actual_offset_global_ms"": 736169.337, ""actual_duration_ms"": 1016.149}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 736169.337, ""actual_onset_global_ms"": 736173.497, ""actual_offset_global_ms"": 739572.096, ""actual_duration_ms"": 3398.599}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 739572.096, ""actual_onset_global_ms"": 739588.842, ""actual_offset_global_ms"": 739754.51, ""actual_duration_ms"": 165.668}]",1.0
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,8,8,practice,N2_same,1779089095,60.0,2026-05-18T15:37:22.256,0,0,0,1,739741.698,739755.263,2,same,0,"[-139.54, 171.83]","[[-139.54, 171.83], [136.61, 40.09]]","[""red"", ""blue""]","[""red"", ""blue""]",red,red,s,same,s,1,1,1665.405,correct,correct.wav,745090.324,150.0,745590.324,2,1,743341.698,743412.246,745089.904,4000,1677.658,745239.904,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 739741.698, ""actual_onset_global_ms"": 739755.263, ""actual_offset_global_ms"": 739872.057, ""actual_duration_ms"": 116.794}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 739841.698, ""actual_onset_global_ms"": 739885.344, ""actual_offset_global_ms"": 742398.045, ""actual_duration_ms"": 2512.701}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 742398.045, ""actual_onset_global_ms"": 742397.99, ""actual_offset_global_ms"": 743398.276, ""actual_duration_ms"": 1000.286}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 743398.276, ""actual_onset_global_ms"": 743412.246, ""actual_offset_global_ms"": 745089.904, ""actual_duration_ms"": 1677.658}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 745089.904, ""actual_onset_global_ms"": 745100.009, ""actual_offset_global_ms"": 745267.227, ""actual_duration_ms"": 167.218}]",1.0
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,1,9,formal,N3_same,1779089095,60.0,2026-05-18T15:37:44.958,0,0,0,1,762443.125,762451.93,3,same,2,"[139.82, 125.55]","[[115.55, -12.2], [-54.46, -148.12], [139.82, 125.55]]","[""blue"", ""yellow"", ""green""]","[""blue"", ""yellow"", ""green""]",green,green,s,same,s,1,1,2683.635,,,,,,8,1,766043.125,766120.793,768845.059,4000,2724.266,768845.059,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 762443.125, ""actual_onset_global_ms"": 762451.93, ""actual_offset_global_ms"": 762568.235, ""actual_duration_ms"": 116.305}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 762543.125, ""actual_onset_global_ms"": 762592.258, ""actual_offset_global_ms"": 765087.106, ""actual_duration_ms"": 2494.848}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 765087.106, ""actual_onset_global_ms"": 765077.031, ""actual_offset_global_ms"": 766094.283, ""actual_duration_ms"": 1017.252}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 766094.283, ""actual_onset_global_ms"": 766120.793, ""actual_offset_global_ms"": 768845.059, ""actual_duration_ms"": 2724.266}]",
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,2,10,formal,N3_change,1779089095,60.0,2026-05-18T15:37:51.362,0,0,0,1,768847.765,768861.381,3,change,1,"[251.74, -251.55]","[[-234.22, -114.27], [251.74, -251.55], [-87.85, 126.51]]","[""red"", ""blue"", ""purple""]","[""red"", ""green"", ""purple""]",blue,green,j,change,j,1,1,970.015,,,,,,3,1,772447.765,772522.312,773514.53,4000,992.218,773514.53,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 768847.765, ""actual_onset_global_ms"": 768861.381, ""actual_offset_global_ms"": 768977.923, ""actual_duration_ms"": 116.542}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 768947.765, ""actual_onset_global_ms"": 769000.185, ""actual_offset_global_ms"": 771489.954, ""actual_duration_ms"": 2489.769}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 771489.954, ""actual_onset_global_ms"": 771481.116, ""actual_offset_global_ms"": 772495.615, ""actual_duration_ms"": 1014.499}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 772495.615, ""actual_onset_global_ms"": 772522.312, ""actual_offset_global_ms"": 773514.53, ""actual_duration_ms"": 992.218}]",
