participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,intended_trial_start_ms,actual_trial_start_ms,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,trial_transition,previous_rule,current_rule,practice_pass_flag,cue_to_first_response_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,trigger_trial_index
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,1,1,practice,color,1779089095,60.0,2026-05-18T15:27:09.787,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,127272.94,127330.521,color,cue_color.wav,颜色,127396.986,500,128093.549,red,rabbit,red_rabbit,j,j,1,3413.082,131311.971,practice,,color,1.0,3915.158,correct,correct.wav,131314.884,150.0,131814.884,127872.94,127898.889,131311.971,3000,3413.082,131461.971,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 127272.94, ""actual_onset_global_ms"": 127330.521, ""actual_offset_global_ms"": 127398.84, ""actual_duration_ms"": 68.319}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 127372.94, ""actual_onset_global_ms"": 127396.813, ""actual_offset_global_ms"": 127898.916, ""actual_duration_ms"": 502.103}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 127872.94, ""actual_onset_global_ms"": 127898.889, ""actual_offset_global_ms"": 131311.971, ""actual_duration_ms"": 3413.082}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 131311.971, ""actual_onset_global_ms"": 131330.193, ""actual_offset_global_ms"": 131481.534, ""actual_duration_ms"": 151.341}]",
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,2,2,practice,color,1779089095,60.0,2026-05-18T15:27:13.985,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,131471.082,131484.146,color,cue_color.wav,颜色,131597.001,500,132293.563,blue,boat,blue_boat,s,s,1,762.586,132859.802,practice,,color,1.0,1263.116,correct,correct.wav,132864.984,150.0,133364.984,132071.082,132097.216,132859.802,3000,762.586,133009.802,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 131471.082, ""actual_onset_global_ms"": 131484.146, ""actual_offset_global_ms"": 131597.964, ""actual_duration_ms"": 113.818}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 131571.082, ""actual_onset_global_ms"": 131596.686, ""actual_offset_global_ms"": 132097.61, ""actual_duration_ms"": 500.924}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 132071.082, ""actual_onset_global_ms"": 132097.216, ""actual_offset_global_ms"": 132859.802, ""actual_duration_ms"": 762.586}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 132859.802, ""actual_onset_global_ms"": 132880.161, ""actual_offset_global_ms"": 133033.137, ""actual_duration_ms"": 152.976}]",
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,3,3,practice,color,1779089095,60.0,2026-05-18T15:27:15.533,0,0,0,1,0,none,criterion_not_reached,3.0,1,1,brief_rule_prompt,900.0,0,0,0,color,criterion_not_reached,0,light_rule_prompt,dimension_only,0,133019.787,133033.91,color,cue_color.wav,颜色,133147.995,500,133844.557,blue,rabbit,blue_rabbit,s,j,0,448.629,134096.129,practice,,color,1.0,948.576,incorrect,incorrect.wav,134098.288,150.0,134598.288,133619.787,133647.5,134096.129,3000,448.629,134246.129,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 133019.787, ""actual_onset_global_ms"": 133033.91, ""actual_offset_global_ms"": 133146.932, ""actual_duration_ms"": 113.022}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 133119.787, ""actual_onset_global_ms"": 133147.553, ""actual_offset_global_ms"": 133647.168, ""actual_duration_ms"": 499.615}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 133619.787, ""actual_onset_global_ms"": 133647.5, ""actual_offset_global_ms"": 134096.129, ""actual_duration_ms"": 448.629}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 134096.129, ""actual_onset_global_ms"": 134114.293, ""actual_offset_global_ms"": 134281.208, ""actual_duration_ms"": 166.915}]",3.0
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,4,4,practice,color,1779089095,60.0,2026-05-18T15:27:17.712,0,0,0,1,0,none,criterion_not_reached,3.0,1,1,brief_rule_prompt,900.0,1,1,0,color,criterion_not_reached,0,light_rule_prompt,dimension_only,1,135198.145,135213.364,color,cue_color.wav,颜色,135330.92,500,136027.483,red,boat,red_boat,j,j,1,1561.234,137392.111,practice,,color,1.0,2061.367,correct,correct.wav,137400.089,150.0,137900.089,135798.145,135830.877,137392.111,3000,1561.234,137542.111,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 135198.145, ""actual_onset_global_ms"": 135213.364, ""actual_offset_global_ms"": 135331.765, ""actual_duration_ms"": 118.401}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 135298.145, ""actual_onset_global_ms"": 135330.744, ""actual_offset_global_ms"": 135830.991, ""actual_duration_ms"": 500.247}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 135798.145, ""actual_onset_global_ms"": 135830.877, ""actual_offset_global_ms"": 137392.111, ""actual_duration_ms"": 1561.234}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 137392.111, ""actual_onset_global_ms"": 137413.513, ""actual_offset_global_ms"": 137581.697, ""actual_duration_ms"": 168.184}]",3.0
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,5,5,practice,color,1779089095,60.0,2026-05-18T15:27:20.085,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,137570.587,137583.201,color,cue_color.wav,颜色,137697.966,500,138394.528,red,boat,red_boat,j,j,1,1039.177,139236.139,practice,,color,1.0,1538.534,correct,correct.wav,139247.945,150.0,139747.945,138170.587,138196.962,139236.139,3000,1039.177,139386.139,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 137570.587, ""actual_onset_global_ms"": 137583.201, ""actual_offset_global_ms"": 137696.957, ""actual_duration_ms"": 113.756}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 137670.587, ""actual_onset_global_ms"": 137697.605, ""actual_offset_global_ms"": 138199.052, ""actual_duration_ms"": 501.447}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 138170.587, ""actual_onset_global_ms"": 138196.962, ""actual_offset_global_ms"": 139236.139, ""actual_duration_ms"": 1039.177}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 139236.139, ""actual_onset_global_ms"": 139264.324, ""actual_offset_global_ms"": 139431.168, ""actual_duration_ms"": 166.844}]",
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,6,6,practice,color,1779089095,60.0,2026-05-18T15:27:21.932,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,139418.08,139430.241,color,cue_color.wav,颜色,139547.864,500,140244.427,blue,rabbit,blue_rabbit,s,s,1,905.022,140951.94,practice,,color,1.0,1404.669,correct,correct.wav,140965.109,150.0,141465.109,140018.08,140046.918,140951.94,3000,905.022,141101.94,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 139418.08, ""actual_onset_global_ms"": 139430.241, ""actual_offset_global_ms"": 139547.342, ""actual_duration_ms"": 117.101}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 139518.08, ""actual_onset_global_ms"": 139547.271, ""actual_offset_global_ms"": 140047.896, ""actual_duration_ms"": 500.625}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 140018.08, ""actual_onset_global_ms"": 140046.918, ""actual_offset_global_ms"": 140951.94, ""actual_duration_ms"": 905.022}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 140951.94, ""actual_onset_global_ms"": 140981.011, ""actual_offset_global_ms"": 141132.13, ""actual_duration_ms"": 151.119}]",
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,1,7,practice,shape,1779089095,60.0,2026-05-18T15:27:27.610,0,0,0,1,0,none,criterion_not_reached,7.0,1,1,brief_rule_prompt,900.0,0,0,0,shape,criterion_not_reached,0,light_rule_prompt,dimension_only,0,145096.276,145107.841,shape,cue_shape.wav,形状,145219.099,500,145985.349,blue,boat,blue_boat,j,s,0,3936.619,149656.034,practice,,shape,0.0,4437.166,incorrect,incorrect.wav,149671.187,150.0,150171.187,145696.276,145719.415,149656.034,3000,3936.619,149806.034,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 145096.276, ""actual_onset_global_ms"": 145107.841, ""actual_offset_global_ms"": 145220.446, ""actual_duration_ms"": 112.605}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 145196.276, ""actual_onset_global_ms"": 145218.868, ""actual_offset_global_ms"": 145718.71, ""actual_duration_ms"": 499.842}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 145696.276, ""actual_onset_global_ms"": 145719.415, ""actual_offset_global_ms"": 149656.034, ""actual_duration_ms"": 3936.619}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 149656.034, ""actual_onset_global_ms"": 149685.603, ""actual_offset_global_ms"": 149851.91, ""actual_duration_ms"": 166.307}]",7.0
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,2,8,practice,shape,1779089095,60.0,2026-05-18T15:27:33.285,0,0,0,1,0,none,criterion_not_reached,7.0,1,1,brief_rule_prompt,900.0,1,1,0,shape,criterion_not_reached,0,light_rule_prompt,dimension_only,1,150770.503,150785.382,shape,cue_shape.wav,形状,150902.692,500,151668.942,red,boat,red_boat,j,j,1,2576.957,153980.439,practice,,shape,0.0,3078.087,correct,correct.wav,153987.43,150.0,154487.43,151370.503,151403.482,153980.439,3000,2576.957,154130.439,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 150770.503, ""actual_onset_global_ms"": 150785.382, ""actual_offset_global_ms"": 150903.11, ""actual_duration_ms"": 117.728}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 150870.503, ""actual_onset_global_ms"": 150902.352, ""actual_offset_global_ms"": 151402.795, ""actual_duration_ms"": 500.443}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 151370.503, ""actual_onset_global_ms"": 151403.482, ""actual_offset_global_ms"": 153980.439, ""actual_duration_ms"": 2576.957}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 153980.439, ""actual_onset_global_ms"": 154003.899, ""actual_offset_global_ms"": 154169.106, ""actual_duration_ms"": 165.207}]",7.0
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,3,9,practice,shape,1779089095,60.0,2026-05-18T15:27:36.672,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,154158.09,154170.29,shape,cue_shape.wav,形状,154287.158,500,155053.408,blue,rabbit,blue_rabbit,s,s,1,847.355,155632.833,practice,,shape,0.0,1346.02,correct,correct.wav,155637.132,150.0,156137.132,154758.09,154785.478,155632.833,3000,847.355,155782.833,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 154158.09, ""actual_onset_global_ms"": 154170.29, ""actual_offset_global_ms"": 154285.927, ""actual_duration_ms"": 115.637}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 154258.09, ""actual_onset_global_ms"": 154286.813, ""actual_offset_global_ms"": 154785.876, ""actual_duration_ms"": 499.063}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 154758.09, ""actual_onset_global_ms"": 154785.478, ""actual_offset_global_ms"": 155632.833, ""actual_duration_ms"": 847.355}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 155632.833, ""actual_onset_global_ms"": 155653.42, ""actual_offset_global_ms"": 155819.532, ""actual_duration_ms"": 166.112}]",
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,4,10,practice,shape,1779089095,60.0,2026-05-18T15:27:38.321,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,155807.0,155818.861,shape,cue_shape.wav,形状,155937.088,500,156703.338,blue,rabbit,blue_rabbit,s,s,1,996.866,157432.728,practice,,shape,0.0,1495.899,correct,correct.wav,157436.983,150.0,157936.983,156407.0,156435.862,157432.728,3000,996.866,157582.728,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 155807.0, ""actual_onset_global_ms"": 155818.861, ""actual_offset_global_ms"": 155937.68, ""actual_duration_ms"": 118.819}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 155907.0, ""actual_onset_global_ms"": 155936.829, ""actual_offset_global_ms"": 156436.058, ""actual_duration_ms"": 499.229}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 156407.0, ""actual_onset_global_ms"": 156435.862, ""actual_offset_global_ms"": 157432.728, ""actual_duration_ms"": 996.866}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 157432.728, ""actual_onset_global_ms"": 157452.276, ""actual_offset_global_ms"": 157619.221, ""actual_duration_ms"": 166.945}]",
