participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,intended_trial_start_ms,actual_trial_start_ms,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,response_correct,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,rt_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,repeated_audio_once_in_practice,stage_records_json,termination_reason,terminal_span_length
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,1,1,practice,span_2,1779089095,60.0,2026-05-18T15:29:27.481,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,264966.694,265068.147,2,1,1,"[7, 4]","[""4"", ""7""]","[""4"", ""7""]",47,onscreen_mouse,3562.726,5844.785,1,1,0,0,0,3,[932.507],,"[265070.22, 266101.375]","[""digit_7.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 265070.22, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 265570.22}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 266101.375, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 266601.375}]",,265066.694,265070.22,273021.002,2000,7950.782,273021.002,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 264966.694, ""actual_onset_global_ms"": 265068.147, ""actual_offset_global_ms"": 265084.814, ""actual_duration_ms"": 16.667}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 265066.694, ""actual_onset_global_ms"": 265070.22, ""actual_offset_global_ms"": 266601.375, ""actual_duration_ms"": 1531.155}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 266601.375, ""actual_onset_global_ms"": 266660.798, ""actual_offset_global_ms"": 267162.635, ""actual_duration_ms"": 501.837}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 267162.635, ""actual_onset_global_ms"": 267175.96, ""actual_offset_global_ms"": 273021.002, ""actual_duration_ms"": 5845.042}]",,
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,2,2,practice,span_2,1779089095,60.0,2026-05-18T15:29:35.537,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,273023.826,273114.587,2,2,1,"[9, 7]","[""7"", ""9""]","[""7"", ""9""]",79,onscreen_mouse,1904.547,3925.982,1,1,0,0,0,3,[1067.504],,"[273207.351, 274245.148]","[""digit_9.wav"", ""digit_7.wav""]","[{""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 273207.351, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 273707.351}, {""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 274245.148, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 274745.148}]",,273123.826,273207.351,279241.386,2000,6034.035,279241.386,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 273023.826, ""actual_onset_global_ms"": 273114.587, ""actual_offset_global_ms"": 273223.681, ""actual_duration_ms"": 109.094}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 273123.826, ""actual_onset_global_ms"": 273207.351, ""actual_offset_global_ms"": 274745.148, ""actual_duration_ms"": 1537.797}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 274745.148, ""actual_onset_global_ms"": 274802.533, ""actual_offset_global_ms"": 275315.394, ""actual_duration_ms"": 512.861}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 275315.394, ""actual_onset_global_ms"": 275315.119, ""actual_offset_global_ms"": 279241.386, ""actual_duration_ms"": 3926.267}]",,
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,3,3,practice,span_2,1779089095,60.0,2026-05-18T15:29:41.758,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,279244.271,279337.606,2,3,1,"[3, 4]","[""4"", ""3""]","[""4"", ""3""]",43,onscreen_mouse,2091.385,4274.815,1,1,0,0,0,3,[983.711],,"[279429.703, 280467.326]","[""digit_3.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 279429.703, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 279929.703}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 280467.326, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 280967.326}]",,279344.271,279429.703,285910.121,2000,6480.418,285910.121,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 279244.271, ""actual_onset_global_ms"": 279337.606, ""actual_offset_global_ms"": 279445.977, ""actual_duration_ms"": 108.371}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 279344.271, ""actual_onset_global_ms"": 279429.703, ""actual_offset_global_ms"": 280967.326, ""actual_duration_ms"": 1537.623}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 280967.326, ""actual_onset_global_ms"": 281120.77, ""actual_offset_global_ms"": 281634.617, ""actual_duration_ms"": 513.847}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 281634.617, ""actual_onset_global_ms"": 281634.937, ""actual_offset_global_ms"": 285910.121, ""actual_duration_ms"": 4275.184}]",,
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,4,4,practice,span_2,1779089095,60.0,2026-05-18T15:29:48.427,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,285912.874,286003.232,2,4,1,"[7, 6]","[""6"", ""7""]","[""6"", ""7""]",67,onscreen_mouse,3022.012,5524.953,1,1,0,0,0,3,[1169.851],,"[286094.985, 287131.269]","[""digit_7.wav"", ""digit_6.wav""]","[{""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 286094.985, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 286594.985}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 287131.269, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 287631.269}]",,286012.874,286094.985,293726.155,2000,7631.17,293726.155,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 285912.874, ""actual_onset_global_ms"": 286003.232, ""actual_offset_global_ms"": 286111.401, ""actual_duration_ms"": 108.169}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 286012.874, ""actual_onset_global_ms"": 286094.985, ""actual_offset_global_ms"": 287631.269, ""actual_duration_ms"": 1536.284}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 287631.269, ""actual_onset_global_ms"": 287692.648, ""actual_offset_global_ms"": 288200.799, ""actual_duration_ms"": 508.151}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 288200.799, ""actual_onset_global_ms"": 288200.978, ""actual_offset_global_ms"": 293726.155, ""actual_duration_ms"": 5525.177}]",,
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,5,5,practice,span_2,1779089095,60.0,2026-05-18T15:29:56.243,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,293728.978,293820.768,2,5,1,"[5, 2]","[""2"", ""5""]","[""2"", ""5""]",25,onscreen_mouse,1933.502,4088.653,1,1,0,0,0,3,[933.491],,"[293911.992, 294957.688]","[""digit_5.wav"", ""digit_2.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 293911.992, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 294411.992}, {""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 294957.688, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 295457.688}]",,293828.978,293911.992,300109.359,2000,6197.367,300109.359,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 293728.978, ""actual_onset_global_ms"": 293820.768, ""actual_offset_global_ms"": 293928.434, ""actual_duration_ms"": 107.666}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 293828.978, ""actual_onset_global_ms"": 293911.992, ""actual_offset_global_ms"": 295457.688, ""actual_duration_ms"": 1545.696}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 295457.688, ""actual_onset_global_ms"": 295503.549, ""actual_offset_global_ms"": 296021.005, ""actual_duration_ms"": 517.456}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 296021.005, ""actual_onset_global_ms"": 296020.343, ""actual_offset_global_ms"": 300109.359, ""actual_duration_ms"": 4089.016}]",,
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,6,6,practice,span_2,1779089095,60.0,2026-05-18T15:30:02.626,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,300112.293,300203.428,2,6,1,"[4, 3]","[""3"", ""4""]","[""3"", ""4""]",34,onscreen_mouse,2427.561,4430.616,1,1,0,0,0,3,[948.038],,"[300294.919, 301318.983]","[""digit_4.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 300294.919, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 300794.919}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 301318.983, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 301818.983}]",,300212.293,300294.919,306817.261,2000,6522.342,306817.261,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 300112.293, ""actual_onset_global_ms"": 300203.428, ""actual_offset_global_ms"": 300311.34, ""actual_duration_ms"": 107.912}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 300212.293, ""actual_onset_global_ms"": 300294.919, ""actual_offset_global_ms"": 301818.983, ""actual_duration_ms"": 1524.064}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 301818.983, ""actual_onset_global_ms"": 301869.45, ""actual_offset_global_ms"": 302386.735, ""actual_duration_ms"": 517.285}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 302386.735, ""actual_onset_global_ms"": 302386.399, ""actual_offset_global_ms"": 306817.261, ""actual_duration_ms"": 4430.862}]",,
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,1,7,formal,span_2,1779089095,60.0,2026-05-18T15:30:17.057,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,314542.871,314634.219,2,1,1,"[9, 3]","[""3"", ""9""]","[""3"", ""9""]",39,onscreen_mouse,2421.687,4204.853,1,1,0,0,0,3,[967.019],advance,"[314730.29, 315780.505]","[""digit_9.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 314730.29, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 315230.29}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 315780.505, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 316280.505}]",,314642.871,314730.29,321066.864,2000,6336.574,321066.864,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 314542.871, ""actual_onset_global_ms"": 314634.219, ""actual_offset_global_ms"": 314746.52, ""actual_duration_ms"": 112.301}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 314642.871, ""actual_onset_global_ms"": 314730.29, ""actual_offset_global_ms"": 316280.505, ""actual_duration_ms"": 1550.215}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 316280.505, ""actual_onset_global_ms"": 316347.36, ""actual_offset_global_ms"": 316861.781, ""actual_duration_ms"": 514.421}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 316861.781, ""actual_onset_global_ms"": 316861.779, ""actual_offset_global_ms"": 321066.864, ""actual_duration_ms"": 4205.085}]",two_failures_in_span,6.0
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,2,8,formal,span_2,1779089095,60.0,2026-05-18T15:30:23.583,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,321069.692,321164.693,2,2,1,"[5, 2]","[""2"", ""5""]","[""2"", ""5""]",25,onscreen_mouse,2217.097,4201.273,1,1,0,0,0,3,[933.869],advance,"[321258.547, 322299.827]","[""digit_5.wav"", ""digit_2.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 321258.547, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 321758.547}, {""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 322299.827, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 322799.827}]",,321169.692,321258.547,327566.869,2000,6308.322,327566.869,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 321069.692, ""actual_onset_global_ms"": 321164.693, ""actual_offset_global_ms"": 321275.053, ""actual_duration_ms"": 110.36}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 321169.692, ""actual_onset_global_ms"": 321258.547, ""actual_offset_global_ms"": 322799.827, ""actual_duration_ms"": 1541.28}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 322799.827, ""actual_onset_global_ms"": 322848.679, ""actual_offset_global_ms"": 323365.148, ""actual_duration_ms"": 516.469}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 323365.148, ""actual_onset_global_ms"": 323365.32, ""actual_offset_global_ms"": 327566.869, ""actual_duration_ms"": 4201.549}]",two_failures_in_span,6.0
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,1,9,formal,span_3,1779089095,60.0,2026-05-18T15:30:30.087,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,327572.574,327666.616,3,1,2,"[6, 8, 9]","[""9"", ""8"", ""6""]","[""9"", ""8"", ""6""]",986,onscreen_mouse,3705.286,9408.887,1,1,0,1,0,6,"[398.565, 2970.134, 1018.017]",advance,"[327758.756, 328802.176, 329777.624]","[""digit_6.wav"", ""digit_8.wav"", ""digit_9.wav""]","[{""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 327758.756, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 328258.756}, {""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 328802.176, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 329302.176}, {""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 329777.624, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 330277.624}]",,327672.574,327758.756,340257.965,3000,12499.209,340257.965,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 327572.574, ""actual_onset_global_ms"": 327666.616, ""actual_offset_global_ms"": 327775.02, ""actual_duration_ms"": 108.404}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 327672.574, ""actual_onset_global_ms"": 327758.756, ""actual_offset_global_ms"": 330277.624, ""actual_duration_ms"": 2518.868}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 330277.624, ""actual_onset_global_ms"": 330335.069, ""actual_offset_global_ms"": 330847.873, ""actual_duration_ms"": 512.804}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 330847.873, ""actual_onset_global_ms"": 330848.792, ""actual_offset_global_ms"": 340257.965, ""actual_duration_ms"": 9409.173}]",two_failures_in_span,6.0
20,20_T1_20260518_152455,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,2,10,formal,span_3,1779089095,60.0,2026-05-18T15:30:42.775,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,340261.085,340354.315,3,2,2,"[8, 9, 1]","[""1"", ""9"", ""8""]","[""1"", ""9"", ""8""]",198,onscreen_mouse,4239.345,22792.682,1,1,0,1,0,6,"[14116.26, 1483.259, 949.42]",advance,"[340449.478, 341487.341, 342466.674]","[""digit_8.wav"", ""digit_9.wav"", ""digit_1.wav""]","[{""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 340449.478, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 340949.478}, {""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 341487.341, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 341987.341}, {""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 342466.674, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 342966.674}]",,340361.085,340449.478,366332.019,3000,25882.541,366332.019,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 340261.085, ""actual_onset_global_ms"": 340354.315, ""actual_offset_global_ms"": 340465.973, ""actual_duration_ms"": 111.658}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 340361.085, ""actual_onset_global_ms"": 340449.478, ""actual_offset_global_ms"": 342966.674, ""actual_duration_ms"": 2517.196}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 342966.674, ""actual_onset_global_ms"": 343026.619, ""actual_offset_global_ms"": 343539.376, ""actual_duration_ms"": 512.757}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 343539.376, ""actual_onset_global_ms"": 343539.114, ""actual_offset_global_ms"": 366332.019, ""actual_duration_ms"": 22792.905}]",two_failures_in_span,6.0
