participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,trial_transition,previous_rule,current_rule,cue_to_first_response_ms,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,accuracy,layout_generation_attempts,overlap_check_passed
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,1,13,formal,congruent,1779260825,60.0,2026-05-20T15:09:31.792,0,0,0,1,139408.148,139417.873,congruent,left,left,<<<<<,s,s,1,1694.974,141228.836,none,,139508.148,139533.862,141228.836,3000,1694.974,141228.836,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 139408.148, ""actual_onset_global_ms"": 139417.873, ""actual_offset_global_ms"": 139533.621, ""actual_duration_ms"": 115.748}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 139508.148, ""actual_onset_global_ms"": 139533.862, ""actual_offset_global_ms"": 141228.836, ""actual_duration_ms"": 1694.974}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,2,14,formal,congruent,1779260825,60.0,2026-05-20T15:09:33.621,0,0,0,1,141237.983,141250.519,congruent,left,left,<<<<<,s,s,1,2122.232,143489.217,none,,141337.983,141366.985,143489.217,3000,2122.232,143489.217,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 141237.983, ""actual_onset_global_ms"": 141250.519, ""actual_offset_global_ms"": 141366.749, ""actual_duration_ms"": 116.23}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 141337.983, ""actual_onset_global_ms"": 141366.985, ""actual_offset_global_ms"": 143489.217, ""actual_duration_ms"": 2122.232}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,3,15,formal,incongruent,1779260825,60.0,2026-05-20T15:09:35.889,0,0,0,1,143505.245,143517.926,incongruent,right,left,<<><<,j,j,1,1135.169,144768.595,none,,143605.245,143633.426,144768.595,3000,1135.169,144768.595,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 143505.245, ""actual_onset_global_ms"": 143517.926, ""actual_offset_global_ms"": 143633.577, ""actual_duration_ms"": 115.651}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 143605.245, ""actual_onset_global_ms"": 143633.426, ""actual_offset_global_ms"": 144768.595, ""actual_duration_ms"": 1135.169}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,4,16,formal,incongruent,1779260825,60.0,2026-05-20T15:09:37.171,0,0,0,1,144787.939,144800.338,incongruent,left,right,>><>>,s,s,1,971.523,145888.776,none,,144887.939,144917.253,145888.776,3000,971.523,145888.776,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 144787.939, ""actual_onset_global_ms"": 144800.338, ""actual_offset_global_ms"": 144917.74, ""actual_duration_ms"": 117.402}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 144887.939, ""actual_onset_global_ms"": 144917.253, ""actual_offset_global_ms"": 145888.776, ""actual_duration_ms"": 971.523}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,5,17,formal,congruent,1779260825,60.0,2026-05-20T15:09:38.288,0,0,0,1,145904.699,145916.544,congruent,left,left,<<<<<,s,s,1,805.067,146840.772,none,,146004.699,146035.705,146840.772,3000,805.067,146840.772,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 145904.699, ""actual_onset_global_ms"": 145916.544, ""actual_offset_global_ms"": 146034.537, ""actual_duration_ms"": 117.993}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 146004.699, ""actual_onset_global_ms"": 146035.705, ""actual_offset_global_ms"": 146840.772, ""actual_duration_ms"": 805.067}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,6,18,formal,incongruent,1779260825,60.0,2026-05-20T15:09:39.237,0,0,0,1,146854.267,146868.118,incongruent,right,left,<<><<,j,j,1,736.897,147720.776,none,,146954.267,146983.879,147720.776,3000,736.897,147720.776,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 146854.267, ""actual_onset_global_ms"": 146868.118, ""actual_offset_global_ms"": 146983.61, ""actual_duration_ms"": 115.492}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 146954.267, ""actual_onset_global_ms"": 146983.879, ""actual_offset_global_ms"": 147720.776, ""actual_duration_ms"": 736.897}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,7,19,formal,congruent,1779260825,60.0,2026-05-20T15:09:40.120,0,0,0,1,147736.84,147750.852,congruent,left,left,<<<<<,s,s,1,1270.206,149137.731,none,,147836.84,147867.525,149137.731,3000,1270.206,149137.731,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 147736.84, ""actual_onset_global_ms"": 147750.852, ""actual_offset_global_ms"": 147866.92, ""actual_duration_ms"": 116.068}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 147836.84, ""actual_onset_global_ms"": 147867.525, ""actual_offset_global_ms"": 149137.731, ""actual_duration_ms"": 1270.206}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,8,20,formal,congruent,1779260825,60.0,2026-05-20T15:09:41.540,0,0,0,1,149156.335,149166.439,congruent,left,left,<<<<<,s,s,1,1084.122,150368.578,none,,149256.335,149284.456,150368.578,3000,1084.122,150368.578,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 149156.335, ""actual_onset_global_ms"": 149166.439, ""actual_offset_global_ms"": 149284.977, ""actual_duration_ms"": 118.538}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 149256.335, ""actual_onset_global_ms"": 149284.456, ""actual_offset_global_ms"": 150368.578, ""actual_duration_ms"": 1084.122}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,9,21,formal,congruent,1779260825,60.0,2026-05-20T15:09:42.771,0,0,0,1,150387.841,150399.947,congruent,right,right,>>>>>,j,j,1,664.663,151181.577,none,,150487.841,150516.914,151181.577,3000,664.663,151181.577,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 150387.841, ""actual_onset_global_ms"": 150399.947, ""actual_offset_global_ms"": 150517.638, ""actual_duration_ms"": 117.691}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 150487.841, ""actual_onset_global_ms"": 150516.914, ""actual_offset_global_ms"": 151181.577, ""actual_duration_ms"": 664.663}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,10,22,formal,incongruent,1779260825,60.0,2026-05-20T15:09:43.571,0,0,0,1,151187.472,151201.265,incongruent,left,right,>><>>,s,s,1,943.585,152260.907,none,,151287.472,151317.322,152260.907,3000,943.585,152260.907,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 151187.472, ""actual_onset_global_ms"": 151201.265, ""actual_offset_global_ms"": 151317.255, ""actual_duration_ms"": 115.99}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 151287.472, ""actual_onset_global_ms"": 151317.322, ""actual_offset_global_ms"": 152260.907, ""actual_duration_ms"": 943.585}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
