participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,intended_trial_start_ms,actual_trial_start_ms,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,response_correct,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,rt_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,repeated_audio_once_in_practice,stage_records_json,termination_reason,terminal_span_length
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,1,1,practice,span_2,1779260825,60.0,2026-05-20T15:14:46.194,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,453810.888,453916.269,2,1,1,"[3, 4]","[""4"", ""3""]","[""4"", ""3""]",43,onscreen_mouse,22376.876,24415.035,1,1,0,0,0,3,[1028.518],,"[453918.723, 454930.187]","[""digit_3.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 453918.723, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 454418.723}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 454930.187, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 455430.187}]",,453910.888,453918.723,480400.845,2000,26482.122,480400.845,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 453810.888, ""actual_onset_global_ms"": 453916.269, ""actual_offset_global_ms"": 453932.936, ""actual_duration_ms"": 16.667}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 453910.888, ""actual_onset_global_ms"": 453918.723, ""actual_offset_global_ms"": 455430.187, ""actual_duration_ms"": 1511.464}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 455430.187, ""actual_onset_global_ms"": 455460.355, ""actual_offset_global_ms"": 455951.9, ""actual_duration_ms"": 491.545}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 455951.9, ""actual_onset_global_ms"": 455985.611, ""actual_offset_global_ms"": 480400.845, ""actual_duration_ms"": 24415.234}]",,
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,2,2,practice,span_2,1779260825,60.0,2026-05-20T15:15:12.787,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,480403.533,480496.764,2,2,1,"[6, 1]","[""1"", ""6""]","[""1"", ""6""]",16,onscreen_mouse,4942.031,7216.402,1,1,0,0,0,3,[1034.695],,"[480590.644, 481633.376]","[""digit_6.wav"", ""digit_1.wav""]","[{""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 480590.644, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 481090.644}, {""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 481633.376, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 482133.376}]",,480503.533,480590.644,489924.059,2000,9333.415,489924.059,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 480403.533, ""actual_onset_global_ms"": 480496.764, ""actual_offset_global_ms"": 480606.922, ""actual_duration_ms"": 110.158}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 480503.533, ""actual_onset_global_ms"": 480590.644, ""actual_offset_global_ms"": 482133.376, ""actual_duration_ms"": 1542.732}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 482133.376, ""actual_onset_global_ms"": 482190.361, ""actual_offset_global_ms"": 482707.564, ""actual_duration_ms"": 517.203}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 482707.564, ""actual_onset_global_ms"": 482707.448, ""actual_offset_global_ms"": 489924.059, ""actual_duration_ms"": 7216.611}]",,
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,3,3,practice,span_2,1779260825,60.0,2026-05-20T15:15:22.310,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,489926.78,490020.275,2,3,1,"[4, 2]","[""2"", ""4""]","[""2"", ""4""]",24,onscreen_mouse,4990.983,6961.249,1,1,0,0,0,3,[882.599],,"[490115.98, 491135.984]","[""digit_4.wav"", ""digit_2.wav""]","[{""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 490115.98, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 490615.98}, {""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 491135.984, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 491635.984}]",,490026.78,490115.98,499161.769,2000,9045.789,499161.769,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 489926.78, ""actual_onset_global_ms"": 490020.275, ""actual_offset_global_ms"": 490132.317, ""actual_duration_ms"": 112.042}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 490026.78, ""actual_onset_global_ms"": 490115.98, ""actual_offset_global_ms"": 491635.984, ""actual_duration_ms"": 1520.004}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 491635.984, ""actual_onset_global_ms"": 491693.662, ""actual_offset_global_ms"": 492199.075, ""actual_duration_ms"": 505.413}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 492199.075, ""actual_onset_global_ms"": 492200.287, ""actual_offset_global_ms"": 499161.769, ""actual_duration_ms"": 6961.482}]",,
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,4,4,practice,span_2,1779260825,60.0,2026-05-20T15:15:31.548,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,499164.774,499259.342,2,4,1,"[4, 1]","[""1"", ""4""]","[""1"", ""4""]",14,onscreen_mouse,4688.069,6904.256,1,1,0,0,0,3,[965.288],,"[499353.825, 500354.417]","[""digit_4.wav"", ""digit_1.wav""]","[{""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 499353.825, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 499853.825}, {""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 500354.417, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 500854.417}]",,499264.774,499353.825,508326.265,2000,8972.44,508326.265,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 499164.774, ""actual_onset_global_ms"": 499259.342, ""actual_offset_global_ms"": 499370.317, ""actual_duration_ms"": 110.975}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 499264.774, ""actual_onset_global_ms"": 499353.825, ""actual_offset_global_ms"": 500854.417, ""actual_duration_ms"": 1500.592}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 500854.417, ""actual_onset_global_ms"": 500916.829, ""actual_offset_global_ms"": 501421.961, ""actual_duration_ms"": 505.132}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 501421.961, ""actual_onset_global_ms"": 501421.643, ""actual_offset_global_ms"": 508326.265, ""actual_duration_ms"": 6904.622}]",,
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,5,5,practice,span_2,1779260825,60.0,2026-05-20T15:15:40.712,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,508329.334,508423.266,2,5,1,"[1, 5]","[""5"", ""1""]","[""5"", ""1""]",51,onscreen_mouse,2803.076,5308.055,1,1,0,0,0,3,[917.468],,"[508517.26, 509519.754]","[""digit_1.wav"", ""digit_5.wav""]","[{""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 508517.26, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 509017.26}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 509519.754, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 510019.754}]",,508429.334,508517.26,515913.349,2000,7396.089,515913.349,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 508329.334, ""actual_onset_global_ms"": 508423.266, ""actual_offset_global_ms"": 508533.742, ""actual_duration_ms"": 110.476}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 508429.334, ""actual_onset_global_ms"": 508517.26, ""actual_offset_global_ms"": 510019.754, ""actual_duration_ms"": 1502.494}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 510019.754, ""actual_onset_global_ms"": 510088.563, ""actual_offset_global_ms"": 510605.44, ""actual_duration_ms"": 516.877}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 510605.44, ""actual_onset_global_ms"": 510605.007, ""actual_offset_global_ms"": 515913.349, ""actual_duration_ms"": 5308.342}]",,
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,6,6,practice,span_2,1779260825,60.0,2026-05-20T15:15:48.300,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,515916.19,516009.071,2,6,1,"[2, 3]","[""3"", ""2""]","[""3"", ""2""]",32,onscreen_mouse,3345.438,5279.218,1,1,0,0,0,3,[912.865],,"[516101.838, 517134.114]","[""digit_2.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 516101.838, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 516601.838}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 517134.114, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 517634.114}]",,516016.19,516101.838,523489.089,2000,7387.251,523489.089,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 515916.19, ""actual_onset_global_ms"": 516009.071, ""actual_offset_global_ms"": 516118.034, ""actual_duration_ms"": 108.963}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 516016.19, ""actual_onset_global_ms"": 516101.838, ""actual_offset_global_ms"": 517634.114, ""actual_duration_ms"": 1532.276}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 517634.114, ""actual_onset_global_ms"": 517700.526, ""actual_offset_global_ms"": 518208.115, ""actual_duration_ms"": 507.589}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 518208.115, ""actual_onset_global_ms"": 518209.683, ""actual_offset_global_ms"": 523489.089, ""actual_duration_ms"": 5279.406}]",,
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,1,7,formal,span_2,1779260825,60.0,2026-05-20T15:16:05.988,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,533605.455,533698.852,2,1,1,"[1, 5]","[""5"", ""1""]","[""5"", ""1""]",51,onscreen_mouse,3177.474,5166.859,1,1,0,0,0,3,[893.318],advance,"[533796.329, 534799.253]","[""digit_1.wav"", ""digit_5.wav""]","[{""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 533796.329, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 534296.329}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 534799.253, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 535299.253}]",,533705.455,533796.329,541029.116,2000,7232.787,541029.116,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 533605.455, ""actual_onset_global_ms"": 533698.852, ""actual_offset_global_ms"": 533812.81, ""actual_duration_ms"": 113.958}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 533705.455, ""actual_onset_global_ms"": 533796.329, ""actual_offset_global_ms"": 535299.253, ""actual_duration_ms"": 1502.924}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 535299.253, ""actual_onset_global_ms"": 535348.707, ""actual_offset_global_ms"": 535861.844, ""actual_duration_ms"": 513.137}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 535861.844, ""actual_onset_global_ms"": 535862.026, ""actual_offset_global_ms"": 541029.116, ""actual_duration_ms"": 5167.09}]",two_failures_in_span,4.0
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,2,8,formal,span_2,1779260825,60.0,2026-05-20T15:16:13.416,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,541032.409,541125.974,2,2,1,"[1, 9]","[""9"", ""1""]","[""9"", ""1""]",91,onscreen_mouse,4357.208,6434.658,1,1,0,0,0,3,[1045.544],advance,"[541217.772, 542256.852]","[""digit_1.wav"", ""digit_9.wav""]","[{""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 541217.772, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 541717.772}, {""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 542256.852, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 542756.852}]",,541132.409,541217.772,549774.64,2000,8556.868,549774.64,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 541032.409, ""actual_onset_global_ms"": 541125.974, ""actual_offset_global_ms"": 541234.126, ""actual_duration_ms"": 108.152}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 541132.409, ""actual_onset_global_ms"": 541217.772, ""actual_offset_global_ms"": 542756.852, ""actual_duration_ms"": 1539.08}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 542756.852, ""actual_onset_global_ms"": 542825.505, ""actual_offset_global_ms"": 543340.028, ""actual_duration_ms"": 514.523}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 543340.028, ""actual_onset_global_ms"": 543339.776, ""actual_offset_global_ms"": 549774.64, ""actual_duration_ms"": 6434.864}]",two_failures_in_span,4.0
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,1,9,formal,span_3,1779260825,60.0,2026-05-20T15:16:22.163,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,549779.426,549874.875,3,1,2,"[5, 6, 4]","[""4"", ""6"", ""5""]","[""7"", ""6"", ""5""]",765,onscreen_mouse,38146.293,57581.778,0,0,0,0,0,4,"[1220.686, 1000.629]",advance,"[549970.594, 551021.04, 552003.805]","[""digit_5.wav"", ""digit_6.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 549970.594, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 550470.594}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 551021.04, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 551521.04}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 552003.805, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 552503.805}]",,549879.426,549970.594,610653.102,3000,60682.508,610653.102,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 549779.426, ""actual_onset_global_ms"": 549874.875, ""actual_offset_global_ms"": 549987.085, ""actual_duration_ms"": 112.21}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 549879.426, ""actual_onset_global_ms"": 549970.594, ""actual_offset_global_ms"": 552503.805, ""actual_duration_ms"": 2533.211}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 552503.805, ""actual_onset_global_ms"": 552565.714, ""actual_offset_global_ms"": 553071.133, ""actual_duration_ms"": 505.419}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 553071.133, ""actual_onset_global_ms"": 553070.882, ""actual_offset_global_ms"": 610653.102, ""actual_duration_ms"": 57582.22}]",two_failures_in_span,4.0
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,2,10,formal,span_3,1779260825,60.0,2026-05-20T15:17:23.040,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,610656.75,610753.513,3,2,2,"[4, 3, 1]","[""1"", ""3"", ""4""]","[""1"", ""3"", ""4""]",134,onscreen_mouse,13963.891,17500.659,1,1,0,0,0,4,"[1176.497, 1055.155]",advance,"[610850.033, 611871.202, 612851.514]","[""digit_4.wav"", ""digit_3.wav"", ""digit_1.wav""]","[{""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 610850.033, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 611350.033}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 611871.202, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 612371.202}, {""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 612851.514, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 613351.514}]",,610756.75,610850.033,631393.308,3000,20543.275,631393.308,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 610656.75, ""actual_onset_global_ms"": 610753.513, ""actual_offset_global_ms"": 610866.284, ""actual_duration_ms"": 112.771}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 610756.75, ""actual_onset_global_ms"": 610850.033, ""actual_offset_global_ms"": 613351.514, ""actual_duration_ms"": 2501.481}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 613351.514, ""actual_onset_global_ms"": 613382.875, ""actual_offset_global_ms"": 613892.551, ""actual_duration_ms"": 509.676}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 613892.551, ""actual_onset_global_ms"": 613892.452, ""actual_offset_global_ms"": 631393.308, ""actual_duration_ms"": 17500.856}]",two_failures_in_span,4.0
