participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,intended_trial_start_ms,actual_trial_start_ms,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,response_correct,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,rt_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,repeated_audio_once_in_practice,stage_records_json,termination_reason,terminal_span_length
21,21_T1_20260518_154346,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,1,1,practice,span_2,1779090226,60.0,2026-05-18T15:50:58.397,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,425382.515,425483.637,2,1,1,"[6, 3]","[""3"", ""6""]","[""3"", ""6""]",36,onscreen_mouse,5424.0,7661.131,1,1,0,0,0,3,[1164.959],,"[425485.632, 426532.216]","[""digit_6.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 425485.632, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 425985.632}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 426532.216, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 427032.216}]",,425482.515,425485.632,435292.807,2000,9807.175,435292.807,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 425382.515, ""actual_onset_global_ms"": 425483.637, ""actual_offset_global_ms"": 425500.304, ""actual_duration_ms"": 16.667}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 425482.515, ""actual_onset_global_ms"": 425485.632, ""actual_offset_global_ms"": 427032.216, ""actual_duration_ms"": 1546.584}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 427032.216, ""actual_onset_global_ms"": 427103.534, ""actual_offset_global_ms"": 427617.185, ""actual_duration_ms"": 513.651}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 427617.185, ""actual_onset_global_ms"": 427631.473, ""actual_offset_global_ms"": 435292.807, ""actual_duration_ms"": 7661.334}]",,
21,21_T1_20260518_154346,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,2,2,practice,span_2,1779090226,60.0,2026-05-18T15:51:08.311,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,435295.655,435390.641,2,2,1,"[1, 7]","[""7"", ""1""]","[""7"", ""1""]",71,onscreen_mouse,1721.289,6104.627,1,1,0,0,0,3,[1034.932],,"[435483.587, 436528.081]","[""digit_1.wav"", ""digit_7.wav""]","[{""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 435483.587, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 435983.587}, {""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 436528.081, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 437028.081}]",,435395.655,435483.587,443695.317,2000,8211.73,443695.317,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 435295.655, ""actual_onset_global_ms"": 435390.641, ""actual_offset_global_ms"": 435500.107, ""actual_duration_ms"": 109.466}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 435395.655, ""actual_onset_global_ms"": 435483.587, ""actual_offset_global_ms"": 437028.081, ""actual_duration_ms"": 1544.494}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 437028.081, ""actual_onset_global_ms"": 437073.712, ""actual_offset_global_ms"": 437592.089, ""actual_duration_ms"": 518.377}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 437592.089, ""actual_onset_global_ms"": 437590.419, ""actual_offset_global_ms"": 443695.317, ""actual_duration_ms"": 6104.898}]",,
21,21_T1_20260518_154346,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,3,3,practice,span_2,1779090226,60.0,2026-05-18T15:51:16.713,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,443698.142,443789.653,2,3,1,"[7, 6]","[""6"", ""7""]","[""6"", ""7""]",67,onscreen_mouse,4404.451,7071.711,1,1,0,0,0,3,[1353.306],,"[443882.015, 444911.141]","[""digit_7.wav"", ""digit_6.wav""]","[{""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 443882.015, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 444382.015}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 444911.141, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 445411.141}]",,443798.142,443882.015,453045.041,2000,9163.026,453045.041,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 443698.142, ""actual_onset_global_ms"": 443789.653, ""actual_offset_global_ms"": 443898.364, ""actual_duration_ms"": 108.711}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 443798.142, ""actual_onset_global_ms"": 443882.015, ""actual_offset_global_ms"": 445411.141, ""actual_duration_ms"": 1529.126}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 445411.141, ""actual_onset_global_ms"": 445468.805, ""actual_offset_global_ms"": 445973.47, ""actual_duration_ms"": 504.665}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 445973.47, ""actual_onset_global_ms"": 445973.081, ""actual_offset_global_ms"": 453045.041, ""actual_duration_ms"": 7071.96}]",,
21,21_T1_20260518_154346,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,4,4,practice,span_2,1779090226,60.0,2026-05-18T15:51:26.063,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,453048.072,453141.741,2,4,1,"[9, 7]","[""7"", ""9""]","[""7"", ""9""]",79,onscreen_mouse,3894.213,5879.825,1,1,0,0,0,3,[1032.976],,"[453235.255, 454278.479]","[""digit_9.wav"", ""digit_7.wav""]","[{""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 453235.255, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 453735.255}, {""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 454278.479, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 454778.479}]",,453148.072,453235.255,461187.817,2000,7952.562,461187.817,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 453048.072, ""actual_onset_global_ms"": 453141.741, ""actual_offset_global_ms"": 453251.657, ""actual_duration_ms"": 109.916}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 453148.072, ""actual_onset_global_ms"": 453235.255, ""actual_offset_global_ms"": 454778.479, ""actual_duration_ms"": 1543.224}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 454778.479, ""actual_onset_global_ms"": 454792.511, ""actual_offset_global_ms"": 455308.331, ""actual_duration_ms"": 515.82}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 455308.331, ""actual_onset_global_ms"": 455307.735, ""actual_offset_global_ms"": 461187.817, ""actual_duration_ms"": 5880.082}]",,
21,21_T1_20260518_154346,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,5,5,practice,span_2,1779090226,60.0,2026-05-18T15:51:34.205,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,461190.597,461283.78,2,5,1,"[2, 3]","[""3"", ""2""]","[""3"", ""2""]",32,onscreen_mouse,1466.853,3700.433,1,1,0,0,0,3,[883.049],,"[461376.177, 462379.961]","[""digit_2.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 461376.177, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 461876.177}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 462379.961, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 462879.961}]",,461290.597,461376.177,467150.598,2000,5774.421,467150.598,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 461190.597, ""actual_onset_global_ms"": 461283.78, ""actual_offset_global_ms"": 461392.456, ""actual_duration_ms"": 108.676}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 461290.597, ""actual_onset_global_ms"": 461376.177, ""actual_offset_global_ms"": 462879.961, ""actual_duration_ms"": 1503.784}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 462879.961, ""actual_onset_global_ms"": 462938.316, ""actual_offset_global_ms"": 463449.297, ""actual_duration_ms"": 510.981}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 463449.297, ""actual_onset_global_ms"": 463449.947, ""actual_offset_global_ms"": 467150.598, ""actual_duration_ms"": 3700.651}]",,
21,21_T1_20260518_154346,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,6,6,practice,span_2,1779090226,60.0,2026-05-18T15:51:40.168,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,467153.415,467246.936,2,6,1,"[5, 2]","[""2"", ""5""]","[""2"", ""5""]",25,onscreen_mouse,3020.414,5333.69,1,1,0,0,0,3,[1079.609],,"[467339.705, 468370.482]","[""digit_5.wav"", ""digit_2.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 467339.705, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 467839.705}, {""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 468370.482, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 468870.482}]",,467253.415,467339.705,474728.442,2000,7388.737,474728.442,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 467153.415, ""actual_onset_global_ms"": 467246.936, ""actual_offset_global_ms"": 467356.003, ""actual_duration_ms"": 109.067}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 467253.415, ""actual_onset_global_ms"": 467339.705, ""actual_offset_global_ms"": 468870.482, ""actual_duration_ms"": 1530.777}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 468870.482, ""actual_onset_global_ms"": 468890.555, ""actual_offset_global_ms"": 469394.277, ""actual_duration_ms"": 503.722}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 469394.277, ""actual_onset_global_ms"": 469394.471, ""actual_offset_global_ms"": 474728.442, ""actual_duration_ms"": 5333.971}]",,
21,21_T1_20260518_154346,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,1,7,formal,span_2,1779090226,60.0,2026-05-18T15:52:08.804,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,495789.02,495884.02,2,1,1,"[4, 3]","[""3"", ""4""]","[""3"", ""4""]",34,onscreen_mouse,2910.894,5068.178,1,1,0,0,0,3,[1085.529],advance,"[495984.033, 497023.881]","[""digit_4.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 495984.033, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 496484.033}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 497023.881, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 497523.881}]",,495889.02,495984.033,503162.786,2000,7178.753,503162.786,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 495789.02, ""actual_onset_global_ms"": 495884.02, ""actual_offset_global_ms"": 496000.318, ""actual_duration_ms"": 116.298}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 495889.02, ""actual_onset_global_ms"": 495984.033, ""actual_offset_global_ms"": 497523.881, ""actual_duration_ms"": 1539.848}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 497523.881, ""actual_onset_global_ms"": 497589.958, ""actual_offset_global_ms"": 498095.279, ""actual_duration_ms"": 505.321}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 498095.279, ""actual_onset_global_ms"": 498094.351, ""actual_offset_global_ms"": 503162.786, ""actual_duration_ms"": 5068.435}]",two_failures_in_span,5.0
21,21_T1_20260518_154346,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,2,8,formal,span_2,1779090226,60.0,2026-05-18T15:52:16.180,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,503165.724,503260.162,2,2,1,"[9, 6]","[""6"", ""9""]","[""6"", ""9""]",69,onscreen_mouse,2368.032,4451.074,1,1,0,0,0,3,[865.699],advance,"[503352.97, 504400.275]","[""digit_9.wav"", ""digit_6.wav""]","[{""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 503352.97, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 503852.97}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 504400.275, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 504900.275}]",,503265.724,503352.97,509928.152,2000,6575.182,509928.152,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 503165.724, ""actual_onset_global_ms"": 503260.162, ""actual_offset_global_ms"": 503369.473, ""actual_duration_ms"": 109.311}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 503265.724, ""actual_onset_global_ms"": 503352.97, ""actual_offset_global_ms"": 504900.275, ""actual_duration_ms"": 1547.305}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 504900.275, ""actual_onset_global_ms"": 504963.65, ""actual_offset_global_ms"": 505476.126, ""actual_duration_ms"": 512.476}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 505476.126, ""actual_onset_global_ms"": 505476.682, ""actual_offset_global_ms"": 509928.152, ""actual_duration_ms"": 4451.47}]",two_failures_in_span,5.0
21,21_T1_20260518_154346,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,1,9,formal,span_3,1779090226,60.0,2026-05-18T15:52:22.948,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,509933.412,510027.694,3,1,2,"[2, 8, 5]","[""5"", ""8"", ""2""]","[""5"", ""8"", ""2""]",582,onscreen_mouse,2954.51,6671.441,1,1,0,0,0,4,"[983.633, 1283.915]",advance,"[510125.568, 511169.657, 512159.806]","[""digit_2.wav"", ""digit_8.wav"", ""digit_5.wav""]","[{""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 510125.568, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 510625.568}, {""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 511169.657, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 511669.657}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 512159.806, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 512659.806}]",,510033.412,510125.568,519897.135,3000,9771.567,519897.135,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 509933.412, ""actual_onset_global_ms"": 510027.694, ""actual_offset_global_ms"": 510141.811, ""actual_duration_ms"": 114.117}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 510033.412, ""actual_onset_global_ms"": 510125.568, ""actual_offset_global_ms"": 512659.806, ""actual_duration_ms"": 2534.238}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 512659.806, ""actual_onset_global_ms"": 512716.908, ""actual_offset_global_ms"": 513224.972, ""actual_duration_ms"": 508.064}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 513224.972, ""actual_onset_global_ms"": 513225.441, ""actual_offset_global_ms"": 519897.135, ""actual_duration_ms"": 6671.694}]",two_failures_in_span,5.0
21,21_T1_20260518_154346,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,2,10,formal,span_3,1779090226,60.0,2026-05-18T15:52:32.915,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,519900.113,519993.522,3,2,2,"[5, 1, 3]","[""3"", ""1"", ""5""]","[""3"", ""5"", ""1""]",351,onscreen_mouse,6904.17,11512.094,0,0,0,0,0,4,"[2037.72, 1137.492]",advance,"[520087.521, 521114.021, 522104.231]","[""digit_5.wav"", ""digit_1.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 520087.521, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 520587.521}, {""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 521114.021, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 521614.021}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 522104.231, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 522604.231}]",,520000.113,520087.521,534691.253,3000,14603.732,534691.253,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 519900.113, ""actual_onset_global_ms"": 519993.522, ""actual_offset_global_ms"": 520104.032, ""actual_duration_ms"": 110.51}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 520000.113, ""actual_onset_global_ms"": 520087.521, ""actual_offset_global_ms"": 522604.231, ""actual_duration_ms"": 2516.71}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 522604.231, ""actual_onset_global_ms"": 522667.237, ""actual_offset_global_ms"": 523178.129, ""actual_duration_ms"": 510.892}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 523178.129, ""actual_onset_global_ms"": 523178.833, ""actual_offset_global_ms"": 534691.253, ""actual_duration_ms"": 11512.42}]",two_failures_in_span,5.0
