participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms
21,21_T1_20260518_154346,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,1,1,practice,practice_single,1779090226,60.0,2026-05-18T15:44:57.137,0,0,0,1,64122.77,64144.899,practice_single,left,none,<,s,s,1,3724.885,67978.519,correct,,64222.77,64253.634,67978.519,3000,3724.885,68578.519,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 64122.77, ""actual_onset_global_ms"": 64144.899, ""actual_offset_global_ms"": 64253.243, ""actual_duration_ms"": 108.344}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 64222.77, ""actual_onset_global_ms"": 64253.634, ""actual_offset_global_ms"": 67978.519, ""actual_duration_ms"": 3724.885}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 67978.519, ""actual_onset_global_ms"": 68005.236, ""actual_offset_global_ms"": 68620.079, ""actual_duration_ms"": 614.843}]",correct.wav,67991.21,600.0,68591.21
21,21_T1_20260518_154346,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,2,2,practice,practice_single,1779090226,60.0,2026-05-18T15:45:01.621,0,0,0,1,68606.775,68620.449,practice_single,left,none,<,s,s,1,2121.107,70858.357,correct,,68706.775,68737.25,70858.357,3000,2121.107,71458.357,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 68606.775, ""actual_onset_global_ms"": 68620.449, ""actual_offset_global_ms"": 68736.983, ""actual_duration_ms"": 116.534}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 68706.775, ""actual_onset_global_ms"": 68737.25, ""actual_offset_global_ms"": 70858.357, ""actual_duration_ms"": 2121.107}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 70858.357, ""actual_onset_global_ms"": 70887.185, ""actual_offset_global_ms"": 71503.104, ""actual_duration_ms"": 615.919}]",correct.wav,70871.41,600.0,71471.41
21,21_T1_20260518_154346,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,3,3,practice,practice_single,1779090226,60.0,2026-05-18T15:45:04.504,0,0,0,1,71489.638,71503.491,practice_single,right,none,>,j,j,1,1961.733,73582.288,correct,,71589.638,71620.555,73582.288,3000,1961.733,74182.288,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 71489.638, ""actual_onset_global_ms"": 71503.491, ""actual_offset_global_ms"": 71620.148, ""actual_duration_ms"": 116.657}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 71589.638, ""actual_onset_global_ms"": 71620.555, ""actual_offset_global_ms"": 73582.288, ""actual_duration_ms"": 1961.733}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 73582.288, ""actual_onset_global_ms"": 73604.224, ""actual_offset_global_ms"": 74220.821, ""actual_duration_ms"": 616.597}]",correct.wav,73589.024,600.0,74189.024
21,21_T1_20260518_154346,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,4,4,practice,practice_single,1779090226,60.0,2026-05-18T15:45:07.222,0,0,0,1,74207.682,74220.196,practice_single,left,none,<,s,s,1,1077.683,75414.62,correct,,74307.682,74336.937,75414.62,3000,1077.683,76014.62,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 74207.682, ""actual_onset_global_ms"": 74220.196, ""actual_offset_global_ms"": 74338.19, ""actual_duration_ms"": 117.994}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 74307.682, ""actual_onset_global_ms"": 74336.937, ""actual_offset_global_ms"": 75414.62, ""actual_duration_ms"": 1077.683}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 75414.62, ""actual_onset_global_ms"": 75438.612, ""actual_offset_global_ms"": 76053.455, ""actual_duration_ms"": 614.843}]",correct.wav,75421.638,600.0,76021.638
21,21_T1_20260518_154346,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,5,5,practice,practice_single,1779090226,60.0,2026-05-18T15:45:09.055,0,0,0,1,76039.743,76053.708,practice_single,right,none,>,j,j,1,1299.96,77470.463,correct,,76139.743,76170.503,77470.463,3000,1299.96,78070.463,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 76039.743, ""actual_onset_global_ms"": 76053.708, ""actual_offset_global_ms"": 76170.941, ""actual_duration_ms"": 117.233}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 76139.743, ""actual_onset_global_ms"": 76170.503, ""actual_offset_global_ms"": 77470.463, ""actual_duration_ms"": 1299.96}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 77470.463, ""actual_onset_global_ms"": 77486.842, ""actual_offset_global_ms"": 78088.084, ""actual_duration_ms"": 601.242}]",correct.wav,77471.504,600.0,78071.504
21,21_T1_20260518_154346,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,6,6,practice,practice_single,1779090226,60.0,2026-05-18T15:45:11.090,0,0,0,1,78074.609,78087.223,practice_single,right,none,>,j,j,1,1255.27,79458.65,correct,,78174.609,78203.38,79458.65,3000,1255.27,80058.65,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 78074.609, ""actual_onset_global_ms"": 78087.223, ""actual_offset_global_ms"": 78204.201, ""actual_duration_ms"": 116.978}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 78174.609, ""actual_onset_global_ms"": 78203.38, ""actual_offset_global_ms"": 79458.65, ""actual_duration_ms"": 1255.27}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 79458.65, ""actual_onset_global_ms"": 79486.839, ""actual_offset_global_ms"": 80105.949, ""actual_duration_ms"": 619.11}]",correct.wav,79471.721,600.0,80071.721
21,21_T1_20260518_154346,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,1,7,practice,congruent,1779090226,60.0,2026-05-18T15:45:19.298,0,0,0,1,86282.993,86293.839,congruent,left,left,<<<<<,s,s,1,2279.447,88687.431,correct,1.0,86382.993,86407.984,88687.431,3000,2279.447,89287.431,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 86282.993, ""actual_onset_global_ms"": 86293.839, ""actual_offset_global_ms"": 86408.246, ""actual_duration_ms"": 114.407}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 86382.993, ""actual_onset_global_ms"": 86407.984, ""actual_offset_global_ms"": 88687.431, ""actual_duration_ms"": 2279.447}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 88687.431, ""actual_onset_global_ms"": 88707.195, ""actual_offset_global_ms"": 89324.483, ""actual_duration_ms"": 617.288}]",correct.wav,88691.562,600.0,89291.562
21,21_T1_20260518_154346,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,2,8,practice,incongruent,1779090226,60.0,2026-05-18T15:45:22.326,0,0,0,1,89311.286,89323.305,incongruent,left,right,>><>>,s,s,1,1459.133,90899.782,correct,1.0,89411.286,89440.649,90899.782,3000,1459.133,91499.782,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 89311.286, ""actual_onset_global_ms"": 89323.305, ""actual_offset_global_ms"": 89441.157, ""actual_duration_ms"": 117.852}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 89411.286, ""actual_onset_global_ms"": 89440.649, ""actual_offset_global_ms"": 90899.782, ""actual_duration_ms"": 1459.133}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 90899.782, ""actual_onset_global_ms"": 90924.584, ""actual_offset_global_ms"": 91540.48, ""actual_duration_ms"": 615.896}]",correct.wav,90908.483,600.0,91508.483
21,21_T1_20260518_154346,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,3,9,practice,incongruent,1779090226,60.0,2026-05-18T15:45:24.541,0,0,0,1,91526.517,91541.252,incongruent,right,left,<<><<,j,j,1,1005.009,92664.51,correct,1.0,91626.517,91659.501,92664.51,3000,1005.009,93264.51,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 91526.517, ""actual_onset_global_ms"": 91541.252, ""actual_offset_global_ms"": 91658.497, ""actual_duration_ms"": 117.245}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 91626.517, ""actual_onset_global_ms"": 91659.501, ""actual_offset_global_ms"": 92664.51, ""actual_duration_ms"": 1005.009}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 92664.51, ""actual_onset_global_ms"": 92691.45, ""actual_offset_global_ms"": 93307.353, ""actual_duration_ms"": 615.903}]",correct.wav,92674.785,600.0,93274.785
21,21_T1_20260518_154346,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,4,10,practice,congruent,1779090226,60.0,2026-05-18T15:45:26.309,0,0,0,1,93294.108,93307.122,congruent,left,left,<<<<<,s,s,1,1491.633,94915.481,correct,1.0,93394.108,93423.848,94915.481,3000,1491.633,95515.481,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 93294.108, ""actual_onset_global_ms"": 93307.122, ""actual_offset_global_ms"": 93426.145, ""actual_duration_ms"": 119.023}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 93394.108, ""actual_onset_global_ms"": 93423.848, ""actual_offset_global_ms"": 94915.481, ""actual_duration_ms"": 1491.633}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 94915.481, ""actual_onset_global_ms"": 94940.827, ""actual_offset_global_ms"": 95557.397, ""actual_duration_ms"": 616.57}]",correct.wav,94925.329,600.0,95525.329
