participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,intended_trial_start_ms,actual_trial_start_ms,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,response_correct,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,rt_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,repeated_audio_once_in_practice,stage_records_json,trigger_trial_index,termination_reason,terminal_span_length
22,22_T1_20260518_160244,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,1,1,practice,span_2,1779091364,60.0,2026-05-18T16:08:19.053,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,328350.085,328456.151,2,1,1,"[7, 9]","[""9"", ""7""]","[""9"", ""7""]",97,onscreen_mouse,11927.468,14617.942,1,1,0,0,0,3,[1301.422],,"[328458.463, 329477.977]","[""digit_7.wav"", ""digit_9.wav""]","[{""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 328458.463, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 328958.463}, {""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 329477.977, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 329977.977}]",,328450.085,328458.463,345147.706,2000,16689.243,345147.706,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 328350.085, ""actual_onset_global_ms"": 328456.151, ""actual_offset_global_ms"": 328472.818, ""actual_duration_ms"": 16.667}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 328450.085, ""actual_onset_global_ms"": 328458.463, ""actual_offset_global_ms"": 329977.977, ""actual_duration_ms"": 1519.514}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 329977.977, ""actual_onset_global_ms"": 330009.436, ""actual_offset_global_ms"": 330513.07, ""actual_duration_ms"": 503.634}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 330513.07, ""actual_onset_global_ms"": 330529.439, ""actual_offset_global_ms"": 345147.706, ""actual_duration_ms"": 14618.267}]",,,
22,22_T1_20260518_160244,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,2,2,practice,span_2,1779091364,60.0,2026-05-18T16:08:35.855,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,345152.216,345248.401,2,2,1,"[9, 8]","[""8"", ""9""]","[""8"", ""9""]",89,onscreen_mouse,2483.827,4534.429,1,1,0,0,0,3,[1149.95],,"[345345.302, 346403.067]","[""digit_9.wav"", ""digit_8.wav""]","[{""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 345345.302, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 345845.302}, {""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 346403.067, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 346903.067}]",,345252.216,345345.302,351963.906,2000,6618.604,351963.906,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 345152.216, ""actual_onset_global_ms"": 345248.401, ""actual_offset_global_ms"": 345361.718, ""actual_duration_ms"": 113.317}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 345252.216, ""actual_onset_global_ms"": 345345.302, ""actual_offset_global_ms"": 346903.067, ""actual_duration_ms"": 1557.765}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 346903.067, ""actual_onset_global_ms"": 346919.704, ""actual_offset_global_ms"": 347428.94, ""actual_duration_ms"": 509.236}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 347428.94, ""actual_onset_global_ms"": 347429.238, ""actual_offset_global_ms"": 351963.906, ""actual_duration_ms"": 4534.668}]",,,
22,22_T1_20260518_160244,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,3,3,practice,span_2,1779091364,60.0,2026-05-18T16:08:42.670,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,351966.668,352064.559,2,3,1,"[4, 3]","[""3"", ""4""]","[""3"", ""4""]",34,onscreen_mouse,2573.672,4903.514,1,1,0,0,0,3,[1029.863],,"[352162.323, 353190.921]","[""digit_4.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 352162.323, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 352662.323}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 353190.921, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 353690.921}]",,352066.668,352162.323,359180.12,2000,7017.797,359180.12,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 351966.668, ""actual_onset_global_ms"": 352064.559, ""actual_offset_global_ms"": 352178.699, ""actual_duration_ms"": 114.14}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 352066.668, ""actual_onset_global_ms"": 352162.323, ""actual_offset_global_ms"": 353690.921, ""actual_duration_ms"": 1528.598}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 353690.921, ""actual_onset_global_ms"": 353760.219, ""actual_offset_global_ms"": 354276.873, ""actual_duration_ms"": 516.654}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 354276.873, ""actual_onset_global_ms"": 354276.334, ""actual_offset_global_ms"": 359180.12, ""actual_duration_ms"": 4903.786}]",,,
22,22_T1_20260518_160244,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,4,4,practice,span_2,1779091364,60.0,2026-05-18T16:08:49.886,0,0,0,1,0,none,digit_order_error,4.0,1,1,brief_rule_prompt,900.0,0,0,0,sequence_transformation,0,0,0,0,359183.141,359280.199,2,4,1,"[3, 1]","[""1"", ""3""]","[""3"", ""1""]",31,onscreen_mouse,6311.266,35749.94,0,0,0,0,1,7,"[897.992, 966.269, 24452.962, 1182.916]",,"[359376.085, 360418.859]","[""digit_3.wav"", ""digit_1.wav""]","[{""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 359376.085, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 359876.085}, {""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 360418.859, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 360918.859}]",,359283.141,359376.085,397195.385,2000,37819.3,397195.385,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 359183.141, ""actual_onset_global_ms"": 359280.199, ""actual_offset_global_ms"": 359392.516, ""actual_duration_ms"": 112.317}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 359283.141, ""actual_onset_global_ms"": 359376.085, ""actual_offset_global_ms"": 360918.859, ""actual_duration_ms"": 1542.774}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 360918.859, ""actual_onset_global_ms"": 360933.578, ""actual_offset_global_ms"": 361446.284, ""actual_duration_ms"": 512.706}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 361446.284, ""actual_onset_global_ms"": 361445.087, ""actual_offset_global_ms"": 397195.385, ""actual_duration_ms"": 35750.298}]",4.0,,
22,22_T1_20260518_160244,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,5,5,practice,span_2,1779091364,60.0,2026-05-18T16:09:29.230,0,0,0,1,0,none,digit_order_error,4.0,1,1,brief_rule_prompt,900.0,0,1,0,sequence_transformation,0,0,0,1,398526.822,398627.921,2,5,1,"[4, 6]","[""6"", ""4""]","[""6"", ""4""]",64,onscreen_mouse,2866.753,4959.099,1,1,0,0,0,3,[1004.07],,"[398630.247, 399679.756]","[""digit_4.wav"", ""digit_6.wav""]","[{""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 398630.247, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 399130.247}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 399679.756, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 400179.756}]",,398626.822,398630.247,405665.017,2000,7034.77,405665.017,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 398526.822, ""actual_onset_global_ms"": 398627.921, ""actual_offset_global_ms"": 398644.588, ""actual_duration_ms"": 16.667}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 398626.822, ""actual_onset_global_ms"": 398630.247, ""actual_offset_global_ms"": 400179.756, ""actual_duration_ms"": 1549.509}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 400179.756, ""actual_onset_global_ms"": 400194.753, ""actual_offset_global_ms"": 400704.515, ""actual_duration_ms"": 509.762}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 400704.515, ""actual_onset_global_ms"": 400705.473, ""actual_offset_global_ms"": 405665.017, ""actual_duration_ms"": 4959.544}]",4.0,,
22,22_T1_20260518_160244,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,6,6,practice,span_2,1779091364,60.0,2026-05-18T16:09:36.373,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,405669.393,405764.569,2,6,1,"[9, 2]","[""2"", ""9""]","[""2"", ""9""]",29,onscreen_mouse,2275.686,4274.671,1,1,0,0,0,3,[1066.792],,"[405859.608, 406891.299]","[""digit_9.wav"", ""digit_2.wav""]","[{""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 405859.608, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 406359.608}, {""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 406891.299, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 407391.299}]",,405769.393,405859.608,412186.883,2000,6327.275,412186.883,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 405669.393, ""actual_onset_global_ms"": 405764.569, ""actual_offset_global_ms"": 405875.934, ""actual_duration_ms"": 111.365}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 405769.393, ""actual_onset_global_ms"": 405859.608, ""actual_offset_global_ms"": 407391.299, ""actual_duration_ms"": 1531.691}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 407391.299, ""actual_onset_global_ms"": 407405.589, ""actual_offset_global_ms"": 407910.994, ""actual_duration_ms"": 505.405}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 407910.994, ""actual_onset_global_ms"": 407911.943, ""actual_offset_global_ms"": 412186.883, ""actual_duration_ms"": 4274.94}]",,,
22,22_T1_20260518_160244,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,1,7,formal,span_2,1779091364,60.0,2026-05-18T16:10:06.709,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,436006.276,436102.391,2,1,1,"[8, 7]","[""7"", ""8""]","[""7"", ""8""]",78,onscreen_mouse,3907.057,6256.685,1,1,0,0,0,3,[1165.687],advance,"[436201.744, 437214.996]","[""digit_8.wav"", ""digit_7.wav""]","[{""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 436201.744, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 436701.744}, {""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 437214.996, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 437714.996}]",,436106.276,436201.744,444497.793,2000,8296.049,444497.793,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 436006.276, ""actual_onset_global_ms"": 436102.391, ""actual_offset_global_ms"": 436218.154, ""actual_duration_ms"": 115.763}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 436106.276, ""actual_onset_global_ms"": 436201.744, ""actual_offset_global_ms"": 437714.996, ""actual_duration_ms"": 1513.252}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 437714.996, ""actual_onset_global_ms"": 437732.604, ""actual_offset_global_ms"": 438241.342, ""actual_duration_ms"": 508.738}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 438241.342, ""actual_onset_global_ms"": 438240.812, ""actual_offset_global_ms"": 444497.793, ""actual_duration_ms"": 6256.981}]",,two_failures_in_span,4.0
22,22_T1_20260518_160244,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,2,8,formal,span_2,1779091364,60.0,2026-05-18T16:10:15.204,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,444501.142,444595.501,2,2,1,"[6, 1]","[""1"", ""6""]","[""1"", ""6""]",16,onscreen_mouse,2976.33,5348.971,1,1,0,0,0,3,[1055.946],advance,"[444690.099, 445706.892]","[""digit_6.wav"", ""digit_1.wav""]","[{""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 444690.099, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 445190.099}, {""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 445706.892, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 446206.892}]",,444601.142,444690.099,452084.497,2000,7394.398,452084.497,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 444501.142, ""actual_onset_global_ms"": 444595.501, ""actual_offset_global_ms"": 444706.403, ""actual_duration_ms"": 110.902}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 444601.142, ""actual_onset_global_ms"": 444690.099, ""actual_offset_global_ms"": 446206.892, ""actual_duration_ms"": 1516.793}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 446206.892, ""actual_onset_global_ms"": 446227.901, ""actual_offset_global_ms"": 446735.645, ""actual_duration_ms"": 507.744}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 446735.645, ""actual_onset_global_ms"": 446735.252, ""actual_offset_global_ms"": 452084.497, ""actual_duration_ms"": 5349.245}]",,two_failures_in_span,4.0
22,22_T1_20260518_160244,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,1,9,formal,span_3,1779091364,60.0,2026-05-18T16:10:22.792,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,452089.508,452185.402,3,1,2,"[5, 8, 9]","[""9"", ""8"", ""5""]","[""8"", ""6"", ""9""]",869,onscreen_mouse,4597.722,7429.243,0,0,0,0,0,4,"[878.114, 918.816]",advance,"[452281.413, 453336.679, 454331.77]","[""digit_5.wav"", ""digit_8.wav"", ""digit_9.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 452281.413, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 452781.413}, {""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 453336.679, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 453836.679}, {""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 454331.77, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 454831.77}]",,452189.508,452281.413,462793.922,3000,10512.509,462793.922,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 452089.508, ""actual_onset_global_ms"": 452185.402, ""actual_offset_global_ms"": 452297.928, ""actual_duration_ms"": 112.526}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 452189.508, ""actual_onset_global_ms"": 452281.413, ""actual_offset_global_ms"": 454831.77, ""actual_duration_ms"": 2550.357}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 454831.77, ""actual_onset_global_ms"": 454853.78, ""actual_offset_global_ms"": 455365.121, ""actual_duration_ms"": 511.341}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 455365.121, ""actual_onset_global_ms"": 455364.288, ""actual_offset_global_ms"": 462793.922, ""actual_duration_ms"": 7429.634}]",,two_failures_in_span,4.0
22,22_T1_20260518_160244,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,2,10,formal,span_3,1779091364,60.0,2026-05-18T16:10:33.500,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,462797.305,462891.645,3,2,2,"[3, 2, 5]","[""5"", ""2"", ""3""]","[""5"", ""2"", ""3""]",523,onscreen_mouse,5790.78,11436.83,1,1,0,1,0,6,"[364.857, 2724.925, 802.522]",advance,"[462986.645, 464002.441, 465018.364]","[""digit_3.wav"", ""digit_2.wav"", ""digit_5.wav""]","[{""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 462986.645, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 463486.645}, {""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 464002.441, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 464502.441}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 465018.364, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 465518.364}]",,462897.305,462986.645,477490.569,3000,14503.924,477490.569,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 462797.305, ""actual_onset_global_ms"": 462891.645, ""actual_offset_global_ms"": 463002.976, ""actual_duration_ms"": 111.331}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 462897.305, ""actual_onset_global_ms"": 462986.645, ""actual_offset_global_ms"": 465518.364, ""actual_duration_ms"": 2531.719}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 465518.364, ""actual_onset_global_ms"": 465541.654, ""actual_offset_global_ms"": 466053.85, ""actual_duration_ms"": 512.196}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 466053.85, ""actual_onset_global_ms"": 466053.442, ""actual_offset_global_ms"": 477490.569, ""actual_duration_ms"": 11437.127}]",,two_failures_in_span,4.0
