participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,intended_trial_start_ms,actual_trial_start_ms,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,response_correct,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,rt_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,repeated_audio_once_in_practice,stage_records_json,termination_reason,terminal_span_length
23,23_T1_20260520_152952,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,1,1,practice,span_2,1779262192,60.0,2026-05-20T15:34:54.892,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,295277.666,295380.728,2,1,1,"[6, 4]","[""4"", ""6""]","[""4"", ""6""]",46,onscreen_mouse,3049.568,6333.743,1,1,0,0,0,3,[1899.433],,"[295382.99, 296427.561]","[""digit_6.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 295382.99, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 295882.99}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 296427.561, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 296927.561}]",,295377.666,295382.99,303854.846,2000,8471.856,303854.846,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 295277.666, ""actual_onset_global_ms"": 295380.728, ""actual_offset_global_ms"": 295397.395, ""actual_duration_ms"": 16.667}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 295377.666, ""actual_onset_global_ms"": 295382.99, ""actual_offset_global_ms"": 296927.561, ""actual_duration_ms"": 1544.571}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 296927.561, ""actual_onset_global_ms"": 296998.75, ""actual_offset_global_ms"": 297506.601, ""actual_duration_ms"": 507.851}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 297506.601, ""actual_onset_global_ms"": 297520.733, ""actual_offset_global_ms"": 303854.846, ""actual_duration_ms"": 6334.113}]",,
23,23_T1_20260520_152952,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,2,2,practice,span_2,1779262192,60.0,2026-05-20T15:35:03.473,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,303858.646,303954.269,2,2,1,"[5, 6]","[""6"", ""5""]","[""6"", ""5""]",65,onscreen_mouse,1654.611,3741.639,1,1,0,0,0,3,[900.562],,"[304046.55, 305091.491]","[""digit_5.wav"", ""digit_6.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 304046.55, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 304546.55}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 305091.491, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 305591.491}]",,303958.646,304046.55,309907.598,2000,5861.048,309907.598,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 303858.646, ""actual_onset_global_ms"": 303954.269, ""actual_offset_global_ms"": 304062.991, ""actual_duration_ms"": 108.722}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 303958.646, ""actual_onset_global_ms"": 304046.55, ""actual_offset_global_ms"": 305591.491, ""actual_duration_ms"": 1544.941}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 305591.491, ""actual_onset_global_ms"": 305652.178, ""actual_offset_global_ms"": 306165.288, ""actual_duration_ms"": 513.11}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 306165.288, ""actual_onset_global_ms"": 306165.716, ""actual_offset_global_ms"": 309907.598, ""actual_duration_ms"": 3741.882}]",,
23,23_T1_20260520_152952,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,3,3,practice,span_2,1779262192,60.0,2026-05-20T15:35:09.526,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,309910.958,310002.255,2,3,1,"[5, 3]","[""3"", ""5""]","[""3"", ""5""]",35,onscreen_mouse,1939.444,3943.378,1,1,0,0,0,3,[907.272],,"[310097.031, 311142.498]","[""digit_5.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 310097.031, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 310597.031}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 311142.498, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 311642.498}]",,310010.958,310097.031,316177.032,2000,6080.001,316177.032,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 309910.958, ""actual_onset_global_ms"": 310002.255, ""actual_offset_global_ms"": 310113.381, ""actual_duration_ms"": 111.126}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 310010.958, ""actual_onset_global_ms"": 310097.031, ""actual_offset_global_ms"": 311642.498, ""actual_duration_ms"": 1545.467}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 311642.498, ""actual_onset_global_ms"": 311715.286, ""actual_offset_global_ms"": 312233.98, ""actual_duration_ms"": 518.694}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 312233.98, ""actual_onset_global_ms"": 312233.406, ""actual_offset_global_ms"": 316177.032, ""actual_duration_ms"": 3943.626}]",,
23,23_T1_20260520_152952,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,4,4,practice,span_2,1779262192,60.0,2026-05-20T15:35:15.795,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,316180.34,316273.381,2,4,1,"[6, 2]","[""2"", ""6""]","[""2"", ""6""]",26,onscreen_mouse,1567.557,3717.983,1,1,0,0,0,3,[1033.592],,"[316366.204, 317406.932]","[""digit_6.wav"", ""digit_2.wav""]","[{""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 316366.204, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 316866.204}, {""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 317406.932, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 317906.932}]",,316280.34,316366.204,322187.108,2000,5820.904,322187.108,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 316180.34, ""actual_onset_global_ms"": 316273.381, ""actual_offset_global_ms"": 316382.573, ""actual_duration_ms"": 109.192}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 316280.34, ""actual_onset_global_ms"": 316366.204, ""actual_offset_global_ms"": 317906.932, ""actual_duration_ms"": 1540.728}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 317906.932, ""actual_onset_global_ms"": 317957.936, ""actual_offset_global_ms"": 318468.878, ""actual_duration_ms"": 510.942}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 318468.878, ""actual_onset_global_ms"": 318468.769, ""actual_offset_global_ms"": 322187.108, ""actual_duration_ms"": 3718.339}]",,
23,23_T1_20260520_152952,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,5,5,practice,span_2,1779262192,60.0,2026-05-20T15:35:21.805,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,322190.52,322282.137,2,5,1,"[7, 3]","[""3"", ""7""]","[""3"", ""7""]",37,onscreen_mouse,1838.509,3993.551,1,1,0,0,0,3,[1066.518],,"[322377.354, 323408.228]","[""digit_7.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 322377.354, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 322877.354}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 323408.228, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 323908.228}]",,322290.52,322377.354,328477.601,2000,6100.247,328477.601,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 322190.52, ""actual_onset_global_ms"": 322282.137, ""actual_offset_global_ms"": 322393.621, ""actual_duration_ms"": 111.484}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 322290.52, ""actual_onset_global_ms"": 322377.354, ""actual_offset_global_ms"": 323908.228, ""actual_duration_ms"": 1530.874}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 323908.228, ""actual_onset_global_ms"": 323970.217, ""actual_offset_global_ms"": 324484.105, ""actual_duration_ms"": 513.888}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 324484.105, ""actual_onset_global_ms"": 324483.653, ""actual_offset_global_ms"": 328477.601, ""actual_duration_ms"": 3993.948}]",,
23,23_T1_20260520_152952,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,6,6,practice,span_2,1779262192,60.0,2026-05-20T15:35:28.096,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,328481.27,328572.76,2,6,1,"[4, 5]","[""5"", ""4""]","[""5"", ""4""]",54,onscreen_mouse,2009.23,3951.128,1,1,0,0,0,3,[821.316],,"[328665.59, 329712.057]","[""digit_4.wav"", ""digit_5.wav""]","[{""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 328665.59, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 329165.59}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 329712.057, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 330212.057}]",,328581.27,328665.59,334691.141,2000,6025.551,334691.141,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 328481.27, ""actual_onset_global_ms"": 328572.76, ""actual_offset_global_ms"": 328682.062, ""actual_duration_ms"": 109.302}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 328581.27, ""actual_onset_global_ms"": 328665.59, ""actual_offset_global_ms"": 330212.057, ""actual_duration_ms"": 1546.467}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 330212.057, ""actual_onset_global_ms"": 330232.744, ""actual_offset_global_ms"": 330738.534, ""actual_duration_ms"": 505.79}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 330738.534, ""actual_onset_global_ms"": 330739.79, ""actual_offset_global_ms"": 334691.141, ""actual_duration_ms"": 3951.351}]",,
23,23_T1_20260520_152952,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,1,7,formal,span_2,1779262192,60.0,2026-05-20T15:35:47.943,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,348327.982,348423.38,2,1,1,"[8, 3]","[""3"", ""8""]","[""3"", ""8""]",38,onscreen_mouse,9246.656,12884.299,1,1,0,0,0,3,[2531.512],advance,"[348516.285, 349547.401]","[""digit_8.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 348516.285, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 349016.285}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 349547.401, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 350047.401}]",,348427.982,348516.285,363494.159,2000,14977.874,363494.159,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 348327.982, ""actual_onset_global_ms"": 348423.38, ""actual_offset_global_ms"": 348532.662, ""actual_duration_ms"": 109.282}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 348427.982, ""actual_onset_global_ms"": 348516.285, ""actual_offset_global_ms"": 350047.401, ""actual_duration_ms"": 1531.116}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 350047.401, ""actual_onset_global_ms"": 350105.938, ""actual_offset_global_ms"": 350610.535, ""actual_duration_ms"": 504.597}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 350610.535, ""actual_onset_global_ms"": 350609.652, ""actual_offset_global_ms"": 363494.159, ""actual_duration_ms"": 12884.507}]",two_failures_in_span,4.0
23,23_T1_20260520_152952,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,2,8,formal,span_2,1779262192,60.0,2026-05-20T15:36:03.112,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,363497.286,363597.172,2,2,1,"[4, 8]","[""8"", ""4""]","[""8"", ""4""]",84,onscreen_mouse,2023.522,4148.879,1,1,0,0,0,3,[997.905],advance,"[363695.065, 364706.899]","[""digit_4.wav"", ""digit_8.wav""]","[{""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 363695.065, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 364195.065}, {""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 364706.899, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 365206.899}]",,363597.286,363695.065,369886.014,2000,6190.949,369886.014,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 363497.286, ""actual_onset_global_ms"": 363597.172, ""actual_offset_global_ms"": 363711.309, ""actual_duration_ms"": 114.137}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 363597.286, ""actual_onset_global_ms"": 363695.065, ""actual_offset_global_ms"": 365206.899, ""actual_duration_ms"": 1511.834}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 365206.899, ""actual_onset_global_ms"": 365228.299, ""actual_offset_global_ms"": 365737.574, ""actual_duration_ms"": 509.275}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 365737.574, ""actual_onset_global_ms"": 365736.927, ""actual_offset_global_ms"": 369886.014, ""actual_duration_ms"": 4149.087}]",two_failures_in_span,4.0
23,23_T1_20260520_152952,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,1,9,formal,span_3,1779262192,60.0,2026-05-20T15:36:09.505,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,369890.743,369987.974,3,1,2,"[7, 1, 3]","[""3"", ""1"", ""7""]","[""3"", ""1"", ""7""]",317,onscreen_mouse,2758.222,5902.624,1,1,0,0,0,4,"[954.368, 1074.008]",advance,"[370084.415, 371115.065, 372128.157]","[""digit_7.wav"", ""digit_1.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 370084.415, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 370584.415}, {""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 371115.065, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 371615.065}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 372128.157, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 372628.157}]",,369990.743,370084.415,379055.109,3000,8970.694,379055.109,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 369890.743, ""actual_onset_global_ms"": 369987.974, ""actual_offset_global_ms"": 370100.653, ""actual_duration_ms"": 112.679}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 369990.743, ""actual_onset_global_ms"": 370084.415, ""actual_offset_global_ms"": 372628.157, ""actual_duration_ms"": 2543.742}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 372628.157, ""actual_onset_global_ms"": 372645.407, ""actual_offset_global_ms"": 373152.274, ""actual_duration_ms"": 506.867}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 373152.274, ""actual_onset_global_ms"": 373152.175, ""actual_offset_global_ms"": 379055.109, ""actual_duration_ms"": 5902.934}]",two_failures_in_span,4.0
23,23_T1_20260520_152952,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,2,10,formal,span_3,1779262192,60.0,2026-05-20T15:36:18.672,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,379058.353,379154.324,3,2,2,"[6, 9, 4]","[""4"", ""9"", ""6""]","[""4"", ""9"", ""5""]",495,onscreen_mouse,3116.153,7378.395,0,0,0,0,0,4,"[1799.83, 1082.186]",advance,"[379251.626, 380265.017, 381282.092]","[""digit_6.wav"", ""digit_9.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 379251.626, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 379751.626}, {""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 380265.017, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 380765.017}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 381282.092, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 381782.092}]",,379158.353,379251.626,389697.672,3000,10446.046,389697.672,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 379058.353, ""actual_onset_global_ms"": 379154.324, ""actual_offset_global_ms"": 379268.125, ""actual_duration_ms"": 113.801}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 379158.353, ""actual_onset_global_ms"": 379251.626, ""actual_offset_global_ms"": 381782.092, ""actual_duration_ms"": 2530.466}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 381782.092, ""actual_onset_global_ms"": 381809.539, ""actual_offset_global_ms"": 382319.942, ""actual_duration_ms"": 510.403}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 382319.942, ""actual_onset_global_ms"": 382318.944, ""actual_offset_global_ms"": 389697.672, ""actual_duration_ms"": 7378.728}]",two_failures_in_span,4.0
