participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,1,13,formal,congruent,1779087857,178.11,2026-05-18T15:07:50.885,0,0,0,1,210464.739,210479.717,congruent,left,left,<<<<<,s,s,1,2028.797,212617.233,none,,210564.739,210588.436,212617.233,3000,2028.797,212617.233,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 210464.739, ""actual_onset_global_ms"": 210479.717, ""actual_offset_global_ms"": 210578.116, ""actual_duration_ms"": 98.399}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 210564.739, ""actual_onset_global_ms"": 210588.436, ""actual_offset_global_ms"": 212617.233, ""actual_duration_ms"": 2028.797}]",,,,,0,0,1,0,1
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,2,14,formal,incongruent,1779087857,178.11,2026-05-18T15:07:53.072,0,0,0,1,212651.991,212665.089,incongruent,right,left,<<><<,j,j,1,1352.68,214125.938,none,,212751.991,212773.258,214125.938,3000,1352.68,214125.938,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 212651.991, ""actual_onset_global_ms"": 212665.089, ""actual_offset_global_ms"": 212763.132, ""actual_duration_ms"": 98.043}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 212751.991, ""actual_onset_global_ms"": 212773.258, ""actual_offset_global_ms"": 214125.938, ""actual_duration_ms"": 1352.68}]",,,,,0,0,1,0,1
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,3,15,formal,incongruent,1779087857,178.11,2026-05-18T15:07:54.561,0,0,0,1,214140.646,214156.341,incongruent,right,left,<<><<,j,s,0,1475.147,215739.646,none,,214240.646,214264.499,215739.646,3000,1475.147,215739.646,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 214140.646, ""actual_onset_global_ms"": 214156.341, ""actual_offset_global_ms"": 214253.678, ""actual_duration_ms"": 97.337}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 214240.646, ""actual_onset_global_ms"": 214264.499, ""actual_offset_global_ms"": 215739.646, ""actual_duration_ms"": 1475.147}]",,,,,0,0,0,0,1
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,4,16,formal,congruent,1779087857,178.11,2026-05-18T15:07:56.180,0,0,0,1,215759.302,215773.263,congruent,right,right,>>>>>,j,s,0,2400.187,218280.706,none,,215859.302,215880.519,218280.706,3000,2400.187,218280.706,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 215759.302, ""actual_onset_global_ms"": 215773.263, ""actual_offset_global_ms"": 215870.829, ""actual_duration_ms"": 97.566}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 215859.302, ""actual_onset_global_ms"": 215880.519, ""actual_offset_global_ms"": 218280.706, ""actual_duration_ms"": 2400.187}]",,,,,0,0,0,0,1
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,5,17,formal,incongruent,1779087857,178.11,2026-05-18T15:07:58.724,0,0,0,1,218303.745,218317.385,incongruent,left,right,>><>>,s,j,0,6600.683,225025.066,none,,218403.745,218424.383,225025.066,3000,6600.683,225025.066,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 218303.745, ""actual_onset_global_ms"": 218317.385, ""actual_offset_global_ms"": 218413.916, ""actual_duration_ms"": 96.531}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 218403.745, ""actual_onset_global_ms"": 218424.383, ""actual_offset_global_ms"": 225025.066, ""actual_duration_ms"": 6600.683}]",,,,,0,1,0,0,1
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,6,18,formal,incongruent,1779087857,178.11,2026-05-18T15:08:05.466,0,0,0,1,225046.439,225059.316,incongruent,right,left,<<><<,j,s,0,2088.058,227251.693,none,,225146.439,225163.635,227251.693,3000,2088.058,227251.693,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 225046.439, ""actual_onset_global_ms"": 225059.316, ""actual_offset_global_ms"": 225153.849, ""actual_duration_ms"": 94.533}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 225146.439, ""actual_onset_global_ms"": 225163.635, ""actual_offset_global_ms"": 227251.693, ""actual_duration_ms"": 2088.058}]",,,,,0,0,0,0,1
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,7,19,formal,incongruent,1779087857,178.11,2026-05-18T15:08:07.689,0,0,0,1,227268.743,227285.781,incongruent,left,right,>><>>,s,j,0,1913.281,229306.165,none,,227368.743,227392.884,229306.165,3000,1913.281,229306.165,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 227268.743, ""actual_onset_global_ms"": 227285.781, ""actual_offset_global_ms"": 227382.138, ""actual_duration_ms"": 96.357}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 227368.743, ""actual_onset_global_ms"": 227392.884, ""actual_offset_global_ms"": 229306.165, ""actual_duration_ms"": 1913.281}]",,,,,0,0,0,0,1
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,8,20,formal,congruent,1779087857,178.11,2026-05-18T15:08:09.750,0,0,0,1,229329.444,229343.94,congruent,right,right,>>>>>,j,j,1,4113.888,233566.504,none,,229429.444,229452.616,233566.504,3000,4113.888,233566.504,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 229329.444, ""actual_onset_global_ms"": 229343.94, ""actual_offset_global_ms"": 229442.315, ""actual_duration_ms"": 98.375}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 229429.444, ""actual_onset_global_ms"": 229452.616, ""actual_offset_global_ms"": 233566.504, ""actual_duration_ms"": 4113.888}]",,,,,0,1,0,0,1
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,9,21,formal,incongruent,1779087857,178.11,2026-05-18T15:08:14.003,0,0,0,1,233582.727,233596.671,incongruent,left,right,>><>>,s,s,1,4373.899,238076.516,none,,233682.727,233702.617,238076.516,3000,4373.899,238076.516,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 233582.727, ""actual_onset_global_ms"": 233596.671, ""actual_offset_global_ms"": 233692.438, ""actual_duration_ms"": 95.767}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 233682.727, ""actual_onset_global_ms"": 233702.617, ""actual_offset_global_ms"": 238076.516, ""actual_duration_ms"": 4373.899}]",,,,,0,1,0,0,1
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,10,22,formal,incongruent,1779087857,178.11,2026-05-18T15:08:18.511,0,0,0,1,238090.272,238104.611,incongruent,left,right,>><>>,s,s,1,668.177,238880.477,none,,238190.272,238212.3,238880.477,3000,668.177,238880.477,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 238090.272, ""actual_onset_global_ms"": 238104.611, ""actual_offset_global_ms"": 238203.355, ""actual_duration_ms"": 98.744}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 238190.272, ""actual_onset_global_ms"": 238212.3, ""actual_offset_global_ms"": 238880.477, ""actual_duration_ms"": 668.177}]",,,,,0,0,1,0,1
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,11,23,formal,congruent,1779087857,178.11,2026-05-18T15:08:19.308,0,0,0,1,238887.38,238902.088,congruent,left,left,<<<<<,s,s,1,8041.396,247051.677,none,,238987.38,239010.281,247051.677,3000,8041.396,247051.677,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 238887.38, ""actual_onset_global_ms"": 238902.088, ""actual_offset_global_ms"": 238999.844, ""actual_duration_ms"": 97.756}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 238987.38, ""actual_onset_global_ms"": 239010.281, ""actual_offset_global_ms"": 247051.677, ""actual_duration_ms"": 8041.396}]",,,,,0,1,0,0,1
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,12,24,formal,incongruent,1779087857,178.11,2026-05-18T15:08:27.492,0,0,0,1,247071.816,247084.735,incongruent,right,left,<<><<,j,j,1,1590.938,248784.705,none,,247171.816,247193.767,248784.705,3000,1590.938,248784.705,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 247071.816, ""actual_onset_global_ms"": 247084.735, ""actual_offset_global_ms"": 247183.755, ""actual_duration_ms"": 99.02}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 247171.816, ""actual_onset_global_ms"": 247193.767, ""actual_offset_global_ms"": 248784.705, ""actual_duration_ms"": 1590.938}]",,,,,0,0,1,0,1
