participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,1,1,practice,practice_single,1779087857,178.11,2026-05-18T15:05:44.326,0,0,0,1,83905.19,83943.806,practice_single,left,none,<,s,s,1,8218.397,92254.549,correct,,84005.19,84036.152,92254.549,3000,8218.397,92854.549,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 83905.19, ""actual_onset_global_ms"": 83943.806, ""actual_offset_global_ms"": 84018.785, ""actual_duration_ms"": 74.979}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 84005.19, ""actual_onset_global_ms"": 84036.152, ""actual_offset_global_ms"": 92254.549, ""actual_duration_ms"": 8218.397}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 92254.549, ""actual_onset_global_ms"": 92288.075, ""actual_offset_global_ms"": 92877.275, ""actual_duration_ms"": 589.2}]",correct.wav,92270.444,600.0,92870.444
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,2,2,practice,practice_single,1779087857,178.11,2026-05-18T15:05:53.301,0,0,0,1,92880.132,92893.6,practice_single,right,none,>,j,j,1,9517.643,102516.045,correct,,92980.132,92998.402,102516.045,3000,9517.643,103116.045,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 92880.132, ""actual_onset_global_ms"": 92893.6, ""actual_offset_global_ms"": 92990.154, ""actual_duration_ms"": 96.554}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 92980.132, ""actual_onset_global_ms"": 92998.402, ""actual_offset_global_ms"": 102516.045, ""actual_duration_ms"": 9517.643}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 102516.045, ""actual_onset_global_ms"": 102541.966, ""actual_offset_global_ms"": 103144.761, ""actual_duration_ms"": 602.795}]",correct.wav,102529.784,600.0,103129.784
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,3,3,practice,practice_single,1779087857,178.11,2026-05-18T15:06:03.565,0,0,0,1,103144.556,103161.806,practice_single,left,none,<,s,s,1,2144.44,105412.143,correct,,103244.556,103267.703,105412.143,3000,2144.44,106012.143,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 103144.556, ""actual_onset_global_ms"": 103161.806, ""actual_offset_global_ms"": 103251.105, ""actual_duration_ms"": 89.299}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 103244.556, ""actual_onset_global_ms"": 103267.703, ""actual_offset_global_ms"": 105412.143, ""actual_duration_ms"": 2144.44}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 105412.143, ""actual_onset_global_ms"": 105428.902, ""actual_offset_global_ms"": 106030.463, ""actual_duration_ms"": 601.561}]",correct.wav,105415.254,600.0,106015.254
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,4,4,practice,practice_single,1779087857,178.11,2026-05-18T15:06:06.451,0,0,0,1,106030.352,106044.147,practice_single,left,none,<,s,j,0,2262.232,108410.172,incorrect,,106130.352,106147.94,108410.172,3000,2262.232,109010.172,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 106030.352, ""actual_onset_global_ms"": 106044.147, ""actual_offset_global_ms"": 106139.708, ""actual_duration_ms"": 95.561}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 106130.352, ""actual_onset_global_ms"": 106147.94, ""actual_offset_global_ms"": 108410.172, ""actual_duration_ms"": 2262.232}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 108410.172, ""actual_onset_global_ms"": 108437.657, ""actual_offset_global_ms"": 109036.481, ""actual_duration_ms"": 598.824}]",incorrect.wav,108422.24,600.0,109022.24
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,5,5,practice,practice_single,1779087857,178.11,2026-05-18T15:06:09.457,0,0,0,1,109036.701,109050.531,practice_single,right,none,>,j,j,1,4960.262,114117.268,correct,,109136.701,109157.006,114117.268,3000,4960.262,114717.268,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 109036.701, ""actual_onset_global_ms"": 109050.531, ""actual_offset_global_ms"": 109148.709, ""actual_duration_ms"": 98.178}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 109136.701, ""actual_onset_global_ms"": 109157.006, ""actual_offset_global_ms"": 114117.268, ""actual_duration_ms"": 4960.262}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 114117.268, ""actual_onset_global_ms"": 114143.663, ""actual_offset_global_ms"": 114750.186, ""actual_duration_ms"": 606.523}]",correct.wav,114131.729,600.0,114731.729
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,6,6,practice,practice_single,1779087857,178.11,2026-05-18T15:06:15.171,0,0,0,1,114749.954,114762.998,practice_single,right,none,>,j,j,1,19316.928,134186.679,correct,,114849.954,114869.751,134186.679,3000,19316.928,134786.679,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 114749.954, ""actual_onset_global_ms"": 114762.998, ""actual_offset_global_ms"": 114861.59, ""actual_duration_ms"": 98.592}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 114849.954, ""actual_onset_global_ms"": 114869.751, ""actual_offset_global_ms"": 134186.679, ""actual_duration_ms"": 19316.928}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 134186.679, ""actual_onset_global_ms"": 134204.416, ""actual_offset_global_ms"": 134806.018, ""actual_duration_ms"": 601.602}]",correct.wav,134191.568,600.0,134791.568
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,1,7,practice,incongruent,1779087857,178.11,2026-05-18T15:06:43.910,0,0,0,1,143489.191,143503.964,incongruent,right,left,<<><<,j,j,1,9890.239,153503.956,correct,1.0,143589.191,143613.717,153503.956,3000,9890.239,154103.956,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 143489.191, ""actual_onset_global_ms"": 143503.964, ""actual_offset_global_ms"": 143603.5, ""actual_duration_ms"": 99.536}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 143589.191, ""actual_onset_global_ms"": 143613.717, ""actual_offset_global_ms"": 153503.956, ""actual_duration_ms"": 9890.239}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 153503.956, ""actual_onset_global_ms"": 153520.871, ""actual_offset_global_ms"": 154119.625, ""actual_duration_ms"": 598.754}]",correct.wav,153507.677,600.0,154107.677
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,2,8,practice,congruent,1779087857,178.11,2026-05-18T15:06:54.540,0,0,0,1,154119.422,154133.554,congruent,left,left,<<<<<,s,s,1,2183.714,156423.807,correct,1.0,154219.422,154240.093,156423.807,3000,2183.714,157023.807,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 154119.422, ""actual_onset_global_ms"": 154133.554, ""actual_offset_global_ms"": 154229.458, ""actual_duration_ms"": 95.904}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 154219.422, ""actual_onset_global_ms"": 154240.093, ""actual_offset_global_ms"": 156423.807, ""actual_duration_ms"": 2183.714}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 156423.807, ""actual_onset_global_ms"": 156448.568, ""actual_offset_global_ms"": 157051.07, ""actual_duration_ms"": 602.502}]",correct.wav,156435.524,600.0,157035.524
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,3,9,practice,congruent,1779087857,178.11,2026-05-18T15:06:57.471,0,0,0,1,157051.134,157064.118,congruent,right,right,>>>>>,j,j,1,5046.388,162220.829,correct,1.0,157151.134,157174.441,162220.829,3000,5046.388,162820.829,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 157051.134, ""actual_onset_global_ms"": 157064.118, ""actual_offset_global_ms"": 157162.543, ""actual_duration_ms"": 98.425}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 157151.134, ""actual_onset_global_ms"": 157174.441, ""actual_offset_global_ms"": 162220.829, ""actual_duration_ms"": 5046.388}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 162220.829, ""actual_onset_global_ms"": 162234.13, ""actual_offset_global_ms"": 162838.402, ""actual_duration_ms"": 604.272}]",correct.wav,162222.237,600.0,162822.237
24,24_T1_20260518_150417,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,4,10,practice,incongruent,1779087857,178.11,2026-05-18T15:07:03.259,0,0,0,1,162838.628,162852.284,incongruent,right,left,<<><<,j,s,0,1513.12,164474.146,incorrect,1.0,162938.628,162961.026,164474.146,3000,1513.12,165074.146,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 162838.628, ""actual_onset_global_ms"": 162852.284, ""actual_offset_global_ms"": 162950.76, ""actual_duration_ms"": 98.476}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 162938.628, ""actual_onset_global_ms"": 162961.026, ""actual_offset_global_ms"": 164474.146, ""actual_duration_ms"": 1513.12}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 164474.146, ""actual_onset_global_ms"": 164495.283, ""actual_offset_global_ms"": 165093.685, ""actual_duration_ms"": 598.402}]",incorrect.wav,164479.818,600.0,165079.818
