global_time_ms,event_type,task_name,block_name,trial_index_global,participant_id,group,timepoint,practice_layer,telemetry_version,block_type,event_value,prompt_level,support_level,support_rule,support_trigger_reason,rule_block_error_count,support_phase,support_faded_after_trial,error_type,message
4305.254,task_start,flanker,,,25,Control,T1,standard,telemetry_v4,,,,,,,,,,,flanker_task_start
50648.513,timing_drift,flanker,practice_single,1,25,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-21.553 ms
52463.973,timing_drift,flanker,practice_single,1,25,Control,T1,standard,telemetry_v4,,,,,,,,,,,feedback drift=-16.371 ms
78554.311,timing_drift,flanker,practice_full,10,25,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=32.600 ms
181318.207,task_end,flanker,formal_block_2,52,25,Control,T1,standard,telemetry_v4,,,,,,,,,,,flanker_finished
183049.865,task_start,dccs,,,25,Control,T1,standard,telemetry_v4,,,,,,,,,,,dccs_task_start
196234.935,timing_drift,dccs,pre_switch_practice,1,25,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-94.066 ms
354277.906,timing_drift,dccs,mixed_formal,23,25,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-9.130 ms
378323.637,timing_drift,dccs,mixed_formal,28,25,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-9.917 ms
470233.677,task_end,dccs,mixed_formal,42,25,Control,T1,standard,telemetry_v4,,,,,,,,,,,dccs_finished
523521.376,task_start,digit_span,,,25,Control,T1,standard,telemetry_v4,,,,,,,,,,,digit_span_task_start
551842.739,timing_drift,digit_span,practice_digitspan,1,25,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-94.066 ms
553968.305,timing_drift,digit_span,practice_digitspan,1,25,Control,T1,standard,telemetry_v4,,,,,,,,,,,wait drift=-23.426 ms
580823.749,timing_drift,digit_span,practice_digitspan,2,25,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-94.066 ms
616790.275,timing_drift,digit_span,practice_digitspan,3,25,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-94.066 ms
618897.474,timing_drift,digit_span,practice_digitspan,3,25,Control,T1,standard,telemetry_v4,,,,,,,,,,,wait drift=-14.048 ms
636460.123,timing_drift,digit_span,practice_digitspan,4,25,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-94.066 ms
