participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,intended_trial_start_ms,actual_trial_start_ms,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,trial_transition,previous_rule,current_rule,practice_pass_flag,cue_to_first_response_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,1,1,practice,color,1779089528,168.524,2026-05-18T15:35:27.626,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,196127.465,196234.662,color,cue_color.wav,颜色,196254.747,500,196951.31,red,boat,red_boat,j,j,1,3612.451,201010.884,practice,,color,1.0,4756.289,correct,correct.wav,201019.69,150.0,201519.69,196727.465,197398.433,201010.884,3000,3612.451,201160.884,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 196127.465, ""actual_onset_global_ms"": 196234.662, ""actual_offset_global_ms"": 196240.596, ""actual_duration_ms"": 5.934}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 196227.465, ""actual_onset_global_ms"": 196254.595, ""actual_offset_global_ms"": 197391.382, ""actual_duration_ms"": 1136.787}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 196727.465, ""actual_onset_global_ms"": 197398.433, ""actual_offset_global_ms"": 201010.884, ""actual_duration_ms"": 3612.451}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 201010.884, ""actual_onset_global_ms"": 201034.117, ""actual_offset_global_ms"": 201187.637, ""actual_duration_ms"": 153.52}]"
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,2,2,practice,color,1779089528,168.524,2026-05-18T15:35:32.686,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,201187.957,201200.722,color,cue_color.wav,颜色,201308.141,500,202004.704,red,rabbit,red_rabbit,j,j,1,4247.158,206716.354,practice,,color,1.0,5408.359,correct,correct.wav,206729.058,150.0,207229.058,201787.957,202469.196,206716.354,3000,4247.158,206866.354,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 201187.957, ""actual_onset_global_ms"": 201200.722, ""actual_offset_global_ms"": 201300.055, ""actual_duration_ms"": 99.333}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 201287.957, ""actual_onset_global_ms"": 201307.995, ""actual_offset_global_ms"": 202462.981, ""actual_duration_ms"": 1154.986}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 201787.957, ""actual_onset_global_ms"": 202469.196, ""actual_offset_global_ms"": 206716.354, ""actual_duration_ms"": 4247.158}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 206716.354, ""actual_onset_global_ms"": 206741.295, ""actual_offset_global_ms"": 206893.331, ""actual_duration_ms"": 152.036}]"
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,3,3,practice,color,1779089528,168.524,2026-05-18T15:35:38.392,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,206893.935,206909.221,color,cue_color.wav,颜色,207012.852,500,207709.415,blue,boat,blue_boat,s,s,1,2254.526,210395.444,practice,,color,1.0,3382.746,correct,correct.wav,210404.422,150.0,210904.422,207493.935,208140.918,210395.444,3000,2254.526,210545.444,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 206893.935, ""actual_onset_global_ms"": 206909.221, ""actual_offset_global_ms"": 207004.977, ""actual_duration_ms"": 95.756}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 206993.935, ""actual_onset_global_ms"": 207012.698, ""actual_offset_global_ms"": 208134.116, ""actual_duration_ms"": 1121.418}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 207493.935, ""actual_onset_global_ms"": 208140.918, ""actual_offset_global_ms"": 210395.444, ""actual_duration_ms"": 2254.526}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 210395.444, ""actual_onset_global_ms"": 210417.034, ""actual_offset_global_ms"": 210561.752, ""actual_duration_ms"": 144.718}]"
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,4,4,practice,color,1779089528,168.524,2026-05-18T15:35:42.061,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,210562.393,210575.992,color,cue_color.wav,颜色,210681.289,500,211377.851,red,boat,red_boat,j,j,1,3191.237,215000.522,practice,,color,1.0,4319.387,correct,correct.wav,215004.794,150.0,215504.794,211162.393,211809.285,215000.522,3000,3191.237,215150.522,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 210562.393, ""actual_onset_global_ms"": 210575.992, ""actual_offset_global_ms"": 210675.086, ""actual_duration_ms"": 99.094}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 210662.393, ""actual_onset_global_ms"": 210681.135, ""actual_offset_global_ms"": 211803.007, ""actual_duration_ms"": 1121.872}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 211162.393, ""actual_onset_global_ms"": 211809.285, ""actual_offset_global_ms"": 215000.522, ""actual_duration_ms"": 3191.237}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 215000.522, ""actual_onset_global_ms"": 215018.497, ""actual_offset_global_ms"": 215172.854, ""actual_duration_ms"": 154.357}]"
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,5,5,practice,color,1779089528,168.524,2026-05-18T15:35:46.672,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,215173.197,215186.818,color,cue_color.wav,颜色,215293.878,500,215990.44,blue,rabbit,blue_rabbit,s,s,1,4467.844,220905.026,practice,,color,1.0,5611.292,correct,correct.wav,220916.506,150.0,221416.506,215773.197,216437.182,220905.026,3000,4467.844,221055.026,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 215173.197, ""actual_onset_global_ms"": 215186.818, ""actual_offset_global_ms"": 215285.78, ""actual_duration_ms"": 98.962}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 215273.197, ""actual_onset_global_ms"": 215293.734, ""actual_offset_global_ms"": 216430.343, ""actual_duration_ms"": 1136.609}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 215773.197, ""actual_onset_global_ms"": 216437.182, ""actual_offset_global_ms"": 220905.026, ""actual_duration_ms"": 4467.844}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 220905.026, ""actual_onset_global_ms"": 220928.721, ""actual_offset_global_ms"": 221082.879, ""actual_duration_ms"": 154.158}]"
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,6,6,practice,color,1779089528,168.524,2026-05-18T15:35:52.582,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,221083.502,221096.504,color,cue_color.wav,颜色,221202.386,500,221898.948,blue,rabbit,blue_rabbit,s,s,1,1411.124,223742.85,practice,,color,1.0,2540.674,correct,correct.wav,223751.475,150.0,224251.475,221683.502,222331.726,223742.85,3000,1411.124,223892.85,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 221083.502, ""actual_onset_global_ms"": 221096.504, ""actual_offset_global_ms"": 221194.155, ""actual_duration_ms"": 97.651}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 221183.502, ""actual_onset_global_ms"": 221202.176, ""actual_offset_global_ms"": 222325.597, ""actual_duration_ms"": 1123.421}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 221683.502, ""actual_onset_global_ms"": 222331.726, ""actual_offset_global_ms"": 223742.85, ""actual_duration_ms"": 1411.124}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 223742.85, ""actual_onset_global_ms"": 223764.275, ""actual_offset_global_ms"": 223907.455, ""actual_duration_ms"": 143.18}]"
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,1,7,practice,shape,1779089528,168.524,2026-05-18T15:36:03.257,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,231758.398,231775.219,shape,cue_shape.wav,形状,231887.367,500,232653.617,blue,rabbit,blue_rabbit,s,s,1,3447.653,236510.872,practice,,shape,1.0,4623.653,correct,correct.wav,236524.8,150.0,237024.8,232358.398,233063.219,236510.872,3000,3447.653,236660.872,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 231758.398, ""actual_onset_global_ms"": 231775.219, ""actual_offset_global_ms"": 231878.312, ""actual_duration_ms"": 103.093}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 231858.398, ""actual_onset_global_ms"": 231887.219, ""actual_offset_global_ms"": 233056.122, ""actual_duration_ms"": 1168.903}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 232358.398, ""actual_onset_global_ms"": 233063.219, ""actual_offset_global_ms"": 236510.872, ""actual_duration_ms"": 3447.653}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 236510.872, ""actual_onset_global_ms"": 236538.109, ""actual_offset_global_ms"": 236686.943, ""actual_duration_ms"": 148.834}]"
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,2,8,practice,shape,1779089528,168.524,2026-05-18T15:36:08.187,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,236687.661,236703.339,shape,cue_shape.wav,形状,236814.992,500,237581.242,blue,rabbit,blue_rabbit,s,s,1,6682.928,244685.682,practice,,shape,1.0,7870.913,correct,correct.wav,244696.758,150.0,245196.758,237287.661,238002.754,244685.682,3000,6682.928,244835.682,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 236687.661, ""actual_onset_global_ms"": 236703.339, ""actual_offset_global_ms"": 236806.402, ""actual_duration_ms"": 103.063}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 236787.661, ""actual_onset_global_ms"": 236814.769, ""actual_offset_global_ms"": 237995.54, ""actual_duration_ms"": 1180.771}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 237287.661, ""actual_onset_global_ms"": 238002.754, ""actual_offset_global_ms"": 244685.682, ""actual_duration_ms"": 6682.928}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 244685.682, ""actual_onset_global_ms"": 244709.903, ""actual_offset_global_ms"": 244861.092, ""actual_duration_ms"": 151.189}]"
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,3,9,practice,shape,1779089528,168.524,2026-05-18T15:36:16.360,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,244861.685,244875.41,shape,cue_shape.wav,形状,244988.63,500,245754.88,red,rabbit,red_rabbit,s,s,1,5670.508,251849.724,practice,,shape,1.0,6861.238,correct,correct.wav,251852.217,150.0,252352.217,245461.685,246179.216,251849.724,3000,5670.508,251999.724,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 244861.685, ""actual_onset_global_ms"": 244875.41, ""actual_offset_global_ms"": 244979.502, ""actual_duration_ms"": 104.092}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 244961.685, ""actual_onset_global_ms"": 244988.486, ""actual_offset_global_ms"": 246170.776, ""actual_duration_ms"": 1182.29}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 245461.685, ""actual_onset_global_ms"": 246179.216, ""actual_offset_global_ms"": 251849.724, ""actual_duration_ms"": 5670.508}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 251849.724, ""actual_onset_global_ms"": 251865.622, ""actual_offset_global_ms"": 252015.709, ""actual_duration_ms"": 150.087}]"
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,4,10,practice,shape,1779089528,168.524,2026-05-18T15:36:23.515,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,252016.564,252030.404,shape,cue_shape.wav,形状,252139.439,500,252905.689,red,boat,red_boat,j,j,1,3847.622,257187.48,practice,,shape,1.0,5048.183,correct,correct.wav,257190.548,150.0,257690.548,252616.564,253339.858,257187.48,3000,3847.622,257337.48,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 252016.564, ""actual_onset_global_ms"": 252030.404, ""actual_offset_global_ms"": 252131.208, ""actual_duration_ms"": 100.804}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 252116.564, ""actual_onset_global_ms"": 252139.297, ""actual_offset_global_ms"": 253332.46, ""actual_duration_ms"": 1193.163}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 252616.564, ""actual_onset_global_ms"": 253339.858, ""actual_offset_global_ms"": 257187.48, ""actual_duration_ms"": 3847.622}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 257187.48, ""actual_onset_global_ms"": 257203.808, ""actual_offset_global_ms"": 257354.121, ""actual_duration_ms"": 150.313}]"
