participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,1,1,practice,practice_single,1779089528,168.524,2026-05-18T15:33:02.041,0,0,0,1,50542.612,50575.921,practice_single,left,none,<,s,s,1,1181.628,51850.55,correct,,50642.612,50668.922,51850.55,3000,1181.628,52450.55,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 50542.612, ""actual_onset_global_ms"": 50575.921, ""actual_offset_global_ms"": 50654.368, ""actual_duration_ms"": 78.447}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 50642.612, ""actual_onset_global_ms"": 50668.922, ""actual_offset_global_ms"": 51850.55, ""actual_duration_ms"": 1181.628}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 51850.55, ""actual_onset_global_ms"": 51886.187, ""actual_offset_global_ms"": 52469.816, ""actual_duration_ms"": 583.629}]",correct.wav,51857.743,600.0,52457.743
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,2,2,practice,practice_single,1779089528,168.524,2026-05-18T15:33:03.970,0,0,0,1,52471.698,52484.139,practice_single,left,none,<,s,s,1,1193.87,53789.862,correct,,52571.698,52595.992,53789.862,3000,1193.87,54389.862,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 52471.698, ""actual_onset_global_ms"": 52484.139, ""actual_offset_global_ms"": 52588.775, ""actual_duration_ms"": 104.636}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 52571.698, ""actual_onset_global_ms"": 52595.992, ""actual_offset_global_ms"": 53789.862, ""actual_duration_ms"": 1193.87}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 53789.862, ""actual_onset_global_ms"": 53805.258, ""actual_offset_global_ms"": 54409.633, ""actual_duration_ms"": 604.375}]",correct.wav,53792.598,600.0,54392.598
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,3,3,practice,practice_single,1779089528,168.524,2026-05-18T15:33:05.907,0,0,0,1,54408.86,54424.044,practice_single,right,none,>,j,j,1,2074.008,56597.904,correct,,54508.86,54523.896,56597.904,3000,2074.008,57197.904,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 54408.86, ""actual_onset_global_ms"": 54424.044, ""actual_offset_global_ms"": 54516.689, ""actual_duration_ms"": 92.645}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 54508.86, ""actual_onset_global_ms"": 54523.896, ""actual_offset_global_ms"": 56597.904, ""actual_duration_ms"": 2074.008}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 56597.904, ""actual_onset_global_ms"": 56624.752, ""actual_offset_global_ms"": 57220.743, ""actual_duration_ms"": 595.991}]",correct.wav,56612.451,600.0,57212.451
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,4,4,practice,practice_single,1779089528,168.524,2026-05-18T15:33:08.718,0,0,0,1,57219.857,57232.293,practice_single,right,none,>,j,j,1,1506.295,58841.879,correct,,57319.857,57335.584,58841.879,3000,1506.295,59441.879,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 57219.857, ""actual_onset_global_ms"": 57232.293, ""actual_offset_global_ms"": 57328.046, ""actual_duration_ms"": 95.753}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 57319.857, ""actual_onset_global_ms"": 57335.584, ""actual_offset_global_ms"": 58841.879, ""actual_duration_ms"": 1506.295}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 58841.879, ""actual_onset_global_ms"": 58856.223, ""actual_offset_global_ms"": 59455.317, ""actual_duration_ms"": 599.094}]",correct.wav,58844.084,600.0,59444.084
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,5,5,practice,practice_single,1779089528,168.524,2026-05-18T15:33:10.953,0,0,0,1,59454.72,59467.768,practice_single,right,none,>,j,j,1,1495.077,61065.747,correct,,59554.72,59570.67,61065.747,3000,1495.077,61665.747,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 59454.72, ""actual_onset_global_ms"": 59467.768, ""actual_offset_global_ms"": 59562.704, ""actual_duration_ms"": 94.936}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 59554.72, ""actual_onset_global_ms"": 59570.67, ""actual_offset_global_ms"": 61065.747, ""actual_duration_ms"": 1495.077}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 61065.747, ""actual_onset_global_ms"": 61091.842, ""actual_offset_global_ms"": 61692.745, ""actual_duration_ms"": 600.903}]",correct.wav,61079.563,600.0,61679.563
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,6,6,practice,practice_single,1779089528,168.524,2026-05-18T15:33:13.190,0,0,0,1,61692.076,61704.841,practice_single,left,none,<,s,s,1,972.094,62790.93,correct,,61792.076,61818.836,62790.93,3000,972.094,63390.93,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 61692.076, ""actual_onset_global_ms"": 61704.841, ""actual_offset_global_ms"": 61810.972, ""actual_duration_ms"": 106.131}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 61792.076, ""actual_onset_global_ms"": 61818.836, ""actual_offset_global_ms"": 62790.93, ""actual_duration_ms"": 972.094}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 62790.93, ""actual_onset_global_ms"": 62810.045, ""actual_offset_global_ms"": 63407.817, ""actual_duration_ms"": 597.772}]",correct.wav,62795.707,600.0,63395.707
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,1,7,practice,incongruent,1779089528,168.524,2026-05-18T15:33:19.916,0,0,0,1,68417.9,68432.703,incongruent,right,left,<<><<,j,j,1,5648.97,74186.071,correct,1.0,68517.9,68537.101,74186.071,3000,5648.97,74786.071,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 68417.9, ""actual_onset_global_ms"": 68432.703, ""actual_offset_global_ms"": 68527.65, ""actual_duration_ms"": 94.947}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 68517.9, ""actual_onset_global_ms"": 68537.101, ""actual_offset_global_ms"": 74186.071, ""actual_duration_ms"": 5648.97}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 74186.071, ""actual_onset_global_ms"": 74204.126, ""actual_offset_global_ms"": 74800.795, ""actual_duration_ms"": 596.669}]",correct.wav,74191.14,600.0,74791.14
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,2,8,practice,congruent,1779089528,168.524,2026-05-18T15:33:26.298,0,0,0,1,74799.869,74811.953,congruent,left,left,<<<<<,s,s,1,1005.977,75931.167,correct,1.0,74899.869,74925.19,75931.167,3000,1005.977,76531.167,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 74799.869, ""actual_onset_global_ms"": 74811.953, ""actual_offset_global_ms"": 74916.203, ""actual_duration_ms"": 104.25}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 74899.869, ""actual_onset_global_ms"": 74925.19, ""actual_offset_global_ms"": 75931.167, ""actual_duration_ms"": 1005.977}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 75931.167, ""actual_onset_global_ms"": 75950.306, ""actual_offset_global_ms"": 76544.428, ""actual_duration_ms"": 594.122}]",correct.wav,75935.93,600.0,76535.93
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,3,9,practice,congruent,1779089528,168.524,2026-05-18T15:33:28.042,0,0,0,1,76543.934,76557.942,congruent,right,right,>>>>>,j,j,1,1136.218,77797.772,correct,1.0,76643.934,76661.554,77797.772,3000,1136.218,78397.772,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 76543.934, ""actual_onset_global_ms"": 76557.942, ""actual_offset_global_ms"": 76652.478, ""actual_duration_ms"": 94.536}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 76643.934, ""actual_onset_global_ms"": 76661.554, ""actual_offset_global_ms"": 77797.772, ""actual_duration_ms"": 1136.218}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 77797.772, ""actual_onset_global_ms"": 77815.056, ""actual_offset_global_ms"": 78414.939, ""actual_duration_ms"": 599.883}]",correct.wav,77802.476,600.0,78402.476
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,4,10,practice,incongruent,1779089528,168.524,2026-05-18T15:33:29.913,0,0,0,1,78414.441,78427.543,incongruent,left,right,>><>>,s,s,1,1862.675,80436.112,correct,1.0,78514.441,78573.437,80436.112,3000,1862.675,81036.112,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 78414.441, ""actual_onset_global_ms"": 78427.543, ""actual_offset_global_ms"": 78560.143, ""actual_duration_ms"": 132.6}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 78514.441, ""actual_onset_global_ms"": 78573.437, ""actual_offset_global_ms"": 80436.112, ""actual_duration_ms"": 1862.675}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 80436.112, ""actual_onset_global_ms"": 80453.068, ""actual_offset_global_ms"": 81046.771, ""actual_duration_ms"": 593.703}]",correct.wav,80440.408,600.0,81040.408
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,5,11,practice,incongruent,1779089528,168.524,2026-05-18T15:33:32.545,0,0,0,1,81045.958,81058.404,incongruent,right,left,<<><<,j,j,1,1114.741,82288.432,correct,1.0,81145.958,81173.691,82288.432,3000,1114.741,82888.432,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 81045.958, ""actual_onset_global_ms"": 81058.404, ""actual_offset_global_ms"": 81164.469, ""actual_duration_ms"": 106.065}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 81145.958, ""actual_onset_global_ms"": 81173.691, ""actual_offset_global_ms"": 82288.432, ""actual_duration_ms"": 1114.741}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 82288.432, ""actual_onset_global_ms"": 82318.59, ""actual_offset_global_ms"": 82915.474, ""actual_duration_ms"": 596.884}]",correct.wav,82306.383,600.0,82906.383
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,6,12,practice,congruent,1779089528,168.524,2026-05-18T15:33:34.413,0,0,0,1,82914.894,82927.196,congruent,left,left,<<<<<,s,s,1,972.109,84002.892,correct,1.0,83014.894,83030.783,84002.892,3000,972.109,84602.892,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 82914.894, ""actual_onset_global_ms"": 82927.196, ""actual_offset_global_ms"": 83021.936, ""actual_duration_ms"": 94.74}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 83014.894, ""actual_onset_global_ms"": 83030.783, ""actual_offset_global_ms"": 84002.892, ""actual_duration_ms"": 972.109}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 84002.892, ""actual_onset_global_ms"": 84030.982, ""actual_offset_global_ms"": 84629.044, ""actual_duration_ms"": 598.062}]",correct.wav,84018.519,600.0,84618.519
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,1,13,formal,incongruent,1779089528,168.524,2026-05-18T15:33:43.717,0,0,0,1,92218.052,92233.66,incongruent,left,right,>><>>,s,s,1,1732.317,94072.267,none,,92318.052,92339.95,94072.267,3000,1732.317,94072.267,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 92218.052, ""actual_onset_global_ms"": 92233.66, ""actual_offset_global_ms"": 92330.78, ""actual_duration_ms"": 97.12}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 92318.052, ""actual_onset_global_ms"": 92339.95, ""actual_offset_global_ms"": 94072.267, ""actual_duration_ms"": 1732.317}]",,,,
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,2,14,formal,incongruent,1779089528,168.524,2026-05-18T15:33:45.588,0,0,0,1,94089.234,94101.75,incongruent,right,left,<<><<,j,j,1,3911.535,98119.167,none,,94189.234,94207.632,98119.167,3000,3911.535,98119.167,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 94089.234, ""actual_onset_global_ms"": 94101.75, ""actual_offset_global_ms"": 94198.371, ""actual_duration_ms"": 96.621}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 94189.234, ""actual_onset_global_ms"": 94207.632, ""actual_offset_global_ms"": 98119.167, ""actual_duration_ms"": 3911.535}]",,,,
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,3,15,formal,congruent,1779089528,168.524,2026-05-18T15:33:49.637,0,0,0,1,98138.187,98150.928,congruent,left,left,<<<<<,s,s,1,2152.988,100408.489,none,,98238.187,98255.501,100408.489,3000,2152.988,100408.489,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 98138.187, ""actual_onset_global_ms"": 98150.928, ""actual_offset_global_ms"": 98246.921, ""actual_duration_ms"": 95.993}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 98238.187, ""actual_onset_global_ms"": 98255.501, ""actual_offset_global_ms"": 100408.489, ""actual_duration_ms"": 2152.988}]",,,,
