participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,trial_transition,previous_rule,current_rule,cue_to_first_response_ms,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,repeated_audio_once_in_practice,trigger_trial_index,termination_reason,terminal_span_length,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,layout_generation_attempts,overlap_check_passed
26,26_T1_20260518_160715,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,1,1,practice,practice_single,1779091635,174.937,2026-05-18T16:08:10.637,0,0,0,1,52010.248,52047.815,practice_single,right,none,>,j,j,1,2985.84,55132.939,correct,,52110.248,52147.099,55132.939,3000,2985.84,55732.939,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 52010.248, ""actual_onset_global_ms"": 52047.815, ""actual_offset_global_ms"": 52130.415, ""actual_duration_ms"": 82.6}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 52110.248, ""actual_onset_global_ms"": 52147.099, ""actual_offset_global_ms"": 55132.939, ""actual_duration_ms"": 2985.84}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 55132.939, ""actual_onset_global_ms"": 55163.111, ""actual_offset_global_ms"": 55754.125, ""actual_duration_ms"": 591.014}]",correct.wav,55148.211,600.0,55748.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26_T1_20260518_160715,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,2,2,practice,practice_single,1779091635,174.937,2026-05-18T16:08:14.383,0,0,0,1,55756.087,55769.024,practice_single,left,none,<,s,s,1,3205.581,59076.344,correct,,55856.087,55870.763,59076.344,3000,3205.581,59676.344,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 55756.087, ""actual_onset_global_ms"": 55769.024, ""actual_offset_global_ms"": 55863.344, ""actual_duration_ms"": 94.32}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 55856.087, ""actual_onset_global_ms"": 55870.763, ""actual_offset_global_ms"": 59076.344, ""actual_duration_ms"": 3205.581}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 59076.344, ""actual_onset_global_ms"": 59095.289, ""actual_offset_global_ms"": 59693.965, ""actual_duration_ms"": 598.676}]",correct.wav,59082.444,600.0,59682.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26_T1_20260518_160715,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,3,3,practice,practice_single,1779091635,174.937,2026-05-18T16:08:18.320,0,0,0,1,59693.201,59709.647,practice_single,right,none,>,j,j,1,3348.542,63159.781,correct,,59793.201,59811.239,63159.781,3000,3348.542,63759.781,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 59693.201, ""actual_onset_global_ms"": 59709.647, ""actual_offset_global_ms"": 59804.418, ""actual_duration_ms"": 94.771}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 59793.201, ""actual_onset_global_ms"": 59811.239, ""actual_offset_global_ms"": 63159.781, ""actual_duration_ms"": 3348.542}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 63159.781, ""actual_onset_global_ms"": 63174.142, ""actual_offset_global_ms"": 63772.622, ""actual_duration_ms"": 598.48}]",correct.wav,63161.588,600.0,63761.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26_T1_20260518_160715,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,4,4,practice,practice_single,1779091635,174.937,2026-05-18T16:08:22.399,0,0,0,1,63772.554,63785.118,practice_single,right,none,>,j,j,1,2412.681,66298.046,correct,,63872.554,63885.365,66298.046,3000,2412.681,66898.046,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 63772.554, ""actual_onset_global_ms"": 63785.118, ""actual_offset_global_ms"": 63878.793, ""actual_duration_ms"": 93.675}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 63872.554, ""actual_onset_global_ms"": 63885.365, ""actual_offset_global_ms"": 66298.046, ""actual_duration_ms"": 2412.681}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 66298.046, ""actual_onset_global_ms"": 66321.946, ""actual_offset_global_ms"": 66920.753, ""actual_duration_ms"": 598.807}]",correct.wav,66309.788,600.0,66909.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26_T1_20260518_160715,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,5,5,practice,practice_single,1779091635,174.937,2026-05-18T16:08:25.546,0,0,0,1,66920.143,66932.561,practice_single,left,none,<,s,s,1,2654.938,69697.507,correct,,67020.143,67042.569,69697.507,3000,2654.938,70297.507,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 66920.143, ""actual_onset_global_ms"": 66932.561, ""actual_offset_global_ms"": 67035.135, ""actual_duration_ms"": 102.574}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 67020.143, ""actual_onset_global_ms"": 67042.569, ""actual_offset_global_ms"": 69697.507, ""actual_duration_ms"": 2654.938}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 69697.507, ""actual_onset_global_ms"": 69719.421, ""actual_offset_global_ms"": 70316.327, ""actual_duration_ms"": 596.906}]",correct.wav,69707.256,600.0,70307.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26_T1_20260518_160715,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,6,6,practice,practice_single,1779091635,174.937,2026-05-18T16:08:28.943,0,0,0,1,70315.877,70328.475,practice_single,left,none,<,s,s,1,2048.423,72486.351,correct,,70415.877,70437.928,72486.351,3000,2048.423,73086.351,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 70315.877, ""actual_onset_global_ms"": 70328.475, ""actual_offset_global_ms"": 70431.888, ""actual_duration_ms"": 103.413}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 70415.877, ""actual_onset_global_ms"": 70437.928, ""actual_offset_global_ms"": 72486.351, ""actual_duration_ms"": 2048.423}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 72486.351, ""actual_onset_global_ms"": 72508.789, ""actual_offset_global_ms"": 73103.583, ""actual_duration_ms"": 594.794}]",correct.wav,72496.529,600.0,73096.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26_T1_20260518_160715,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,1,7,practice,incongruent,1779091635,174.937,2026-05-18T16:08:46.612,0,0,0,1,87985.58,87999.907,incongruent,right,left,<<><<,j,j,1,8689.395,96790.68,correct,1.0,88085.58,88101.285,96790.68,3000,8689.395,97390.68,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 87985.58, ""actual_onset_global_ms"": 87999.907, ""actual_offset_global_ms"": 88091.879, ""actual_duration_ms"": 91.972}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 88085.58, ""actual_onset_global_ms"": 88101.285, ""actual_offset_global_ms"": 96790.68, ""actual_duration_ms"": 8689.395}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 96790.68, ""actual_onset_global_ms"": 96805.17, ""actual_offset_global_ms"": 97406.063, ""actual_duration_ms"": 600.893}]",correct.wav,96791.497,600.0,97391.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26_T1_20260518_160715,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,2,8,practice,incongruent,1779091635,174.937,2026-05-18T16:08:56.033,0,0,0,1,97405.632,97418.493,incongruent,right,left,<<><<,j,j,1,2081.345,99603.71,correct,1.0,97505.632,97522.365,99603.71,3000,2081.345,100203.71,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 97405.632, ""actual_onset_global_ms"": 97418.493, ""actual_offset_global_ms"": 97513.062, ""actual_duration_ms"": 94.569}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 97505.632, ""actual_onset_global_ms"": 97522.365, ""actual_offset_global_ms"": 99603.71, ""actual_duration_ms"": 2081.345}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 99603.71, ""actual_onset_global_ms"": 99630.9, ""actual_offset_global_ms"": 100230.379, ""actual_duration_ms"": 599.479}]",correct.wav,99618.5,600.0,100218.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26_T1_20260518_160715,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,3,9,practice,incongruent,1779091635,174.937,2026-05-18T16:08:58.857,0,0,0,1,100229.762,100242.586,incongruent,left,right,>><>>,s,s,1,2300.113,102656.054,correct,1.0,100329.762,100355.941,102656.054,3000,2300.113,103256.054,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 100229.762, ""actual_onset_global_ms"": 100242.586, ""actual_offset_global_ms"": 100347.364, ""actual_duration_ms"": 104.778}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 100329.762, ""actual_onset_global_ms"": 100355.941, ""actual_offset_global_ms"": 102656.054, ""actual_duration_ms"": 2300.113}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 102656.054, ""actual_onset_global_ms"": 102682.278, ""actual_offset_global_ms"": 103278.198, ""actual_duration_ms"": 595.92}]",correct.wav,102669.27,600.0,103269.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26_T1_20260518_160715,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,4,10,practice,congruent,1779091635,174.937,2026-05-18T16:09:01.904,0,0,0,1,103277.576,103290.973,congruent,left,left,<<<<<,s,s,1,1768.178,105162.731,correct,1.0,103377.576,103394.553,105162.731,3000,1768.178,105762.731,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 103277.576, ""actual_onset_global_ms"": 103290.973, ""actual_offset_global_ms"": 103384.241, ""actual_duration_ms"": 93.268}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 103377.576, ""actual_onset_global_ms"": 103394.553, ""actual_offset_global_ms"": 105162.731, ""actual_duration_ms"": 1768.178}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 105162.731, ""actual_onset_global_ms"": 105178.062, ""actual_offset_global_ms"": 105773.541, ""actual_duration_ms"": 595.479}]",correct.wav,105165.288,600.0,105765.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
