participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,intended_trial_start_ms,actual_trial_start_ms,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,trial_transition,previous_rule,current_rule,practice_pass_flag,cue_to_first_response_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json
26,26_T1_20260518_160715,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,1,1,practice,color,1779091635,174.937,2026-05-18T16:11:00.366,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,221739.816,221844.483,color,cue_color.wav,颜色,221866.693,500,222563.255,blue,boat,blue_boat,s,s,1,4175.339,227230.679,practice,,color,1.0,5364.137,correct,correct.wav,227237.867,150.0,227737.867,222339.816,223055.34,227230.679,3000,4175.339,227380.679,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 221739.816, ""actual_onset_global_ms"": 221844.483, ""actual_offset_global_ms"": 221850.199, ""actual_duration_ms"": 5.716}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 221839.816, ""actual_onset_global_ms"": 221866.542, ""actual_offset_global_ms"": 223049.064, ""actual_duration_ms"": 1182.522}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 222339.816, ""actual_onset_global_ms"": 223055.34, ""actual_offset_global_ms"": 227230.679, ""actual_duration_ms"": 4175.339}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 227230.679, ""actual_onset_global_ms"": 227253.921, ""actual_offset_global_ms"": 227399.333, ""actual_duration_ms"": 145.412}]"
26,26_T1_20260518_160715,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,2,2,practice,color,1779091635,174.937,2026-05-18T16:11:06.028,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,227401.124,227414.237,color,cue_color.wav,颜色,227523.087,500,228219.649,red,boat,red_boat,j,j,1,3570.584,232283.785,practice,,color,1.0,4760.874,correct,correct.wav,232286.863,150.0,232786.863,228001.124,228713.201,232283.785,3000,3570.584,232433.785,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 227401.124, ""actual_onset_global_ms"": 227414.237, ""actual_offset_global_ms"": 227514.036, ""actual_duration_ms"": 99.799}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 227501.124, ""actual_onset_global_ms"": 227522.911, ""actual_offset_global_ms"": 228705.525, ""actual_duration_ms"": 1182.614}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 228001.124, ""actual_onset_global_ms"": 228713.201, ""actual_offset_global_ms"": 232283.785, ""actual_duration_ms"": 3570.584}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 232283.785, ""actual_onset_global_ms"": 232300.033, ""actual_offset_global_ms"": 232453.34, ""actual_duration_ms"": 153.307}]"
26,26_T1_20260518_160715,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,3,3,practice,color,1779091635,174.937,2026-05-18T16:11:11.080,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,232453.942,232469.162,color,cue_color.wav,颜色,232574.707,500,233271.269,red,rabbit,red_rabbit,j,j,1,1708.411,235470.443,practice,,color,1.0,2895.891,correct,correct.wav,235472.934,150.0,235972.934,233053.942,233762.032,235470.443,3000,1708.411,235620.443,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 232453.942, ""actual_onset_global_ms"": 232469.162, ""actual_offset_global_ms"": 232566.604, ""actual_duration_ms"": 97.442}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 232553.942, ""actual_onset_global_ms"": 232574.552, ""actual_offset_global_ms"": 233754.604, ""actual_duration_ms"": 1180.052}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 233053.942, ""actual_onset_global_ms"": 233762.032, ""actual_offset_global_ms"": 235470.443, ""actual_duration_ms"": 1708.411}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 235470.443, ""actual_onset_global_ms"": 235485.441, ""actual_offset_global_ms"": 235641.545, ""actual_duration_ms"": 156.104}]"
26,26_T1_20260518_160715,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,4,4,practice,color,1779091635,174.937,2026-05-18T16:11:14.269,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,235642.051,235656.225,color,cue_color.wav,颜色,235759.171,500,236455.734,blue,rabbit,blue_rabbit,s,s,1,1726.365,238661.602,practice,,color,1.0,2902.589,correct,correct.wav,238664.095,150.0,239164.095,236242.051,236935.237,238661.602,3000,1726.365,238811.602,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 235642.051, ""actual_onset_global_ms"": 235656.225, ""actual_offset_global_ms"": 235750.696, ""actual_duration_ms"": 94.471}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 235742.051, ""actual_onset_global_ms"": 235759.013, ""actual_offset_global_ms"": 236928.941, ""actual_duration_ms"": 1169.928}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 236242.051, ""actual_onset_global_ms"": 236935.237, ""actual_offset_global_ms"": 238661.602, ""actual_duration_ms"": 1726.365}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 238661.602, ""actual_onset_global_ms"": 238677.556, ""actual_offset_global_ms"": 238831.595, ""actual_duration_ms"": 154.039}]"
26,26_T1_20260518_160715,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,5,5,practice,color,1779091635,174.937,2026-05-18T16:11:17.459,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,238832.245,238845.932,color,cue_color.wav,颜色,238950.391,500,239646.954,red,boat,red_boat,j,j,1,2100.64,242246.054,practice,,color,1.0,3295.818,correct,correct.wav,242248.522,150.0,242748.522,239432.245,240145.414,242246.054,3000,2100.64,242396.054,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 238832.245, ""actual_onset_global_ms"": 238845.932, ""actual_offset_global_ms"": 238942.491, ""actual_duration_ms"": 96.559}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 238932.245, ""actual_onset_global_ms"": 238950.236, ""actual_offset_global_ms"": 240137.98, ""actual_duration_ms"": 1187.744}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 239432.245, ""actual_onset_global_ms"": 240145.414, ""actual_offset_global_ms"": 242246.054, ""actual_duration_ms"": 2100.64}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 242246.054, ""actual_onset_global_ms"": 242261.325, ""actual_offset_global_ms"": 242414.78, ""actual_duration_ms"": 153.455}]"
26,26_T1_20260518_160715,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,6,6,practice,color,1779091635,174.937,2026-05-18T16:11:21.042,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,242415.6,242429.154,color,cue_color.wav,颜色,242537.076,500,243233.639,blue,rabbit,blue_rabbit,s,s,1,1850.073,245567.238,practice,,color,1.0,3030.314,correct,correct.wav,245575.853,150.0,246075.853,243015.6,243717.165,245567.238,3000,1850.073,245717.238,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 242415.6, ""actual_onset_global_ms"": 242429.154, ""actual_offset_global_ms"": 242528.643, ""actual_duration_ms"": 99.489}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 242515.6, ""actual_onset_global_ms"": 242536.924, ""actual_offset_global_ms"": 243710.026, ""actual_duration_ms"": 1173.102}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 243015.6, ""actual_onset_global_ms"": 243717.165, ""actual_offset_global_ms"": 245567.238, ""actual_duration_ms"": 1850.073}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 245567.238, ""actual_onset_global_ms"": 245588.96, ""actual_offset_global_ms"": 245742.046, ""actual_duration_ms"": 153.086}]"
26,26_T1_20260518_160715,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,1,7,practice,shape,1779091635,174.937,2026-05-18T16:11:45.938,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,267312.075,267329.419,shape,cue_shape.wav,形状,267443.579,500,268209.829,blue,rabbit,blue_rabbit,s,s,1,4157.791,272824.332,practice,,shape,1.0,5380.912,correct,correct.wav,272838.462,150.0,273338.462,267912.075,268666.541,272824.332,3000,4157.791,272974.332,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 267312.075, ""actual_onset_global_ms"": 267329.419, ""actual_offset_global_ms"": 267431.0, ""actual_duration_ms"": 101.581}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 267412.075, ""actual_onset_global_ms"": 267443.42, ""actual_offset_global_ms"": 268659.2, ""actual_duration_ms"": 1215.78}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 267912.075, ""actual_onset_global_ms"": 268666.541, ""actual_offset_global_ms"": 272824.332, ""actual_duration_ms"": 4157.791}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 272824.332, ""actual_onset_global_ms"": 272851.781, ""actual_offset_global_ms"": 273000.711, ""actual_duration_ms"": 148.93}]"
26,26_T1_20260518_160715,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,2,8,practice,shape,1779091635,174.937,2026-05-18T16:11:51.629,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,273001.621,273017.438,shape,cue_shape.wav,形状,273120.2,500,273886.45,blue,rabbit,blue_rabbit,s,s,1,1828.519,276174.013,practice,,shape,1.0,3053.972,correct,correct.wav,276179.594,150.0,276679.594,273601.621,274345.494,276174.013,3000,1828.519,276324.013,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 273001.621, ""actual_onset_global_ms"": 273017.438, ""actual_offset_global_ms"": 273107.842, ""actual_duration_ms"": 90.404}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 273101.621, ""actual_onset_global_ms"": 273120.041, ""actual_offset_global_ms"": 274338.532, ""actual_duration_ms"": 1218.491}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 273601.621, ""actual_onset_global_ms"": 274345.494, ""actual_offset_global_ms"": 276174.013, ""actual_duration_ms"": 1828.519}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 276174.013, ""actual_onset_global_ms"": 276193.39, ""actual_offset_global_ms"": 276346.322, ""actual_duration_ms"": 152.932}]"
26,26_T1_20260518_160715,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,3,9,practice,shape,1779091635,174.937,2026-05-18T16:11:54.974,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,276347.573,276362.027,shape,cue_shape.wav,形状,276472.975,500,277239.225,red,boat,red_boat,j,j,1,3255.482,280977.817,practice,,shape,1.0,4504.999,correct,correct.wav,280980.203,150.0,281480.203,276947.573,277722.335,280977.817,3000,3255.482,281127.817,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 276347.573, ""actual_onset_global_ms"": 276362.027, ""actual_offset_global_ms"": 276464.378, ""actual_duration_ms"": 102.351}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 276447.573, ""actual_onset_global_ms"": 276472.818, ""actual_offset_global_ms"": 277714.823, ""actual_duration_ms"": 1242.005}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 276947.573, ""actual_onset_global_ms"": 277722.335, ""actual_offset_global_ms"": 280977.817, ""actual_duration_ms"": 3255.482}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 280977.817, ""actual_onset_global_ms"": 280996.875, ""actual_offset_global_ms"": 281148.553, ""actual_duration_ms"": 151.678}]"
26,26_T1_20260518_160715,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,4,10,practice,shape,1779091635,174.937,2026-05-18T16:11:59.776,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,281149.792,281164.127,shape,cue_shape.wav,形状,281271.919,500,282038.169,blue,boat,blue_boat,j,j,1,2083.396,284599.009,practice,,shape,1.0,3327.246,correct,correct.wav,284611.464,150.0,285111.464,281749.792,282515.613,284599.009,3000,2083.396,284749.009,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 281149.792, ""actual_onset_global_ms"": 281164.127, ""actual_offset_global_ms"": 281262.916, ""actual_duration_ms"": 98.789}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 281249.792, ""actual_onset_global_ms"": 281271.763, ""actual_offset_global_ms"": 282507.996, ""actual_duration_ms"": 1236.233}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 281749.792, ""actual_onset_global_ms"": 282515.613, ""actual_offset_global_ms"": 284599.009, ""actual_duration_ms"": 2083.396}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 284599.009, ""actual_onset_global_ms"": 284624.436, ""actual_offset_global_ms"": 284774.413, ""actual_duration_ms"": 149.977}]"
