global_time_ms,event_type,task_name,block_name,trial_index_global,participant_id,group,timepoint,practice_layer,telemetry_version,block_type,event_value,prompt_level,support_level,support_rule,support_trigger_reason,rule_block_error_count,support_phase,support_faded_after_trial,error_type,message
4007.873,task_start,flanker,,,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_task_start
43364.274,timing_drift,flanker,practice_single,1,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-26.621 ms
141065.74,timing_drift,flanker,formal_block_2,35,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-13.090 ms
171296.052,task_end,flanker,formal_block_2,52,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_finished
172501.947,task_start,dccs,,,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,dccs_task_start
232330.177,timing_drift,dccs,pre_switch_practice,1,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-92.570 ms
273070.216,info,dccs,shape_adaptive_support,11,024,PA,T1,adaptive,telemetry_v4,practice,criterion_not_reached,1,1,shape,criterion_not_reached,1,brief_rule_prompt,,,dccs_support_level_1:shape:criterion_not_reached
279192.54,info,dccs,post_switch_practice,12,024,PA,T1,adaptive,telemetry_v4,practice,recovered,,1,shape,criterion_not_reached,,,True,,dccs_support_recovered:shape:criterion_not_reached
387738.216,timing_drift,dccs,mixed_formal,41,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-11.311 ms
400887.665,task_end,dccs,mixed_formal,42,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,dccs_finished
437800.431,task_start,digit_span,,,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,digit_span_task_start
443367.066,timing_drift,digit_span,practice_digitspan,1,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-92.570 ms
445490.093,timing_drift,digit_span,practice_digitspan,1,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,wait drift=-32.017 ms
458396.402,timing_drift,digit_span,practice_digitspan,2,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-92.570 ms
464968.583,timing_drift,digit_span,practice_digitspan,3,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-92.570 ms
473010.352,timing_drift,digit_span,practice_digitspan,4,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-92.570 ms
484183.778,timing_drift,digit_span,practice_digitspan,5,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-92.570 ms
492015.287,timing_drift,digit_span,practice_digitspan,6,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-92.570 ms
533928.646,timing_drift,digit_span,formal_span_2,7,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-92.570 ms
536104.339,timing_drift,digit_span,formal_span_2,7,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,wait drift=-12.862 ms
539931.009,timing_drift,digit_span,formal_span_2,8,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-92.570 ms
545947.464,timing_drift,digit_span,formal_span_3,9,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-92.570 ms
558864.829,timing_drift,digit_span,formal_span_3,10,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-92.570 ms
569174.275,timing_drift,digit_span,formal_span_4,11,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-92.570 ms
581655.494,timing_drift,digit_span,formal_span_4,12,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-92.570 ms
602062.14,task_end,digit_span,formal_span_4,12,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,digit_span_finished
609043.25,task_start,change_detection,,,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,change_detection_task_start
657665.723,timing_drift,change_detection,practice_cd,1,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-32.766 ms
663103.116,timing_drift,change_detection,practice_cd,1,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-16.867 ms
665757.087,timing_drift,change_detection,practice_cd,2,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-33.059 ms
680617.42,timing_drift,change_detection,practice_cd,4,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-21.567 ms
690442.128,timing_drift,change_detection,practice_cd,6,024,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-44.686 ms
