global_time_ms,event_type,task_name,block_name,trial_index_global,participant_id,group,timepoint,practice_layer,telemetry_version,block_type,event_value,prompt_level,support_level,support_rule,support_trigger_reason,rule_block_error_count,support_phase,support_faded_after_trial,error_type,message
3759.231,task_start,flanker,,,25,PA,T1,standard,telemetry_v4,,,,,,,,,,,flanker_task_start
41596.661,timing_drift,flanker,practice_single,1,25,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-16.559 ms
57086.586,timing_drift,flanker,practice_single,3,25,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-11.423 ms
105073.79,timing_drift,flanker,formal_block_1,17,25,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-11.185 ms
111394.423,timing_drift,flanker,formal_block_1,24,25,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-13.452 ms
147277.398,task_end,flanker,formal_block_2,52,25,PA,T1,standard,telemetry_v4,,,,,,,,,,,flanker_finished
148370.539,task_start,dccs,,,25,PA,T1,standard,telemetry_v4,,,,,,,,,,,dccs_task_start
180850.391,timing_drift,dccs,pre_switch_practice,1,25,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-92.677 ms
190753.583,timing_drift,dccs,pre_switch_practice,4,25,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-11.989 ms
220448.584,timing_drift,dccs,post_switch_practice,10,25,PA,T1,standard,telemetry_v4,,,,,,,,,,,feedback drift=-12.493 ms
271581.187,timing_drift,dccs,mixed_formal,23,25,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-43.239 ms
331976.163,task_end,dccs,mixed_formal,42,25,PA,T1,standard,telemetry_v4,,,,,,,,,,,dccs_finished
335506.954,task_start,digit_span,,,25,PA,T1,standard,telemetry_v4,,,,,,,,,,,digit_span_task_start
382089.772,timing_drift,digit_span,practice_digitspan,1,25,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-92.677 ms
384304.848,timing_drift,digit_span,practice_digitspan,1,25,PA,T1,standard,telemetry_v4,,,,,,,,,,,wait drift=-23.343 ms
390643.226,timing_drift,digit_span,practice_digitspan,2,25,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-92.677 ms
407750.334,timing_drift,digit_span,practice_digitspan,3,25,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-92.677 ms
