participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,intended_trial_start_ms,actual_trial_start_ms,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,trial_transition,previous_rule,current_rule,practice_pass_flag,cue_to_first_response_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,1,1,practice,color,1779261925,136.562,2026-05-20T15:28:30.558,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,180719.926,180850.276,color,cue_color.wav,颜色,180875.519,500,181572.082,red,boat,red_boat,j,j,1,2721.818,184766.789,practice,,color,1.0,3891.477,correct,correct.wav,184777.313,150.0,185277.313,181319.926,182044.971,184766.789,3000,2721.818,184916.789,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 180719.926, ""actual_onset_global_ms"": 180850.276, ""actual_offset_global_ms"": 180857.599, ""actual_duration_ms"": 7.323}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 180819.926, ""actual_onset_global_ms"": 180875.312, ""actual_offset_global_ms"": 182037.624, ""actual_duration_ms"": 1162.312}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 181319.926, ""actual_onset_global_ms"": 182044.971, ""actual_offset_global_ms"": 184766.789, ""actual_duration_ms"": 2721.818}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 184766.789, ""actual_onset_global_ms"": 184799.821, ""actual_offset_global_ms"": 184941.119, ""actual_duration_ms"": 141.298}]"
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,2,2,practice,color,1779261925,136.562,2026-05-20T15:28:34.825,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,184986.215,185003.319,color,cue_color.wav,颜色,185107.755,500,185804.318,blue,boat,blue_boat,s,s,1,1921.207,188222.89,practice,,color,1.0,3115.289,correct,correct.wav,188231.871,150.0,188731.871,185586.215,186301.683,188222.89,3000,1921.207,188372.89,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 184986.215, ""actual_onset_global_ms"": 185003.319, ""actual_offset_global_ms"": 185097.172, ""actual_duration_ms"": 93.853}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 185086.215, ""actual_onset_global_ms"": 185107.601, ""actual_offset_global_ms"": 186293.064, ""actual_duration_ms"": 1185.463}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 185586.215, ""actual_onset_global_ms"": 186301.683, ""actual_offset_global_ms"": 188222.89, ""actual_duration_ms"": 1921.207}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 188222.89, ""actual_onset_global_ms"": 188251.039, ""actual_offset_global_ms"": 188396.567, ""actual_duration_ms"": 145.528}]"
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,3,3,practice,color,1779261925,136.562,2026-05-20T15:28:38.237,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,188398.565,188421.393,color,cue_color.wav,颜色,188528.135,500,189224.698,blue,rabbit,blue_rabbit,s,s,1,739.973,190470.418,practice,,color,1.0,1942.447,correct,correct.wav,190484.872,150.0,190984.872,188998.565,189730.445,190470.418,3000,739.973,190620.418,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 188398.565, ""actual_onset_global_ms"": 188421.393, ""actual_offset_global_ms"": 188516.355, ""actual_duration_ms"": 94.962}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 188498.565, ""actual_onset_global_ms"": 188527.971, ""actual_offset_global_ms"": 189723.08, ""actual_duration_ms"": 1195.109}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 188998.565, ""actual_onset_global_ms"": 189730.445, ""actual_offset_global_ms"": 190470.418, ""actual_duration_ms"": 739.973}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 190470.418, ""actual_onset_global_ms"": 190500.785, ""actual_offset_global_ms"": 190651.168, ""actual_duration_ms"": 150.383}]"
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,4,4,practice,color,1779261925,136.562,2026-05-20T15:28:40.490,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,190651.526,190672.79,color,cue_color.wav,颜色,190774.572,500,191471.134,red,rabbit,red_rabbit,j,j,1,846.173,192794.693,practice,,color,1.0,2020.276,correct,correct.wav,192810.84,150.0,193310.84,191251.526,191948.52,192794.693,3000,846.173,192944.693,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 190651.526, ""actual_onset_global_ms"": 190672.79, ""actual_offset_global_ms"": 190760.801, ""actual_duration_ms"": 88.011}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 190751.526, ""actual_onset_global_ms"": 190774.417, ""actual_offset_global_ms"": 191940.818, ""actual_duration_ms"": 1166.401}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 191251.526, ""actual_onset_global_ms"": 191948.52, ""actual_offset_global_ms"": 192794.693, ""actual_duration_ms"": 846.173}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 192794.693, ""actual_onset_global_ms"": 192825.143, ""actual_offset_global_ms"": 192972.835, ""actual_duration_ms"": 147.692}]"
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,5,5,practice,color,1779261925,136.562,2026-05-20T15:28:42.813,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,192973.654,192991.038,color,cue_color.wav,颜色,193105.255,500,193801.818,red,boat,red_boat,j,s,0,709.873,194998.207,practice,,color,1.0,1893.159,incorrect,incorrect.wav,195012.938,150.0,195512.938,193573.654,194288.334,194998.207,3000,709.873,195148.207,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 192973.654, ""actual_onset_global_ms"": 192991.038, ""actual_offset_global_ms"": 193094.883, ""actual_duration_ms"": 103.845}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 193073.654, ""actual_onset_global_ms"": 193105.048, ""actual_offset_global_ms"": 194278.19, ""actual_duration_ms"": 1173.142}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 193573.654, ""actual_onset_global_ms"": 194288.334, ""actual_offset_global_ms"": 194998.207, ""actual_duration_ms"": 709.873}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 194998.207, ""actual_onset_global_ms"": 195032.823, ""actual_offset_global_ms"": 195176.383, ""actual_duration_ms"": 143.56}]"
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,6,6,practice,color,1779261925,136.562,2026-05-20T15:28:45.018,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,195179.252,195196.742,color,cue_color.wav,颜色,195306.481,500,196003.043,blue,rabbit,blue_rabbit,s,s,1,1009.304,197480.155,practice,,color,1.0,2173.891,correct,correct.wav,197492.925,150.0,197992.925,195779.252,196470.851,197480.155,3000,1009.304,197630.155,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 195179.252, ""actual_onset_global_ms"": 195196.742, ""actual_offset_global_ms"": 195295.636, ""actual_duration_ms"": 98.894}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 195279.252, ""actual_onset_global_ms"": 195306.264, ""actual_offset_global_ms"": 196463.35, ""actual_duration_ms"": 1157.086}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 195779.252, ""actual_onset_global_ms"": 196470.851, ""actual_offset_global_ms"": 197480.155, ""actual_duration_ms"": 1009.304}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 197480.155, ""actual_onset_global_ms"": 197508.246, ""actual_offset_global_ms"": 197651.026, ""actual_duration_ms"": 142.78}]"
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,1,7,practice,shape,1779261925,136.562,2026-05-20T15:28:59.960,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,210121.615,210147.165,shape,cue_shape.wav,形状,210251.153,500,211017.403,blue,rabbit,blue_rabbit,s,s,1,1298.919,212850.363,practice,,shape,1.0,2599.384,correct,correct.wav,212859.982,150.0,213359.982,210721.615,211551.444,212850.363,3000,1298.919,213000.363,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 210121.615, ""actual_onset_global_ms"": 210147.165, ""actual_offset_global_ms"": 210240.6, ""actual_duration_ms"": 93.435}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 210221.615, ""actual_onset_global_ms"": 210250.979, ""actual_offset_global_ms"": 211542.05, ""actual_duration_ms"": 1291.071}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 210721.615, ""actual_onset_global_ms"": 211551.444, ""actual_offset_global_ms"": 212850.363, ""actual_duration_ms"": 1298.919}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 212850.363, ""actual_onset_global_ms"": 212879.151, ""actual_offset_global_ms"": 213021.482, ""actual_duration_ms"": 142.331}]"
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,2,8,practice,shape,1779261925,136.562,2026-05-20T15:29:02.861,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,213022.332,213048.943,shape,cue_shape.wav,形状,213160.054,500,213926.304,red,boat,red_boat,j,j,1,941.787,215407.38,practice,,shape,1.0,2247.484,correct,correct.wav,215420.741,150.0,215920.741,213622.332,214465.593,215407.38,3000,941.787,215557.38,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 213022.332, ""actual_onset_global_ms"": 213048.943, ""actual_offset_global_ms"": 213147.054, ""actual_duration_ms"": 98.111}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 213122.332, ""actual_onset_global_ms"": 213159.896, ""actual_offset_global_ms"": 214456.429, ""actual_duration_ms"": 1296.533}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 213622.332, ""actual_onset_global_ms"": 214465.593, ""actual_offset_global_ms"": 215407.38, ""actual_duration_ms"": 941.787}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 215407.38, ""actual_onset_global_ms"": 215436.05, ""actual_offset_global_ms"": 215585.499, ""actual_duration_ms"": 149.449}]"
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,3,9,practice,shape,1779261925,136.562,2026-05-20T15:29:05.424,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,215586.246,215607.004,shape,cue_shape.wav,形状,215718.783,500,216485.033,blue,rabbit,blue_rabbit,s,s,1,1020.05,218030.158,practice,,shape,1.0,2311.571,correct,correct.wav,218038.153,150.0,218538.153,216186.246,217010.108,218030.158,3000,1020.05,218180.158,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 215586.246, ""actual_onset_global_ms"": 215607.004, ""actual_offset_global_ms"": 215706.953, ""actual_duration_ms"": 99.949}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 215686.246, ""actual_onset_global_ms"": 215718.587, ""actual_offset_global_ms"": 217000.708, ""actual_duration_ms"": 1282.121}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 216186.246, ""actual_onset_global_ms"": 217010.108, ""actual_offset_global_ms"": 218030.158, ""actual_duration_ms"": 1020.05}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 218030.158, ""actual_onset_global_ms"": 218055.399, ""actual_offset_global_ms"": 218201.517, ""actual_duration_ms"": 146.118}]"
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,4,10,practice,shape,1779261925,136.562,2026-05-20T15:29:08.041,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,218202.994,218219.338,shape,cue_shape.wav,形状,218322.564,500,219088.814,red,rabbit,red_rabbit,s,s,1,721.915,220293.724,practice,,shape,1.0,1971.314,correct,correct.wav,220297.884,150.0,220797.884,218802.994,219571.809,220293.724,3000,721.915,220443.724,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 218202.994, ""actual_onset_global_ms"": 218219.338, ""actual_offset_global_ms"": 218311.639, ""actual_duration_ms"": 92.301}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 218302.994, ""actual_onset_global_ms"": 218322.41, ""actual_offset_global_ms"": 219561.79, ""actual_duration_ms"": 1239.38}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 218802.994, ""actual_onset_global_ms"": 219571.809, ""actual_offset_global_ms"": 220293.724, ""actual_duration_ms"": 721.915}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 220293.724, ""actual_onset_global_ms"": 220318.134, ""actual_offset_global_ms"": 220455.641, ""actual_duration_ms"": 137.507}]"
