participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,1,1,practice,practice_single,1779261925,136.562,2026-05-20T15:26:11.317,0,0,0,1,41478.742,41520.449,practice_single,right,none,>,j,j,1,8507.378,50127.835,correct,,41578.742,41620.457,50127.835,3000,8507.378,50727.835,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 41478.742, ""actual_onset_global_ms"": 41520.449, ""actual_offset_global_ms"": 41603.89, ""actual_duration_ms"": 83.441}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 41578.742, ""actual_onset_global_ms"": 41620.457, ""actual_offset_global_ms"": 50127.835, ""actual_duration_ms"": 8507.378}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 50127.835, ""actual_onset_global_ms"": 50171.526, ""actual_offset_global_ms"": 50767.684, ""actual_duration_ms"": 596.158}]",correct.wav,50150.708,600.0,50750.708
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,2,2,practice,practice_single,1779261925,136.562,2026-05-20T15:26:20.607,0,0,0,1,50768.792,50784.463,practice_single,right,none,>,j,j,1,5468.2,56367.761,correct,,50868.792,50899.561,56367.761,3000,5468.2,56967.761,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 50768.792, ""actual_onset_global_ms"": 50784.463, ""actual_offset_global_ms"": 50888.15, ""actual_duration_ms"": 103.687}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 50868.792, ""actual_onset_global_ms"": 50899.561, ""actual_offset_global_ms"": 56367.761, ""actual_duration_ms"": 5468.2}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 56367.761, ""actual_onset_global_ms"": 56390.416, ""actual_offset_global_ms"": 56985.826, ""actual_duration_ms"": 595.41}]",correct.wav,56375.103,600.0,56975.103
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,3,3,practice,practice_single,1779261925,136.562,2026-05-20T15:26:26.823,0,0,0,1,56984.63,57005.216,practice_single,left,none,<,s,s,1,2055.59,59162.985,correct,,57084.63,57107.395,59162.985,3000,2055.59,59762.985,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 56984.63, ""actual_onset_global_ms"": 57005.216, ""actual_offset_global_ms"": 57093.793, ""actual_duration_ms"": 88.577}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 57084.63, ""actual_onset_global_ms"": 57107.395, ""actual_offset_global_ms"": 59162.985, ""actual_duration_ms"": 2055.59}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 59162.985, ""actual_onset_global_ms"": 59188.7, ""actual_offset_global_ms"": 59781.098, ""actual_duration_ms"": 592.398}]",correct.wav,59168.596,600.0,59768.596
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,4,4,practice,practice_single,1779261925,136.562,2026-05-20T15:26:29.618,0,0,0,1,59779.916,59794.956,practice_single,left,none,<,s,s,1,849.169,60759.384,correct,,59879.916,59910.215,60759.384,3000,849.169,61359.384,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 59779.916, ""actual_onset_global_ms"": 59794.956, ""actual_offset_global_ms"": 59900.473, ""actual_duration_ms"": 105.517}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 59879.916, ""actual_onset_global_ms"": 59910.215, ""actual_offset_global_ms"": 60759.384, ""actual_duration_ms"": 849.169}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 60759.384, ""actual_onset_global_ms"": 60782.622, ""actual_offset_global_ms"": 61377.975, ""actual_duration_ms"": 595.353}]",correct.wav,60766.707,600.0,61366.707
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,5,5,practice,practice_single,1779261925,136.562,2026-05-20T15:26:31.215,0,0,0,1,61376.695,61393.13,practice_single,left,none,<,s,s,1,708.554,62214.647,correct,,61476.695,61506.093,62214.647,3000,708.554,62814.647,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 61376.695, ""actual_onset_global_ms"": 61393.13, ""actual_offset_global_ms"": 61495.265, ""actual_duration_ms"": 102.135}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 61476.695, ""actual_onset_global_ms"": 61506.093, ""actual_offset_global_ms"": 62214.647, ""actual_duration_ms"": 708.554}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 62214.647, ""actual_onset_global_ms"": 62240.061, ""actual_offset_global_ms"": 62834.01, ""actual_duration_ms"": 593.949}]",correct.wav,62224.017,600.0,62824.017
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,6,6,practice,practice_single,1779261925,136.562,2026-05-20T15:26:32.672,0,0,0,1,62833.741,62850.984,practice_single,right,none,>,j,j,1,735.052,63687.853,correct,,62933.741,62952.801,63687.853,3000,735.052,64287.853,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 62833.741, ""actual_onset_global_ms"": 62850.984, ""actual_offset_global_ms"": 62942.068, ""actual_duration_ms"": 91.084}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 62933.741, ""actual_onset_global_ms"": 62952.801, ""actual_offset_global_ms"": 63687.853, ""actual_duration_ms"": 735.052}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 63687.853, ""actual_onset_global_ms"": 63706.318, ""actual_offset_global_ms"": 64304.3, ""actual_duration_ms"": 597.982}]",correct.wav,63691.204,600.0,64291.204
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,1,7,practice,incongruent,1779261925,136.562,2026-05-20T15:26:37.861,0,0,0,1,68022.34,68042.209,incongruent,right,left,<<><<,j,j,1,9717.601,77880.086,correct,1.0,68122.34,68162.485,77880.086,3000,9717.601,78480.086,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 68022.34, ""actual_onset_global_ms"": 68042.209, ""actual_offset_global_ms"": 68147.399, ""actual_duration_ms"": 105.19}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 68122.34, ""actual_onset_global_ms"": 68162.485, ""actual_offset_global_ms"": 77880.086, ""actual_duration_ms"": 9717.601}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 77880.086, ""actual_onset_global_ms"": 77900.814, ""actual_offset_global_ms"": 78506.24, ""actual_duration_ms"": 605.426}]",correct.wav,77884.566,600.0,78484.566
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,2,8,practice,congruent,1779261925,136.562,2026-05-20T15:26:48.343,0,0,0,1,78504.771,78523.237,congruent,left,left,<<<<<,s,s,1,1367.598,80004.905,correct,1.0,78604.771,78637.307,80004.905,3000,1367.598,80604.905,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 78504.771, ""actual_onset_global_ms"": 78523.237, ""actual_offset_global_ms"": 78625.865, ""actual_duration_ms"": 102.628}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 78604.771, ""actual_onset_global_ms"": 78637.307, ""actual_offset_global_ms"": 80004.905, ""actual_duration_ms"": 1367.598}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 80004.905, ""actual_onset_global_ms"": 80031.029, ""actual_offset_global_ms"": 80622.354, ""actual_duration_ms"": 591.325}]",correct.wav,80014.919,600.0,80614.919
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,3,9,practice,congruent,1779261925,136.562,2026-05-20T15:26:50.459,0,0,0,1,80620.809,80637.208,congruent,left,left,<<<<<,s,s,1,951.251,81708.668,correct,1.0,80720.809,80757.417,81708.668,3000,951.251,82308.668,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 80620.809, ""actual_onset_global_ms"": 80637.208, ""actual_offset_global_ms"": 80744.556, ""actual_duration_ms"": 107.348}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 80720.809, ""actual_onset_global_ms"": 80757.417, ""actual_offset_global_ms"": 81708.668, ""actual_duration_ms"": 951.251}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 81708.668, ""actual_onset_global_ms"": 81740.347, ""actual_offset_global_ms"": 82343.891, ""actual_duration_ms"": 603.544}]",correct.wav,81724.252,600.0,82324.252
25,25_T1_20260520_152525,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,4,10,practice,incongruent,1779261925,136.562,2026-05-20T15:26:52.182,0,0,0,1,82343.395,82361.269,incongruent,left,right,>><>>,s,s,1,1275.853,83738.759,correct,1.0,82443.395,82462.906,83738.759,3000,1275.853,84338.759,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 82343.395, ""actual_onset_global_ms"": 82361.269, ""actual_offset_global_ms"": 82451.968, ""actual_duration_ms"": 90.699}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 82443.395, ""actual_onset_global_ms"": 82462.906, ""actual_offset_global_ms"": 83738.759, ""actual_duration_ms"": 1275.853}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 83738.759, ""actual_onset_global_ms"": 83761.314, ""actual_offset_global_ms"": 84361.736, ""actual_duration_ms"": 600.422}]",correct.wav,83742.084,600.0,84342.084
