global_time_ms,event_type,task_name,block_name,trial_index_global,participant_id,group,timepoint,practice_layer,telemetry_version,block_type,event_value,prompt_level,support_level,support_rule,support_trigger_reason,rule_block_error_count,support_phase,support_faded_after_trial,error_type,message
663.871,task_start,flanker,,,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,flanker_task_start
1976.459,timing_drift,flanker,practice_single,1,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-27.952 ms
24599.791,pause,flanker,practice_single,2,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,pause_entered
28616.971,resume,flanker,practice_single,2,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,pause_resumed
226203.176,task_end,flanker,formal_block_2,52,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,flanker_finished
229055.487,task_start,dccs,,,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,dccs_task_start
240682.943,timing_drift,dccs,pre_switch_practice,1,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-87.545 ms
301532.047,timing_drift,dccs,post_switch_practice,7,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-20.366 ms
378627.472,timing_drift,dccs,mixed_formal,25,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-20.387 ms
381006.533,timing_drift,dccs,mixed_formal,26,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-21.392 ms
388142.628,timing_drift,dccs,mixed_formal,29,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-20.256 ms
390945.499,timing_drift,dccs,mixed_formal,30,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-21.360 ms
393466.094,timing_drift,dccs,mixed_formal,31,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-20.385 ms
396058.623,timing_drift,dccs,mixed_formal,32,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-20.003 ms
398928.528,timing_drift,dccs,mixed_formal,33,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-18.745 ms
432068.504,timing_drift,dccs,mixed_formal,40,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-20.665 ms
435047.925,timing_drift,dccs,mixed_formal,41,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-20.349 ms
459586.379,timing_drift,dccs,mixed_formal,48,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-19.826 ms
465475.757,timing_drift,dccs,mixed_formal,50,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-21.120 ms
486497.844,task_end,dccs,mixed_formal,54,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,dccs_finished
490103.781,task_start,digit_span,,,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,digit_span_task_start
510303.869,timing_drift,digit_span,practice_digitspan,1,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-87.545 ms
512482.039,timing_drift,digit_span,practice_digitspan,1,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,wait drift=-87.283 ms
617275.878,timing_drift,digit_span,practice_digitspan,2,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-87.545 ms
647383.232,timing_drift,digit_span,practice_digitspan,3,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-87.545 ms
667086.545,timing_drift,digit_span,practice_digitspan,4,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-87.545 ms
669275.649,timing_drift,digit_span,practice_digitspan,4,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,wait drift=-26.567 ms
683857.163,timing_drift,digit_span,practice_digitspan,5,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-87.545 ms
760731.441,timing_drift,digit_span,practice_digitspan,6,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-87.545 ms
790977.099,timing_drift,digit_span,formal_span_2,7,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-87.545 ms
813580.744,timing_drift,digit_span,formal_span_2,8,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-87.545 ms
829948.24,timing_drift,digit_span,formal_span_3,9,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-87.545 ms
833073.231,timing_drift,digit_span,formal_span_3,9,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,wait drift=-21.615 ms
842911.495,timing_drift,digit_span,formal_span_3,10,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-87.545 ms
876436.156,task_end,digit_span,formal_span_3,10,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,digit_span_finished
878599.781,task_start,change_detection,,,029,Control,T1,standard,telemetry_v4,,,,,,,,,,,change_detection_task_start
