global_time_ms,event_type,task_name,block_name,trial_index_global,participant_id,group,timepoint,practice_layer,telemetry_version,block_type,event_value,prompt_level,support_level,support_rule,support_trigger_reason,rule_block_error_count,support_phase,support_faded_after_trial,error_type,message
8076.839,task_start,flanker,,,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_task_start
13519.499,timing_drift,flanker,practice_single,1,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-56.514 ms
15630.576,timing_drift,flanker,practice_single,1,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-41.397 ms
63571.758,timing_drift,flanker,formal_block_1,24,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-24.709 ms
74898.405,timing_drift,flanker,formal_block_2,35,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-17.817 ms
76887.869,timing_drift,flanker,formal_block_2,37,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-23.520 ms
99350.547,task_end,flanker,formal_block_2,52,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_finished
100614.439,task_start,dccs,,,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,dccs_task_start
105420.176,timing_drift,dccs,pre_switch_practice,1,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-89.333 ms
109042.48,info,dccs,color_adaptive_support,1,030,Control,T1,adaptive,telemetry_v4,practice,criterion_not_reached,1,1,color,criterion_not_reached,1,brief_rule_prompt,,,dccs_support_level_1:color:criterion_not_reached
124384.66,info,dccs,pre_switch_practice,2,030,Control,T1,adaptive,telemetry_v4,practice,recovered,,1,color,criterion_not_reached,,,True,,dccs_support_recovered:color:criterion_not_reached
135482.212,info,dccs,color_adaptive_support,4,030,Control,T1,adaptive,telemetry_v4,practice,color_rule_confusion,2,2,color,color_rule_confusion,2,worked_example,,,dccs_support_level_2:color:color_rule_confusion
135484.587,info,dccs,color_demo,,030,Control,T1,adaptive,telemetry_v4,practice,,,,,,,,,,dccs_demo_start:color:corrective
141240.699,info,dccs,color_demo,,030,Control,T1,adaptive,telemetry_v4,practice,,,,,,,,,,dccs_demo_end:color:corrective
147302.996,info,dccs,pre_switch_practice,5,030,Control,T1,adaptive,telemetry_v4,practice,recovered,,2,color,color_rule_confusion,,,True,,dccs_support_recovered:color:color_rule_confusion
172629.42,info,dccs,color_adaptive_support,7,030,Control,T1,adaptive,telemetry_v4,practice,criterion_not_reached,1,1,color,criterion_not_reached,1,brief_rule_prompt,,,dccs_support_level_1:color:criterion_not_reached
178098.943,info,dccs,pre_switch_practice,8,030,Control,T1,adaptive,telemetry_v4,practice,recovered,,1,color,criterion_not_reached,,,True,,dccs_support_recovered:color:criterion_not_reached
181522.404,info,dccs,color_adaptive_support,9,030,Control,T1,adaptive,telemetry_v4,practice,color_rule_confusion,2,2,color,color_rule_confusion,2,worked_example,,,dccs_support_level_2:color:color_rule_confusion
181525.034,info,dccs,color_demo,,030,Control,T1,adaptive,telemetry_v4,practice,,,,,,,,,,dccs_demo_start:color:corrective
187255.823,info,dccs,color_demo,,030,Control,T1,adaptive,telemetry_v4,practice,,,,,,,,,,dccs_demo_end:color:corrective
187361.219,timing_drift,dccs,pre_switch_practice,10,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-16.240 ms
191314.162,info,dccs,pre_switch_practice,10,030,Control,T1,adaptive,telemetry_v4,practice,recovered,,2,color,color_rule_confusion,,,True,,dccs_support_recovered:color:color_rule_confusion
191425.849,timing_drift,dccs,pre_switch_practice,11,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-20.022 ms
204821.945,timing_drift,dccs,pre_switch_practice,14,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-21.414 ms
225687.925,timing_drift,dccs,post_switch_practice,19,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-21.033 ms
232689.311,timing_drift,dccs,post_switch_practice,20,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-19.286 ms
266116.193,timing_drift,dccs,mixed_formal,25,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-21.634 ms
271614.742,timing_drift,dccs,mixed_formal,27,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-24.238 ms
280077.355,timing_drift,dccs,mixed_formal,30,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-17.547 ms
285079.057,timing_drift,dccs,mixed_formal,32,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-21.779 ms
287979.624,timing_drift,dccs,mixed_formal,33,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-21.597 ms
294959.584,timing_drift,dccs,mixed_formal,36,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-19.282 ms
302563.006,timing_drift,dccs,mixed_formal,39,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-23.604 ms
306980.713,timing_drift,dccs,mixed_formal,41,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-23.660 ms
309245.67,timing_drift,dccs,mixed_formal,42,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-22.804 ms
313703.682,timing_drift,dccs,mixed_formal,44,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-19.289 ms
317973.847,timing_drift,dccs,mixed_formal,46,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-19.911 ms
326969.84,timing_drift,dccs,mixed_formal,50,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-18.858 ms
331602.923,timing_drift,dccs,mixed_formal,52,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-20.203 ms
345519.012,task_end,dccs,mixed_formal,54,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,dccs_finished
348151.88,task_start,digit_span,,,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,digit_span_task_start
369942.65,timing_drift,digit_span,practice_digitspan,1,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-89.333 ms
372183.936,timing_drift,digit_span,practice_digitspan,1,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,wait drift=-22.963 ms
405586.87,timing_drift,digit_span,practice_digitspan,2,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-89.333 ms
407778.098,timing_drift,digit_span,practice_digitspan,2,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,wait drift=-19.556 ms
417068.322,timing_drift,digit_span,practice_digitspan,3,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-89.333 ms
419236.093,timing_drift,digit_span,practice_digitspan,3,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,wait drift=-26.042 ms
428408.649,timing_drift,digit_span,practice_digitspan,4,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-89.333 ms
439926.386,timing_drift,digit_span,practice_digitspan,5,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-89.333 ms
442095.919,timing_drift,digit_span,practice_digitspan,5,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,wait drift=-20.063 ms
450695.774,timing_drift,digit_span,practice_digitspan,6,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-89.333 ms
477151.084,timing_drift,digit_span,formal_span_2,7,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-89.333 ms
479240.203,timing_drift,digit_span,formal_span_2,7,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,wait drift=-22.377 ms
490256.51,timing_drift,digit_span,formal_span_2,8,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-89.333 ms
506660.984,timing_drift,digit_span,formal_span_3,9,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-89.333 ms
523200.08,timing_drift,digit_span,formal_span_3,10,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-89.333 ms
561321.903,task_end,digit_span,formal_span_3,10,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,digit_span_finished
562383.469,task_start,change_detection,,,030,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,change_detection_task_start
