participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,intended_trial_start_ms,actual_trial_start_ms,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,response_correct,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,rt_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,repeated_audio_once_in_practice,stage_records_json,termination_reason,terminal_span_length
030,030_T1_20260518_152835,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,1,1,practice,span_2,1779089315,93.746,2026-05-18T15:34:49.795,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,369713.406,369942.43,2,1,1,"[2, 6]","[""6"", ""2""]","[""6"", ""2""]",62,onscreen_mouse,24531.444,33036.029,1,1,0,0,0,3,[3399.345],,"[369952.372, 371096.199]","[""digit_2.wav"", ""digit_6.wav""]","[{""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 369952.372, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 370452.372}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 371096.199, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 371596.199}]",,369813.406,369952.372,405362.821,2000,35410.449,405362.821,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 369713.406, ""actual_onset_global_ms"": 369942.43, ""actual_offset_global_ms"": 369953.097, ""actual_duration_ms"": 10.667}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 369813.406, ""actual_onset_global_ms"": 369952.372, ""actual_offset_global_ms"": 371596.199, ""actual_duration_ms"": 1643.827}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 371596.199, ""actual_onset_global_ms"": 371717.323, ""actual_offset_global_ms"": 372194.36, ""actual_duration_ms"": 477.037}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 372194.36, ""actual_onset_global_ms"": 372326.598, ""actual_offset_global_ms"": 405362.821, ""actual_duration_ms"": 33036.223}]",,
030,030_T1_20260518_152835,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,2,2,practice,span_2,1779089315,93.746,2026-05-18T15:35:25.452,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,405369.267,405586.76,2,2,1,"[3, 5]","[""5"", ""3""]","[""5"", ""3""]",53,onscreen_mouse,5176.235,9041.27,1,1,0,0,0,3,[2375.841],,"[405593.234, 406692.546]","[""digit_3.wav"", ""digit_5.wav""]","[{""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 405593.234, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 406093.234}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 406692.546, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 407192.546}]",,405469.267,405593.234,416861.484,2000,11268.25,416861.484,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 405369.267, ""actual_onset_global_ms"": 405586.76, ""actual_offset_global_ms"": 405597.427, ""actual_duration_ms"": 10.667}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 405469.267, ""actual_onset_global_ms"": 405593.234, ""actual_offset_global_ms"": 407192.546, ""actual_duration_ms"": 1599.312}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 407192.546, ""actual_onset_global_ms"": 407308.21, ""actual_offset_global_ms"": 407788.654, ""actual_duration_ms"": 480.444}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 407788.654, ""actual_onset_global_ms"": 407820.013, ""actual_offset_global_ms"": 416861.484, ""actual_duration_ms"": 9041.471}]",,
030,030_T1_20260518_152835,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,3,3,practice,span_2,1779089315,93.746,2026-05-18T15:35:36.949,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,416867.061,417068.137,2,3,1,"[8, 7]","[""7"", ""8""]","[""7"", ""8""]",78,onscreen_mouse,5169.485,8919.69,1,1,0,0,0,3,[2123.437],,"[417078.993, 418163.435]","[""digit_8.wav"", ""digit_7.wav""]","[{""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 417078.993, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 417578.993}, {""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 418163.435, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 418663.435}]",,416967.061,417078.993,428192.983,2000,11113.99,428192.983,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 416867.061, ""actual_onset_global_ms"": 417068.137, ""actual_offset_global_ms"": 417078.804, ""actual_duration_ms"": 10.667}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 416967.061, ""actual_onset_global_ms"": 417078.993, ""actual_offset_global_ms"": 418663.435, ""actual_duration_ms"": 1584.442}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 418663.435, ""actual_onset_global_ms"": 418772.698, ""actual_offset_global_ms"": 419246.656, ""actual_duration_ms"": 473.958}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 419246.656, ""actual_onset_global_ms"": 419273.129, ""actual_offset_global_ms"": 428192.983, ""actual_duration_ms"": 8919.854}]",,
030,030_T1_20260518_152835,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,4,4,practice,span_2,1779089315,93.746,2026-05-18T15:35:48.281,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,428198.817,428408.461,2,4,1,"[5, 7]","[""7"", ""5""]","[""7"", ""5""]",75,onscreen_mouse,5313.145,9088.297,1,1,0,0,0,3,[2086.067],,"[428418.444, 429479.606]","[""digit_5.wav"", ""digit_7.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 428418.444, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 428918.444}, {""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 429479.606, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 429979.606}]",,428298.817,428418.444,439706.61,2000,11288.166,439706.61,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 428198.817, ""actual_onset_global_ms"": 428408.461, ""actual_offset_global_ms"": 428419.128, ""actual_duration_ms"": 10.667}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 428298.817, ""actual_onset_global_ms"": 428418.444, ""actual_offset_global_ms"": 429979.606, ""actual_duration_ms"": 1561.162}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 429979.606, ""actual_onset_global_ms"": 430106.08, ""actual_offset_global_ms"": 430594.191, ""actual_duration_ms"": 488.111}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 430594.191, ""actual_onset_global_ms"": 430618.09, ""actual_offset_global_ms"": 439706.61, ""actual_duration_ms"": 9088.52}]",,
030,030_T1_20260518_152835,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,5,5,practice,span_2,1779089315,93.746,2026-05-18T15:35:59.795,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,439712.023,439926.216,2,5,1,"[5, 6]","[""6"", ""5""]","[""6"", ""5""]",65,onscreen_mouse,4840.449,8350.816,1,1,0,0,0,3,[1542.889],,"[439933.917, 441028.698]","[""digit_5.wav"", ""digit_6.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 439933.917, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 440433.917}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 441028.698, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 441528.698}]",,439812.023,439933.917,450482.41,2000,10548.493,450482.41,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 439712.023, ""actual_onset_global_ms"": 439926.216, ""actual_offset_global_ms"": 439936.883, ""actual_duration_ms"": 10.667}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 439812.023, ""actual_onset_global_ms"": 439933.917, ""actual_offset_global_ms"": 441528.698, ""actual_duration_ms"": 1594.781}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 441528.698, ""actual_onset_global_ms"": 441626.509, ""actual_offset_global_ms"": 442106.446, ""actual_duration_ms"": 479.937}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 442106.446, ""actual_onset_global_ms"": 442130.789, ""actual_offset_global_ms"": 450482.41, ""actual_duration_ms"": 8351.621}]",,
030,030_T1_20260518_152835,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,6,6,practice,span_2,1779089315,93.746,2026-05-18T15:36:10.574,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,450491.255,450695.596,2,6,1,"[7, 1]","[""1"", ""7""]","[""1"", ""7""]",17,onscreen_mouse,4630.36,7624.237,1,1,0,0,0,3,[1740.112],,"[450702.759, 451775.893]","[""digit_7.wav"", ""digit_1.wav""]","[{""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 450702.759, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 451202.759}, {""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 451775.893, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 452275.893}]",,450591.255,450702.759,460495.18,2000,9792.421,460495.18,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 450491.255, ""actual_onset_global_ms"": 450695.596, ""actual_offset_global_ms"": 450706.263, ""actual_duration_ms"": 10.667}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 450591.255, ""actual_onset_global_ms"": 450702.759, ""actual_offset_global_ms"": 452275.893, ""actual_duration_ms"": 1573.134}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 452275.893, ""actual_onset_global_ms"": 452356.48, ""actual_offset_global_ms"": 452851.272, ""actual_duration_ms"": 494.792}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 452851.272, ""actual_onset_global_ms"": 452870.741, ""actual_offset_global_ms"": 460495.18, ""actual_duration_ms"": 7624.439}]",,
030,030_T1_20260518_152835,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,1,7,formal,span_2,1779089315,93.746,2026-05-18T15:36:37.038,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,476956.344,477150.879,2,1,1,"[1, 2]","[""2"", ""1""]","[""2"", ""1""]",21,onscreen_mouse,7728.899,10713.824,1,1,0,0,0,3,[1315.824],advance,"[477161.617, 478189.247]","[""digit_1.wav"", ""digit_2.wav""]","[{""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 477161.617, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 477661.617}, {""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 478189.247, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 478689.247}]",,477056.344,477161.617,489999.511,2000,12837.894,489999.511,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 476956.344, ""actual_onset_global_ms"": 477150.879, ""actual_offset_global_ms"": 477161.546, ""actual_duration_ms"": 10.667}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 477056.344, ""actual_onset_global_ms"": 477161.617, ""actual_offset_global_ms"": 478689.247, ""actual_duration_ms"": 1527.63}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 478689.247, ""actual_onset_global_ms"": 478773.127, ""actual_offset_global_ms"": 479250.75, ""actual_duration_ms"": 477.623}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 479250.75, ""actual_onset_global_ms"": 479285.352, ""actual_offset_global_ms"": 489999.511, ""actual_duration_ms"": 10714.159}]",two_failures_in_span,3.0
030,030_T1_20260518_152835,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,2,8,formal,span_2,1779089315,93.746,2026-05-18T15:36:50.117,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,490034.679,490256.31,2,2,1,"[6, 4]","[""4"", ""6""]","[""4"", ""6""]",46,onscreen_mouse,5342.587,13914.588,1,1,0,0,0,3,[6080.22],advance,"[490265.563, 491374.705]","[""digit_6.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 490265.563, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 490765.563}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 491374.705, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 491874.705}]",,490134.679,490265.563,506453.317,2000,16187.754,506453.317,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 490034.679, ""actual_onset_global_ms"": 490256.31, ""actual_offset_global_ms"": 490266.977, ""actual_duration_ms"": 10.667}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 490134.679, ""actual_onset_global_ms"": 490265.563, ""actual_offset_global_ms"": 491874.705, ""actual_duration_ms"": 1609.142}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 491874.705, ""actual_onset_global_ms"": 492026.708, ""actual_offset_global_ms"": 492517.72, ""actual_duration_ms"": 491.012}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 492517.72, ""actual_onset_global_ms"": 492538.514, ""actual_offset_global_ms"": 506453.317, ""actual_duration_ms"": 13914.803}]",two_failures_in_span,3.0
030,030_T1_20260518_152835,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,1,9,formal,span_3,1779089315,93.746,2026-05-18T15:37:06.547,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,506464.34,506660.487,3,1,2,"[6, 4, 3]","[""3"", ""4"", ""6""]","[""4"", ""6"", ""3""]",463,onscreen_mouse,6314.006,13094.156,0,0,0,0,0,4,"[2566.459, 2107.868]",terminate,"[506671.606, 507786.088, 508752.499]","[""digit_6.wav"", ""digit_4.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 506671.606, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 507171.606}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 507786.088, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 508286.088}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 508752.499, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 509252.499}]",,506564.34,506671.606,522999.847,3000,16328.241,522999.847,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 506464.34, ""actual_onset_global_ms"": 506660.487, ""actual_offset_global_ms"": 506671.154, ""actual_duration_ms"": 10.667}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 506564.34, ""actual_onset_global_ms"": 506671.606, ""actual_offset_global_ms"": 509252.499, ""actual_duration_ms"": 2580.893}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 509252.499, ""actual_onset_global_ms"": 509378.138, ""actual_offset_global_ms"": 509880.481, ""actual_duration_ms"": 502.343}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 509880.481, ""actual_onset_global_ms"": 509905.504, ""actual_offset_global_ms"": 522999.847, ""actual_duration_ms"": 13094.343}]",two_failures_in_span,3.0
030,030_T1_20260518_152835,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,2,10,formal,span_3,1779089315,93.746,2026-05-18T15:37:23.089,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,523006.076,523199.864,3,2,2,"[1, 8, 5]","[""5"", ""8"", ""1""]","[""8"", ""1"", ""5""]",815,onscreen_mouse,8208.234,17044.71,0,0,0,0,0,4,"[1777.498, 5514.801]",terminate,"[523207.544, 524304.317, 525265.984]","[""digit_1.wav"", ""digit_8.wav"", ""digit_5.wav""]","[{""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 523207.544, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 523707.544}, {""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 524304.317, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 524804.317}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 525265.984, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 525765.984}]",,523106.076,523207.544,543442.782,3000,20235.238,543442.782,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 523006.076, ""actual_onset_global_ms"": 523199.864, ""actual_offset_global_ms"": 523210.531, ""actual_duration_ms"": 10.667}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 523106.076, ""actual_onset_global_ms"": 523207.544, ""actual_offset_global_ms"": 525765.984, ""actual_duration_ms"": 2558.44}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 525765.984, ""actual_onset_global_ms"": 525876.091, ""actual_offset_global_ms"": 526377.085, ""actual_duration_ms"": 500.994}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 526377.085, ""actual_onset_global_ms"": 526397.892, ""actual_offset_global_ms"": 543442.782, ""actual_duration_ms"": 17044.89}]",two_failures_in_span,3.0
