participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data
34,34_T1_20260518_150317,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,1,13,formal,incongruent,1779087797,838.465,2026-05-18T15:06:22.060,0,0,0,1,182537.617,182543.036,incongruent,left,right,>><>>,s,s,1,3001.919,185648.744,none,,182637.617,182646.825,185648.744,3000,3001.919,185648.744,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 182537.617, ""actual_onset_global_ms"": 182543.036, ""actual_offset_global_ms"": 182642.68, ""actual_duration_ms"": 99.644}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 182637.617, ""actual_onset_global_ms"": 182646.825, ""actual_offset_global_ms"": 185648.744, ""actual_duration_ms"": 3001.919}]",,,,,0,1,0,0,1
34,34_T1_20260518_150317,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,2,14,formal,incongruent,1779087797,838.465,2026-05-18T15:06:25.178,0,0,0,1,185655.466,185659.595,incongruent,right,left,<<><<,j,s,0,1489.145,187252.567,none,,185755.466,185763.422,187252.567,3000,1489.145,187252.567,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 185655.466, ""actual_onset_global_ms"": 185659.595, ""actual_offset_global_ms"": 185756.895, ""actual_duration_ms"": 97.3}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 185755.466, ""actual_onset_global_ms"": 185763.422, ""actual_offset_global_ms"": 187252.567, ""actual_duration_ms"": 1489.145}]",,,,,0,0,0,0,1
34,34_T1_20260518_150317,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,3,15,formal,congruent,1779087797,838.465,2026-05-18T15:06:26.782,0,0,0,1,187260.163,187265.602,congruent,right,right,>>>>>,j,j,1,4274.378,191643.664,none,,187360.163,187369.286,191643.664,3000,4274.378,191643.664,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 187260.163, ""actual_onset_global_ms"": 187265.602, ""actual_offset_global_ms"": 187364.984, ""actual_duration_ms"": 99.382}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 187360.163, ""actual_onset_global_ms"": 187369.286, ""actual_offset_global_ms"": 191643.664, ""actual_duration_ms"": 4274.378}]",,,,,0,1,0,0,1
34,34_T1_20260518_150317,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,4,16,formal,incongruent,1779087797,838.465,2026-05-18T15:06:31.175,0,0,0,1,191651.893,191655.682,incongruent,right,left,<<><<,j,j,1,3267.001,195026.52,none,,191751.893,191759.519,195026.52,3000,3267.001,195026.52,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 191651.893, ""actual_onset_global_ms"": 191655.682, ""actual_offset_global_ms"": 191753.669, ""actual_duration_ms"": 97.987}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 191751.893, ""actual_onset_global_ms"": 191759.519, ""actual_offset_global_ms"": 195026.52, ""actual_duration_ms"": 3267.001}]",,,,,0,1,0,0,1
34,34_T1_20260518_150317,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,5,17,formal,congruent,1779087797,838.465,2026-05-18T15:06:34.557,0,0,0,1,195035.213,195040.03,congruent,left,left,<<<<<,s,s,1,5069.796,200212.583,none,,195135.213,195142.787,200212.583,3000,5069.796,200212.583,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 195035.213, ""actual_onset_global_ms"": 195040.03, ""actual_offset_global_ms"": 195138.262, ""actual_duration_ms"": 98.232}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 195135.213, ""actual_onset_global_ms"": 195142.787, ""actual_offset_global_ms"": 200212.583, ""actual_duration_ms"": 5069.796}]",,,,,0,1,0,0,1
34,34_T1_20260518_150317,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,6,18,formal,congruent,1779087797,838.465,2026-05-18T15:06:39.742,0,0,0,1,200220.084,200224.12,congruent,left,left,<<<<<,s,s,1,731.078,201057.522,none,,200320.084,200326.444,201057.522,3000,731.078,201057.522,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 200220.084, ""actual_onset_global_ms"": 200224.12, ""actual_offset_global_ms"": 200322.502, ""actual_duration_ms"": 98.382}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 200320.084, ""actual_onset_global_ms"": 200326.444, ""actual_offset_global_ms"": 201057.522, ""actual_duration_ms"": 731.078}]",,,,,0,0,1,0,1
34,34_T1_20260518_150317,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,7,19,formal,congruent,1779087797,838.465,2026-05-18T15:06:40.586,0,0,0,1,201063.316,201068.316,congruent,left,left,<<<<<,s,s,1,6369.241,207540.619,none,,201163.316,201171.378,207540.619,3000,6369.241,207540.619,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 201063.316, ""actual_onset_global_ms"": 201068.316, ""actual_offset_global_ms"": 201165.409, ""actual_duration_ms"": 97.093}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 201163.316, ""actual_onset_global_ms"": 201171.378, ""actual_offset_global_ms"": 207540.619, ""actual_duration_ms"": 6369.241}]",,,,,0,1,0,0,1
34,34_T1_20260518_150317,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,8,20,formal,incongruent,1779087797,838.465,2026-05-18T15:06:47.070,0,0,0,1,207547.833,207553.074,incongruent,right,left,<<><<,j,j,1,2822.807,210479.85,none,,207647.833,207657.043,210479.85,3000,2822.807,210479.85,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 207547.833, ""actual_onset_global_ms"": 207553.074, ""actual_offset_global_ms"": 207651.041, ""actual_duration_ms"": 97.967}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 207647.833, ""actual_onset_global_ms"": 207657.043, ""actual_offset_global_ms"": 210479.85, ""actual_duration_ms"": 2822.807}]",,,,,0,0,1,0,1
34,34_T1_20260518_150317,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,9,21,formal,incongruent,1779087797,838.465,2026-05-18T15:06:50.010,0,0,0,1,210488.19,210492.191,incongruent,left,right,>><>>,s,s,1,2373.123,212968.58,none,,210588.19,210595.457,212968.58,3000,2373.123,212968.58,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 210488.19, ""actual_onset_global_ms"": 210492.191, ""actual_offset_global_ms"": 210591.254, ""actual_duration_ms"": 99.063}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 210588.19, ""actual_onset_global_ms"": 210595.457, ""actual_offset_global_ms"": 212968.58, ""actual_duration_ms"": 2373.123}]",,,,,0,0,1,0,1
34,34_T1_20260518_150317,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,10,22,formal,congruent,1779087797,838.465,2026-05-18T15:06:52.499,0,0,0,1,212976.796,212981.947,congruent,right,right,>>>>>,j,j,1,1384.943,214469.422,none,,213076.796,213084.479,214469.422,3000,1384.943,214469.422,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 212976.796, ""actual_onset_global_ms"": 212981.947, ""actual_offset_global_ms"": 213078.554, ""actual_duration_ms"": 96.607}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 213076.796, ""actual_onset_global_ms"": 213084.479, ""actual_offset_global_ms"": 214469.422, ""actual_duration_ms"": 1384.943}]",,,,,0,0,1,0,1
