global_time_ms,event_type,task_name,block_name,trial_index_global,participant_id,group,timepoint,practice_layer,telemetry_version,block_type,event_value,prompt_level,support_level,support_rule,support_trigger_reason,rule_block_error_count,support_phase,support_faded_after_trial,error_type,message
9827.155,task_start,flanker,,,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,flanker_task_start
20660.988,timing_drift,flanker,practice_single,1,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-9.225 ms
46491.452,timing_drift,flanker,practice_single,1,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,feedback drift=-13.197 ms
46598.568,timing_drift,flanker,practice_single,2,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-2.868 ms
48367.235,timing_drift,flanker,practice_single,2,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,feedback drift=-3.744 ms
48474.618,timing_drift,flanker,practice_single,3,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-3.135 ms
54282.735,timing_drift,flanker,practice_single,4,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-1.689 ms
62310.248,timing_drift,flanker,practice_single,4,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,feedback drift=-3.918 ms
65506.347,timing_drift,flanker,practice_single,5,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,feedback drift=-2.862 ms
65611.604,timing_drift,flanker,practice_single,6,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-2.254 ms
80441.554,timing_drift,flanker,practice_full,7,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-2.761 ms
96037.902,timing_drift,flanker,practice_full,8,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-1.754 ms
98571.738,timing_drift,flanker,practice_full,8,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,feedback drift=-2.049 ms
103332.011,timing_drift,flanker,practice_full,10,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,feedback drift=-1.625 ms
105073.116,timing_drift,flanker,practice_full,12,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-2.070 ms
108181.25,timing_drift,flanker,practice_full,12,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,feedback drift=-2.275 ms
119530.95,timing_drift,flanker,formal_block_1,13,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-1.873 ms
122689.561,timing_drift,flanker,formal_block_1,15,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-3.700 ms
126019.368,timing_drift,flanker,formal_block_1,17,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-3.790 ms
127665.077,timing_drift,flanker,formal_block_1,18,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-1.783 ms
128506.334,timing_drift,flanker,formal_block_1,19,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-2.410 ms
129311.785,timing_drift,flanker,formal_block_1,20,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-3.823 ms
132245.444,timing_drift,flanker,formal_block_1,24,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-2.401 ms
134057.308,timing_drift,flanker,formal_block_1,25,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-3.240 ms
137361.31,timing_drift,flanker,formal_block_1,29,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-3.178 ms
138422.363,timing_drift,flanker,formal_block_1,30,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-2.484 ms
139320.566,timing_drift,flanker,formal_block_1,31,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-2.924 ms
140036.718,timing_drift,flanker,formal_block_1,32,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-2.642 ms
141836.778,timing_drift,flanker,formal_block_2,34,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-2.158 ms
148011.025,timing_drift,flanker,formal_block_2,39,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-3.003 ms
148914.371,timing_drift,flanker,formal_block_2,40,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-1.587 ms
151953.673,timing_drift,flanker,formal_block_2,43,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-1.613 ms
154502.639,timing_drift,flanker,formal_block_2,46,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-3.898 ms
160115.72,timing_drift,flanker,formal_block_2,50,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-3.261 ms
162060.536,timing_drift,flanker,formal_block_2,51,35,PA,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-2.680 ms
