participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,trial_transition,previous_rule,current_rule,cue_to_first_response_ms,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,repeated_audio_once_in_practice,termination_reason,terminal_span_length,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,layout_generation_attempts,overlap_check_passed
35,35_T1_20260518_152420,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,1,1,practice,practice_single,1779089060,965.549,2026-05-18T15:24:42.669,0,0,0,1,20554.422,20571.193,practice_single,right,none,>,j,j,1,25214.196,45884.226,correct,,20654.422,20670.03,45884.226,3000,25214.196,46484.226,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 20554.422, ""actual_onset_global_ms"": 20571.193, ""actual_offset_global_ms"": 20661.968, ""actual_duration_ms"": 90.775}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 20654.422, ""actual_onset_global_ms"": 20670.03, ""actual_offset_global_ms"": 45884.226, ""actual_duration_ms"": 25214.196}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 45884.226, ""actual_onset_global_ms"": 45905.621, ""actual_offset_global_ms"": 46492.424, ""actual_duration_ms"": 586.803}]",correct.wav,45890.24,600.0,46490.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35_T1_20260518_152420,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,2,2,practice,practice_single,1779089060,965.549,2026-05-18T15:25:08.614,0,0,0,1,46498.325,46502.403,practice_single,left,none,<,s,j,0,1158.165,47763.273,incorrect,,46598.325,46605.108,47763.273,3000,1158.165,48363.273,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 46498.325, ""actual_onset_global_ms"": 46502.403, ""actual_offset_global_ms"": 46599.535, ""actual_duration_ms"": 97.132}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 46598.325, ""actual_onset_global_ms"": 46605.108, ""actual_offset_global_ms"": 47763.273, ""actual_duration_ms"": 1158.165}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 47763.273, ""actual_onset_global_ms"": 47771.973, ""actual_offset_global_ms"": 48368.229, ""actual_duration_ms"": 596.256}]",incorrect.wav,47765.808,600.0,48365.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35_T1_20260518_152420,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,3,3,practice,practice_single,1779089060,965.549,2026-05-18T15:25:10.487,0,0,0,1,48372.312,48378.739,practice_single,right,none,>,j,s,0,5092.262,53573.969,incorrect,,48472.312,48481.707,53573.969,3000,5092.262,54173.969,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 48372.312, ""actual_onset_global_ms"": 48378.739, ""actual_offset_global_ms"": 48475.604, ""actual_duration_ms"": 96.865}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 48472.312, ""actual_onset_global_ms"": 48481.707, ""actual_offset_global_ms"": 53573.969, ""actual_duration_ms"": 5092.262}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 53573.969, ""actual_onset_global_ms"": 53579.861, ""actual_offset_global_ms"": 54179.201, ""actual_duration_ms"": 599.34}]",incorrect.wav,53576.293,600.0,54176.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35_T1_20260518_152420,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,4,4,practice,practice_single,1779089060,965.549,2026-05-18T15:25:16.297,0,0,0,1,54181.451,54185.401,practice_single,left,none,<,s,s,1,7418.256,61707.408,correct,,54281.451,54289.152,61707.408,3000,7418.256,62307.408,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 54181.451, ""actual_onset_global_ms"": 54185.401, ""actual_offset_global_ms"": 54283.712, ""actual_duration_ms"": 98.311}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 54281.451, ""actual_onset_global_ms"": 54289.152, ""actual_offset_global_ms"": 61707.408, ""actual_duration_ms"": 7418.256}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 61707.408, ""actual_onset_global_ms"": 61715.161, ""actual_offset_global_ms"": 62311.243, ""actual_duration_ms"": 596.082}]",correct.wav,61710.003,600.0,62310.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35_T1_20260518_152420,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,5,5,practice,practice_single,1779089060,965.549,2026-05-18T15:25:24.430,0,0,0,1,62314.833,62319.669,practice_single,left,none,<,s,s,1,2479.129,64902.001,correct,,62414.833,62422.872,64902.001,3000,2479.129,65502.001,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 62314.833, ""actual_onset_global_ms"": 62319.669, ""actual_offset_global_ms"": 62419.611, ""actual_duration_ms"": 99.942}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 62414.833, ""actual_onset_global_ms"": 62422.872, ""actual_offset_global_ms"": 64902.001, ""actual_duration_ms"": 2479.129}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 64902.001, ""actual_onset_global_ms"": 64910.188, ""actual_offset_global_ms"": 65507.326, ""actual_duration_ms"": 597.138}]",correct.wav,64905.975,600.0,65505.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35_T1_20260518_152420,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,6,6,practice,practice_single,1779089060,965.549,2026-05-18T15:25:27.626,0,0,0,1,65510.731,65514.858,practice_single,right,none,>,j,j,1,3440.747,69058.193,correct,,65610.731,65617.446,69058.193,3000,3440.747,69658.193,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 65510.731, ""actual_onset_global_ms"": 65514.858, ""actual_offset_global_ms"": 65612.604, ""actual_duration_ms"": 97.746}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 65610.731, ""actual_onset_global_ms"": 65617.446, ""actual_offset_global_ms"": 69058.193, ""actual_duration_ms"": 3440.747}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 69058.193, ""actual_onset_global_ms"": 69062.972, ""actual_offset_global_ms"": 69661.857, ""actual_duration_ms"": 598.885}]",correct.wav,69058.998,600.0,69658.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35_T1_20260518_152420,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,1,7,practice,congruent,1779089060,965.549,2026-05-18T15:25:42.455,0,0,0,1,80339.697,80345.311,congruent,left,left,<<<<<,s,s,1,14876.383,95325.025,correct,1.0,80439.697,80448.642,95325.025,3000,14876.383,95925.025,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 80339.697, ""actual_onset_global_ms"": 80345.311, ""actual_offset_global_ms"": 80442.55, ""actual_duration_ms"": 97.239}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 80439.697, ""actual_onset_global_ms"": 80448.642, ""actual_offset_global_ms"": 95325.025, ""actual_duration_ms"": 14876.383}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 95325.025, ""actual_onset_global_ms"": 95332.623, ""actual_offset_global_ms"": 95933.169, ""actual_duration_ms"": 600.546}]",correct.wav,95328.891,600.0,95928.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35_T1_20260518_152420,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,2,8,practice,congruent,1779089060,965.549,2026-05-18T15:25:58.050,0,0,0,1,95935.341,95940.652,congruent,left,left,<<<<<,s,s,1,1922.145,97967.151,correct,1.0,96035.341,96045.006,97967.151,3000,1922.145,98567.151,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 95935.341, ""actual_onset_global_ms"": 95940.652, ""actual_offset_global_ms"": 96038.898, ""actual_duration_ms"": 98.246}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 96035.341, ""actual_onset_global_ms"": 96045.006, ""actual_offset_global_ms"": 97967.151, ""actual_duration_ms"": 1922.145}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 97967.151, ""actual_onset_global_ms"": 97974.755, ""actual_offset_global_ms"": 98572.706, ""actual_duration_ms"": 597.951}]",correct.wav,97970.475,600.0,98570.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35_T1_20260518_152420,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,3,9,practice,incongruent,1779089060,965.549,2026-05-18T15:26:00.693,0,0,0,1,98577.692,98581.983,incongruent,left,right,>><>>,s,s,1,1932.911,100620.484,correct,1.0,98677.692,98687.573,100620.484,3000,1932.911,101220.484,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 98577.692, ""actual_onset_global_ms"": 98581.983, ""actual_offset_global_ms"": 98682.539, ""actual_duration_ms"": 100.556}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 98677.692, ""actual_onset_global_ms"": 98687.573, ""actual_offset_global_ms"": 100620.484, ""actual_duration_ms"": 1932.911}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 100620.484, ""actual_onset_global_ms"": 100628.117, ""actual_offset_global_ms"": 101226.689, ""actual_duration_ms"": 598.572}]",correct.wav,100624.517,600.0,101224.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35_T1_20260518_152420,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,4,10,practice,incongruent,1779089060,965.549,2026-05-18T15:26:03.344,0,0,0,1,101228.858,101234.009,incongruent,right,left,<<><<,j,j,1,1388.226,102726.085,correct,1.0,101328.858,101337.859,102726.085,3000,1388.226,103326.085,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 101228.858, ""actual_onset_global_ms"": 101234.009, ""actual_offset_global_ms"": 101333.172, ""actual_duration_ms"": 99.163}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 101328.858, ""actual_onset_global_ms"": 101337.859, ""actual_offset_global_ms"": 102726.085, ""actual_duration_ms"": 1388.226}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 102726.085, ""actual_onset_global_ms"": 102734.635, ""actual_offset_global_ms"": 103333.01, ""actual_duration_ms"": 598.375}]",correct.wav,102730.565,600.0,103330.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
