global_time_ms,event_type,task_name,block_name,trial_index_global,participant_id,group,timepoint,practice_layer,telemetry_version,block_type,event_value,prompt_level,support_level,support_rule,support_trigger_reason,rule_block_error_count,support_phase,support_faded_after_trial,error_type,message
18656.171,task_start,flanker,,,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_task_start
62747.501,timing_drift,flanker,practice_single,1,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-9.509 ms
72540.356,timing_drift,flanker,practice_single,1,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-3.546 ms
72647.228,timing_drift,flanker,practice_single,2,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-1.526 ms
77749.915,timing_drift,flanker,practice_single,3,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-2.881 ms
81603.905,timing_drift,flanker,practice_single,3,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-1.775 ms
109108.461,timing_drift,flanker,practice_full,7,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-3.637 ms
124300.852,timing_drift,flanker,practice_full,8,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-3.500 ms
132766.372,timing_drift,flanker,practice_full,8,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-1.910 ms
132871.299,timing_drift,flanker,practice_full,9,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-2.683 ms
146358.369,timing_drift,flanker,practice_full,10,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-2.369 ms
146464.603,timing_drift,flanker,practice_full,11,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-1.720 ms
152299.6,timing_drift,flanker,practice_full,12,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-1.528 ms
161379.622,timing_drift,flanker,formal_block_1,13,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-2.175 ms
170809.281,timing_drift,flanker,formal_block_1,14,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-2.477 ms
203823.26,timing_drift,flanker,formal_block_1,19,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-1.659 ms
221720.577,timing_drift,flanker,formal_block_1,25,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-2.107 ms
225375.305,timing_drift,flanker,formal_block_1,26,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-2.575 ms
228895.667,timing_drift,flanker,formal_block_1,27,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-1.832 ms
246026.61,timing_drift,flanker,formal_block_1,29,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-3.371 ms
251623.076,timing_drift,flanker,formal_block_1,31,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-3.333 ms
257560.146,timing_drift,flanker,formal_block_1,32,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-1.966 ms
262756.889,timing_drift,flanker,formal_block_2,34,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-1.659 ms
265819.867,timing_drift,flanker,formal_block_2,35,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-1.838 ms
267494.181,timing_drift,flanker,formal_block_2,36,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-3.730 ms
277174.931,timing_drift,flanker,formal_block_2,37,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-2.415 ms
282346.492,timing_drift,flanker,formal_block_2,39,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-1.825 ms
290543.526,timing_drift,flanker,formal_block_2,43,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-1.978 ms
292216.243,timing_drift,flanker,formal_block_2,44,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-3.800 ms
297487.527,timing_drift,flanker,formal_block_2,46,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-1.803 ms
298627.769,timing_drift,flanker,formal_block_2,47,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-2.637 ms
305671.319,timing_drift,flanker,formal_block_2,50,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-3.230 ms
310036.986,timing_drift,flanker,formal_block_2,52,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-2.220 ms
318042.195,task_end,flanker,formal_block_2,52,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_finished
318559.121,task_start,dccs,,,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,dccs_task_start
405056.772,timing_drift,dccs,pre_switch_practice,1,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-44.104 ms
409996.164,timing_drift,dccs,pre_switch_practice,1,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-2.542 ms
416550.664,timing_drift,dccs,pre_switch_practice,3,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-5.316 ms
424003.486,timing_drift,dccs,pre_switch_practice,3,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-4.941 ms
424008.568,info,dccs,color_adaptive_support,3,36,Control,T1,adaptive,telemetry_v4,practice,criterion_not_reached,1,1,color,criterion_not_reached,1,brief_rule_prompt,,,dccs_support_level_1:color:criterion_not_reached
429055.433,info,dccs,pre_switch_practice,4,36,Control,T1,adaptive,telemetry_v4,practice,recovered,,1,color,criterion_not_reached,,,True,,dccs_support_recovered:color:criterion_not_reached
429160.044,timing_drift,dccs,pre_switch_practice,5,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-2.551 ms
433755.937,timing_drift,dccs,pre_switch_practice,5,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-1.752 ms
433864.076,timing_drift,dccs,pre_switch_practice,6,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-1.594 ms
438981.483,timing_drift,dccs,pre_switch_practice,6,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-2.372 ms
451305.978,timing_drift,dccs,post_switch_practice,8,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-3.268 ms
458750.89,timing_drift,dccs,post_switch_practice,8,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-2.826 ms
464878.744,timing_drift,dccs,post_switch_practice,10,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-3.203 ms
468370.556,timing_drift,dccs,post_switch_practice,11,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-4.368 ms
472102.617,timing_drift,dccs,post_switch_practice,11,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-2.045 ms
489063.899,timing_drift,dccs,mixed_formal,15,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-1.484 ms
492932.012,timing_drift,dccs,mixed_formal,16,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-4.105 ms
502884.981,timing_drift,dccs,mixed_formal,18,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-2.407 ms
510550.697,timing_drift,dccs,mixed_formal,20,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-2.412 ms
520488.868,timing_drift,dccs,mixed_formal,22,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-2.235 ms
525585.248,timing_drift,dccs,mixed_formal,23,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-1.743 ms
557853.498,timing_drift,dccs,mixed_formal,27,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-4.799 ms
562910.494,timing_drift,dccs,mixed_formal,28,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-2.190 ms
567913.834,timing_drift,dccs,mixed_formal,29,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-3.187 ms
591382.096,timing_drift,dccs,mixed_formal,34,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-2.180 ms
597365.795,timing_drift,dccs,mixed_formal,35,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-2.774 ms
606322.962,timing_drift,dccs,mixed_formal,37,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-2.044 ms
614661.527,timing_drift,dccs,mixed_formal,39,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-2.199 ms
617812.749,timing_drift,dccs,mixed_formal,40,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-2.451 ms
628278.166,timing_drift,dccs,mixed_formal,42,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-2.703 ms
636299.208,task_end,dccs,mixed_formal,42,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,dccs_finished
637327.03,task_start,digit_span,,,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,digit_span_task_start
680153.015,timing_drift,digit_span,practice_digitspan,1,36,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-19.168 ms
