participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,1,25,formal,congruent,1779260770,961.483,2026-05-20T15:10:12.722,0,0,0,2,239707.254,239713.0,congruent,left,left,<<<<<,s,s,1,2257.895,242074.503,none,,239807.254,239816.608,242074.503,3000,2257.895,242074.503,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 239707.254, ""actual_onset_global_ms"": 239713.0, ""actual_offset_global_ms"": 239810.551, ""actual_duration_ms"": 97.551}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 239807.254, ""actual_onset_global_ms"": 239816.608, ""actual_offset_global_ms"": 242074.503, ""actual_duration_ms"": 2257.895}]",,,,,0,0,1,0,1
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,2,26,formal,incongruent,1779260770,961.483,2026-05-20T15:10:15.097,0,0,0,2,242082.555,242086.272,incongruent,right,left,<<><<,j,j,1,4703.375,246894.534,none,,242182.555,242191.159,246894.534,3000,4703.375,246894.534,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 242082.555, ""actual_onset_global_ms"": 242086.272, ""actual_offset_global_ms"": 242186.842, ""actual_duration_ms"": 100.57}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 242182.555, ""actual_onset_global_ms"": 242191.159, ""actual_offset_global_ms"": 246894.534, ""actual_duration_ms"": 4703.375}]",,,,,0,1,0,0,1
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,3,27,formal,congruent,1779260770,961.483,2026-05-20T15:10:19.916,0,0,0,2,246902.388,246907.376,congruent,right,right,>>>>>,j,j,1,3342.801,250354.489,none,,247002.388,247011.688,250354.489,3000,3342.801,250354.489,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 246902.388, ""actual_onset_global_ms"": 246907.376, ""actual_offset_global_ms"": 247006.991, ""actual_duration_ms"": 99.615}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 247002.388, ""actual_onset_global_ms"": 247011.688, ""actual_offset_global_ms"": 250354.489, ""actual_duration_ms"": 3342.801}]",,,,,0,1,0,0,1
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,4,28,formal,congruent,1779260770,961.483,2026-05-20T15:10:23.373,0,0,0,2,250359.123,250363.414,congruent,left,left,<<<<<,s,s,1,2870.55,253338.461,none,,250459.123,250467.911,253338.461,3000,2870.55,253338.461,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 250359.123, ""actual_onset_global_ms"": 250363.414, ""actual_offset_global_ms"": 250462.617, ""actual_duration_ms"": 99.203}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 250459.123, ""actual_onset_global_ms"": 250467.911, ""actual_offset_global_ms"": 253338.461, ""actual_duration_ms"": 2870.55}]",,,,,0,0,1,0,1
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,5,29,formal,incongruent,1779260770,961.483,2026-05-20T15:10:26.361,0,0,0,2,253347.179,253352.173,incongruent,left,right,>><>>,s,s,1,2561.204,256016.442,none,,253447.179,253455.238,256016.442,3000,2561.204,256016.442,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 253347.179, ""actual_onset_global_ms"": 253352.173, ""actual_offset_global_ms"": 253448.843, ""actual_duration_ms"": 96.67}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 253447.179, ""actual_onset_global_ms"": 253455.238, ""actual_offset_global_ms"": 256016.442, ""actual_duration_ms"": 2561.204}]",,,,,0,0,1,0,1
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,6,30,formal,congruent,1779260770,961.483,2026-05-20T15:10:29.040,0,0,0,2,256025.546,256029.53,congruent,left,left,<<<<<,s,s,1,2162.192,258294.809,none,,256125.546,256132.617,258294.809,3000,2162.192,258294.809,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 256025.546, ""actual_onset_global_ms"": 256029.53, ""actual_offset_global_ms"": 256128.186, ""actual_duration_ms"": 98.656}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 256125.546, ""actual_onset_global_ms"": 256132.617, ""actual_offset_global_ms"": 258294.809, ""actual_duration_ms"": 2162.192}]",,,,,0,0,1,0,1
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,7,31,formal,congruent,1779260770,961.483,2026-05-20T15:10:31.317,0,0,0,2,258302.046,258307.355,congruent,right,right,>>>>>,j,j,1,3087.921,261499.57,none,,258402.046,258411.649,261499.57,3000,3087.921,261499.57,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 258302.046, ""actual_onset_global_ms"": 258307.355, ""actual_offset_global_ms"": 258405.377, ""actual_duration_ms"": 98.022}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 258402.046, ""actual_onset_global_ms"": 258411.649, ""actual_offset_global_ms"": 261499.57, ""actual_duration_ms"": 3087.921}]",,,,,0,1,0,0,1
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,8,32,formal,incongruent,1779260770,961.483,2026-05-20T15:10:34.520,0,0,0,2,261506.157,261510.681,incongruent,left,right,>><>>,s,s,1,3189.475,264804.615,none,,261606.157,261615.14,264804.615,3000,3189.475,264804.615,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 261506.157, ""actual_onset_global_ms"": 261510.681, ""actual_offset_global_ms"": 261607.781, ""actual_duration_ms"": 97.1}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 261606.157, ""actual_onset_global_ms"": 261615.14, ""actual_offset_global_ms"": 264804.615, ""actual_duration_ms"": 3189.475}]",,,,,0,1,0,0,1
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,9,33,formal,incongruent,1779260770,961.483,2026-05-20T15:10:37.827,0,0,0,2,264811.988,264815.669,incongruent,left,right,>><>>,s,s,1,4295.401,269215.683,none,,264911.988,264920.282,269215.683,3000,4295.401,269215.683,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 264811.988, ""actual_onset_global_ms"": 264815.669, ""actual_offset_global_ms"": 264914.581, ""actual_duration_ms"": 98.912}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 264911.988, ""actual_onset_global_ms"": 264920.282, ""actual_offset_global_ms"": 269215.683, ""actual_duration_ms"": 4295.401}]",,,,,0,1,0,0,1
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,10,34,formal,incongruent,1779260770,961.483,2026-05-20T15:10:42.237,0,0,0,2,269223.042,269227.793,incongruent,right,left,<<><<,j,j,1,3051.015,272381.561,none,,269323.042,269330.546,272381.561,3000,3051.015,272381.561,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 269223.042, ""actual_onset_global_ms"": 269227.793, ""actual_offset_global_ms"": 269324.122, ""actual_duration_ms"": 96.329}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 269323.042, ""actual_onset_global_ms"": 269330.546, ""actual_offset_global_ms"": 272381.561, ""actual_duration_ms"": 3051.015}]",,,,,0,1,0,0,1
