participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,trial_transition,previous_rule,current_rule,cue_to_first_response_ms,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,repeated_audio_once_in_practice,termination_reason,terminal_span_length,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,layout_generation_attempts,overlap_check_passed
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,1,1,practice,practice_single,1779260770,961.483,2026-05-20T15:07:10.023,0,0,0,1,57008.113,57030.99,practice_single,right,none,>,j,j,1,8247.734,65373.993,correct,,57108.113,57126.259,65373.993,3000,8247.734,65973.993,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 57008.113, ""actual_onset_global_ms"": 57030.99, ""actual_offset_global_ms"": 57116.527, ""actual_duration_ms"": 85.537}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 57108.113, ""actual_onset_global_ms"": 57126.259, ""actual_offset_global_ms"": 65373.993, ""actual_duration_ms"": 8247.734}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 65373.993, ""actual_onset_global_ms"": 65413.54, ""actual_offset_global_ms"": 66001.129, ""actual_duration_ms"": 587.589}]",correct.wav,65399.821,600.0,65999.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,2,2,practice,practice_single,1779260770,961.483,2026-05-20T15:07:19.022,0,0,0,1,66006.815,66010.875,practice_single,right,none,>,j,j,1,930.819,67044.897,correct,,66106.815,66114.078,67044.897,3000,930.819,67644.897,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 66006.815, ""actual_onset_global_ms"": 66010.875, ""actual_offset_global_ms"": 66108.368, ""actual_duration_ms"": 97.493}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 66106.815, ""actual_onset_global_ms"": 66114.078, ""actual_offset_global_ms"": 67044.897, ""actual_duration_ms"": 930.819}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 67044.897, ""actual_onset_global_ms"": 67050.628, ""actual_offset_global_ms"": 67650.315, ""actual_duration_ms"": 599.687}]",correct.wav,67046.623,600.0,67646.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,3,3,practice,practice_single,1779260770,961.483,2026-05-20T15:07:20.667,0,0,0,1,67652.574,67659.245,practice_single,left,none,<,s,s,1,2419.679,70181.66,correct,,67752.574,67761.981,70181.66,3000,2419.679,70781.66,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 67652.574, ""actual_onset_global_ms"": 67659.245, ""actual_offset_global_ms"": 67756.801, ""actual_duration_ms"": 97.556}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 67752.574, ""actual_onset_global_ms"": 67761.981, ""actual_offset_global_ms"": 70181.66, ""actual_duration_ms"": 2419.679}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 70181.66, ""actual_onset_global_ms"": 70188.092, ""actual_offset_global_ms"": 70786.217, ""actual_duration_ms"": 598.125}]",correct.wav,70184.248,600.0,70784.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,4,4,practice,practice_single,1779260770,961.483,2026-05-20T15:07:23.805,0,0,0,1,70790.022,70794.278,practice_single,right,none,>,j,j,1,3046.662,73943.617,correct,,70890.022,70896.955,73943.617,3000,3046.662,74543.617,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 70790.022, ""actual_onset_global_ms"": 70794.278, ""actual_offset_global_ms"": 70891.525, ""actual_duration_ms"": 97.247}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 70890.022, ""actual_onset_global_ms"": 70896.955, ""actual_offset_global_ms"": 73943.617, ""actual_duration_ms"": 3046.662}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 73943.617, ""actual_onset_global_ms"": 73949.996, ""actual_offset_global_ms"": 74548.627, ""actual_duration_ms"": 598.631}]",correct.wav,73946.384,600.0,74546.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,5,5,practice,practice_single,1779260770,961.483,2026-05-20T15:07:27.565,0,0,0,1,74550.803,74555.736,practice_single,left,none,<,s,s,1,1464.223,76121.879,correct,,74650.803,74657.656,76121.879,3000,1464.223,76721.879,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 74550.803, ""actual_onset_global_ms"": 74555.736, ""actual_offset_global_ms"": 74652.711, ""actual_duration_ms"": 96.975}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 74650.803, ""actual_onset_global_ms"": 74657.656, ""actual_offset_global_ms"": 76121.879, ""actual_duration_ms"": 1464.223}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 76121.879, ""actual_onset_global_ms"": 76128.946, ""actual_offset_global_ms"": 76726.414, ""actual_duration_ms"": 597.468}]",correct.wav,76125.37,600.0,76725.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,6,6,practice,practice_single,1779260770,961.483,2026-05-20T15:07:29.745,0,0,0,1,76730.183,76733.947,practice_single,left,none,<,s,j,0,2570.11,79406.628,incorrect,,76830.183,76836.518,79406.628,3000,2570.11,80006.628,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 76730.183, ""actual_onset_global_ms"": 76733.947, ""actual_offset_global_ms"": 76833.062, ""actual_duration_ms"": 99.115}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 76830.183, ""actual_onset_global_ms"": 76836.518, ""actual_offset_global_ms"": 79406.628, ""actual_duration_ms"": 2570.11}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 79406.628, ""actual_onset_global_ms"": 79416.363, ""actual_offset_global_ms"": 80012.837, ""actual_duration_ms"": 596.474}]",incorrect.wav,79409.268,600.0,80009.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,1,7,practice,incongruent,1779260770,961.483,2026-05-20T15:07:45.595,0,0,0,1,92580.832,92586.166,incongruent,left,right,>><>>,s,s,1,23825.442,116514.524,correct,0.0,92680.832,92689.082,116514.524,3000,23825.442,117114.524,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 92580.832, ""actual_onset_global_ms"": 92586.166, ""actual_offset_global_ms"": 92682.606, ""actual_duration_ms"": 96.44}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 92680.832, ""actual_onset_global_ms"": 92689.082, ""actual_offset_global_ms"": 116514.524, ""actual_duration_ms"": 23825.442}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 116514.524, ""actual_onset_global_ms"": 116523.02, ""actual_offset_global_ms"": 117121.53, ""actual_duration_ms"": 598.51}]",correct.wav,116518.758,600.0,117118.758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,2,8,practice,congruent,1779260770,961.483,2026-05-20T15:08:10.138,0,0,0,1,117123.644,117129.124,congruent,left,left,<<<<<,s,j,0,3912.482,121144.611,incorrect,0.0,117223.644,117232.129,121144.611,3000,3912.482,121744.611,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 117123.644, ""actual_onset_global_ms"": 117129.124, ""actual_offset_global_ms"": 117228.039, ""actual_duration_ms"": 98.915}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 117223.644, ""actual_onset_global_ms"": 117232.129, ""actual_offset_global_ms"": 121144.611, ""actual_duration_ms"": 3912.482}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 121144.611, ""actual_onset_global_ms"": 121151.456, ""actual_offset_global_ms"": 121749.109, ""actual_duration_ms"": 597.653}]",incorrect.wav,121147.15,600.0,121747.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,3,9,practice,congruent,1779260770,961.483,2026-05-20T15:08:14.767,0,0,0,1,121752.803,121756.513,congruent,right,right,>>>>>,j,s,0,4253.569,126114.571,incorrect,0.0,121852.803,121861.002,126114.571,3000,4253.569,126714.571,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 121752.803, ""actual_onset_global_ms"": 121756.513, ""actual_offset_global_ms"": 121856.46, ""actual_duration_ms"": 99.947}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 121852.803, ""actual_onset_global_ms"": 121861.002, ""actual_offset_global_ms"": 126114.571, ""actual_duration_ms"": 4253.569}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 126114.571, ""actual_onset_global_ms"": 126122.666, ""actual_offset_global_ms"": 126721.263, ""actual_duration_ms"": 598.597}]",incorrect.wav,126118.703,600.0,126718.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,4,10,practice,incongruent,1779260770,961.483,2026-05-20T15:08:19.738,0,0,0,1,126723.51,126729.203,incongruent,right,left,<<><<,j,j,1,16892.106,143724.764,correct,0.0,126823.51,126832.658,143724.764,3000,16892.106,144324.764,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 126723.51, ""actual_onset_global_ms"": 126729.203, ""actual_offset_global_ms"": 126828.343, ""actual_duration_ms"": 99.14}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 126823.51, ""actual_onset_global_ms"": 126832.658, ""actual_offset_global_ms"": 143724.764, ""actual_duration_ms"": 16892.106}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 143724.764, ""actual_onset_global_ms"": 143731.197, ""actual_offset_global_ms"": 144331.144, ""actual_duration_ms"": 599.947}]",correct.wav,143727.313,600.0,144327.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
