participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,intended_trial_start_ms,actual_trial_start_ms,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,response_correct,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,rt_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,repeated_audio_once_in_practice,stage_records_json,termination_reason,terminal_span_length
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,1,1,practice,span_2,1779260770,961.483,2026-05-20T15:20:05.687,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,832672.002,832761.608,2,1,1,"[3, 4]","[""4"", ""3""]","[""4"", ""3""]",43,onscreen_mouse,9627.203,11245.615,1,1,0,0,0,3,[616.478],,"[832843.279, 833861.403]","[""digit_3.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 832843.279, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 833343.279}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 833861.403, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 834361.403}]",,832772.002,832843.279,846173.324,2000,13330.045,846173.324,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 832672.002, ""actual_onset_global_ms"": 832761.608, ""actual_offset_global_ms"": 832842.172, ""actual_duration_ms"": 80.564}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 832772.002, ""actual_onset_global_ms"": 832843.279, ""actual_offset_global_ms"": 834361.403, ""actual_duration_ms"": 1518.124}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 834361.403, ""actual_onset_global_ms"": 834403.711, ""actual_offset_global_ms"": 834893.879, ""actual_duration_ms"": 490.168}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 834893.879, ""actual_onset_global_ms"": 834927.614, ""actual_offset_global_ms"": 846173.324, ""actual_duration_ms"": 11245.71}]",,
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,2,2,practice,span_2,1779260770,961.483,2026-05-20T15:20:19.192,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,846177.04,846260.805,2,2,1,"[5, 4]","[""4"", ""5""]","[""4"", ""5""]",45,onscreen_mouse,8258.006,9481.446,1,1,0,0,0,3,[526.181],,"[846342.334, 847354.692]","[""digit_5.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 846342.334, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 846842.334}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 847354.692, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 847854.692}]",,846277.04,846342.334,857873.541,2000,11531.207,857873.541,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 846177.04, ""actual_onset_global_ms"": 846260.805, ""actual_offset_global_ms"": 846341.478, ""actual_duration_ms"": 80.673}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 846277.04, ""actual_onset_global_ms"": 846342.334, ""actual_offset_global_ms"": 847854.692, ""actual_duration_ms"": 1512.358}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 847854.692, ""actual_onset_global_ms"": 847887.52, ""actual_offset_global_ms"": 848383.953, ""actual_duration_ms"": 496.433}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 848383.953, ""actual_onset_global_ms"": 848391.98, ""actual_offset_global_ms"": 857873.541, ""actual_duration_ms"": 9481.561}]",,
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,3,3,practice,span_2,1779260770,961.483,2026-05-20T15:20:30.891,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,857877.002,857956.672,2,3,1,"[2, 3]","[""3"", ""2""]","[""3"", ""2""]",32,onscreen_mouse,9913.529,11175.426,1,1,0,0,0,3,[573.317],,"[858037.073, 859077.23]","[""digit_2.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 858037.073, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 858537.073}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 859077.23, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 859577.23}]",,857977.002,858037.073,871284.353,2000,13247.28,871284.353,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 857877.002, ""actual_onset_global_ms"": 857956.672, ""actual_offset_global_ms"": 858036.19, ""actual_duration_ms"": 79.518}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 857977.002, ""actual_onset_global_ms"": 858037.073, ""actual_offset_global_ms"": 859577.23, ""actual_duration_ms"": 1540.157}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 859577.23, ""actual_onset_global_ms"": 859605.911, ""actual_offset_global_ms"": 860100.735, ""actual_duration_ms"": 494.824}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 860100.735, ""actual_onset_global_ms"": 860108.835, ""actual_offset_global_ms"": 871284.353, ""actual_duration_ms"": 11175.518}]",,
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,4,4,practice,span_2,1779260770,961.483,2026-05-20T15:20:44.302,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,871287.631,871366.076,2,4,1,"[4, 7]","[""7"", ""4""]","[""7"", ""4""]",74,onscreen_mouse,2869.947,3813.722,1,1,0,0,0,3,[368.374],,"[880254.377, 881289.1]","[""digit_4.wav"", ""digit_7.wav""]","[{""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 880254.377, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 880754.377}, {""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 881289.1, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 881789.1}]",,871387.631,871445.454,886132.229,2000,14686.775,886132.229,1,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 871287.631, ""actual_onset_global_ms"": 871366.076, ""actual_offset_global_ms"": 871444.607, ""actual_duration_ms"": 78.531}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 871387.631, ""actual_onset_global_ms"": 871445.454, ""actual_offset_global_ms"": 872968.842, ""actual_duration_ms"": 1523.388}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 872968.842, ""actual_onset_global_ms"": 873004.286, ""actual_offset_global_ms"": 873501.868, ""actual_duration_ms"": 497.582}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 873501.868, ""actual_onset_global_ms"": 873509.728, ""actual_offset_global_ms"": 879365.391, ""actual_duration_ms"": 5855.663}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 880254.3, ""actual_onset_global_ms"": 880254.377, ""actual_offset_global_ms"": 881789.1, ""actual_duration_ms"": 1534.723}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 881789.1, ""actual_onset_global_ms"": 881816.0, ""actual_offset_global_ms"": 882310.047, ""actual_duration_ms"": 494.047}]",,
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,5,5,practice,span_2,1779260770,961.483,2026-05-20T15:20:59.150,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,886136.057,886216.411,2,5,1,"[9, 8]","[""8"", ""9""]","[""8"", ""9""]",89,onscreen_mouse,2580.53,3335.151,1,1,0,0,0,3,[330.955],,"[886297.417, 887306.695]","[""digit_9.wav"", ""digit_8.wav""]","[{""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 886297.417, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 886797.417}, {""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 887306.695, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 887806.695}]",,886236.057,886297.417,891673.468,2000,5376.051,891673.468,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 886136.057, ""actual_onset_global_ms"": 886216.411, ""actual_offset_global_ms"": 886296.133, ""actual_duration_ms"": 79.722}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 886236.057, ""actual_onset_global_ms"": 886297.417, ""actual_offset_global_ms"": 887806.695, ""actual_duration_ms"": 1509.278}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 887806.695, ""actual_onset_global_ms"": 887835.687, ""actual_offset_global_ms"": 888330.031, ""actual_duration_ms"": 494.344}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 888330.031, ""actual_onset_global_ms"": 888338.198, ""actual_offset_global_ms"": 891673.468, ""actual_duration_ms"": 3335.27}]",,
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,6,6,practice,span_2,1779260770,961.483,2026-05-20T15:21:04.691,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,891676.953,891755.583,2,6,1,"[8, 6]","[""6"", ""8""]","[""6"", ""8""]",68,onscreen_mouse,2031.814,2906.621,1,1,0,0,0,3,[452.759],,"[891837.103, 892852.216]","[""digit_8.wav"", ""digit_6.wav""]","[{""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 891837.103, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 892337.103}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 892852.216, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 893352.216}]",,891776.953,891837.103,896792.801,2000,4955.698,896792.801,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 891676.953, ""actual_onset_global_ms"": 891755.583, ""actual_offset_global_ms"": 891836.047, ""actual_duration_ms"": 80.464}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 891776.953, ""actual_onset_global_ms"": 891837.103, ""actual_offset_global_ms"": 893352.216, ""actual_duration_ms"": 1515.113}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 893352.216, ""actual_onset_global_ms"": 893379.926, ""actual_offset_global_ms"": 893880.424, ""actual_duration_ms"": 500.498}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 893880.424, ""actual_onset_global_ms"": 893886.075, ""actual_offset_global_ms"": 896792.801, ""actual_duration_ms"": 2906.726}]",,
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,1,7,formal,span_2,1779260770,961.483,2026-05-20T15:21:22.893,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,909878.341,909959.477,2,1,1,"[9, 4]","[""4"", ""9""]","[""4"", ""9""]",49,onscreen_mouse,2309.997,3458.708,1,1,0,0,0,3,[439.587],advance,"[910039.577, 911043.222]","[""digit_9.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 910039.577, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 910539.577}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 911043.222, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 911543.222}]",,909978.341,910039.577,915534.535,2000,5494.958,915534.535,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 909878.341, ""actual_onset_global_ms"": 909959.477, ""actual_offset_global_ms"": 910038.463, ""actual_duration_ms"": 78.986}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 909978.341, ""actual_onset_global_ms"": 910039.577, ""actual_offset_global_ms"": 911543.222, ""actual_duration_ms"": 1503.645}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 911543.222, ""actual_onset_global_ms"": 911571.107, ""actual_offset_global_ms"": 912067.446, ""actual_duration_ms"": 496.339}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 912067.446, ""actual_onset_global_ms"": 912075.754, ""actual_offset_global_ms"": 915534.535, ""actual_duration_ms"": 3458.781}]",two_failures_in_span,4.0
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,2,8,formal,span_2,1779260770,961.483,2026-05-20T15:21:28.552,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,915537.966,915660.514,2,2,1,"[3, 1]","[""1"", ""3""]","[""3"", ""6""]",36,onscreen_mouse,10301.348,12300.742,0,0,0,0,0,3,[543.156],advance,"[915662.463, 916663.27]","[""digit_3.wav"", ""digit_1.wav""]","[{""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 915662.463, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 916162.463}, {""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 916663.27, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 917163.27}]",,915637.966,915662.463,929999.917,2000,14337.454,929999.917,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 915537.966, ""actual_onset_global_ms"": 915660.514, ""actual_offset_global_ms"": 915661.554, ""actual_duration_ms"": 1.04}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 915637.966, ""actual_onset_global_ms"": 915662.463, ""actual_offset_global_ms"": 917163.27, ""actual_duration_ms"": 1500.807}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 917163.27, ""actual_onset_global_ms"": 917193.862, ""actual_offset_global_ms"": 917693.353, ""actual_duration_ms"": 499.491}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 917693.353, ""actual_onset_global_ms"": 917699.022, ""actual_offset_global_ms"": 929999.917, ""actual_duration_ms"": 12300.895}]",two_failures_in_span,4.0
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,1,9,formal,span_3,1779260770,961.483,2026-05-20T15:21:43.020,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,930006.386,930088.481,3,1,2,"[5, 4, 6]","[""6"", ""4"", ""5""]","[""6"", ""4"", ""5""]",645,onscreen_mouse,3120.901,13878.82,1,1,0,0,0,4,"[993.839, 7843.001]",advance,"[930170.029, 931205.938, 932197.524]","[""digit_5.wav"", ""digit_4.wav"", ""digit_6.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 930170.029, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 930670.029}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 931205.938, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 931705.938}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 932197.524, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 932697.524}]",,930106.386,930170.029,947101.59,3000,16931.561,947101.59,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 930006.386, ""actual_onset_global_ms"": 930088.481, ""actual_offset_global_ms"": 930169.01, ""actual_duration_ms"": 80.529}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 930106.386, ""actual_onset_global_ms"": 930170.029, ""actual_offset_global_ms"": 932697.524, ""actual_duration_ms"": 2527.495}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 932697.524, ""actual_onset_global_ms"": 932720.015, ""actual_offset_global_ms"": 933215.005, ""actual_duration_ms"": 494.99}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 933215.005, ""actual_onset_global_ms"": 933222.693, ""actual_offset_global_ms"": 947101.59, ""actual_duration_ms"": 13878.897}]",two_failures_in_span,4.0
35,35_T1_20260520_150610,PA,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,2,10,formal,span_3,1779260770,961.483,2026-05-20T15:22:00.120,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,947105.509,947185.423,3,2,2,"[9, 5, 4]","[""4"", ""5"", ""9""]","[""4"", ""5"", ""9""]",459,onscreen_mouse,4652.846,15568.226,1,1,0,0,0,4,"[864.811, 1023.71]",advance,"[947267.221, 948286.339, 949282.56]","[""digit_9.wav"", ""digit_5.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 947267.221, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 947767.221}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 948286.339, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 948786.339}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 949282.56, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 949782.56}]",,947205.509,947267.221,965899.559,3000,18632.338,965899.559,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 947105.509, ""actual_onset_global_ms"": 947185.423, ""actual_offset_global_ms"": 947266.349, ""actual_duration_ms"": 80.926}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 947205.509, ""actual_onset_global_ms"": 947267.221, ""actual_offset_global_ms"": 949782.56, ""actual_duration_ms"": 2515.339}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 949782.56, ""actual_onset_global_ms"": 949824.096, ""actual_offset_global_ms"": 950321.852, ""actual_duration_ms"": 497.756}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 950321.852, ""actual_onset_global_ms"": 950331.222, ""actual_offset_global_ms"": 965899.559, ""actual_duration_ms"": 15568.337}]",two_failures_in_span,4.0
