participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,intended_trial_start_ms,actual_trial_start_ms,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,response_correct,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,rt_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,repeated_audio_once_in_practice,stage_records_json,trigger_trial_index,termination_reason,terminal_span_length
36,36_T1_20260520_153334,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,1,1,practice,span_2,1779262414,957.492,2026-05-20T15:44:55.373,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,679212.291,679299.273,2,1,1,"[1, 6]","[""6"", ""1""]","[""6"", ""1""]",61,onscreen_mouse,12100.716,13454.23,1,1,0,0,0,3,[447.613],,"[679379.086, 680382.058]","[""digit_1.wav"", ""digit_6.wav""]","[{""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 679379.086, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 679879.086}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 680382.058, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 680882.058}]",,679312.291,679379.086,694889.479,2000,15510.393,694889.479,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 679212.291, ""actual_onset_global_ms"": 679299.273, ""actual_offset_global_ms"": 679377.967, ""actual_duration_ms"": 78.694}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 679312.291, ""actual_onset_global_ms"": 679379.086, ""actual_offset_global_ms"": 680882.058, ""actual_duration_ms"": 1502.972}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 680882.058, ""actual_onset_global_ms"": 680919.78, ""actual_offset_global_ms"": 681407.026, ""actual_duration_ms"": 487.246}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 681407.026, ""actual_onset_global_ms"": 681435.176, ""actual_offset_global_ms"": 694889.479, ""actual_duration_ms"": 13454.303}]",,,
36,36_T1_20260520_153334,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,2,2,practice,span_2,1779262414,957.492,2026-05-20T15:45:11.054,0,0,0,1,0,none,digit_order_error,2.0,1,1,brief_rule_prompt,900.0,0,0,0,sequence_transformation,0,0,0,0,694893.159,694974.324,2,2,1,"[4, 8]","[""8"", ""4""]","[""8"", ""3""]",83,onscreen_mouse,11377.843,12689.181,0,0,0,0,0,3,[605.56],,"[695053.835, 696058.272]","[""digit_4.wav"", ""digit_8.wav""]","[{""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 695053.835, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 695553.835}, {""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 696058.272, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 696558.272}]",,694993.159,695053.835,709784.15,2000,14730.315,709784.15,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 694893.159, ""actual_onset_global_ms"": 694974.324, ""actual_offset_global_ms"": 695052.588, ""actual_duration_ms"": 78.264}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 694993.159, ""actual_onset_global_ms"": 695053.835, ""actual_offset_global_ms"": 696558.272, ""actual_duration_ms"": 1504.437}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 696558.272, ""actual_onset_global_ms"": 696592.728, ""actual_offset_global_ms"": 697087.04, ""actual_duration_ms"": 494.312}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 697087.04, ""actual_onset_global_ms"": 697094.808, ""actual_offset_global_ms"": 709784.15, ""actual_duration_ms"": 12689.342}]",2.0,,
36,36_T1_20260520_153334,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,3,3,practice,span_2,1779262414,957.492,2026-05-20T15:45:27.254,0,0,0,1,0,none,digit_order_error,2.0,1,1,brief_rule_prompt,900.0,0,1,0,sequence_transformation,0,0,0,1,711093.973,711174.12,2,3,1,"[2, 6]","[""6"", ""2""]","[""6"", ""2""]",62,onscreen_mouse,9132.162,10192.23,1,1,0,0,0,3,[457.125],,"[711258.562, 712259.001]","[""digit_2.wav"", ""digit_6.wav""]","[{""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 711258.562, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 711758.562}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 712259.001, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 712759.001}]",,711193.973,711258.562,723486.244,2000,12227.682,723486.244,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 711093.973, ""actual_onset_global_ms"": 711174.12, ""actual_offset_global_ms"": 711257.322, ""actual_duration_ms"": 83.202}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 711193.973, ""actual_onset_global_ms"": 711258.562, ""actual_offset_global_ms"": 712759.001, ""actual_duration_ms"": 1500.439}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 712759.001, ""actual_onset_global_ms"": 712788.538, ""actual_offset_global_ms"": 713287.655, ""actual_duration_ms"": 499.117}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 713287.655, ""actual_onset_global_ms"": 713293.917, ""actual_offset_global_ms"": 723486.244, ""actual_duration_ms"": 10192.327}]",2.0,,
36,36_T1_20260520_153334,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,4,4,practice,span_2,1779262414,957.492,2026-05-20T15:45:39.652,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,723491.402,723571.422,2,4,1,"[9, 4]","[""4"", ""9""]","[""4"", ""9""]",49,onscreen_mouse,6742.735,7795.601,1,1,0,0,0,3,[559.819],,"[723653.308, 724655.115]","[""digit_9.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 723653.308, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 724153.308}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 724655.115, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 725155.115}]",,723591.402,723653.308,733484.485,2000,9831.177,733484.485,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 723491.402, ""actual_onset_global_ms"": 723571.422, ""actual_offset_global_ms"": 723651.923, ""actual_duration_ms"": 80.501}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 723591.402, ""actual_onset_global_ms"": 723653.308, ""actual_offset_global_ms"": 725155.115, ""actual_duration_ms"": 1501.807}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 725155.115, ""actual_onset_global_ms"": 725184.378, ""actual_offset_global_ms"": 725683.212, ""actual_duration_ms"": 498.834}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 725683.212, ""actual_onset_global_ms"": 725688.78, ""actual_offset_global_ms"": 733484.485, ""actual_duration_ms"": 7795.705}]",,,
36,36_T1_20260520_153334,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,5,5,practice,span_2,1779262414,957.492,2026-05-20T15:45:49.649,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,733487.964,733567.13,2,5,1,"[5, 7]","[""7"", ""5""]","[""7"", ""5""]",75,onscreen_mouse,37116.335,41395.312,1,1,0,0,0,3,[1884.084],,"[733649.714, 734686.083]","[""digit_5.wav"", ""digit_7.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 733649.714, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 734149.714}, {""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 734686.083, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 735186.083}]",,733587.964,733649.714,777113.629,2000,43463.915,777113.629,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 733487.964, ""actual_onset_global_ms"": 733567.13, ""actual_offset_global_ms"": 733648.29, ""actual_duration_ms"": 81.16}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 733587.964, ""actual_onset_global_ms"": 733649.714, ""actual_offset_global_ms"": 735186.083, ""actual_duration_ms"": 1536.369}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 735186.083, ""actual_onset_global_ms"": 735215.493, ""actual_offset_global_ms"": 735709.804, ""actual_duration_ms"": 494.311}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 735709.804, ""actual_onset_global_ms"": 735718.234, ""actual_offset_global_ms"": 777113.629, ""actual_duration_ms"": 41395.395}]",,,
36,36_T1_20260520_153334,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,6,6,practice,span_2,1779262414,957.492,2026-05-20T15:46:33.279,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,777117.648,777197.786,2,6,1,"[4, 5]","[""5"", ""4""]","[""5"", ""4""]",54,onscreen_mouse,10978.221,11889.654,1,1,0,0,0,3,[375.12],,"[777278.462, 778290.427]","[""digit_4.wav"", ""digit_5.wav""]","[{""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 777278.462, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 777778.462}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 778290.427, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 778790.427}]",,777217.648,777278.462,791218.092,2000,13939.63,791218.092,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 777117.648, ""actual_onset_global_ms"": 777197.786, ""actual_offset_global_ms"": 777277.629, ""actual_duration_ms"": 79.843}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 777217.648, ""actual_onset_global_ms"": 777278.462, ""actual_offset_global_ms"": 778790.427, ""actual_duration_ms"": 1511.965}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 778790.427, ""actual_onset_global_ms"": 778826.658, ""actual_offset_global_ms"": 779320.3, ""actual_duration_ms"": 493.642}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 779320.3, ""actual_onset_global_ms"": 779328.34, ""actual_offset_global_ms"": 791218.092, ""actual_duration_ms"": 11889.752}]",,,
36,36_T1_20260520_153334,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,1,7,formal,span_2,1779262414,957.492,2026-05-20T15:47:05.388,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,809227.44,809310.561,2,1,1,"[9, 4]","[""4"", ""9""]","[""4"", ""9""]",49,onscreen_mouse,3492.999,4263.288,1,1,0,0,0,3,[499.571],advance,"[809392.065, 810405.374]","[""digit_9.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 809392.065, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 809892.065}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 810405.374, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 810905.374}]",,809327.44,809392.065,815705.625,2000,6313.56,815705.625,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 809227.44, ""actual_onset_global_ms"": 809310.561, ""actual_offset_global_ms"": 809391.142, ""actual_duration_ms"": 80.581}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 809327.44, ""actual_onset_global_ms"": 809392.065, ""actual_offset_global_ms"": 810905.374, ""actual_duration_ms"": 1513.309}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 810905.374, ""actual_onset_global_ms"": 810936.358, ""actual_offset_global_ms"": 811435.599, ""actual_duration_ms"": 499.241}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 811435.599, ""actual_onset_global_ms"": 811442.207, ""actual_offset_global_ms"": 815705.625, ""actual_duration_ms"": 4263.418}]",,two_failures_in_span,5.0
36,36_T1_20260520_153334,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,2,8,formal,span_2,1779262414,957.492,2026-05-20T15:47:11.870,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,815709.607,815789.116,2,2,1,"[4, 9]","[""9"", ""4""]","[""9"", ""4""]",94,onscreen_mouse,2496.879,3329.49,1,1,0,0,0,3,[337.899],advance,"[815870.832, 816876.211]","[""digit_4.wav"", ""digit_9.wav""]","[{""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 815870.832, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 816370.832}, {""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 816876.211, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 817376.211}]",,815809.607,815870.832,821237.995,2000,5367.163,821237.995,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 815709.607, ""actual_onset_global_ms"": 815789.116, ""actual_offset_global_ms"": 815869.692, ""actual_duration_ms"": 80.576}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 815809.607, ""actual_onset_global_ms"": 815870.832, ""actual_offset_global_ms"": 817376.211, ""actual_duration_ms"": 1505.379}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 817376.211, ""actual_onset_global_ms"": 817403.294, ""actual_offset_global_ms"": 817900.365, ""actual_duration_ms"": 497.071}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 817900.365, ""actual_onset_global_ms"": 817908.394, ""actual_offset_global_ms"": 821237.995, ""actual_duration_ms"": 3329.601}]",,two_failures_in_span,5.0
36,36_T1_20260520_153334,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,1,9,formal,span_3,1779262414,957.492,2026-05-20T15:47:17.405,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,821244.876,821323.97,3,1,2,"[5, 3, 6]","[""6"", ""3"", ""5""]","[""6"", ""3"", ""1""]",631,onscreen_mouse,4715.551,22217.448,0,0,0,0,0,4,"[490.691, 14965.19]",advance,"[821408.148, 822413.967, 823415.69]","[""digit_5.wav"", ""digit_3.wav"", ""digit_6.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 821408.148, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 821908.148}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 822413.967, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 822913.967}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 823415.69, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 823915.69}]",,821344.876,821408.148,846665.41,3000,25257.262,846665.41,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 821244.876, ""actual_onset_global_ms"": 821323.97, ""actual_offset_global_ms"": 821406.998, ""actual_duration_ms"": 83.028}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 821344.876, ""actual_onset_global_ms"": 821408.148, ""actual_offset_global_ms"": 823915.69, ""actual_duration_ms"": 2507.542}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 823915.69, ""actual_onset_global_ms"": 823945.781, ""actual_offset_global_ms"": 824439.814, ""actual_duration_ms"": 494.033}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 824439.814, ""actual_onset_global_ms"": 824447.889, ""actual_offset_global_ms"": 846665.41, ""actual_duration_ms"": 22217.521}]",,two_failures_in_span,5.0
36,36_T1_20260520_153334,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,2,10,formal,span_3,1779262414,957.492,2026-05-20T15:47:42.830,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,846669.353,846747.922,3,2,2,"[3, 4, 8]","[""8"", ""4"", ""3""]","[""8"", ""4"", ""3""]",843,onscreen_mouse,15356.629,17217.489,1,1,0,0,0,4,"[316.568, 422.092]",advance,"[846828.338, 847870.053, 848858.993]","[""digit_3.wav"", ""digit_4.wav"", ""digit_8.wav""]","[{""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 846828.338, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 847328.338}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 847870.053, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 848370.053}, {""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 848858.993, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 849358.993}]",,846769.353,846828.338,867111.926,3000,20283.588,867111.926,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 846669.353, ""actual_onset_global_ms"": 846747.922, ""actual_offset_global_ms"": 846827.219, ""actual_duration_ms"": 79.297}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 846769.353, ""actual_onset_global_ms"": 846828.338, ""actual_offset_global_ms"": 849358.993, ""actual_duration_ms"": 2530.655}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 849358.993, ""actual_onset_global_ms"": 849389.388, ""actual_offset_global_ms"": 849887.824, ""actual_duration_ms"": 498.436}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 849887.824, ""actual_onset_global_ms"": 849894.145, ""actual_offset_global_ms"": 867111.926, ""actual_duration_ms"": 17217.781}]",,two_failures_in_span,5.0
