global_time_ms,event_type,task_name,block_name,trial_index_global,participant_id,group,timepoint,practice_layer,telemetry_version,block_type,event_value,prompt_level,support_level,support_rule,support_trigger_reason,rule_block_error_count,support_phase,support_faded_after_trial,error_type,message
15086.546,task_start,flanker,,,044,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_task_start
202419.663,task_end,flanker,formal_block_2,52,044,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_finished
203177.422,task_start,dccs,,,044,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,dccs_task_start
236583.789,timing_drift,dccs,pre_switch_practice,1,044,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-59.019 ms
376034.419,task_end,dccs,mixed_formal,42,044,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,dccs_finished
377615.038,task_start,digit_span,,,044,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,digit_span_task_start
434288.58,timing_drift,digit_span,practice_digitspan,1,044,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-83.315 ms
446800.363,timing_drift,digit_span,practice_digitspan,2,044,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-83.315 ms
455962.311,timing_drift,digit_span,practice_digitspan,3,044,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-83.315 ms
467898.293,info,digit_span,digit_span_adaptive_support,3,044,Control,T1,adaptive,telemetry_v4,practice,digit_order_error,1,1,,digit_order_error,1,brief_rule_prompt,,,digit_span_support_level_1:digit_order_error
469388.916,timing_drift,digit_span,practice_digitspan,4,044,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-83.315 ms
471524.056,timing_drift,digit_span,practice_digitspan,4,044,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,wait drift=35.889 ms
487037.454,info,digit_span,digit_span_adaptive_support,4,044,Control,T1,adaptive,telemetry_v4,practice,input_mapping_error,2,2,,input_mapping_error,2,worked_example,,,digit_span_support_level_2:input_mapping_error
497267.72,timing_drift,digit_span,practice_digitspan,5,044,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-83.315 ms
524797.76,info,digit_span,practice_digitspan,5,044,Control,T1,adaptive,telemetry_v4,practice,recovered,,2,,input_mapping_error,,,True,,digit_span_support_recovered:input_mapping_error
524970.889,timing_drift,digit_span,practice_digitspan,6,044,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-83.315 ms
562060.215,timing_drift,digit_span,formal_span_2,7,044,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-83.315 ms
575675.581,timing_drift,digit_span,formal_span_2,8,044,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-83.315 ms
577765.594,timing_drift,digit_span,formal_span_2,8,044,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,wait drift=30.891 ms
