participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,trial_transition,previous_rule,current_rule,cue_to_first_response_ms,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,repeated_audio_once_in_practice,trigger_trial_index,termination_reason,terminal_span_length,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,layout_generation_attempts,overlap_check_passed
044,044_T1_20260518_150552,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,1,1,practice,practice_single,1779087952,59.935,2026-05-18T15:07:01.507,0,0,0,1,62115.533,62173.923,practice_single,left,none,<,s,s,1,4845.97,67126.873,correct,,62215.533,62280.903,67126.873,3000,4845.97,67726.873,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 62115.533, ""actual_onset_global_ms"": 62173.923, ""actual_offset_global_ms"": 62249.852, ""actual_duration_ms"": 75.929}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 62215.533, ""actual_onset_global_ms"": 62280.903, ""actual_offset_global_ms"": 67126.873, ""actual_duration_ms"": 4845.97}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 67126.873, ""actual_onset_global_ms"": 67209.964, ""actual_offset_global_ms"": 67831.121, ""actual_duration_ms"": 621.157}]",correct.wav,67186.197,600.0,67786.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044,044_T1_20260518_150552,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,2,2,practice,practice_single,1779087952,59.935,2026-05-18T15:07:07.215,0,0,0,1,67823.541,67851.126,practice_single,left,none,<,s,s,1,20816.493,88791.964,correct,,67923.541,67975.471,88791.964,3000,20816.493,89391.964,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 67823.541, ""actual_onset_global_ms"": 67851.126, ""actual_offset_global_ms"": 67960.594, ""actual_duration_ms"": 109.468}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 67923.541, ""actual_onset_global_ms"": 67975.471, ""actual_offset_global_ms"": 88791.964, ""actual_duration_ms"": 20816.493}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 88791.964, ""actual_onset_global_ms"": 88852.65, ""actual_offset_global_ms"": 89435.079, ""actual_duration_ms"": 582.429}]",correct.wav,88796.061,600.0,89396.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044,044_T1_20260518_150552,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,3,3,practice,practice_single,1779087952,59.935,2026-05-18T15:07:28.818,0,0,0,1,89426.349,89450.281,practice_single,left,none,<,s,s,1,728.645,90294.972,correct,,89526.349,89566.327,90294.972,3000,728.645,90894.972,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 89426.349, ""actual_onset_global_ms"": 89450.281, ""actual_offset_global_ms"": 89557.816, ""actual_duration_ms"": 107.535}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 89526.349, ""actual_onset_global_ms"": 89566.327, ""actual_offset_global_ms"": 90294.972, ""actual_duration_ms"": 728.645}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 90294.972, ""actual_onset_global_ms"": 90323.733, ""actual_offset_global_ms"": 90939.172, ""actual_duration_ms"": 615.439}]",correct.wav,90305.52,600.0,90905.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044,044_T1_20260518_150552,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,4,4,practice,practice_single,1779087952,59.935,2026-05-18T15:07:30.321,0,0,0,1,90929.563,90949.592,practice_single,right,none,>,j,j,1,5760.406,96829.326,correct,,91029.563,91068.92,96829.326,3000,5760.406,97429.326,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 90929.563, ""actual_onset_global_ms"": 90949.592, ""actual_offset_global_ms"": 91059.189, ""actual_duration_ms"": 109.597}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 91029.563, ""actual_onset_global_ms"": 91068.92, ""actual_offset_global_ms"": 96829.326, ""actual_duration_ms"": 5760.406}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 96829.326, ""actual_onset_global_ms"": 96873.844, ""actual_offset_global_ms"": 97484.077, ""actual_duration_ms"": 610.233}]",correct.wav,96850.763,600.0,97450.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044,044_T1_20260518_150552,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,5,5,practice,practice_single,1779087952,59.935,2026-05-18T15:07:36.867,0,0,0,1,97476.217,97503.989,practice_single,right,none,>,j,j,1,1746.972,99353.6,correct,,97576.217,97606.628,99353.6,3000,1746.972,99953.6,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 97476.217, ""actual_onset_global_ms"": 97503.989, ""actual_offset_global_ms"": 97598.229, ""actual_duration_ms"": 94.24}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 97576.217, ""actual_onset_global_ms"": 97606.628, ""actual_offset_global_ms"": 99353.6, ""actual_duration_ms"": 1746.972}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 99353.6, ""actual_onset_global_ms"": 99396.532, ""actual_offset_global_ms"": 100003.317, ""actual_duration_ms"": 606.785}]",correct.wav,99363.284,600.0,99963.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044,044_T1_20260518_150552,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,6,6,practice,practice_single,1779087952,59.935,2026-05-18T15:07:39.386,0,0,0,1,99994.901,100023.627,practice_single,right,none,>,j,j,1,1125.613,101271.795,correct,,100094.901,100146.182,101271.795,3000,1125.613,101871.795,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 99994.901, ""actual_onset_global_ms"": 100023.627, ""actual_offset_global_ms"": 100134.561, ""actual_duration_ms"": 110.934}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 100094.901, ""actual_onset_global_ms"": 100146.182, ""actual_offset_global_ms"": 101271.795, ""actual_duration_ms"": 1125.613}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 101271.795, ""actual_onset_global_ms"": 101318.888, ""actual_offset_global_ms"": 101928.637, ""actual_duration_ms"": 609.749}]",correct.wav,101285.0,600.0,101885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044,044_T1_20260518_150552,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,1,7,practice,incongruent,1779087952,59.935,2026-05-18T15:07:43.663,0,0,0,1,104271.475,104306.537,incongruent,left,right,>><>>,s,s,1,6514.222,110948.371,correct,1.0,104371.475,104434.149,110948.371,3000,6514.222,111548.371,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 104271.475, ""actual_onset_global_ms"": 104306.537, ""actual_offset_global_ms"": 104416.381, ""actual_duration_ms"": 109.844}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 104371.475, ""actual_onset_global_ms"": 104434.149, ""actual_offset_global_ms"": 110948.371, ""actual_duration_ms"": 6514.222}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 110948.371, ""actual_onset_global_ms"": 110994.781, ""actual_offset_global_ms"": 111608.584, ""actual_duration_ms"": 613.803}]",correct.wav,110964.609,600.0,111564.609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044,044_T1_20260518_150552,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,2,8,practice,incongruent,1779087952,59.935,2026-05-18T15:07:50.992,0,0,0,1,111600.772,111633.185,incongruent,right,left,<<><<,j,j,1,3521.356,115284.951,correct,1.0,111700.772,111763.595,115284.951,3000,3521.356,115884.951,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 111600.772, ""actual_onset_global_ms"": 111633.185, ""actual_offset_global_ms"": 111742.24, ""actual_duration_ms"": 109.055}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 111700.772, ""actual_onset_global_ms"": 111763.595, ""actual_offset_global_ms"": 115284.951, ""actual_duration_ms"": 3521.356}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 115284.951, ""actual_onset_global_ms"": 115349.636, ""actual_offset_global_ms"": 115943.83, ""actual_duration_ms"": 594.194}]",correct.wav,115322.102,600.0,115922.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044,044_T1_20260518_150552,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,3,9,practice,congruent,1779087952,59.935,2026-05-18T15:07:55.327,0,0,0,1,115935.223,115965.396,congruent,left,left,<<<<<,s,s,1,2093.05,118184.412,correct,1.0,116035.223,116091.362,118184.412,3000,2093.05,118784.412,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 115935.223, ""actual_onset_global_ms"": 115965.396, ""actual_offset_global_ms"": 116072.448, ""actual_duration_ms"": 107.052}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 116035.223, ""actual_onset_global_ms"": 116091.362, ""actual_offset_global_ms"": 118184.412, ""actual_duration_ms"": 2093.05}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 118184.412, ""actual_onset_global_ms"": 118228.124, ""actual_offset_global_ms"": 118824.561, ""actual_duration_ms"": 596.437}]",correct.wav,118199.21,600.0,118799.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044,044_T1_20260518_150552,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,4,10,practice,congruent,1779087952,59.935,2026-05-18T15:07:58.207,0,0,0,1,118815.615,118845.792,congruent,right,right,>>>>>,j,j,1,3397.32,122372.804,correct,1.0,118915.615,118975.484,122372.804,3000,3397.32,122972.804,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 118815.615, ""actual_onset_global_ms"": 118845.792, ""actual_offset_global_ms"": 118957.201, ""actual_duration_ms"": 111.409}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 118915.615, ""actual_onset_global_ms"": 118975.484, ""actual_offset_global_ms"": 122372.804, ""actual_duration_ms"": 3397.32}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 122372.804, ""actual_onset_global_ms"": 122398.308, ""actual_offset_global_ms"": 122999.556, ""actual_duration_ms"": 601.248}]",correct.wav,122373.777,600.0,122973.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
